회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
(주)네이처셀,7390,11-Dec,-1.42,0.99,42.68,-20.5,8094.26,-66.65,0.0,6.53,-7.12,-38.72,-3.39,-3.77,-6.41,5.44,3.56,5.12,2.75,8.37,5.44,1.08,,85.98,49.74,0.47,227.53,42.88,6.9,5.51,11.18,30.53,140.45,32.72,56.56,99.12,0.0,215.45,69.47,30.53,42.15,0.0,-9.22,109252.91,56425.41,374368.46,0.0,26.94,0.08,0.52,0.09,0.0,0.0,,0.0,  기초 의약물질 및 생물학적 제제 제조업
(주)네패스,33640,11-Dec,3.47,188.51,1167.23,66.79,295.54,92.65,-120.66,16.97,-0.83,-1.63,5.89,6.89,-0.71,1.9,14.19,6.59,1.51,13.44,1.9,1.55,2.42,132.84,109.95,31.8,122.9,39.42,17.1,10.92,23.92,44.86,87.87,26.55,32.08,218.21,29.45,53.83,55.14,44.86,17.23,69.71,7.93,373726.22,232230.11,748616.02,0.0,42.48,0.21,0.68,0.25,10.91,1.2,0.0,2596237.0,  반도체 제조업
(주)넥스트엔터테인먼트월드,160550,14-Dec,13.68,2.74,-94.7,25.72,-100.0,15.5,,23.44,4.93,2.37,3.38,9.78,1.7,,,,,,,,,307.82,307.82,216.94,38.81,7.17,-15.94,-12.89,-62.18,72.04,9.95,84.78,84.78,414.14,94.16,38.23,27.96,72.04,0.0,0.0,57.24,32082.8,0.0,5977784.77,0.0,1335.52,0.07,,0.21,0.0,0.0,0.0,0.0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
(주)넥슨게임즈,225570,15-Dec,12.43,-100.0,-100.0,-100.0,-100.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  소프트웨어 개발 및 공급업
(주)넵튠,217270,15-Dec,-3.35,-100.0,-100.0,-100.0,,-100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  소프트웨어 개발 및 공급업
(주)노블엠앤비,106520,12-Dec,11.2,129.37,364.54,121.93,19.76,28.14,43.93,18.36,9.23,25.23,15.09,12.71,10.96,,,,,,,,,140.74,131.98,42.98,114.38,26.69,13.53,7.73,27.05,46.65,57.21,54.99,58.64,181.38,68.11,89.32,53.35,46.65,6.23,21.51,16.98,119468.72,139859.75,352534.55,0.0,92.6,0.31,0.79,0.34,0.0,1.44,2413491.0,1207686.0,  사진장비 및 광학기기 제조업
(주)녹십자엠에스,142280,14-Dec,9.68,-100.0,-100.0,-100.0,-100.0,-100.0,-68.61,18.41,4.57,15.57,9.36,5.47,7.82,,,,,,,,,206.7,137.76,1.74,65.37,6.57,3.96,1.0,23.8,60.47,10.87,50.94,76.43,199.48,0.0,61.15,39.53,60.47,33.35,64.61,39.45,45010.97,55889.86,313846.54,0.0,173.62,0.25,1.4,0.16,0.0,1.25,791073.0,1018464.0,  의료용품 및 기타 의약 관련제품 제조업
(주)녹원씨엔아이,65560,11-Dec,2.99,-99.25,-99.62,-98.84,-99.86,-99.37,-98.01,32.6,2.78,9.11,6.54,4.59,3.97,3.58,28.91,,5.12,12.96,3.58,2.37,2.64,172.03,163.59,70.9,119.19,22.1,9.05,3.29,22.26,45.62,48.45,59.42,62.49,0.0,19.02,79.62,54.38,45.62,4.91,11.73,26.16,24728.91,0.0,125367.1,0.0,258.67,0.51,,0.34,-7.26,0.0,309118.0,0.0,  인쇄 및 인쇄관련 산업
(주)누리플랜,69140,11-Dec,5.57,-95.42,-92.51,-83.87,-95.92,-96.94,-91.04,22.6,5.52,12.14,6.91,6.32,6.04,2.24,9.05,4.04,3.9,19.12,2.24,2.18,1.74,138.13,126.49,23.99,97.65,25.37,-3.84,-1.78,-7.48,50.59,50.13,58.55,63.93,383.81,99.71,91.48,49.41,50.59,8.43,30.53,17.65,127182.52,3059.98,464260.62,0.0,74.44,0.2,30.94,0.19,-13.67,0.48,0.0,287653.0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)누리플렉스,40160,11-Dec,0.79,-20.54,-43.16,-12.78,-65.42,128.88,,31.37,-1.3,-5.83,1.29,1.95,-0.86,1.0,5.33,3.19,3.18,8.82,1.0,1.97,1.05,237.77,206.97,41.78,49.14,20.49,29.88,14.53,48.06,67.05,30.56,44.3,50.89,234.54,47.74,31.92,32.95,67.05,12.95,22.35,29.49,255428.59,23997.3,791450.2,0.0,42.15,0.14,4.49,0.2,-9.23,7.26,369617.0,2699710.0,  소프트웨어 개발 및 공급업
(주)뉴로스,126870,12-Dec,5.1,,,,,,-75.42,45.64,8.5,10.45,10.67,17.2,5.27,,,,,,,,,285.12,223.33,1.9,78.25,30.32,-14.74,-11.38,-21.33,56.1,54.05,53.7,68.56,490.61,37.86,42.86,43.9,56.1,21.67,33.38,44.51,128450.68,9029.14,499813.45,0.0,83.81,0.22,11.92,0.38,5.61,5.11,0.0,1652935.0,  일반 목적용 기계 제조업
(주)뉴보텍,60260,11-Dec,-4.5,-100.0,-100.0,-100.0,-100.0,-100.0,,17.18,-8.42,-19.89,-8.44,-6.97,-10.2,2.36,11.45,3.07,3.27,10.85,2.36,2.48,,125.14,105.71,19.01,103.64,29.18,-2.02,-0.82,-3.52,49.11,59.42,49.13,58.16,231.02,98.48,94.65,50.89,49.11,15.53,77.29,11.68,117292.99,168290.33,323204.27,0.0,21.32,0.08,0.15,0.06,-10.89,0.56,0.0,203977.0,  플라스틱제품 제조업
(주)뉴프렉스,85670,11-Dec,0.81,-44.57,-8.5,-40.45,96.54,-73.55,-113.23,10.45,-1.01,-1.71,1.3,1.53,-0.86,1.91,3.63,7.57,1.61,5.02,1.91,1.52,1.94,118.7,57.9,14.64,132.7,28.27,6.93,4.75,13.97,42.97,65.79,21.55,44.17,54.91,53.33,86.6,57.03,42.97,51.23,325.1,6.96,133408.55,82251.32,256788.84,0.0,33.34,0.17,0.54,0.21,6.93,0.44,928478.0,294201.0,  전자부품 제조업
(주)다날,64260,11-Dec,-0.33,44.94,-77.63,30.49,-100.0,-35.6,-127.17,0.0,-6.85,-4.4,-0.82,-1.96,-2.87,1.29,,3.68,37.01,7.9,1.29,0.62,0.61,117.8,117.8,20.75,216.44,43.29,-15.41,-25.2,-24.35,31.6,136.99,69.39,69.39,153.83,86.9,186.41,68.4,31.6,0.0,0.0,10.48,20417.12,0.0,1655366.96,0.0,-80.76,-0.01,,-0.02,6.3,2.75,0.0,2519231.0,  소프트웨어 개발 및 공급업
(주)다산네트웍스,39560,11-Dec,-1.06,,,,,,-130.92,33.09,-2.38,-1.89,-1.08,-1.97,-1.3,1.01,6.11,2.69,4.36,5.43,1.01,1.19,0.87,177.31,155.71,69.61,72.27,27.83,20.07,14.43,30.25,58.05,47.95,44.97,51.21,126.14,55.2,49.75,41.95,58.05,12.18,27.94,22.33,94512.37,5822.1,640005.84,0.0,57.64,0.09,9.36,0.15,13.53,15.77,0.0,20598437.0,  통신 및 방송 장비 제조업
(주)다이나믹디자인,145210,15-Dec,2.92,-37.34,12.26,-55.33,-31.47,-18.59,-67.89,16.52,0.6,1.03,3.52,5.31,0.4,,,,,,,,,85.22,64.24,7.1,95.66,38.01,10.92,7.86,14.04,51.11,74.38,27.94,37.06,359.32,88.44,85.08,48.89,51.11,24.62,0.0,-6.43,934112.05,889159.64,2237994.85,0.0,47.24,0.2,0.5,0.29,-23.47,0.29,0.0,384223.0,  특수 목적용 기계 제조업
(주)대구백화점,6370,11-Mar,11111111.11,-100.0,-100.0,-100.0,-100.0,-100.0,-35.23,69.58,15.96,8.08,6.82,17.47,6.24,0.51,13.28,31.67,0.61,49.68,0.51,1.71,,134.9,130.38,21.39,32.86,0.0,29.58,20.62,0.0,75.27,0.0,23.41,24.22,173.35,0.0,23.86,24.73,75.27,3.35,12.95,6.27,684953.19,0.0,1208096.23,0.0,21.21,0.12,,0.34,3.47,0.0,,0.0,  종합 소매업
(주)대동,490,11-Dec,2.44,-52.71,-45.47,-48.52,58.92,-77.4,-90.26,21.74,1.02,2.6,2.64,2.36,1.14,2.66,3.33,6.88,2.46,7.36,2.66,1.93,2.39,113.77,47.18,3.78,141.92,29.75,10.05,5.41,19.81,41.34,71.96,19.63,47.33,104.2,70.19,100.65,58.66,41.34,58.53,483.73,5.73,312676.64,163710.29,710400.4,0.0,36.56,0.16,0.7,0.15,-0.62,1.28,5364120.0,6451293.0,  특수 목적용 기계 제조업
(주)대동스틸,48470,11-Dec,3.04,-100.0,-100.0,-100.0,-100.0,-100.0,270.16,5.45,2.01,5.24,4.63,3.16,2.95,2.61,4.51,3.95,12.43,10.86,2.61,3.36,,169.52,93.75,5.07,81.83,28.69,-14.12,-4.38,-22.15,55.0,52.17,40.03,72.37,293.18,97.55,77.63,45.0,55.0,44.7,108.99,29.68,222332.02,190007.39,1985746.35,0.0,78.51,0.09,0.92,0.06,1.89,0.0,,0.0,  1차 철강 제조업
(주)대명소노시즌,7720,11-Dec,-10.93,-56.65,-93.93,45.39,-50.54,-40.32,-170.01,16.01,-32.24,-9.2,-9.81,-46.25,-6.84,0.26,6.45,10.7,1.26,9.71,0.26,1.26,0.33,499.49,481.51,43.96,20.87,11.59,-2.32,-1.82,-3.46,82.73,14.0,60.58,62.85,65.02,60.8,15.21,17.27,82.73,3.6,4.5,50.26,197073.9,121055.85,1129208.78,0.0,-18.2,-0.03,-0.3,-0.14,470.59,6.92,364575.0,580957.0,  상품 종합 도매업
(주)대성엘텍,25440,11-Dec,-1.38,115.51,54.17,117.68,114.24,-20.72,-220.43,1.82,-5.26,-40.66,-5.5,-3.05,-9.48,7.73,8.25,9.14,4.46,12.92,7.73,2.35,3.46,63.18,36.16,2.49,366.91,60.51,5.57,2.12,7.23,21.42,282.54,26.72,46.69,197.11,94.63,345.05,78.58,21.42,42.77,0.0,-27.21,108482.24,88983.48,247837.68,0.0,35.76,0.16,0.44,0.08,-9.96,0.0,6063716.0,0.0,  영상 및 음향기기 제조업
(주)대성파인텍,104040,11-Dec,12.61,-63.15,-71.06,-54.28,-79.48,-41.28,,22.98,11.68,17.9,12.13,14.25,9.94,1.53,6.23,3.29,2.52,6.08,1.53,1.93,1.51,155.06,123.49,28.23,82.26,21.79,25.29,14.32,52.38,54.87,39.72,46.28,58.11,162.65,71.03,68.31,45.13,54.87,20.36,57.34,20.63,146322.52,184267.34,428776.15,0.0,77.56,0.26,0.62,0.33,15.85,0.74,81521.0,230491.0,  자동차 신품 부품 제조업
(주)대유에이텍,2880,11-Dec,3.03,240.78,277.88,51.24,-31.85,2.33,-30.43,8.07,1.65,12.0,5.17,3.11,2.73,7.26,57.18,7.11,4.37,5.64,7.26,2.15,4.95,56.9,51.95,4.1,383.91,32.46,-4.24,-2.6,-10.37,20.66,157.1,28.08,30.75,101.61,63.13,261.54,79.34,20.66,8.7,0.0,-23.29,545735.37,77634.93,1281006.21,0.0,24.22,0.1,1.7,0.08,39.41,0.35,0.0,1406546.0,  자동차 신품 부품 제조업
(주)대유플러스,300,11-Dec,0.65,371.9,243.31,104.37,66.85,89.1,-158.0,5.85,-1.38,-3.71,0.5,0.79,-0.87,4.1,18.61,5.44,3.41,5.37,4.1,0.75,2.37,89.65,76.39,8.51,566.82,13.36,1.53,2.35,9.71,15.0,89.09,20.37,23.9,93.19,74.88,177.8,85.0,15.0,14.78,0.0,-2.76,262967.3,105864.74,1556195.67,0.0,39.64,0.07,0.98,0.12,9.58,0.14,952264.0,384309.0,  통신 및 방송 장비 제조업
