회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,자기자본구성비율.1,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,노동소득분배율,설비투자효율,총자본투자효율,기계투자효율,부가가치율,종업원수증가율,R & D 투자효율,무형자산처리무형자산개발비(천원),경상개발비(천원),통계청 한국표준산업분류 10차(소분류)
(주)CMG제약,58820,11-Dec,3.53,1.98,-5.91,17.64,-1.43,-2.02,,41.83,-8.5,-8.28,2.37,3.61,-5.58,0.97,3.74,1.9,1.77,11.95,0.97,2.01,1.25,200.97,165.03,15.1,51.41,9.08,-46.08,-24.07,-172.4,66.05,13.74,46.14,56.18,602.31,80.71,42.33,33.95,66.05,17.88,35.59,28.23,71726.36,29216.43,202260.73,0.0,35.86,0.13,0.88,0.2,4.65,0.13,0.0,23703.0,  의약품 제조업
(주)DB하이텍,990,11-Dec,-0.75,523.71,3046.44,85.76,752.17,71.0,-3310.12,16.62,-17.74,-27.74,-3.34,-7.81,-7.59,1.56,5.87,6.03,0.7,20.51,1.56,0.59,1.87,35.2,25.5,5.04,289.22,59.0,5.87,9.47,7.39,25.69,229.64,16.9,23.33,336.28,0.0,257.97,74.31,25.69,27.57,0.0,-42.95,284943.29,596524.9,467099.29,0.0,29.78,0.18,0.14,0.39,5.38,11.34,13904348.0,60572750.0,  반도체 제조업
(주)ES큐브,50120,11-Dec,-245.99,-94.91,-99.3,-92.01,-89.75,-93.91,-104.58,27.92,-8.99,-12.61,-6.58,-6.84,-8.65,1.3,8.12,6.18,13.89,18.08,1.3,4.68,1.6,230.24,194.35,21.35,41.36,0.18,6.82,2.08,1107.72,70.74,0.25,51.85,61.43,461.69,0.0,37.71,29.26,70.74,15.59,27.56,34.75,18201.83,3525.92,234080.3,0.0,279.2,0.22,14.41,0.23,20.3,5.95,4790260.0,2481560.0,  생활용품 도매업
(주)MH에탄올,23150,11-Dec,0.12,-94.57,-87.76,-96.49,-97.32,-82.58,-101.42,16.81,-9.73,-9.74,0.45,1.35,-3.24,1.0,4.15,4.83,0.6,148.03,1.0,0.5,0.98,58.36,45.92,5.22,214.54,8.89,2.62,5.35,20.09,31.79,27.96,26.78,34.04,81716.41,32.19,183.43,68.21,31.79,21.31,0.0,-24.28,1474660.69,273673.9,2631506.88,0.0,11.62,0.07,0.63,0.2,-3.77,0.0,0.0,0.0,  알코올음료 제조업
(주)ST,11810,11-Dec,1.66,134.02,-6.05,12.94,37.2,17.84,78.59,7.57,3.73,14.56,4.14,3.93,3.93,3.37,14.81,14.25,5.26,13.95,3.37,1.53,3.21,70.06,54.61,11.42,173.19,48.6,-0.52,-0.29,-0.67,36.6,132.78,21.31,27.33,152.08,57.95,106.57,63.4,36.6,22.04,0.0,-11.68,2016729.59,1297910.71,13352487.24,0.0,66.29,0.1,1.03,0.09,-39.04,0.0,,0.0,  상품 종합 도매업
(주)TCC스틸,2710,11-Dec,1.41,-18.89,-6.47,-52.52,-32.96,300.49,,8.19,0.89,2.02,2.63,2.22,1.05,2.28,6.39,6.82,6.24,14.18,2.28,2.46,2.88,110.8,62.71,3.21,101.53,31.55,-6.46,-2.87,-10.31,49.62,63.59,22.86,40.39,220.36,81.18,73.45,50.38,49.62,43.4,445.09,3.94,264524.96,198418.03,1442315.9,0.0,60.97,0.11,0.81,0.1,-2.78,0.0,0.0,0.0,  1차 철강 제조업
(주)강스템바이오텍,217730,15-Dec,-5.41,-100.0,-100.0,-100.0,-100.0,-100.0,-47.35,82.97,-387.59,-27.09,-20.52,-345.23,-23.03,,,,,,,,,637.19,625.9,211.66,17.64,4.27,-101.45,-255.96,-355.89,85.01,5.03,74.3,75.64,238.87,26.95,13.96,14.99,85.01,1.77,2.1,63.77,48064.6,0.0,402945.58,0.0,-96.67,-0.12,,-1.94,0.0,255.88,0.0,3798708.0,  기초 의약물질 및 생물학적 제제 제조업
(주)강원에너지,114190,11-Nov,393.9,-100.0,-100.0,-100.0,-100.0,-100.0,-96.68,25.07,11.46,26.29,16.0,13.12,13.97,2.29,15.92,3.79,14.19,4.83,2.29,2.6,,165.07,151.33,52.8,119.24,0.0,23.38,13.6,0.0,45.61,0.0,81.84,89.26,90.58,0.0,118.56,54.39,45.61,8.32,21.11,35.19,41620.15,28242.51,571479.44,0.0,328.31,0.24,4.84,0.26,14.63,2.76,0.0,1388076.0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)갤럭시아에스엠,11420,11-Dec,6.31,-20.3,-92.82,-19.27,-82.99,19.64,,18.25,6.15,12.95,11.45,10.91,6.45,1.95,1173.34,6.72,61.31,40.59,1.95,2.73,2.32,157.4,157.27,55.23,78.49,4.21,30.0,12.57,313.23,56.03,7.52,54.62,54.66,430.89,0.0,61.98,43.97,56.03,0.08,0.22,19.93,20162.38,8861.35,1219198.81,0.0,2183.53,0.36,49.68,0.34,12.12,0.0,,0.0,  스포츠 서비스업
(주)골드앤에스,35290,11-Dec,1.13,-84.72,-97.24,-89.6,-92.11,-90.79,-96.61,31.52,2.11,4.57,2.82,2.73,2.19,2.16,10.96,5.88,39.79,53.45,2.16,1.99,2.31,108.02,94.83,0.68,108.04,33.01,36.32,18.53,57.14,48.07,68.68,44.16,50.3,702.13,0.0,96.87,51.93,48.07,12.21,164.5,3.73,6384.06,0.0,289920.16,0.0,1514.88,0.33,,0.33,-9.04,0.0,0.0,0.0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드퍼시픽,38530,11-Dec,14.16,-100.0,-100.0,-100.0,-100.0,-100.0,,40.94,8.81,4.62,6.82,15.36,3.92,0.52,2.03,8.87,1.9,,0.52,2.92,,609.29,446.04,0.66,25.85,10.58,14.46,7.26,28.07,79.46,13.32,40.25,54.98,0.0,0.0,11.36,20.54,79.46,26.79,32.05,45.96,170675.64,148052.08,465652.88,0.0,44.04,0.16,0.51,0.39,210.53,0.99,328368.0,111530.0,  생활용품 도매업
(주)골프존뉴딘홀딩스,121440,11-Dec,1101.46,20.94,-54.88,238.03,-45.45,74.45,186.71,53.49,21.54,18.23,19.23,25.23,16.42,,,,,,,,,1016.66,994.82,197.26,8.33,0.18,205.24,27.66,8554.85,92.31,0.2,71.51,73.08,179.51,29.24,7.79,7.69,92.31,2.15,2.38,65.89,118461.83,8502.27,859214.32,0.0,132.09,0.18,18.4,0.32,0.0,0.0,0.0,0.0,  상품 중개업
(주)광림,14200,11-Dec,4.55,-100.0,-100.0,-100.0,-100.0,-100.0,,16.17,2.43,4.63,5.35,4.94,2.63,1.91,2.94,4.81,4.49,10.56,1.91,2.51,,208.74,102.38,17.24,52.36,13.97,12.77,3.56,31.43,65.63,21.28,28.08,57.26,190.23,97.7,41.79,34.37,65.63,50.95,97.81,29.83,119396.51,24804.76,433934.93,0.0,66.07,0.18,3.18,0.15,4.74,0.0,120636.0,0.0,  자동차용 엔진 및 자동차 제조업
(주)광무,29480,11-Dec,-3.01,-51.54,-30.74,-56.87,40.57,-64.11,-804.21,18.36,-96.85,-131.02,-17.82,-26.15,-66.0,1.19,3.27,2.71,4.6,14.14,1.19,1.09,1.04,111.42,78.43,17.65,100.75,31.26,22.2,16.35,35.63,49.81,62.76,34.83,49.48,300.73,0.0,89.15,50.19,49.81,29.61,288.83,5.07,114251.13,47085.16,499647.88,0.0,-180.22,-0.41,-4.37,-0.6,3.4,0.0,,0.0,  통신 및 방송 장비 제조업
(주)국보,1140,11-Dec,0.75,-26.06,14.47,-53.84,-97.91,-47.36,,7.01,-0.03,-0.12,1.78,1.33,-0.04,3.77,183.59,4.34,3.39,5.35,3.77,2.07,3.34,76.24,75.0,1.25,186.86,27.71,1.82,0.9,4.29,34.86,79.47,41.13,41.81,112.5,89.78,157.3,65.14,34.86,1.63,0.0,-13.03,197265.01,26758.6,514945.13,0.0,39.17,0.15,2.89,0.11,-0.52,0.0,,0.0,  도로 화물 운송업
(주)국순당,43650,11-Dec,167.22,-10.51,907.84,-57.7,,44.38,-66.98,42.79,4.12,2.99,2.68,4.19,2.64,0.72,4.47,11.76,1.5,40.79,0.72,5.7,1.44,500.27,401.4,293.46,11.8,0.41,36.53,6.01,930.77,89.44,0.46,33.2,41.38,390.08,36.36,9.25,10.56,89.44,19.76,24.7,33.11,201181.69,92627.1,485695.5,0.0,40.35,0.17,0.88,0.26,11.41,0.62,0.0,766467.0,  알코올음료 제조업
(주)국영지앤엠,6050,11-Dec,-170.81,-100.0,-100.0,-100.0,-100.0,-100.0,-406.47,-0.74,-4.12,-5.18,-5.47,-6.92,-3.25,1.26,24.94,22.27,1.8,92.83,1.26,2.13,,149.79,140.9,5.51,86.43,17.98,9.58,6.37,24.72,53.64,33.51,38.93,41.38,427.79,1.92,51.5,46.36,53.64,5.93,17.85,13.76,14603.03,49231.67,581169.19,0.0,227.4,0.06,0.67,0.08,5.0,0.0,,0.0,  유리 및 유리제품 제조업
(주)기가레인,49080,13-Dec,5.72,-56.5,111.57,-71.38,779.19,-73.94,-60.88,21.32,11.42,17.36,10.57,13.66,8.84,,,,,,,,,138.09,110.02,56.92,96.4,35.98,16.5,10.47,22.5,50.92,70.66,34.25,42.99,268.27,52.63,61.14,49.08,50.92,20.32,73.68,11.86,153802.41,77566.45,401717.54,0.0,63.8,0.24,1.26,0.32,0.0,0.0,4094000.0,0.0,  특수 목적용 기계 제조업
(주)기산텔레콤,35460,11-Dec,-3.73,-26.77,-70.85,-7.75,6.46,20.75,,10.87,-18.41,-31.86,-11.32,-15.77,-13.21,1.65,3.08,3.46,4.67,6.09,1.65,1.27,1.09,131.22,86.83,11.32,154.54,38.33,-2.73,-2.17,-4.32,39.29,97.58,42.56,64.31,139.88,79.67,124.75,60.71,39.29,33.83,142.17,15.3,149080.8,89168.59,937602.59,0.0,-28.51,-0.05,-0.48,-0.06,-26.4,12.76,699000.0,4635198.0,  통신 및 방송 장비 제조업
(주)까뮤이앤씨,13700,11-Dec,-14.28,-100.0,-100.0,-100.0,-100.0,-100.0,217.6,-20.22,-128.62,-110.63,-44.04,-147.44,-38.42,0.86,16.83,9.44,1.63,2.89,0.86,0.46,,42.03,39.47,8.73,440.08,50.66,-11.8,-26.57,-18.97,18.52,273.61,29.04,30.92,48.57,98.84,397.4,81.48,18.52,6.08,0.0,-42.66,674161.9,16939.4,3111063.65,0.0,-226.43,-0.49,-90.12,-1.36,-24.53,0.0,0.0,268.0,  건물 건설업
(주)나노,187790,14-Dec,11111111.11,-100.0,-100.0,-100.0,-100.0,-100.0,61.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  기초 화학물질 제조업
(주)나노엔텍,39860,11-Dec,-12.31,-51.27,-51.55,-50.85,-89.98,-69.35,-310.34,5.64,-92.77,-42.45,-22.39,-84.51,-24.58,0.46,3.16,2.51,1.38,10.56,0.46,0.88,0.49,584.92,524.49,48.43,72.71,31.71,-25.34,-40.26,-33.64,57.9,54.76,66.15,73.77,386.98,17.21,21.78,42.1,57.9,10.33,12.46,61.16,115578.81,28745.84,598185.33,0.0,-63.98,-0.12,-2.57,-0.47,43.1,17.11,0.0,2238917.0,  의료용 기기 제조업
(주)나무가,190510,15-Dec,8.35,337.09,273.99,464.53,401.9,46.92,47.56,12.19,2.1,21.31,15.12,6.36,5.0,,,,,,,,,122.36,94.95,29.28,238.22,27.47,13.66,4.86,35.02,29.57,92.92,58.55,75.45,59.89,71.42,208.56,70.43,29.57,22.4,122.57,13.79,301379.99,303376.06,1405915.93,0.0,127.43,0.27,1.27,0.14,0.0,1.65,0.0,5460343.0,  전자부품 제조업
(주)나이벡,138610,11-Dec,-3.91,-100.0,-100.0,-100.0,,-100.0,-50.58,12.4,-67.9,-30.26,-12.9,-72.37,-12.11,,,,,,,,,243.47,216.7,180.75,68.91,24.25,-3.21,-8.44,-5.41,59.2,40.96,29.91,33.61,454.32,42.71,23.32,40.8,59.2,11.0,18.66,19.8,266817.93,62597.21,600035.34,0.0,-5.31,-0.02,-0.23,-0.15,0.0,0.1,1426211.0,2700.0,  의료용품 및 기타 의약 관련제품 제조업
(주)남선알미늄,8350,11-Dec,0.85,,,,,,122.73,8.69,8.18,42.18,2.09,1.63,10.53,5.15,13.64,4.0,4.15,7.47,5.15,1.71,2.49,88.7,73.41,2.72,249.67,33.77,-1.67,-1.03,-3.54,28.6,118.07,41.78,50.49,192.02,98.66,199.02,71.4,28.6,17.24,0.0,-6.43,105738.08,23320.8,387425.34,0.0,104.11,0.28,4.72,0.24,2.29,0.23,0.0,692347.0,  1차 비철금속 제조업
(주)남성,4270,11-Dec,-0.06,-24.56,-88.59,-41.93,40.09,-51.75,-112.58,22.11,-2.75,-1.87,-0.15,-0.5,-0.82,0.74,1.64,4.01,7.68,11.19,0.74,0.49,0.93,63.88,42.43,2.59,157.95,46.11,-2.45,-5.06,-3.26,38.77,118.93,20.81,31.33,391.27,95.58,126.51,61.23,38.77,33.57,0.0,-17.71,142351.17,27058.36,3778548.66,0.0,132.19,0.05,6.95,0.17,-11.94,0.83,221875.0,457779.0,  기타 전문 도매업
(주)내츄럴엔도텍,168330,13-Dec,675.61,-100.0,-100.0,-100.0,-100.0,-100.0,,70.98,22.88,37.97,35.3,28.6,28.23,,,,,,,,,319.6,293.87,228.84,34.48,0.03,145.06,30.14,130990.87,74.36,0.04,73.22,79.63,70.52,0.0,33.51,25.64,74.36,8.05,11.72,54.72,186252.68,9547.19,1452971.94,0.0,310.56,0.4,60.59,0.32,0.0,1.01,548110.0,847139.0,  자연과학 및 공학 연구개발업
(주)네오리진,94860,11-Dec,1.61,3.53,-57.76,56.86,235.42,48.61,,16.98,1.51,3.18,3.4,3.34,1.54,1.62,5.25,4.37,4.8,33.97,1.62,2.75,1.83,139.62,92.34,25.32,65.93,32.54,-17.83,-8.33,-21.77,60.27,54.0,32.53,49.18,692.48,91.38,58.45,39.73,60.27,33.87,119.33,13.96,88176.51,33112.99,721524.31,0.0,128.5,0.16,3.42,0.18,7.69,0.0,953278.0,0.0,  소프트웨어 개발 및 공급업
(주)네오펙트,290660,18-Dec,-5.77,-70.73,-51.25,-71.18,-62.15,-73.27,-150.06,73.88,-170.43,-34.1,-14.58,-92.67,-26.82,,,,,,,,,553.67,511.9,418.95,27.15,13.57,-106.72,-144.77,-167.9,78.65,17.25,75.42,81.57,3231.11,80.85,18.73,21.35,78.65,7.54,9.21,66.84,16166.77,12072.3,561256.5,0.0,-443.34,-0.13,-5.94,-0.81,0.0,20.1,268537.0,915934.0,  의료용 기기 제조업
