,회사명,거래소코드,회계년도,이자보상배율,부실기업1
1690,(주)룽투코리아,60240,11-Dec,-18.61,1
1715,(주)리더스코스메틱,16100,18-Dec,-5.07,1
1720,(주)리드,197210,18-Dec,-0.21,1
1722,(주)리드코프,12700,11-Dec,0,1
1744,(주)마니커,27740,12-Dec,-1.31,1
1760,(주)마이크로컨텍솔루션,98120,17-Dec,-119.78,1
1766,(주)마이크로프랜드,147760,19-Dec,-12.4,1
1776,(주)만도,204320,14-Dec,0,1
1783,(주)매직마이크로,127160,16-Dec,-4.36,1
1799,(주)멀티캠퍼스,67280,12-Dec,0,1
1821,(주)메디콕스,54180,18-Jun,-0.62,1
1834,(주)메디프론디비티,65650,13-Dec,0,1
1841,(주)메지온,140410,12-Dec,0,1
1854,(주)메타랩스,90370,13-Dec,0.92,1
1871,(주)멕아이씨에스,58110,16-Dec,-3.55,1
1878,(주)멜파스,96640,14-Dec,-6.56,1
1945,(주)모베이스전자,12860,18-Dec,0.15,1
1947,(주)모비스,250060,16-Dec,0,1
1953,(주)모아텍,33200,13-Dec,-24.64,1
1966,(주)모토닉,9680,18-Dec,0,1
1985,(주)무학,33920,19-Dec,-15.45,1
1986,(주)미래생명자원,218150,15-Dec,0,1
1994,(주)미래아이앤지,7120,14-Dec,-8.49,1
2003,(주)미래컴퍼니,49950,14-Dec,-26.93,1
2012,(주)미코,59090,14-Dec,0.9,1
2023,(주)바른손,18700,12-Mar,-8.54,1
2033,(주)바른손이앤에이,35620,13-Dec,-24.82,1
2040,(주)바른전자,64520,11-Dec,-7.08,1
2051,(주)바이넥스,53030,13-Dec,-3.9,1
2059,(주)바이오니아,64550,12-Dec,-2.45,1
2067,(주)바이오로그디바이스,208710,14-Dec,-2.43,1
2074,(주)바이오솔루션,86820,19-Dec,-35.51,1
2086,(주)바이오톡스텍,86040,13-Dec,-4.06,1
2093,(주)바텍,43150,11-Dec,0.5,1
2116,(주)백금티앤에이,46310,14-Dec,0.39,1
2133,(주)버킷스튜디오,66410,13-Dec,0,1
2140,(주)베노홀딩스,206400,14-Dec,-2043.63,1
2151,(주)베스파,299910,18-Dec,0,1
2190,(주)본느,226340,17-Dec,-667.08,1
2194,(주)부-스타,8470,12-Dec,0,1
2223,(주)브리지텍,64480,14-Dec,0,1
2233,(주)브이티지엠피,18290,12-Dec,-1.25,1
2245,(주)블루베리엔에프티,44480,15-Dec,-33.34,1
2263,(주)비덴트,121800,16-Dec,-3.93,1
2267,(주)비보존헬스케어,82800,11-Dec,-2.93,1
2278,(주)비비안,2070,13-Dec,-3.13,1
2300,(주)비아트론,141000,12-Dec,0,1
2318,(주)비엔지티,32790,12-Dec,-5.52,1
2326,(주)비엘,142760,16-Dec,-89.65,1
2383,(주)비츠로시스,54220,15-Mar,-8.03,1
2398,(주)비케이홀딩스,50090,12-Dec,0.71,1
2406,(주)비투엔,307870,18-Dec,-2.47,1
2429,(주)빅텍,65450,12-Dec,-48.21,1
2466,(주)사조오양,6090,14-Dec,-1.68,1
2480,(주)삼기,122350,19-Dec,0.78,1
2527,(주)삼에스코리아,60310,15-Mar,-2.85,1
2560,(주)삼일기업공사,2290,12-Dec,0,1
2587,(주)삼진엘앤디,54090,17-Dec,-2.36,1
2600,(주)삼표시멘트,38500,12-Dec,0.54,1
2610,(주)삼화네트웍스,46390,13-Dec,0,1
2621,(주)상보,27580,15-Dec,-0.53,1
2636,(주)상상인인더스트리,101000,12-Dec,-2.67,1
2654,(주)상지카일룸,42940,12-Dec,-5.95,1
2662,(주)새로닉스,42600,11-Dec,0.11,1
2681,(주)서부티엔디,6730,12-Dec,0.7,1
2697,(주)서산,79650,19-Dec,-2188.81,1
2705,(주)서연,7860,18-Dec,0.2,1
2711,(주)서연이화,200880,18-Dec,0.6,1
2721,(주)서연탑메탈,19770,19-Dec,0.15,1
2722,(주)서울리거,43710,11-Dec,0,1
2731,(주)서울옥션,63170,11-Dec,-6.08,1
2745,(주)서울제약,18680,16-Dec,-0.95,1
2750,(주)서원,21050,12-Dec,0.58,1
2783,(주)서진오토모티브,122690,18-Dec,-0.83,1
2807,(주)서희건설,35890,12-Dec,0.47,1
2831,(주)선앤엘,2820,18-Dec,-1.08,1
2852,(주)성광벤드,14620,18-Dec,-49.86,1
2865,(주)성안,11300,13-Dec,0.46,1
2889,(주)성창오토텍,80470,19-Dec,-0.41,1
2891,(주)세동,53060,11-Dec,0.6,1
2950,(주)세우글로벌,13000,13-Dec,0,1
2968,(주)세원물산,24830,13-Dec,-9.4,1
2982,(주)세원정공,21820,18-Jun,-239.36,1
3010,(주)세진티에스,67770,12-Dec,0,1
3027,(주)세토피아,222810,15-Dec,0,1
3032,(주)세화피앤씨,252500,16-Dec,0,1
3038,(주)센트럴인사이트,12600,12-Dec,-5.87,1
3046,(주)셀루메드,49180,11-Dec,-5.37,1
3055,(주)셀리드,299660,17-Dec,-1249.1,1
3057,(주)셀리버리,268600,18-Dec,-2.29,1
3063,(주)셀바스에이아이,108860,15-Dec,-1.15,1
3070,(주)셀바스헬스케어,208370,16-Dec,-13.61,1
3081,(주)셀트리온제약,68760,16-Dec,-1.77,1
3092,(주)셀피글로벌,68940,15-Dec,0.59,1
3097,(주)소프트센,32680,11-Sep,-11.65,1
3108,(주)손오공,66910,13-Dec,-5.71,1
3115,(주)솔고바이오메디칼,43100,11-Dec,-2.22,1
3128,(주)솔루에타,154040,17-Dec,0.58,1
3132,(주)솔본,35610,12-Dec,-5.31,1
3141,(주)쇼박스,86980,12-Dec,0,1
3150,(주)수산아이앤티,50960,17-Dec,0,1
3164,(주)슈프리마,236200,17-Dec,0,1
3187,(주)스마트솔루션즈,136510,15-Dec,0,1
3200,(주)스맥,99440,19-Dec,-3.97,1
3201,(주)스카이문스테크놀로지,33790,11-Dec,-2052578,1
3212,(주)스킨앤스킨,159910,14-Dec,-12.45,1
3218,(주)스타플렉스,115570,11-Dec,-1.11,1
3227,(주)스튜디오산타클로스엔터테인먼트,204630,14-Dec,0,1
3233,(주)스페코,13810,11-Dec,-0.41,1
3254,(주)시공테크,20710,14-Dec,0,1
3261,(주)시너지이노베이션,48870,12-Dec,-1.24,1
3280,(주)시디즈,134790,13-Dec,0,1
3296,(주)시큐브,131090,17-Dec,0,1
3304,(주)시티랩스,139050,16-Dec,-3.19,1
3318,(주)신성이엔지,11930,12-Dec,-3.08,1
3337,(주)신세계아이앤씨,35510,13-Dec,0,1
3372,(주)신원,9270,12-Dec,0.08,1
3396,(주)신화다이나믹스,1770,17-Dec,-3.14,1
3404,(주)신화콘텍,187270,19-Dec,-0.82,1
3434,(주)싸이토젠,217330,19-Dec,-94.69,1
3438,(주)쌍방울,102280,14-Dec,0.13,1
3444,(주)썸에이지,208640,14-Dec,-1.82,1
3454,(주)쎄노텍,222420,19-Dec,-0.18,1
3455,(주)쎄니트,37760,11-Dec,-1.6,1
3474,(주)쎌마테라퓨틱스,15540,12-Dec,-13.71,1
3486,(주)쎌바이오텍,49960,15-Dec,0,1
3499,(주)쏠리드,50890,19-Dec,-1.32,1
3500,(주)씨씨에스충북방송,66790,11-Dec,0.71,1
3510,(주)씨아이테크,4920,12-Dec,-123.22,1
3518,(주)씨에스,65770,11-Dec,-1.31,1
3527,(주)씨에스에이코스믹,83660,11-Dec,-2.27,1
3539,(주)씨엔플러스,115530,14-Dec,-12.81,1
3548,(주)씨유메디칼시스템,115480,14-Dec,-0.6,1
3578,(주)씨티씨바이오,60590,17-Dec,-4.7,1
3588,(주)아가방앤컴퍼니,13990,15-Dec,0.58,1
3601,(주)아나패스,123860,19-Dec,-35.82,1
3602,(주)아난티,25980,11-Dec,-6.29,1
3617,(주)아리온테크놀로지,58220,17-Dec,-7.79,1
3620,(주)아모그린텍,125210,15-Dec,0,1
3652,(주)아미노로직스,74430,12-Dec,-7.14,1
3674,(주)아바텍,149950,17-Dec,0,1
3688,(주)아센디오,12170,13-Dec,-4.15,1
3695,(주)아스타,246720,17-Dec,-47.72,1
3698,(주)아스트,67390,14-Dec,-0.83,1
3712,(주)아이디스,143160,11-Dec,0,1
3752,(주)아이씨디,40910,15-Sep,-86.48,1
3758,(주)아이앤씨테크놀로지,52860,12-Dec,0,1
3776,(주)아이에스이커머스,69920,12-Dec,-6.45,1
3784,(주)아이에이,38880,11-Dec,-9.2,1
3796,(주)아이에이치큐,3560,14-Dec,-3.99,1
3802,(주)아이엘사이언스,307180,18-Dec,-14.88,1
3810,(주)아이엠,101390,17-Dec,0.77,1
3813,(주)아이엠비씨,52220,11-Dec,0,1
3825,(주)아이오케이컴퍼니,78860,14-Dec,-32.25,1
3838,(주)아이윈,90150,18-Dec,-2.38,1
3841,(주)아이윈플러스,123010,17-Dec,-7.82,1
3844,(주)아이즈비전,31310,11-Dec,-7.38,1
3855,(주)아이컴포넌트,59100,13-Dec,-1,1
3862,(주)아이톡시,52770,11-Dec,-4.31,1
3880,(주)아이티엑스에이아이,99520,15-Dec,-22.96,1
3914,(주)안랩,53800,14-Dec,0,1
3923,(주)안트로젠,65660,19-Dec,-2.66,1
3924,(주)알로이스,297570,18-Dec,-1.6,1
3927,(주)알루코,1780,12-Dec,0.39,1
3942,(주)알에프세미,96610,18-Dec,0.52,1
3960,(주)알테오젠,196170,17-Dec,-3313.32,1
3968,(주)알톤스포츠,123750,16-Dec,-9.65,1
3985,(주)알파홀딩스,117670,17-Dec,-8.6,1
3988,(주)애니플러스,310200,18-Dec,0,1
3993,(주)액션스퀘어,205500,16-Dec,-284.68,1
3997,(주)액토즈소프트,52790,11-Dec,0,1
4014,(주)앤씨앤,92600,13-Dec,-111.75,1
4035,(주)어스앤에어로스페이스,263540,19-Dec,-22.81,1
4036,(주)얼라인드제네틱스,238120,16-Dec,0,1
4046,(주)에너토크,19990,17-Dec,0,1
4061,(주)에스디시스템,121890,11-Dec,0,1
