,회사명,거래소코드,회계년도,매출원가감소율,채울열
6,삼익악기,2450,17-Dec,5.797101449,75.06
7,삼익악기,2450,18-Dec,1.428571429,80.08
8,삼익악기,2450,19-Dec,0,76.34
0,삼익티에이치케이,4380,11-Dec,,73.85
1,삼익티에이치케이,4380,12-Dec,,75.13
2,삼익티에이치케이,4380,13-Dec,,74.77
3,삼익티에이치케이,4380,14-Dec,,76.93
4,삼익티에이치케이,4380,15-Dec,,77.48
5,삼익티에이치케이,4380,16-Dec,,78.73
6,삼익티에이치케이,4380,17-Dec,,80.02
7,삼익티에이치케이,4380,18-Dec,,81.15
8,삼익티에이치케이,4380,19-Dec,,80.98
0,삼일,32280,11-Dec,,91.1
1,삼일,32280,12-Dec,,91.44
2,삼일,32280,13-Dec,,92.89
3,삼일,32280,14-Dec,,91.51
4,삼일,32280,15-Dec,,90.67
5,삼일,32280,16-Dec,,90.72
6,삼일,32280,17-Dec,,92.38
7,삼일,32280,18-Dec,,92.23
8,삼일,32280,19-Dec,,91.62
0,삼일기업공사,2290,11-Dec,,90.885
1,삼일기업공사,2290,12-Dec,,91.785
2,삼일기업공사,2290,13-Dec,,93.005
3,삼일기업공사,2290,14-Dec,,92.97
4,삼일기업공사,2290,15-Dec,,91.755
5,삼일기업공사,2290,16-Dec,,90.575
6,삼일기업공사,2290,17-Dec,,90.275
7,삼일기업공사,2290,18-Dec,,89.78
8,삼일기업공사,2290,19-Dec,,90.355
0,삼일씨엔에스,4440,16-Dec,,79.26
1,삼일씨엔에스,4440,17-Dec,,81.73
2,삼일씨엔에스,4440,18-Dec,,82.22
3,삼일씨엔에스,4440,19-Dec,,84.125
0,삼일제약,520,11-Dec,6.666666667,41.73
1,삼일제약,520,12-Dec,-1.694915254,41.84
2,삼일제약,520,13-Dec,1.666666667,43.25
3,삼일제약,520,14-Dec,0,44.93
4,삼일제약,520,15-Dec,-3.448275862,48.21
5,삼일제약,520,16-Dec,-1.754385965,52.51
6,삼일제약,520,17-Dec,-1.785714286,52.32
7,삼일제약,520,18-Dec,11.11111111,54.69
8,삼일제약,520,19-Dec,-3.278688525,57.6
0,삼정펄프,9770,11-Dec,,87.015
1,삼정펄프,9770,12-Dec,,83.365
2,삼정펄프,9770,13-Dec,,84.915
3,삼정펄프,9770,14-Dec,,85.41
4,삼정펄프,9770,15-Dec,,85.895
5,삼정펄프,9770,16-Dec,,85.305
6,삼정펄프,9770,17-Dec,3.370786517,88.34
7,삼정펄프,9770,18-Dec,8.24742268,84.105
8,삼정펄프,9770,19-Dec,,84.59
0,삼지전자,37460,11-Dec,,78.63
1,삼지전자,37460,12-Dec,,79.75
2,삼지전자,37460,13-Dec,,81.65
3,삼지전자,37460,14-Dec,,81.58
4,삼지전자,37460,15-Dec,,81.36
5,삼지전자,37460,16-Dec,-1.063829787,82.3
6,삼지전자,37460,17-Dec,0,81.2
7,삼지전자,37460,18-Dec,1.052631579,81.97
8,삼지전자,37460,19-Dec,0,81.8
0,삼진,32750,11-Dec,9.782608696,78.63
1,삼진,32750,12-Dec,-4.545454545,79.75
2,삼진,32750,13-Dec,-2.325581395,81.65
3,삼진,32750,14-Dec,-2.380952381,81.58
4,삼진,32750,15-Dec,1.176470588,81.36
5,삼진,32750,16-Dec,-1.19047619,82.3
6,삼진,32750,17-Dec,0,81.2
7,삼진,32750,18-Dec,4.545454545,81.97
8,삼진,32750,19-Dec,-6.024096386,81.8
0,삼진엘앤디,54090,11-Dec,2.352941176,78.63
1,삼진엘앤디,54090,12-Dec,2.298850575,79.75
2,삼진엘앤디,54090,13-Dec,0,81.65
3,삼진엘앤디,54090,14-Dec,0,81.58
4,삼진엘앤디,54090,15-Dec,-3.571428571,81.36
5,삼진엘앤디,54090,16-Dec,3.448275862,82.3
6,삼진엘앤디,54090,17-Dec,3.333333333,81.2
7,삼진엘앤디,54090,18-Dec,-4.651162791,81.97
8,삼진엘앤디,54090,19-Dec,1.149425287,81.8
0,삼진제약,5500,11-Dec,,41.73
1,삼진제약,5500,12-Dec,,41.84
2,삼진제약,5500,13-Dec,,43.25
3,삼진제약,5500,14-Dec,,44.93
4,삼진제약,5500,15-Dec,,48.21
5,삼진제약,5500,16-Dec,,52.51
6,삼진제약,5500,17-Dec,,52.32
7,삼진제약,5500,18-Dec,,54.69
8,삼진제약,5500,19-Dec,,57.6
0,삼천당제약,250,11-Dec,,41.73
1,삼천당제약,250,12-Dec,,41.84
2,삼천당제약,250,13-Dec,-8.695652174,43.25
3,삼천당제약,250,14-Dec,-2.222222222,44.93
4,삼천당제약,250,15-Dec,0,48.21
5,삼천당제약,250,16-Dec,2.173913043,52.51
6,삼천당제약,250,17-Dec,2.127659574,52.32
7,삼천당제약,250,18-Dec,2.083333333,54.69
8,삼천당제약,250,19-Dec,-17.07317073,57.6
0,삼천리,4690,11-Dec,1.086956522,91.06
1,삼천리,4690,12-Dec,1.075268817,91.5
2,삼천리,4690,13-Dec,-1.086956522,92.2
3,삼천리,4690,14-Dec,1.075268817,91.89
4,삼천리,4690,15-Dec,-2.197802198,89.76
5,삼천리,4690,16-Dec,-1.111111111,87.27
6,삼천리,4690,17-Dec,0,87.11
7,삼천리,4690,18-Dec,0,87.65
8,삼천리,4690,19-Dec,0,86.35
0,삼천리자전거,24950,11-Dec,,80.81
1,삼천리자전거,24950,12-Dec,,81.77
2,삼천리자전거,24950,13-Dec,,80.31
3,삼천리자전거,24950,14-Dec,,80.28
4,삼천리자전거,24950,15-Dec,,81.66
5,삼천리자전거,24950,16-Dec,,82.9
6,삼천리자전거,24950,17-Dec,-1.492537313,82.45
7,삼천리자전거,24950,18-Dec,0,83.32
8,삼천리자전거,24950,19-Dec,9.459459459,83.47
0,삼표시멘트,38500,11-Dec,5.434782609,96.35
1,삼표시멘트,38500,12-Dec,-10.84337349,90.06
2,삼표시멘트,38500,13-Dec,2.352941176,84.855
3,삼표시멘트,38500,14-Dec,-4.938271605,76.695
4,삼표시멘트,38500,15-Dec,2.409638554,76.99
5,삼표시멘트,38500,16-Dec,-6.41025641,72.77
6,삼표시멘트,38500,17-Dec,1.265822785,80.57
7,삼표시멘트,38500,18-Dec,12.22222222,90.975
8,삼표시멘트,38500,19-Dec,-8.43373494,80.48
0,삼현철강,17480,11-Dec,,90.89
1,삼현철강,17480,12-Dec,,91.46
2,삼현철강,17480,13-Dec,,91.98
3,삼현철강,17480,14-Dec,,91.175
4,삼현철강,17480,15-Dec,,90.055
5,삼현철강,17480,16-Dec,,89.125
6,삼현철강,17480,17-Dec,,90.23
7,삼현철강,17480,18-Dec,,91.965
8,삼현철강,17480,19-Dec,,92.405
0,삼호개발,10960,11-Dec,5.376344086,89.535
1,삼호개발,10960,12-Dec,-2.197802198,90.605
2,삼호개발,10960,13-Dec,2.150537634,90.66
3,삼호개발,10960,14-Dec,-1.086956522,91.65
4,삼호개발,10960,15-Dec,-1.098901099,90.545
5,삼호개발,10960,16-Dec,-2.247191011,89.99
6,삼호개발,10960,17-Dec,-3.488372093,90.27
7,삼호개발,10960,18-Dec,2.272727273,88.535
8,삼호개발,10960,19-Dec,2.222222222,90.84
0,삼화네트웍스,46390,11-Dec,-13.33333333,71.99
1,삼화네트웍스,46390,12-Dec,16.66666667,72.91
2,삼화네트웍스,46390,13-Dec,-1.123595506,65.99
3,삼화네트웍스,46390,14-Dec,4.301075269,77.07
4,삼화네트웍스,46390,15-Dec,6.060606061,68.27
5,삼화네트웍스,46390,16-Dec,-33.78378378,74.71
6,삼화네트웍스,46390,17-Dec,18.68131868,83.56
7,삼화네트웍스,46390,18-Dec,20.1754386,84.29
8,삼화네트웍스,46390,19-Dec,-18.75,89.85
0,삼화왕관,4450,11-Dec,,82.3
1,삼화왕관,4450,12-Dec,,81.985
2,삼화왕관,4450,13-Dec,,81.55
3,삼화왕관,4450,14-Dec,,81.985
4,삼화왕관,4450,15-Dec,,83.13
5,삼화왕관,4450,16-Dec,,82.425
6,삼화왕관,4450,17-Dec,,84.185
7,삼화왕관,4450,18-Dec,,84.755
8,삼화왕관,4450,19-Dec,,85.49
0,삼화전기,9470,11-Dec,3.370786517,78.63
1,삼화전기,9470,12-Dec,0,79.75
2,삼화전기,9470,13-Dec,0,81.65
3,삼화전기,9470,14-Dec,0,81.58
4,삼화전기,9470,15-Dec,1.111111111,81.36
5,삼화전기,9470,16-Dec,-3.448275862,82.3
6,삼화전기,9470,17-Dec,-3.571428571,81.2
7,삼화전기,9470,18-Dec,2.325581395,81.97
8,삼화전기,9470,19-Dec,0,81.8
0,삼화전자공업,11230,11-Dec,3.157894737,78.63
1,삼화전자공업,11230,12-Dec,-1.063829787,79.75
2,삼화전자공업,11230,13-Dec,-11.9047619,81.65
3,삼화전자공업,11230,14-Dec,3.448275862,81.58
4,삼화전자공업,11230,15-Dec,12.12121212,81.36
5,삼화전자공업,11230,16-Dec,-16.47058824,82.3
6,삼화전자공업,11230,17-Dec,4.494382022,81.2
7,삼화전자공업,11230,18-Dec,3.260869565,81.97
8,삼화전자공업,11230,19-Dec,-6.976744186,81.8
0,삼화콘덴서공업,1820,11-Dec,5.882352941,78.63
1,삼화콘덴서공업,1820,12-Dec,0,79.75
2,삼화콘덴서공업,1820,13-Dec,1.162790698,81.65
3,삼화콘덴서공업,1820,14-Dec,4.444444444,81.58
4,삼화콘덴서공업,1820,15-Dec,-5.882352941,81.36
5,삼화콘덴서공업,1820,16-Dec,-1.19047619,82.3
6,삼화콘덴서공업,1820,17-Dec,-5,81.2
7,삼화콘덴서공업,1820,18-Dec,-26.98412698,81.97
8,삼화콘덴서공업,1820,19-Dec,17.10526316,81.8
0,삼화페인트공업,390,11-Dec,-2.43902439,77.91
1,삼화페인트공업,390,12-Dec,0,80.41
2,삼화페인트공업,390,13-Dec,-3.797468354,80.36
3,삼화페인트공업,390,14-Dec,1.25,79.71
4,삼화페인트공업,390,15-Dec,-2.564102564,77.5
5,삼화페인트공업,390,16-Dec,1.265822785,77.25
6,삼화페인트공업,390,17-Dec,3.658536585,78.45
7,삼화페인트공업,390,18-Dec,1.204819277,81.48
8,삼화페인트공업,390,19-Dec,-1.219512195,79.49
0,상보,27580,11-Dec,,78.63
1,상보,27580,12-Dec,,79.75
2,상보,27580,13-Dec,,81.65
3,상보,27580,14-Dec,,81.58
4,상보,27580,15-Dec,0,81.36
5,상보,27580,16-Dec,6.382978723,82.3
6,상보,27580,17-Dec,0,81.2
7,상보,27580,18-Dec,-9.302325581,81.97
8,상보,27580,19-Dec,3.370786517,81.8
0,상상인,38540,11-Dec,-1.315789474,78.63
1,상상인,38540,12-Dec,9.523809524,79.75
2,상상인,38540,13-Dec,-5,81.65
3,상상인,38540,14-Dec,0,81.58
4,상상인,38540,15-Dec,-6.666666667,81.36
5,상상인,38540,16-Dec,-5.633802817,82.3
6,상상인,38540,17-Dec,-12.6984127,81.2
7,상상인,38540,18-Dec,-10.52631579,81.97
8,상상인,38540,19-Dec,-5.555555556,81.8
0,상상인인더스트리,101000,11-Dec,8.571428571,82.98
1,상상인인더스트리,101000,12-Dec,-9.375,82.985
2,상상인인더스트리,101000,13-Dec,-12.94117647,88
3,상상인인더스트리,101000,14-Dec,6.593406593,91.475
4,상상인인더스트리,101000,15-Dec,-7.058823529,88.85
5,상상인인더스트리,101000,16-Dec,-6.25,87.545
6,상상인인더스트리,101000,17-Dec,12.08791209,88.54
7,상상인인더스트리,101000,18-Dec,,91.865
8,상상인인더스트리,101000,19-Dec,,90.035
0,상신브레이크,41650,11-Dec,4.938271605,86.155
1,상신브레이크,41650,12-Dec,-1.25,87.3
2,상신브레이크,41650,13-Dec,-3.896103896,87.315
3,상신브레이크,41650,14-Dec,1.282051282,87.805
4,상신브레이크,41650,15-Dec,-4,86.72
5,상신브레이크,41650,16-Dec,1.315789474,87.335
6,상신브레이크,41650,17-Dec,-1.333333333,88.505
7,상신브레이크,41650,18-Dec,3.846153846,89.65
8,상신브레이크,41650,19-Dec,0,89.98
0,상신이디피,91580,11-Dec,-1.176470588,79.665
1,상신이디피,91580,12-Dec,4.494382022,81.545
2,상신이디피,91580,13-Dec,-2.298850575,81.135
3,상신이디피,91580,14-Dec,-2.352941176,81.835
4,상신이디피,91580,15-Dec,3.409090909,82.075
5,상신이디피,91580,16-Dec,1.123595506,81.51
6,상신이디피,91580,17-Dec,-4.705882353,83.595
7,상신이디피,91580,18-Dec,-3.658536585,84.085
8,상신이디피,91580,19-Dec,2.380952381,86.18
0,상신전자,263810,17-Dec,,81.2
1,상신전자,263810,18-Dec,3.370786517,81.97
2,상신전자,263810,19-Dec,-1.136363636,81.8
0,상아프론테크,89980,11-Dec,,78.63
1,상아프론테크,89980,12-Dec,-2.469135802,79.75
2,상아프론테크,89980,13-Dec,-2.53164557,81.65
3,상아프론테크,89980,14-Dec,1.25,81.58
4,상아프론테크,89980,15-Dec,-2.564102564,81.36
5,상아프론테크,89980,16-Dec,1.265822785,82.3
6,상아프론테크,89980,17-Dec,-1.282051282,81.2
7,상아프론테크,89980,18-Dec,0,81.97
8,상아프론테크,89980,19-Dec,1.265822785,81.8
0,상지카일룸,42940,11-Dec,,89.535
1,상지카일룸,42940,12-Dec,,90.605
2,상지카일룸,42940,13-Dec,,90.66
3,상지카일룸,42940,14-Dec,,91.65
4,상지카일룸,42940,15-Dec,,90.545
5,상지카일룸,42940,16-Dec,,89.99
6,상지카일룸,42940,17-Dec,-23.07692308,90.27
7,상지카일룸,42940,18-Dec,-19.73684211,88.535
8,상지카일룸,42940,19-Dec,13.63636364,90.84
0,새로닉스,42600,11-Dec,4.494382022,78.63
1,새로닉스,42600,12-Dec,-2.298850575,79.75
2,새로닉스,42600,13-Dec,0,81.65
3,새로닉스,42600,14-Dec,-4.819277108,81.58
4,새로닉스,42600,15-Dec,-1.219512195,81.36
5,새로닉스,42600,16-Dec,3.529411765,82.3
6,새로닉스,42600,17-Dec,4.494382022,81.2
7,새로닉스,42600,18-Dec,-1.136363636,81.97
8,새로닉스,42600,19-Dec,4.347826087,81.8
0,새론오토모티브,75180,11-Dec,-1.204819277,86.155
1,새론오토모티브,75180,12-Dec,0,87.3
2,새론오토모티브,75180,13-Dec,-6.41025641,87.315
3,새론오토모티브,75180,14-Dec,0,87.805
4,새론오토모티브,75180,15-Dec,1.265822785,86.72
5,새론오토모티브,75180,16-Dec,0,87.335
6,새론오토모티브,75180,17-Dec,4.819277108,88.505
7,새론오토모티브,75180,18-Dec,2.352941176,89.65
8,새론오토모티브,75180,19-Dec,8.602150538,89.98
0,샘표,7540,11-Dec,3.225806452,72.41
1,샘표,7540,12-Dec,-8.771929825,73.05
2,샘표,7540,13-Dec,-3.636363636,72.785
3,샘표,7540,14-Dec,1.785714286,72.72
4,샘표,7540,15-Dec,-1.818181818,72.09
5,샘표,7540,16-Dec,-48.64864865,71.455
6,샘표,7540,17-Dec,30.18867925,72.655
7,샘표,7540,18-Dec,0,74.955
8,샘표,7540,19-Dec,0,79.39
0,샘표식품,248170,16-Dec,,71.455
1,샘표식품,248170,17-Dec,-3.773584906,72.655
2,샘표식품,248170,18-Dec,1.851851852,74.955
3,샘표식품,248170,19-Dec,-1.886792453,79.39
0,서린바이오사이언스,38070,11-Dec,,80.81
1,서린바이오사이언스,38070,12-Dec,,81.77
2,서린바이오사이언스,38070,13-Dec,,80.31
3,서린바이오사이언스,38070,14-Dec,-9.090909091,80.28
4,서린바이오사이언스,38070,15-Dec,8.333333333,81.66
5,서린바이오사이언스,38070,16-Dec,0,82.9
6,서린바이오사이언스,38070,17-Dec,-2.857142857,82.45
7,서린바이오사이언스,38070,18-Dec,1.408450704,83.32
8,서린바이오사이언스,38070,19-Dec,5.333333333,83.47
0,서부티엔디,6730,11-Dec,8,45.165
1,서부티엔디,6730,12-Dec,-19.04761905,41.78
2,서부티엔디,6730,13-Dec,-44.82758621,38.49
3,서부티엔디,6730,14-Dec,-7.407407407,44.815
4,서부티엔디,6730,15-Dec,,44.245
5,서부티엔디,6730,16-Dec,,46.28
6,서부티엔디,6730,17-Dec,,49.505
7,서부티엔디,6730,18-Dec,,47.625
8,서부티엔디,6730,19-Dec,,44.52
0,서산,79650,11-Dec,-9.210526316,83.085
1,서산,79650,12-Dec,-2.702702703,80.49
2,서산,79650,13-Dec,1.333333333,79.905
3,서산,79650,14-Dec,-4.166666667,80.78
4,서산,79650,15-Dec,-5.882352941,77.97
5,서산,79650,16-Dec,-1.492537313,79.26
6,서산,79650,17-Dec,15.18987342,81.73
7,서산,79650,18-Dec,12.22222222,82.22
8,서산,79650,19-Dec,3.225806452,84.125
0,서암기계공업,100660,11-Dec,,73.85
1,서암기계공업,100660,12-Dec,,75.13
2,서암기계공업,100660,13-Dec,,74.77
3,서암기계공업,100660,14-Dec,,76.93
4,서암기계공업,100660,15-Dec,,77.48
5,서암기계공업,100660,16-Dec,,78.73
6,서암기계공업,100660,17-Dec,,80.02
7,서암기계공업,100660,18-Dec,,81.15
8,서암기계공업,100660,19-Dec,,80.98
0,서연,7860,11-Dec,3.296703297,86.155
1,서연,7860,12-Dec,-2.247191011,87.3
2,서연,7860,13-Dec,-2.298850575,87.315
3,서연,7860,14-Dec,0,87.805
4,서연,7860,15-Dec,1.136363636,86.72
5,서연,7860,16-Dec,1.123595506,87.335
6,서연,7860,17-Dec,4.301075269,88.505
7,서연,7860,18-Dec,-2.197802198,89.65
8,서연,7860,19-Dec,-2.247191011,89.98
0,서연이화,200880,14-Dec,,87.805
1,서연이화,200880,15-Dec,-1.123595506,86.72
2,서연이화,200880,16-Dec,1.111111111,87.335
3,서연이화,200880,17-Dec,3.225806452,88.505
4,서연이화,200880,18-Dec,-2.197802198,89.65
5,서연이화,200880,19-Dec,-2.247191011,89.98
0,서연탑메탈,19770,11-Dec,,73.85
1,서연탑메탈,19770,12-Dec,2.247191011,75.13
2,서연탑메탈,19770,13-Dec,3.260869565,74.77
3,서연탑메탈,19770,14-Dec,-2.222222222,76.93
4,서연탑메탈,19770,15-Dec,3.225806452,77.48
5,서연탑메탈,19770,16-Dec,0,78.73
6,서연탑메탈,19770,17-Dec,1.063829787,80.02
7,서연탑메탈,19770,18-Dec,3.092783505,81.15
8,서연탑메탈,19770,19-Dec,0,80.98
0,서울도시가스,17390,11-Dec,1.098901099,91.06
1,서울도시가스,17390,12-Dec,0,91.5
2,서울도시가스,17390,13-Dec,1.086956522,92.2
3,서울도시가스,17390,14-Dec,0,91.89
4,서울도시가스,17390,15-Dec,-2.222222222,89.76
5,서울도시가스,17390,16-Dec,-2.272727273,87.27
6,서울도시가스,17390,17-Dec,0,87.11
7,서울도시가스,17390,18-Dec,1.123595506,87.65
8,서울도시가스,17390,19-Dec,-3.488372093,86.35
0,서울리거,43710,11-Dec,4.395604396,78.63
1,서울리거,43710,12-Dec,2.150537634,79.75
2,서울리거,43710,13-Dec,15.45454545,81.65
3,서울리거,43710,14-Dec,-15.78947368,81.58
4,서울리거,43710,15-Dec,-72.72727273,81.36
5,서울리거,43710,16-Dec,42.10526316,82.3
6,서울리거,43710,17-Dec,-6.741573034,81.2
7,서울리거,43710,18-Dec,-9.87654321,81.97
8,서울리거,43710,19-Dec,-8,81.8
0,서울반도체,46890,11-Dec,10.58823529,78.63
1,서울반도체,46890,12-Dec,-2.409638554,79.75
2,서울반도체,46890,13-Dec,-15.27777778,81.65
3,서울반도체,46890,14-Dec,10,81.58
4,서울반도체,46890,15-Dec,-5.263157895,81.36
5,서울반도체,46890,16-Dec,-1.333333333,82.3
6,서울반도체,46890,17-Dec,-1.351351351,81.2
7,서울반도체,46890,18-Dec,-1.369863014,81.97
8,서울반도체,46890,19-Dec,6.41025641,81.8
0,서울식품공업,4410,11-Dec,-7.407407407,72.41
1,서울식품공업,4410,12-Dec,-6.578947368,73.05
2,서울식품공업,4410,13-Dec,0,72.785
3,서울식품공업,4410,14-Dec,0,72.72
4,서울식품공업,4410,15-Dec,-2.702702703,72.09
5,서울식품공업,4410,16-Dec,,71.455
6,서울식품공업,4410,17-Dec,,72.655
7,서울식품공업,4410,18-Dec,,74.955
8,서울식품공업,4410,19-Dec,,79.39
0,서울옥션,63170,11-Dec,-9.230769231,80.81
1,서울옥션,63170,12-Dec,-10.16949153,81.77
2,서울옥션,63170,13-Dec,-31.11111111,80.31
3,서울옥션,63170,14-Dec,18.18181818,80.28
4,서울옥션,63170,15-Dec,6.779661017,81.66
5,서울옥션,63170,16-Dec,6.349206349,82.9
6,서울옥션,63170,17-Dec,5.970149254,82.45
7,서울옥션,63170,18-Dec,-13.55932203,83.32
8,서울옥션,63170,19-Dec,4.838709677,83.47
0,서울전자통신,27040,11-Dec,4.347826087,79.665
1,서울전자통신,27040,12-Dec,-1.098901099,81.545
2,서울전자통신,27040,13-Dec,-1.111111111,81.135
3,서울전자통신,27040,14-Dec,1.098901099,81.835
4,서울전자통신,27040,15-Dec,-5.813953488,82.075
5,서울전자통신,27040,16-Dec,4.444444444,81.51
6,서울전자통신,27040,17-Dec,4.255319149,83.595
7,서울전자통신,27040,18-Dec,1.052631579,84.085
8,서울전자통신,27040,19-Dec,-1.063829787,86.18
0,서울제약,18680,11-Dec,,41.73
1,서울제약,18680,12-Dec,,41.84
2,서울제약,18680,13-Dec,,43.25
3,서울제약,18680,14-Dec,,44.93
4,서울제약,18680,15-Dec,,48.21
5,서울제약,18680,16-Dec,,52.51
6,서울제약,18680,17-Dec,,52.32
7,서울제약,18680,18-Dec,,54.69
8,서울제약,18680,19-Dec,,57.6
0,서원,21050,11-Dec,3.092783505,90.89
1,서원,21050,12-Dec,0,91.46
2,서원,21050,13-Dec,2.02020202,91.98
3,서원,21050,14-Dec,-5.319148936,91.175
4,서원,21050,15-Dec,4.081632653,90.055
5,서원,21050,16-Dec,-8.888888889,89.125
6,서원,21050,17-Dec,0,90.23
7,서원,21050,18-Dec,3.225806452,91.965
8,서원,21050,19-Dec,0,92.405
0,서원인텍,93920,11-Dec,2.298850575,78.63
1,서원인텍,93920,12-Dec,-1.162790698,79.75
2,서원인텍,93920,13-Dec,0,81.65
3,서원인텍,93920,14-Dec,3.370786517,81.58
4,서원인텍,93920,15-Dec,1.111111111,81.36
5,서원인텍,93920,16-Dec,0,82.3
6,서원인텍,93920,17-Dec,1.098901099,81.2
7,서원인텍,93920,18-Dec,0,81.97
8,서원인텍,93920,19-Dec,-1.111111111,81.8
0,서전기전,189860,14-Dec,,81.835
1,서전기전,189860,15-Dec,6.849315068,82.075
2,서전기전,189860,16-Dec,0,81.51
3,서전기전,189860,17-Dec,,83.595
4,서전기전,189860,18-Dec,,84.085
5,서전기전,189860,19-Dec,,86.18
0,서진시스템,178320,17-Dec,,81.2
1,서진시스템,178320,18-Dec,-1.234567901,81.97
2,서진시스템,178320,19-Dec,-5.194805195,81.8
0,서진오토모티브,122690,11-Dec,,0
1,서진오토모티브,122690,12-Dec,,0
2,서진오토모티브,122690,13-Dec,0,0
3,서진오토모티브,122690,14-Dec,0,0
4,서진오토모티브,122690,15-Dec,1.052631579,0
5,서진오토모티브,122690,16-Dec,0,0
6,서진오토모티브,122690,17-Dec,1.041666667,0
7,서진오토모티브,122690,18-Dec,0,13.425
8,서진오토모티브,122690,19-Dec,-1.052631579,43.41
0,서플러스글로벌,140070,17-Dec,,82.45
1,서플러스글로벌,140070,18-Dec,7.042253521,83.32
2,서플러스글로벌,140070,19-Dec,14.45783133,83.47
0,서한,11370,11-Dec,,90.885
1,서한,11370,12-Dec,,91.785
2,서한,11370,13-Dec,,93.005
3,서한,11370,14-Dec,,92.97
4,서한,11370,15-Dec,,91.755
5,서한,11370,16-Dec,,90.575
6,서한,11370,17-Dec,,90.275
7,서한,11370,18-Dec,,89.78
8,서한,11370,19-Dec,,90.355
0,서호전기,65710,11-Dec,7.894736842,79.665
1,서호전기,65710,12-Dec,0,81.545
2,서호전기,65710,13-Dec,-2.702702703,81.135
3,서호전기,65710,14-Dec,1.333333333,81.835
4,서호전기,65710,15-Dec,7.407407407,82.075
5,서호전기,65710,16-Dec,-15.71428571,81.51
6,서호전기,65710,17-Dec,-48.93617021,83.595
7,서호전기,65710,18-Dec,9.615384615,84.085
8,서호전기,65710,19-Dec,18.75,86.18
0,서흥,8490,11-Dec,2.666666667,77.91
1,서흥,8490,12-Dec,7.407407407,80.41
2,서흥,8490,13-Dec,0,80.36
3,서흥,8490,14-Dec,0,79.71
4,서흥,8490,15-Dec,-2.53164557,77.5
5,서흥,8490,16-Dec,0,77.25
6,서흥,8490,17-Dec,0,78.45
7,서흥,8490,18-Dec,2.469135802,81.48
8,서흥,8490,19-Dec,-1.25,79.49
0,서희건설,35890,11-Dec,0,90.885
1,서희건설,35890,12-Dec,-1.086956522,91.785
2,서희건설,35890,13-Dec,-2.222222222,93.005
3,서희건설,35890,14-Dec,-2.272727273,92.97
4,서희건설,35890,15-Dec,0,91.755
5,서희건설,35890,16-Dec,-2.325581395,90.575
6,서희건설,35890,17-Dec,-2.380952381,90.275
7,서희건설,35890,18-Dec,3.448275862,89.78
8,서희건설,35890,19-Dec,-1.162790698,90.355
0,선광,3100,11-Dec,0,85.88
1,선광,3100,12-Dec,1.265822785,88.8
2,선광,3100,13-Dec,1.25,89.695
3,선광,3100,14-Dec,-6.666666667,89.995
4,선광,3100,15-Dec,5.063291139,91.325
5,선광,3100,16-Dec,1.25,81.79
6,선광,3100,17-Dec,-3.896103896,83.7
7,선광,3100,18-Dec,2.53164557,89.59
8,선광,3100,19-Dec,-8.219178082,90.975
0,선도전기,7610,11-Dec,-1.111111111,79.665
1,선도전기,7610,12-Dec,0,81.545
2,선도전기,7610,13-Dec,2.173913043,81.135
3,선도전기,7610,14-Dec,-1.098901099,81.835
4,선도전기,7610,15-Dec,-7.058823529,82.075
5,선도전기,7610,16-Dec,4.494382022,81.51
6,선도전기,7610,17-Dec,1.111111111,83.595
7,선도전기,7610,18-Dec,1.098901099,84.085
8,선도전기,7610,19-Dec,2.150537634,86.18
0,선앤엘,2820,11-Dec,-2.197802198,87.61
1,선앤엘,2820,12-Dec,2.150537634,88.94
2,선앤엘,2820,13-Dec,-2.197802198,87.48
3,선앤엘,2820,14-Dec,0,88.1
4,선앤엘,2820,15-Dec,-1.111111111,88.59
5,선앤엘,2820,16-Dec,-2.272727273,88.84
6,선앤엘,2820,17-Dec,3.296703297,90.14
7,선앤엘,2820,18-Dec,1.086956522,93.4
8,선앤엘,2820,19-Dec,1.075268817,90.59
0,선익시스템,171090,17-Dec,,81.2
1,선익시스템,171090,18-Dec,8.641975309,81.97
2,선익시스템,171090,19-Dec,-10.95890411,81.8
0,선진,136490,11-Dec,,72.41
1,선진,136490,12-Dec,,73.05
2,선진,136490,13-Dec,,72.785
3,선진,136490,14-Dec,2.352941176,72.72
4,선진,136490,15-Dec,0,72.09
5,선진,136490,16-Dec,-4.938271605,71.455
6,선진,136490,17-Dec,0,72.655
7,선진,136490,18-Dec,2.409638554,74.955
8,선진,136490,19-Dec,0,79.39
0,성광벤드,14620,11-Dec,2.53164557,90.89
1,성광벤드,14620,12-Dec,-11.26760563,91.46
2,성광벤드,14620,13-Dec,-2.898550725,91.98
3,성광벤드,14620,14-Dec,2.816901408,91.175
4,성광벤드,14620,15-Dec,8.974358974,90.055
5,성광벤드,14620,16-Dec,7.142857143,89.125
6,성광벤드,14620,17-Dec,12.5,90.23
7,성광벤드,14620,18-Dec,-5.494505495,91.965
8,성광벤드,14620,19-Dec,-10.97560976,92.405
0,성도이엔지,37350,11-Dec,3.529411765,89.535
1,성도이엔지,37350,12-Dec,-10.38961039,90.605
2,성도이엔지,37350,13-Dec,10.46511628,90.66
3,성도이엔지,37350,14-Dec,5.494505495,91.65
4,성도이엔지,37350,15-Dec,2.150537634,90.545
5,성도이엔지,37350,16-Dec,-3.333333333,89.99
