,회사명,거래소코드,회계년도,매출원가감소율,채울열
8,LS일렉트릭,10120,19-Dec,0,86.18
0,MH에탄올,23150,11-Dec,-2.41,59.36
1,MH에탄올,23150,12-Dec,-1.22,59.41
2,MH에탄올,23150,13-Dec,5.75,58.53
3,MH에탄올,23150,14-Dec,-14.47,60.8
4,MH에탄올,23150,15-Dec,-5.56,64.89
5,MH에탄올,23150,16-Dec,-4.35,65.23
6,MH에탄올,23150,17-Dec,4.17,68.2
7,MH에탄올,23150,18-Dec,2.7,66.59
8,MH에탄올,23150,19-Dec,-10.45,68.22
0,OCI,10060,11-Dec,3.076923077,77.91
1,OCI,10060,12-Dec,22.61904762,80.41
2,OCI,10060,13-Dec,8.695652174,80.36
3,OCI,10060,14-Dec,-9.523809524,79.71
4,OCI,10060,15-Dec,12.5,77.5
5,OCI,10060,16-Dec,-9.090909091,77.25
6,OCI,10060,17-Dec,-2.325581395,78.45
7,OCI,10060,18-Dec,2.272727273,81.48
8,OCI,10060,19-Dec,10.20408163,79.49
0,SH에너지화학,2360,11-Dec,2.15,77.91
1,SH에너지화학,2360,12-Dec,-1.09,80.41
2,SH에너지화학,2360,13-Dec,0,80.36
3,SH에너지화학,2360,14-Dec,-6.98,79.71
4,SH에너지화학,2360,15-Dec,-3.61,77.5
5,SH에너지화학,2360,16-Dec,-1.22,77.25
6,SH에너지화학,2360,17-Dec,4.65,78.45
7,SH에너지화학,2360,18-Dec,7.53,81.48
8,SH에너지화학,2360,19-Dec,2.11,79.49
0,SIMPAC,9160,11-Dec,0,73.85
1,SIMPAC,9160,12-Dec,2.47,75.13
2,SIMPAC,9160,13-Dec,-1.25,74.77
3,SIMPAC,9160,14-Dec,4.76,76.93
4,SIMPAC,9160,15-Dec,-2.44,77.48
5,SIMPAC,9160,16-Dec,0,78.73
6,SIMPAC,9160,17-Dec,2.38,80.02
7,SIMPAC,9160,18-Dec,5.62,81.15
8,SIMPAC,9160,19-Dec,1.11,80.98
0,SK이노베이션,96770,11-Dec,0,0
1,SK이노베이션,96770,12-Dec,2.105263158,0
2,SK이노베이션,96770,13-Dec,0,0
3,SK이노베이션,96770,14-Dec,3.06122449,0
4,SK이노베이션,96770,15-Dec,-7.692307692,0
5,SK이노베이션,96770,16-Dec,-4.597701149,0
6,SK이노베이션,96770,17-Dec,1.136363636,0
7,SK이노베이션,96770,18-Dec,5.376344086,0
8,SK이노베이션,96770,19-Dec,1.063829787,0
0,SNT모티브,64960,11-Dec,4.545454545,86.155
1,SNT모티브,64960,12-Dec,1.123595506,87.3
2,SNT모티브,64960,13-Dec,-1.136363636,87.315
3,SNT모티브,64960,14-Dec,-2.325581395,87.805
4,SNT모티브,64960,15-Dec,-4.87804878,86.72
5,SNT모티브,64960,16-Dec,3.529411765,87.335
6,SNT모티브,64960,17-Dec,0,88.505
7,SNT모티브,64960,18-Dec,2.298850575,89.65
8,SNT모티브,64960,19-Dec,-3.571428571,89.98
0,SNT에너지,100840,11-Dec,0,73.85
1,SNT에너지,100840,12-Dec,0,75.13
2,SNT에너지,100840,13-Dec,0,74.77
3,SNT에너지,100840,14-Dec,0,76.93
4,SNT에너지,100840,15-Dec,0,77.48
5,SNT에너지,100840,16-Dec,0,78.73
6,SNT에너지,100840,17-Dec,0,80.02
7,SNT에너지,100840,18-Dec,0,81.15
8,SNT에너지,100840,19-Dec,0,80.98
0,SNT중공업,3570,11-Dec,1.176470588,86.155
1,SNT중공업,3570,12-Dec,2.298850575,87.3
2,SNT중공업,3570,13-Dec,5.434782609,87.315
3,SNT중공업,3570,14-Dec,4.166666667,87.805
4,SNT중공업,3570,15-Dec,-9.090909091,86.72
5,SNT중공업,3570,16-Dec,7.368421053,87.335
6,SNT중공업,3570,17-Dec,-1.063829787,88.505
7,SNT중공업,3570,18-Dec,-6.818181818,89.65
8,SNT중공업,3570,19-Dec,2.222222222,89.98
0,SNT홀딩스,36530,11-Dec,3.448275862,0
1,SNT홀딩스,36530,12-Dec,1.136363636,0
2,SNT홀딩스,36530,13-Dec,-1.149425287,0
3,SNT홀딩스,36530,14-Dec,2.247191011,0
4,SNT홀딩스,36530,15-Dec,-7.228915663,0
5,SNT홀딩스,36530,16-Dec,4.597701149,0
6,SNT홀딩스,36530,17-Dec,-1.162790698,0
7,SNT홀딩스,36530,18-Dec,1.149425287,0
8,SNT홀딩스,36530,19-Dec,-2.352941176,0
0,STX,11810,11-Dec,-1.086956522,80.81
1,STX,11810,12-Dec,10.67961165,81.77
2,STX,11810,13-Dec,19.53125,80.31
3,STX,11810,14-Dec,-37.6344086,80.28
4,STX,11810,15-Dec,4.12371134,81.66
5,STX,11810,16-Dec,-2.105263158,82.9
6,STX,11810,17-Dec,0,82.45
7,STX,11810,18-Dec,4.04040404,83.32
8,STX,11810,19-Dec,-2.06185567,83.47
0,STX엔진,77970,11-Dec,0,73.85
1,STX엔진,77970,12-Dec,4.444444444,75.13
2,STX엔진,77970,13-Dec,7.216494845,74.77
3,STX엔진,77970,14-Dec,-3.191489362,76.93
4,STX엔진,77970,15-Dec,,77.48
5,STX엔진,77970,16-Dec,,78.73
6,STX엔진,77970,17-Dec,-1.111111111,80.02
7,STX엔진,77970,18-Dec,-3.448275862,81.15
