,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
392,기산텔레콤,35460,Dec-11,10.11235955,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
401,까뮤이앤씨,13700,Dec-11,0,90.885,91.785,93.005,92.97,91.755,90.575,90.275,89.78,90.355
410,까스텔바작,308100,Dec-19,0,45.165,41.78,38.49,44.815,44.245,46.28,49.505,47.625,44.52
411,나노,187790,Dec-14,0,0,0,0,0,0,0,0,13.425,43.41
417,나노브릭,286750,Dec-19,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
418,나노신소재,121600,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
427,나노엔텍,39860,Dec-11,12.76595745,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
436,나무가,190510,Dec-15,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
441,나스미디어,89600,Dec-13,0,0,0,0,0,0,0,0,0,0
448,나이벡,138610,Dec-11,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
457,나이스디앤비,130580,Dec-11,0,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
466,나이스홀딩스,34310,Dec-11,0,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
475,나인테크,267320,Dec-17,0,0,0,0,0,0,0,0,13.425,43.41
478,남선알미늄,8350,Dec-11,1.098901099,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
487,남성,4270,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
496,내츄럴엔도텍,168330,Dec-13,0,0,0,0,0,0,3.42,27.81,50.99,50.43
503,네오리진,94860,Dec-11,2.409638554,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
512,네오셈,253590,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
514,네오오토,212560,Dec-15,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
519,네오위즈,95660,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
528,네오위즈홀딩스,42420,Dec-11,0,0,0,0,0,0,0,0,0,0
537,네오크레마,311390,Dec-19,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
538,네오티스,85910,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
547,네오팜,92730,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
556,네오펙트,290660,Dec-18,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
558,네온테크,306620,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
560,네이블커뮤니케이션즈,153460,Dec-12,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
568,네이처셀,7390,Dec-11,0,59.36,59.41,58.53,60.8,64.89,65.23,68.2,66.59,68.22
577,네패스,33640,Dec-11,2.409638554,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
586,넥센,5720,Dec-11,3.488372093,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
595,넥스턴바이오사이언스,89140,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
604,넥스트아이,137940,Dec-11,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
613,넥스트엔터테인먼트월드,160550,Dec-14,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
619,넥슨게임즈,225570,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
624,넵튠,217270,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
629,노랑풍선,104620,Dec-19,0,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
630,노루페인트,90350,Dec-11,1.234567901,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
639,노루홀딩스,320,Dec-11,1.25,0,0,0,0,0,0,0,0,0
648,노바렉스,194700,Dec-18,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
650,노바텍,285490,Dec-18,0,0,0,0,47.18,42.81,42.29,75.06,80.08,76.34
652,노블엠앤비,106520,Dec-12,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
660,노터스,278650,Dec-19,0,0,0,0,0,0,3.42,27.81,50.99,50.43
661,녹십자,6280,Dec-11,10.60606061,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
670,녹십자엠에스,142280,Dec-14,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
676,녹십자웰빙,234690,Dec-19,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
677,녹십자홀딩스,5250,Dec-11,9.230769231,0,0,0,0,0,0,0,0,0
686,녹원씨엔아이,65560,Dec-11,-2.985074627,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
