,회사명,거래소코드,회계년도,매출원가감소율,2011.mid,2012.mid,2013.mid,2014.mid,2015.mid,2016.mid,2017.mid,2018.mid,2019.mid
3740,아이센스,99190,Dec-13,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
3747,아이스크림에듀,289010,Dec-19,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3748,아이씨디,40910,Sep-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
3757,아이앤씨테크놀로지,52860,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3766,아이에스시,95340,Dec-11,-4.761904762,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3775,아이에스이커머스,69920,Dec-11,4.545454545,45.165,41.78,38.49,44.815,44.245,46.28,49.505,47.625,44.52
3784,아이에이,38880,Dec-11,26.43678161,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3793,아이에이치큐,3560,Dec-11,-6.666666667,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
3802,아이엘사이언스,307180,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
3804,아이엠,101390,Dec-11,2.197802198,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
3813,아이엠비씨,52220,Dec-11,0,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
3822,아이오케이컴퍼니,78860,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3831,아이윈,90150,Dec-11,-1.219512195,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
3840,아이윈플러스,123010,Dec-16,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3844,아이즈비전,31310,Dec-11,1.098901099,45.165,41.78,38.49,44.815,44.245,46.28,49.505,47.625,44.52
3853,아이컴포넌트,59100,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3862,아이톡시,52770,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3871,아이티센,124500,Mar-15,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
3876,아이티엑스에이아이,99520,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3885,아이티엠반도체,84850,Dec-19,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3886,아즈텍더블유비이,32080,Dec-11,0,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
3895,아진엑스텍,59120,Dec-14,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3901,아톤,158430,Dec-19,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3902,아프리카티비,67160,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3911,안랩,53800,Dec-11,27.5862069,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3920,안트로젠,65660,Dec-16,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
3924,알로이스,297570,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
3926,알루코,1780,Dec-11,5.681818182,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
3935,알에프세미,96610,Dec-11,-1.5625,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3944,알에프텍,61040,Dec-11,1.136363636,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3953,알엔투테크놀로지,148250,Dec-16,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3957,알테오젠,196170,Dec-14,0,0,0,0,0,0,3.42,27.81,50.99,50.43
3963,알톤스포츠,123750,Dec-11,0,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
3972,알티캐스트,85810,Dec-13,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
3979,알파홀딩스,117670,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
3988,애니플러스,310200,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
3990,애드바이오텍,179530,Dec-19,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
3991,액션스퀘어,205500,Dec-14,0,0,0,0,0,0,0,0,13.425,43.41
3997,액토즈소프트,52790,Dec-11,1.515151515,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4006,액트로,290740,Dec-18,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4008,앤디포스,238090,Dec-16,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
4012,앤씨앤,92600,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4021,야스,255440,Dec-17,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4024,양지사,30960,Jun-11,0,69.55,79.35,77.89,74.66,80.94,69.725,70.57,76.77,78.06
4033,어스앤에어로스페이스,263540,Dec-17,0,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
4036,얼라인드제네틱스,238120,Dec-16,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
4040,에너토크,19990,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4049,에넥스,11090,Dec-11,-3.703703704,68.32,70.99,72.77,73.1,75.54,75.33,71.71,73.37,72.68
4058,에스디생명공학,217480,Dec-17,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4061,에스디시스템,121890,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4070,에스비에스,34120,Dec-11,-18.18181818,56.11,61.55,61.26,65.28,66.25,68.88,64.91,65.53,67.59
4079,에스비에스콘텐츠허브,46140,Dec-11,4.938271605,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
4088,에스씨디,42110,Dec-11,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
4097,에스아이리소스,65420,Dec-11,-15.25423729,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
4106,에스앤더블류,103230,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4115,에스앤에스텍,101490,Dec-11,2.777777778,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4124,에스에너지,95910,Dec-11,3.260869565,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
4133,에스에스알,275630,Dec-18,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4135,에스에이엠티,31330,Dec-11,1.041666667,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4144,에스에이티,60540,Dec-11,-3.947368421,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
4153,에스에프에이,56190,Dec-11,-5,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4162,에스에프에이반도체,36540,Dec-11,1.111111111,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4171,에스엘바이오닉스,214310,Dec-15,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4176,에스엠라이프디자인그룹,63440,Dec-11,0,69.55,79.35,77.89,74.66,80.94,69.725,70.57,76.77,78.06
4185,에스엠벡셀,10580,Dec-11,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
4194,에스엠엔터테인먼트,41510,Dec-11,10,69.55,79.35,77.89,74.66,80.94,69.725,70.57,76.77,78.06
4203,에스엠컬처앤콘텐츠,48550,Dec-11,#NAME?,0,16.675,24.03,3.835,3.72,1.06,0,1.985,2.785
4212,에스엠코어,7820,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4221,에스원,12750,Dec-11,1.639344262,73.195,76.1,73.785,82.65,89.585,84.625,79.27,75.61,74.45
4230,에스제이그룹,306040,Dec-19,0,90.435,94.07,93.14,45.115,91.32,80.645,80.12,79.695,77.55
4231,에스제이엠,123700,Dec-11,-1.369863014,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
4240,에스제이엠홀딩스,25530,Dec-11,-1.388888889,0,0,0,0,0,0,0,0,0
4249,에스지글로벌,1380,Dec-11,5.555555556,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
4258,에스지세계물산,4060,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4267,에스지엔지,40610,Dec-11,-2.469135802,91.1,91.44,92.89,91.51,90.67,90.72,92.38,92.23,91.62
4276,에스코넥,96630,Dec-11,2.469135802,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4285,에스텍파마,41910,Dec-11,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4294,에스티아이,39440,Dec-11,2.325581395,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4303,에스티오,98660,Dec-11,-6.060606061,40.48,42.2,41.28,44.43,44.29,43.36,45.09,44.83,43.36
4312,에스티큐브,52020,Dec-11,10.52631579,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4321,에스폴리텍,50760,Dec-11,2.298850575,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
4330,에스피시스템스,317830,Dec-19,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4331,에스피씨삼립,5610,Dec-11,5.479452055,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
4340,에스피지,58610,Dec-11,3.75,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
4349,에쎈테크,43340,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4358,에이디칩스,54630,Dec-11,-1.234567901,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4367,에이디테크놀로지,200710,Dec-14,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4373,에이루트,96690,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4382,에이블씨엔씨,78520,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4391,에이비프로바이오,195990,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4396,에이스침대,3800,Dec-11,0,68.32,70.99,72.77,73.1,75.54,75.33,71.71,73.37,72.68
4405,에이스테크놀로지,88800,Dec-11,5.434782609,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4414,에이스토리,241840,Dec-19,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
4415,에이엔피,15260,Dec-11,2.197802198,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4424,에이치비테크놀러지,78150,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4433,에이치시티,72990,Dec-16,0,85.355,84.965,83.825,85.75,83.845,86.755,83.805,83.645,73.735
4437,에이치알에스,36640,Dec-11,-1.298701299,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4446,에이치앤비디자인,227100,Dec-18,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
4448,에이치엘사이언스,239610,Dec-16,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
4452,에이치케이,44780,Dec-11,-6.329113924,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4461,에이텍,45660,Dec-11,-5,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4470,에이텍티앤,224110,Dec-15,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4475,에이트원,230980,Dec-16,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4479,에이티세미콘,89530,Dec-11,0,73.195,76.1,73.785,82.65,89.585,84.625,79.27,75.61,74.45
4488,에이팩트,200470,Dec-14,0,73.195,76.1,73.785,82.65,89.585,84.625,79.27,75.61,74.45
4494,에이프로젠,7460,Dec-11,9.375,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
4503,에이프로젠헬스케어앤게임즈,109960,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4512,에치에프알,230240,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
4517,에코마케팅,230360,Dec-16,0,0,0,0,0,0,0,0,0,0
4521,에코프로,86520,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4530,에코프로비엠,247540,Dec-16,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
4533,에프알텍,73540,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4542,에프앤리퍼블릭,64090,Dec-11,5.747126437,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4551,에프앤에프홀딩스,7700,Dec-11,5.128205128,40.48,42.2,41.28,44.43,44.29,43.36,45.09,44.83,43.36
4560,에프에스엔,214270,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
4565,에프에스티,36810,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4574,에프엔씨엔터테인먼트,173940,Dec-14,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
4580,엑사이엔씨,54940,Dec-11,2.298850575,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4589,엑세스바이오인코퍼레이션,950130,Dec-13,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4596,엑셈,205100,Dec-14,0,0,0,0,0,0,0,0,13.425,43.41
4602,엑시콘,92870,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4607,엔바이오니아,317870,Dec-19,0,0,0,0,47.18,42.81,42.29,75.06,80.08,76.34
4608,엔씨소프트,36570,Dec-11,17.39130435,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
4617,엔아이스틸,8260,Dec-11,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
4626,엔에스,217820,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4631,엔에스엔,31860,Dec-11,4.395604396,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
4640,엔에이치엔벅스,104200,Dec-11,-8.474576271,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
4649,엔이능률,53290,Dec-11,-6.52173913,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4658,엔지스테크널러지,208860,Dec-16,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4662,엔지켐생명과학,183490,Dec-18,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4664,엔케이,85310,Dec-11,-2.409638554,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
4673,엔케이맥스,182400,Dec-15,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4678,엔텔스,69410,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4687,엔투텍,227950,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
4691,엔피,291230,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
4693,엔피케이,48830,Dec-11,2.173913043,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4702,엘디티,96870,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4711,엘아이에스,138690,Dec-11,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4720,엘앤씨바이오,290650,Dec-18,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
4722,엘앤에프,66970,Dec-11,1.063829787,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4731,엘앤케이바이오메드,156100,Dec-16,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
4735,엘에스,6260,Dec-11,2.222222222,0,0,0,0,0,0,0,0,0
4744,엘에스네트웍스,680,Dec-11,2,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4753,엘에프,93050,Dec-11,5.263157895,40.48,42.2,41.28,44.43,44.29,43.36,45.09,44.83,43.36
4762,엘엑스세미콘,108320,Dec-11,5.194805195,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4771,엘엑스인터내셔널,1120,Dec-11,1.041666667,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4780,엘엑스하우시스,108670,Dec-11,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
4789,엘엠에스,73110,Dec-11,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
4798,엘오티베큠,83310,Dec-11,2.777777778,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4807,엘지,3550,Dec-11,7.317073171,0,0,0,0,0,0,0,0,0
4816,엘지생활건강,51900,Dec-11,6,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4825,엘지유플러스,32640,Dec-11,0,44.24,43.985,47.1,44.345,43.1,38.07,33.39,32.855,42.375
4834,엘지헬로비전,37560,Dec-12,0,56.11,61.55,61.26,65.28,66.25,68.88,64.91,65.53,67.59
4842,엘지화학,51910,Dec-11,3.658536585,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
4851,엠게임,58630,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4860,엠디에스테크,86960,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4869,엠씨넥스,97520,Dec-12,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4877,엠아이텍,179290,Dec-18,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
4879,엠에스씨,9780,Dec-11,-1.219512195,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
4888,엠에스오토텍,123040,Dec-11,15.85365854,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
4897,엠투엔,33310,Dec-11,0,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
4906,엠플러스,259630,Dec-17,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4909,엠피대산,65150,Dec-11,-6.349206349,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4918,연우,115960,Dec-15,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
4923,연이비앤티,90740,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
4932,영우디에스피,143540,Dec-14,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
4938,영원무역,111770,Dec-11,-5.633802817,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4947,영원무역홀딩스,9970,Dec-11,-3.389830508,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
4956,영풍,670,Dec-11,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
4965,영흥,12160,Dec-11,0,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
4974,예림당,36000,Dec-11,5.405405405,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
4983,예선테크,250930,Dec-16,0,0,0,0,0,0,0,0,13.425,43.41
4987,예스코홀딩스,15360,Dec-11,2.197802198,91.06,91.5,92.2,91.89,89.76,87.27,87.11,87.65,86.35
4996,예스티,122640,Dec-15,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5001,오공,45060,Dec-11,2.469135802,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
5010,오디텍,80520,Dec-11,20.68965517,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5019,오뚜기,7310,Dec-11,1.282051282,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
5028,오르비텍,46120,Dec-11,0,85.355,84.965,83.825,85.75,83.845,86.755,83.805,83.645,73.735
5037,오리엔탈정공,14940,Dec-11,22.60869565,82.98,82.985,88,91.475,88.85,87.545,88.54,91.865,90.035
5046,오리엔트바이오,2630,Mar-11,1.333333333,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
5055,오리엔트정공,65500,Dec-11,0,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
5064,오리온,271560,Dec-17,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
5067,오리온홀딩스,1800,Dec-11,1.785714286,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
5076,오리콤,10470,Dec-11,1.851851852,0,0,0,0,0,0,0,0,0
5085,오스코텍,39200,Dec-11,4.761904762,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
5094,오스테오닉,226400,Dec-18,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
5096,오스템,31510,Dec-11,-1.219512195,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
5105,오이솔루션,138080,Dec-14,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5111,오킨스전자,80580,Dec-14,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5117,오텍,67170,Dec-11,1.149425287,86.155,87.3,87.315,87.805,86.72,87.335,88.505,89.65,89.98
5126,오파스넷,173130,Dec-18,0,76.05,72.2,75.75,79.68,81.79,82.04,83.55,84.35,82.22
5128,오픈베이스,49480,Dec-11,6.493506494,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
5137,오하임아이엔티,309930,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
5139,옵투스제약,131030,Dec-11,0,0,0,0,0,0,0,0,13.425,43.41
5148,옵트론텍,82210,Dec-11,0,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
5157,옵티팜,153710,Dec-18,0,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
5159,와이비엠넷,57030,Dec-11,3.703703704,9.49,39.415,36.13,32.89,8.75,8.05,7.08,0,0
5168,와이솔,122990,Dec-11,14.66666667,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5177,와이어블,65530,Dec-11,0,44.24,43.985,47.1,44.345,43.1,38.07,33.39,32.855,42.375
5186,와이엔텍,67900,Dec-11,0,75.885,77,74.815,78.1,74.22,71.295,71.885,71.2,67.555
5195,와이오엠,66430,Jun-11,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
5204,와이제이엠게임즈,193250,Dec-14,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5210,와이즈버즈,273060,Dec-17,0,0,0,0,0,0,0,0,13.425,43.41
5213,와이지-원,19210,Dec-11,-4.615384615,82.3,81.985,81.55,81.985,83.13,82.425,84.185,84.755,85.49
5222,와이지엔터테인먼트,122870,Dec-11,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
5231,와이지플러스,37270,Dec-11,-14.28571429,0,0,0,0,0,0,0,0,0
5240,와이투솔루션,11690,Dec-11,4.255319149,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5249,와이티엔,40300,Dec-11,0,71.99,72.91,65.99,77.07,68.27,74.71,83.56,84.29,89.85
5258,용평리조트,70960,Dec-16,0,0,0,0,0,0,76.7,77.36,77.05,89.78
5262,우리기술,32820,Dec-11,20.33898305,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
5271,우리넷,115440,Dec-11,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5280,우리로,46970,Dec-12,0,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5288,우성,6980,Dec-11,1.176470588,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
5297,우신시스템,17370,Dec-11,2.380952381,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5306,우양,103840,Dec-19,0,72.41,73.05,72.785,72.72,72.09,71.455,72.655,74.955,79.39
5307,우정바이오,215380,Dec-15,0,0,0,0,0,0,0,0,13.425,43.41
5312,우일렉트로닉스,65680,Dec-11,10.66666667,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5321,우진,105840,Dec-11,1.428571429,0,35.05,48.57,50.39,49.29,56.81,64.32,63.41,64.46
5330,우진아이엔에스,10400,Dec-18,0,89.535,90.605,90.66,91.65,90.545,89.99,90.27,88.535,90.84
5332,우진플라임,49800,Dec-11,-1.315789474,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5341,웅진,16880,Dec-11,0,0,0,0,0,0,0,0,0,0
5350,웅진씽크빅,95720,Dec-11,7.142857143,39.575,41.175,43.375,44.96,56.37,53.67,54.175,47.75,53.78
5359,원림,5820,Dec-11,0,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
5368,원바이오젠,307280,Dec-18,0,0,0,0,0,0,0,0,13.425,43.41
5370,원익,32940,Dec-11,2.631578947,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
5379,원익머트리얼즈,104830,Dec-11,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
5388,원익아이피에스,240810,Dec-16,0,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5392,원익큐브,14190,Dec-11,0,80.81,81.77,80.31,80.28,81.66,82.9,82.45,83.32,83.47
5401,원익큐엔씨,74600,Dec-11,-8.333333333,83.085,80.49,79.905,80.78,77.97,79.26,81.73,82.22,84.125
5410,원익피앤이,131390,Dec-11,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
5419,원익홀딩스,30530,Dec-11,2.857142857,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5428,원일특강,12620,Dec-11,1.098901099,90.89,91.46,91.98,91.175,90.055,89.125,90.23,91.965,92.405
5437,원풍,8370,Dec-11,0,82.36,81.89,80.455,81.39,80.885,79.14,82.615,83.27,81.665
5446,월덱스,101160,Dec-11,5.555555556,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5455,웨이버스,336060,Dec-19,0,0,0,0,0,0,0,0,13.425,43.41
5456,웨이브일렉트로닉스,95270,Dec-11,10.95890411,78.63,79.75,81.65,81.58,81.36,82.3,81.2,81.97,81.8
5465,웰크론,65950,Dec-11,-1.428571429,89.195,90.545,88.935,89.09,88.755,87.06,91.84,92.455,90.715
5474,웰크론한텍,76080,Dec-11,-8,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5483,웹스,196700,Dec-15,0,77.91,80.41,80.36,79.71,77.5,77.25,78.45,81.48,79.49
5488,웹젠,69080,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
5497,위니아,71460,Dec-16,0,79.665,81.545,81.135,81.835,82.075,81.51,83.595,84.085,86.18
5501,위닉스,44340,Dec-11,3.260869565,73.85,75.13,74.77,76.93,77.48,78.73,80.02,81.15,80.98
5510,위메이드,112040,Dec-11,0,5.55,9.16,9.26,9.49,26.25,32.73,35.91,40.29,47.1
