,회사명,거래소코드,회계년도,산업코드,산업명,2011,2012,2013,2014,2015,2016,2017,2018,2019
3651,(주)아미노로직스,74430,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3660,(주)아바코,83930,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
3669,(주)아바텍,149950,Dec-12,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3677,(주)아세아텍,50860,Jun-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
3686,(주)아센디오,12170,Dec-11,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3695,(주)아스타,246720,Dec-17,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
3698,(주)아스트,67390,Dec-14,33103,  기타 운송장비 제조업,,,,,,,,,
3704,(주)아시아경제,127710,Dec-15,106301,  정보서비스업,,,,,,,,,
3709,(주)아우딘퓨쳐스,227610,Dec-17,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
3712,(주)아이디스,143160,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3721,(주)아이디스홀딩스,54800,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3730,(주)아이마켓코리아,122900,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
3739,(주)아이비김영,339950,Dec-19,117201,  기타금융업,,,,,,,,,
3740,(주)아이센스,99190,Dec-13,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
3747,(주)아이스크림에듀,289010,Dec-19,105801,  출판업,,,,,,,,,
3748,(주)아이씨디,40910,Sep-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
3757,(주)아이앤씨테크놀로지,52860,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3766,(주)아이에스시,95340,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3775,(주)아이에스이커머스,69920,Dec-11,74709,  소매업; 자동차 제외,,,,,,,,,
3784,(주)아이에이,38880,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3793,(주)아이에이치큐,3560,Dec-11,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
3802,(주)아이엘사이언스,307180,Dec-18,117201,  기타금융업,,,,,,,,,
3804,(주)아이엠,101390,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
3813,(주)아이엠비씨,52220,Dec-11,106301,  정보서비스업,,,,,,,,,
3822,(주)아이오케이컴퍼니,78860,Dec-11,105802,  출판업,,,,,,,,,
3831,(주)아이윈,90150,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
3840,(주)아이윈플러스,123010,Dec-16,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3844,(주)아이즈비전,31310,Dec-11,74709,  소매업; 자동차 제외,,,,,,,,,
3853,(주)아이컴포넌트,59100,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3862,(주)아이톡시,52770,Dec-11,105802,  출판업,,,,,,,,,
3871,(주)아이티센,124500,Mar-15,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
3876,(주)아이티엑스에이아이,99520,Dec-11,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3885,(주)아이티엠반도체,84850,Dec-19,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3886,(주)아즈텍더블유비이,32080,Dec-11,31304,  섬유제품 제조업; 의복제외,,,,,,,,,
3895,(주)아진엑스텍,59120,Dec-14,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3901,(주)아톤,158430,Dec-19,105802,  출판업,,,,,,,,,
3902,(주)아프리카티비,67160,Dec-11,105802,  출판업,,,,,,,,,
3911,(주)안랩,53800,Dec-11,105802,  출판업,,,,,,,,,
3920,(주)안트로젠,65660,Dec-16,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
3924,(주)알로이스,297570,Dec-18,117201,  기타금융업,,,,,,,,,
3926,(주)알루코,1780,Dec-11,32402,  1차 금속 제조업,,,,,,,,,
3935,(주)알에프세미,96610,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3944,(주)알에프텍,61040,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3953,(주)알엔투테크놀로지,148250,Dec-16,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3957,(주)알테오젠,196170,Dec-14,137001,  연구개발업,,,,,,,,,
3963,(주)알톤스포츠,123750,Dec-11,33109,  기타 운송장비 제조업,,,,,,,,,
3972,(주)알티캐스트,85810,Dec-13,105802,  출판업,,,,,,,,,
3979,(주)알파홀딩스,117670,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
3988,(주)애니플러스,310200,Dec-18,117201,  기타금융업,,,,,,,,,
3990,(주)애드바이오텍,179530,Dec-19,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
3991,(주)액션스퀘어,205500,Dec-14,117201,  기타금융업,,,,,,,,,
3997,(주)액토즈소프트,52790,Dec-11,105802,  출판업,,,,,,,,,
4006,(주)액트로,290740,Dec-18,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4008,(주)앤디포스,238090,Dec-16,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
4012,(주)앤씨앤,92600,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4021,(주)야스,255440,Dec-17,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4024,(주)양지사,30960,Jun-11,31801,  인쇄 및 기록매체 복제업,,,,,,,,,
4033,(주)어스앤에어로스페이스,263540,Dec-17,33103,  기타 운송장비 제조업,,,,,,,,,
4036,(주)얼라인드제네틱스,238120,Dec-16,32703,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
4040,(주)에너토크,19990,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
4049,(주)에넥스,11090,Dec-11,33201,  가구 제조업,,,,,,,,,
4058,(주)에스디생명공학,217480,Dec-17,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4061,(주)에스디시스템,121890,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4070,(주)에스비에스,34120,Dec-11,106002,  방송업,,,,,,,,,
4079,(주)에스비에스콘텐츠허브,46140,Dec-11,106301,  정보서비스업,,,,,,,,,
4088,(주)에스씨디,42110,Dec-11,32805,  전기장비 제조업,,,,,,,,,
4097,(주)에스아이리소스,65420,Dec-11,31302,  섬유제품 제조업; 의복제외,,,,,,,,,
4106,(주)에스앤더블류,103230,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
4115,(주)에스앤에스텍,101490,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4124,(주)에스에너지,95910,Dec-11,32801,  전기장비 제조업,,,,,,,,,
4133,(주)에스에스알,275630,Dec-18,105802,  출판업,,,,,,,,,
4135,(주)에스에이엠티,31330,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
4144,(주)에스에이티,60540,Dec-11,32702,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
4153,(주)에스에프에이,56190,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4162,(주)에스에프에이반도체,36540,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4171,(주)에스엘바이오닉스,214310,Dec-15,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4176,(주)에스엠라이프디자인그룹,63440,Dec-11,31802,  인쇄 및 기록매체 복제업,,,,,,,,,
4185,(주)에스엠벡셀,10580,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
4194,(주)에스엠엔터테인먼트,41510,Dec-11,31802,  인쇄 및 기록매체 복제업,,,,,,,,,
4203,(주)에스엠컬처앤콘텐츠,48550,Dec-11,147502,  사업지원 서비스업,,,,,,,,,
4212,(주)에스엠코어,7820,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
4221,(주)에스원,12750,Dec-11,137309,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,
4230,(주)에스제이그룹,306040,Dec-19,31501,"  가죽, 가방 및 신발 제조업",,,,,,,,,
4231,(주)에스제이엠,123700,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
4240,(주)에스제이엠홀딩스,25530,Dec-11,137105,  전문 서비스업,,,,,,,,,
4249,(주)에스지글로벌,1380,Dec-11,31301,  섬유제품 제조업; 의복제외,,,,,,,,,
4258,(주)에스지세계물산,4060,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
4267,(주)에스지엔지,40610,Dec-11,84904,  육상운송 및 파이프라인 운송업,,,,,,,,,
4276,(주)에스코넥,96630,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4285,(주)에스텍파마,41910,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
4294,(주)에스티아이,39440,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4303,(주)에스티오,98660,Dec-11,31401,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,
4312,(주)에스티큐브,52020,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4321,(주)에스폴리텍,50760,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
4330,(주)에스피시스템스,317830,Dec-19,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4331,(주)에스피씨삼립,5610,Dec-11,31007,  식료품 제조업,,,,,,,,,
4340,(주)에스피지,58610,Dec-11,32801,  전기장비 제조업,,,,,,,,,
4349,(주)에쎈테크,43340,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
4358,(주)에이디칩스,54630,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
4367,(주)에이디테크놀로지,200710,Dec-14,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4373,(주)에이루트,96690,Dec-11,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4382,(주)에이블씨엔씨,78520,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4391,(주)에이비프로바이오,195990,Dec-15,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4396,(주)에이스침대,3800,Dec-11,33201,  가구 제조업,,,,,,,,,
4405,(주)에이스테크놀로지,88800,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4414,(주)에이스토리,241840,Dec-19,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
4415,(주)에이엔피,15260,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4424,(주)에이치비테크놀러지,78150,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4433,(주)에이치시티,72990,Dec-16,137209,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",,,,,,,,,
4437,(주)에이치알에스,36640,Dec-11,32002,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4446,(주)에이치앤비디자인,227100,Dec-18,32801,  전기장비 제조업,,,,,,,,,
4448,(주)에이치엘사이언스,239610,Dec-16,31007,  식료품 제조업,,,,,,,,,
4452,(주)에이치케이,44780,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4461,(주)에이텍,45660,Dec-11,32603,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4470,(주)에이텍티앤,224110,Dec-15,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4475,(주)에이트원,230980,Dec-16,105802,  출판업,,,,,,,,,
4479,(주)에이티세미콘,89530,Dec-11,137309,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,
4488,(주)에이팩트,200470,Dec-14,137309,"  기타 전문, 과학 및 기술 서비스업",,,,,,,,,
4494,(주)에이프로젠,7460,Dec-11,32509,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
4503,(주)에이프로젠헬스케어앤게임즈,109960,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4512,(주)에치에프알,230240,Dec-15,117201,  기타금융업,,,,,,,,,
4517,(주)에코마케팅,230360,Dec-16,137103,  전문 서비스업,,,,,,,,,
4521,(주)에코프로,86520,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4530,(주)에코프로비엠,247540,Dec-16,32802,  전기장비 제조업,,,,,,,,,
4533,(주)에프알텍,73540,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4542,(주)에프앤리퍼블릭,64090,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4551,(주)에프앤에프홀딩스,7700,Dec-11,31401,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,
4560,(주)에프에스엔,214270,Dec-15,117201,  기타금융업,,,,,,,,,
4565,(주)에프에스티,36810,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4574,(주)에프엔씨엔터테인먼트,173940,Dec-14,105902,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
4580,(주)엑사이엔씨,54940,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4589,(주)엑세스바이오인코퍼레이션,950130,Dec-13,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
4596,(주)엑셈,205100,Dec-14,117201,  기타금융업,,,,,,,,,
4602,(주)엑시콘,92870,Dec-15,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4607,(주)엔바이오니아,317870,Dec-19,33309,  기타 제품 제조업,,,,,,,,,
4608,(주)엔씨소프트,36570,Dec-11,106301,  정보서비스업,,,,,,,,,
4617,(주)엔아이스틸,8260,Dec-11,32401,  1차 금속 제조업,,,,,,,,,
4626,(주)엔에스,217820,Dec-15,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4631,(주)엔에스엔,31860,Dec-11,106301,  정보서비스업,,,,,,,,,
4640,(주)엔에이치엔벅스,104200,Dec-11,106309,  정보서비스업,,,,,,,,,
4649,(주)엔이능률,53290,Dec-11,105801,  출판업,,,,,,,,,
4658,(주)엔지스테크널러지,208860,Dec-16,105802,  출판업,,,,,,,,,
4662,(주)엔지켐생명과학,183490,Dec-18,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
4664,(주)엔케이,85310,Dec-11,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
4673,(주)엔케이맥스,182400,Dec-15,32101,  의료용 물질 및 의약품 제조업,,,,,,,,,
4678,(주)엔텔스,69410,Dec-11,105802,  출판업,,,,,,,,,
4687,(주)엔투텍,227950,Dec-15,117201,  기타금융업,,,,,,,,,
4691,(주)엔피,291230,Dec-18,117201,  기타금융업,,,,,,,,,
4693,(주)엔피케이,48830,Dec-11,32002,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4702,(주)엘디티,96870,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4711,(주)엘아이에스,138690,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4720,(주)엘앤씨바이오,290650,Dec-18,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
4722,(주)엘앤에프,66970,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4731,(주)엘앤케이바이오메드,156100,Dec-16,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
4735,(주)엘에스,6260,Dec-11,137105,  전문 서비스업,,,,,,,,,
4744,(주)엘에스네트웍스,680,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
4753,(주)엘에프,93050,Dec-11,31401,"  의복, 의복 액세서리 및 모피제품 제조업",,,,,,,,,
4762,(주)엘엑스세미콘,108320,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4771,(주)엘엑스인터내셔널,1120,Dec-11,74601,  도매 및 상품 중개업,,,,,,,,,
4780,(주)엘엑스하우시스,108670,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
4789,(주)엘엠에스,73110,Dec-11,32703,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
4798,(주)엘오티베큠,83310,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4807,(주)엘지,3550,Dec-11,137105,  전문 서비스업,,,,,,,,,
4816,(주)엘지생활건강,51900,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4825,(주)엘지유플러스,32640,Dec-11,106102,  우편 및 통신업,,,,,,,,,
4834,(주)엘지헬로비전,37560,Dec-12,106002,  방송업,,,,,,,,,
4842,(주)엘지화학,51910,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
4851,(주)엠게임,58630,Dec-11,105802,  출판업,,,,,,,,,
4860,(주)엠디에스테크,86960,Dec-11,105802,  출판업,,,,,,,,,
4869,(주)엠씨넥스,97520,Dec-12,32605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4877,(주)엠아이텍,179290,Dec-18,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
4879,(주)엠에스씨,9780,Dec-11,31007,  식료품 제조업,,,,,,,,,
4888,(주)엠에스오토텍,123040,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
4897,(주)엠투엔,33310,Dec-11,32509,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
4906,(주)엠플러스,259630,Dec-17,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4909,(주)엠피대산,65150,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
4918,(주)연우,115960,Dec-15,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
4923,(주)연이비앤티,90740,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
4932,(주)영우디에스피,143540,Dec-14,32902,  기타 기계 및 장비 제조업,,,,,,,,,
4938,(주)영원무역,111770,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
4947,(주)영원무역홀딩스,9970,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
4956,(주)영풍,670,Dec-11,32402,  1차 금속 제조업,,,,,,,,,
4965,(주)영흥,12160,Dec-11,32401,  1차 금속 제조업,,,,,,,,,
4974,(주)예림당,36000,Dec-11,105801,  출판업,,,,,,,,,
4983,(주)예선테크,250930,Dec-16,117201,  기타금융업,,,,,,,,,
4987,(주)예스코홀딩스,15360,Dec-11,43502,"  전기, 가스, 증기 및 공기조절 공급업",,,,,,,,,
4996,(주)예스티,122640,Dec-15,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5001,(주)오공,45060,Dec-11,32004,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
5010,(주)오디텍,80520,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5019,(주)오뚜기,7310,Dec-11,31007,  식료품 제조업,,,,,,,,,
5028,(주)오르비텍,46120,Dec-11,137209,"  건축기술, 엔지니어링 및 기타 과학기술 서비스업",,,,,,,,,
5037,(주)오리엔탈정공,14940,Dec-11,33101,  기타 운송장비 제조업,,,,,,,,,
5046,(주)오리엔트바이오,2630,Mar-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
5055,(주)오리엔트정공,65500,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
5064,(주)오리온,271560,Dec-17,31007,  식료품 제조업,,,,,,,,,
5067,(주)오리온홀딩스,1800,Dec-11,31007,  식료품 제조업,,,,,,,,,
5076,(주)오리콤,10470,Dec-11,137103,  전문 서비스업,,,,,,,,,
5085,(주)오스코텍,39200,Dec-11,32102,  의료용 물질 및 의약품 제조업,,,,,,,,,
5094,(주)오스테오닉,226400,Dec-18,32701,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
5096,(주)오스템,31510,Dec-11,33003,  자동차 및 트레일러 제조업,,,,,,,,,
5105,(주)오이솔루션,138080,Dec-14,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5111,(주)오킨스전자,80580,Dec-14,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5117,(주)오텍,67170,Dec-11,33002,  자동차 및 트레일러 제조업,,,,,,,,,
5126,(주)오파스넷,173130,Dec-18,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
5128,(주)오픈베이스,49480,Dec-11,74608,  도매 및 상품 중개업,,,,,,,,,
5137,(주)오하임아이엔티,309930,Dec-18,117201,  기타금융업,,,,,,,,,
5139,(주)옵투스제약,131030,Dec-11,117201,  기타금융업,,,,,,,,,
5148,(주)옵트론텍,82210,Dec-11,32703,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
5157,(주)옵티팜,153710,Dec-18,32103,  의료용 물질 및 의약품 제조업,,,,,,,,,
5159,(주)와이비엠넷,57030,Dec-11,106301,  정보서비스업,,,,,,,,,
5168,(주)와이솔,122990,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5177,(주)와이어블,65530,Dec-11,106102,  우편 및 통신업,,,,,,,,,
5186,(주)와이엔텍,67900,Dec-11,53802,"  폐기물 수집, 운반, 처리 및 원료 재생업",,,,,,,,,
5195,(주)와이오엠,66430,Jun-11,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
5204,(주)와이제이엠게임즈,193250,Dec-14,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5210,(주)와이즈버즈,273060,Dec-17,117201,  기타금융업,,,,,,,,,
5213,(주)와이지-원,19210,Dec-11,32509,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
5222,(주)와이지엔터테인먼트,122870,Dec-11,105902,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
5231,(주)와이지플러스,37270,Dec-11,137103,  전문 서비스업,,,,,,,,,
5240,(주)와이투솔루션,11690,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5249,(주)와이티엔,40300,Dec-11,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
5258,(주)용평리조트,70960,Dec-16,95501,  숙박업,,,,,,,,,
5262,(주)우리기술,32820,Dec-11,32801,  전기장비 제조업,,,,,,,,,
5271,(주)우리넷,115440,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5280,(주)우리로,46970,Dec-12,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5288,(주)우성,6980,Dec-11,31006,  식료품 제조업,,,,,,,,,
5297,(주)우신시스템,17370,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5306,(주)우양,103840,Dec-19,31003,  식료품 제조업,,,,,,,,,
5307,(주)우정바이오,215380,Dec-15,117201,  기타금융업,,,,,,,,,
5312,(주)우주일렉트로닉스,65680,Dec-11,32602,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5321,(주)우진,105840,Dec-11,32702,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
5330,(주)우진아이엔에스,10400,Dec-18,64202,  전문직별 공사업,,,,,,,,,
5332,(주)우진플라임,49800,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5341,(주)웅진,16880,Dec-11,137105,  전문 서비스업,,,,,,,,,
5350,(주)웅진씽크빅,95720,Dec-11,168501,  교육 서비스업,,,,,,,,,
5359,(주)원림,5820,Dec-11,31303,  섬유제품 제조업; 의복제외,,,,,,,,,
5368,(주)원바이오젠,307280,Dec-18,117201,  기타금융업,,,,,,,,,
5370,(주)원익,32940,Dec-11,74605,  도매 및 상품 중개업,,,,,,,,,
5379,(주)원익머트리얼즈,104830,Dec-11,32001,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
5388,(주)원익아이피에스,240810,Dec-16,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5392,(주)원익큐브,14190,Dec-11,74607,  도매 및 상품 중개업,,,,,,,,,
5401,(주)원익큐엔씨,74600,Dec-11,32301,  비금속 광물제품 제조업,,,,,,,,,
5410,(주)원익피앤이,131390,Dec-11,32801,  전기장비 제조업,,,,,,,,,
5419,(주)원익홀딩스,30530,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5428,(주)원일특강,12620,Dec-11,32401,  1차 금속 제조업,,,,,,,,,
5437,(주)원풍,8370,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
5446,(주)월덱스,101160,Dec-11,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5455,(주)웨이버스,336060,Dec-19,117201,  기타금융업,,,,,,,,,
5456,(주)웨이브일렉트로닉스,95270,Dec-11,32604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5465,(주)웰크론,65950,Dec-11,31302,  섬유제품 제조업; 의복제외,,,,,,,,,
5474,(주)웰크론한텍,76080,Dec-11,32902,  기타 기계 및 장비 제조업,,,,,,,,,
5483,(주)웹스,196700,Dec-15,32002,  화학물질 및 화학제품 제조업; 의약품 제외,,,,,,,,,
5488,(주)웹젠,69080,Dec-11,105802,  출판업,,,,,,,,,
5497,(주)위니아,71460,Dec-16,32805,  전기장비 제조업,,,,,,,,,
5501,(주)위닉스,44340,Dec-11,32901,  기타 기계 및 장비 제조업,,,,,,,,,
5510,(주)위메이드,112040,Dec-11,105802,  출판업,,,,,,,,,
5519,(주)위메이드맥스,101730,Dec-11,105802,  출판업,,,,,,,,,
5528,(주)위메이드플레이,123420,Dec-11,117201,  기타금융업,,,,,,,,,
5537,(주)위스컴,24070,Dec-11,32202,  고무 및 플라스틱제품 제조업,,,,,,,,,
5546,(주)위지윅스튜디오,299900,Dec-18,105901,  영상ㆍ오디오 기록물 제작 및 배급업,,,,,,,,,
5548,(주)위지트,36090,Dec-11,32702,"  의료, 정밀, 광학기기 및 시계 제조업",,,,,,,,,
5557,(주)윈스,136540,Dec-11,106201,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",,,,,,,,,
5566,(주)윈팩,97800,Dec-13,32601,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",,,,,,,,,
5573,(주)윈하이텍,192390,Dec-14,32501,  금속가공제품 제조업; 기계 및 가구 제외,,,,,,,,,
5579,(주)윌링스,313760,Dec-19,32801,  전기장비 제조업,,,,,,,,,
5580,(주)윌비스,8600,Dec-11,74604,  도매 및 상품 중개업,,,,,,,,,
