회사,코드,년도,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)나무가,190510,      비유동금융부채(*)(IFRS)(천원),,0,0,0,0,291414,370128,111179,3316832
(주)나스미디어,89600,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,1474467
(주)나이벡,138610,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,699943
(주)나이스디앤비,130580,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,794664
(주)나이스홀딩스,34310,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,346340,601530,26800563,16361960
(주)나인테크,267320,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)남선알미늄,8350,      비유동금융부채(*)(IFRS)(천원),728533,0,0,0,0,0,0,0,100684
(주)남성,4270,      비유동금융부채(*)(IFRS)(천원),4039363,4001962,3727243,3790395,3859688,3797402,3883482,2677782,2611582
(주)내츄럴엔도텍,168330,      비유동금융부채(*)(IFRS)(천원),,0,367056,0,0,0,0,0,96690
(주)네오리진,94860,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,740604
(주)네오셈,253590,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,0
(주)네오오토,212560,      비유동금융부채(*)(IFRS)(천원),,,0,0,0,0,0,0,81280
(주)네오위즈,95660,      비유동금융부채(*)(IFRS)(천원),410528,161993,169054,26911,6022,0,0,0,5141
(주)네오위즈홀딩스,42420,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,320571
(주)네오이뮨텍,950220,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,2072526
(주)네오크레마,311390,      비유동금융부채(*)(IFRS)(천원),,,,,,,,0,0
(주)네오티스,85910,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,118467
(주)네오팜,92730,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,0
(주)네오펙트,290660,      비유동금융부채(*)(IFRS)(천원),,,,,,,25734989,1720558,89790
(주)네온테크,306620,      비유동금융부채(*)(IFRS)(천원),,,,,,,,,
(주)네이블커뮤니케이션즈,153460,      비유동금융부채(*)(IFRS)(천원),1623600,147600,0,0,0,0,0,0,929
(주)네이처셀,7390,      비유동금융부채(*)(IFRS)(천원),0,0,0,0,0,0,0,0,1851092
(주)네패스,33640,      비유동금융부채(*)(IFRS)(천원),3239389,3537048,2689924,2035035,868495,7296391,18860900,2805259,519939
