,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),자본(*)(IFRS연결)(천원),자본율(연결),자본율
(주)TCC스틸,2710,18-Dec,"268,136","98,352","304,782","112,246",36.68,36.83
(주)TCC스틸,2710,19-Dec,"270,265","97,501","314,210","116,843",36.08,37.19
(주)가비아,79940,10-Dec,"34,383","21,535","52,912","37,226",62.63,70.35
(주)가비아,79940,11-Dec,"37,296","24,299","64,954","48,666",65.15,74.92
(주)가비아,79940,12-Dec,"51,796","31,165","85,245","58,945",60.17,69.15
(주)가비아,79940,13-Dec,"52,152","34,823","91,231","68,600",66.77,75.19
(주)가비아,79940,14-Dec,"55,984","38,148","98,544","75,510",68.14,76.63
(주)가비아,79940,15-Dec,"57,657","42,470","105,082","84,096",73.66,80.03
(주)가비아,79940,16-Dec,"61,161","45,414","125,797","95,952",74.25,76.28
(주)가비아,79940,17-Dec,"64,986","47,663","133,383","99,897",73.34,74.89
(주)가비아,79940,18-Dec,"69,316","49,833","151,441","114,187",71.89,75.4
(주)가비아,79940,19-Dec,"82,965","54,084","199,916","134,959",65.19,67.51
(주)가온칩스,399720,18-Dec,"16,013","8,157",,,50.94,#DIV/0!
(주)가온칩스,399720,19-Dec,"13,644","4,742",,,34.76,#DIV/0!
(주)강스템바이오텍,217730,13-Dec,"10,950,483","2,066,101","8,884,382",,18.87,-228.75
(주)강스템바이오텍,217730,14-Dec,"7,173,476","2,723,955","4,449,521",,62.03,
(주)강스템바이오텍,217730,15-Dec,"24,983","21,237",,,,
(주)강스템바이오텍,217730,16-Dec,"47,442","22,977",,,,
(주)강스템바이오텍,217730,17-Dec,"44,509","24,668","47,199","24,482",,
(주)강스템바이오텍,217730,18-Dec,"66,185","47,945","73,194","47,581",,
(주)강스템바이오텍,217730,19-Dec,"98,626","70,845","113,644","68,719",,
(주)강원랜드,35250,10-Dec,"2,615,956","2,107,623","2,609,098","2,099,211",,
(주)강원랜드,35250,11-Dec,"2,730,284","2,278,202","2,711,402","2,257,363",,
(주)강원랜드,35250,12-Dec,"2,915,386","2,383,161","2,906,655","2,372,027",,
(주)강원랜드,35250,13-Dec,"3,105,430","2,523,963","3,102,037","2,517,696",,
(주)강원랜드,35250,14-Dec,"3,380,462","2,716,175","3,375,127","2,705,357",,
(주)강원랜드,35250,15-Dec,"3,688,060","2,997,442","3,690,792","2,997,755",,
(주)강원랜드,35250,16-Dec,"3,975,980","3,252,738","3,978,988","3,252,727",,
(주)강원랜드,35250,17-Dec,"4,182,527","3,500,790","4,185,657","3,501,236",,
(주)강원랜드,35250,18-Dec,"4,229,631","3,586,453","4,231,241","3,586,777",,
(주)강원랜드,35250,19-Dec,"4,436,462","3,718,433","4,438,119","3,717,759",,
(주)강원에너지,114190,10-Nov,"28,678","19,269",,,,
(주)강원에너지,114190,11-Nov,"53,719","24,502",,,,
(주)강원에너지,114190,12-Dec,"89,258","36,108",,,,
(주)강원에너지,114190,13-Dec,"72,441","45,877",,,,
(주)강원에너지,114190,14-Dec,"67,038","50,445",,,,
(주)강원에너지,114190,15-Dec,"80,939","54,881","85,457","56,584",,
(주)강원에너지,114190,16-Dec,"70,850","53,746","77,187","55,089",,
(주)강원에너지,114190,17-Dec,"87,781","47,117","93,179","48,303",,
(주)강원에너지,114190,18-Dec,"89,620","49,286","93,846","50,204",,
(주)강원에너지,114190,19-Dec,"55,106","22,904","56,602","21,125",,
(주)갤럭시아에스엠,11420,10-Dec,"35,800","22,598","38,136","23,315",,
(주)갤럭시아에스엠,11420,11-Dec,"40,712","24,540","45,110","25,274",,
(주)갤럭시아에스엠,11420,12-Dec,"40,170","25,153","43,979","25,907",,
(주)갤럭시아에스엠,11420,13-Dec,"34,159","22,473","37,637","21,493",,
(주)갤럭시아에스엠,11420,14-Dec,"40,528","23,402","45,274","23,206",,
(주)갤럭시아에스엠,11420,15-Dec,"67,197","50,665","68,687","49,739",,
(주)갤럭시아에스엠,11420,16-Dec,"55,826","44,847","58,445","44,847",,
(주)갤럭시아에스엠,11420,17-Dec,"48,958","40,494","49,831","40,494",,
(주)갤럭시아에스엠,11420,18-Dec,"33,338","26,797","33,253","26,472",,
(주)갤럭시아에스엠,11420,19-Dec,"28,242","21,799","28,242","21,799",,
(주)경농,2100,10-Dec,"198,796","148,352","198,435","147,966",,
(주)경농,2100,11-Dec,"176,742","146,017","173,774","142,986",,
(주)경농,2100,12-Dec,"203,468","151,500","269,413","151,739",,
(주)경농,2100,13-Dec,"214,989","162,696","255,985","163,158",,
(주)경농,2100,14-Dec,"230,871","168,999","284,623","168,916",,
