,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
1874,(주)씨에스에이코스믹,83660,10-Dec,"31,680","18,503","32,784","19,331",58.41,56131.28
1875,(주)씨에스에이코스믹,83660,11-Dec,"33,997","15,379","34,789","16,028",46.07,46.07
1876,(주)씨에스에이코스믹,83660,12-Dec,"21,461","8,496","22,464","8,932",39.76,39.76
1877,(주)씨에스에이코스믹,83660,13-Dec,"18,611","8,771","18,739","8,774",46.82,46.82
1878,(주)씨에스에이코스믹,83660,14-Dec,"15,243","8,002","15,301","8,056",52.65,52.65
1879,(주)씨에스에이코스믹,83660,15-Dec,"44,672","23,473","44,672","23,473",52.55,52.55
1880,(주)씨에스에이코스믹,83660,16-Dec,"41,891","31,516","41,891","31,516",75.23,75.23
1881,(주)씨에스에이코스믹,83660,17-Dec,"30,329","23,677","30,763","23,668",76.94,76.94
1882,(주)씨에스에이코스믹,83660,18-Dec,"36,902","23,597","37,467","23,624",63.05,63.05
1883,(주)씨에스에이코스믹,83660,19-Dec,"27,472","16,095","33,206","16,512",49.73,49.73
1884,(주)씨엔플러스,115530,10-Dec,"36,093","12,739","35,336","11,898",35.29,100116.36
1885,(주)씨엔플러스,115530,11-Dec,"63,136","33,283","62,992","33,059",52.48,52.48
1886,(주)씨엔플러스,115530,12-Dec,"61,964","34,724","66,697","38,943",58.39,58.39
1887,(주)씨엔플러스,115530,13-Dec,"56,689","36,395","59,600","38,767",65.05,65.05
1888,(주)씨엔플러스,115530,14-Dec,"54,764","23,727","57,628","26,180",45.43,45.43
1889,(주)씨엔플러스,115530,15-Dec,"50,130","17,006","51,342","17,532",34.15,34.15
1890,(주)씨엔플러스,115530,16-Dec,"33,385","11,050","34,733","11,958",34.43,34.43
1891,(주)씨엔플러스,115530,17-Dec,"42,349","11,388","44,500","12,361",27.78,27.78
1892,(주)씨엔플러스,115530,18-Dec,"37,184","15,277","39,657","15,284",38.54,38.54
1893,(주)씨엔플러스,115530,19-Dec,"19,806","12,809","22,340","12,844",57.49,57.49
1894,(주)씨유메디칼시스템,115480,10-Dec,"26,384","19,421",,,73.61,0
1895,(주)씨유메디칼시스템,115480,11-Dec,"41,801","35,055","41,801","35,055",83.86,83.86
1896,(주)씨유메디칼시스템,115480,12-Dec,"44,261","35,830","44,928","35,390",78.77,78.77
1897,(주)씨유메디칼시스템,115480,13-Dec,"58,854","38,332","64,246","40,299",62.73,62.73
1898,(주)씨유메디칼시스템,115480,14-Dec,"55,721","35,572","61,045","36,150",59.22,59.22
1899,(주)씨유메디칼시스템,115480,15-Dec,"62,835","40,151","66,716","40,103",60.11,60.11
1900,(주)씨유메디칼시스템,115480,16-Dec,"65,600","44,084","63,540","41,554",65.4,65.4
1901,(주)씨유메디칼시스템,115480,17-Dec,"61,956","42,785","61,665","42,078",68.24,68.24
1902,(주)씨유메디칼시스템,115480,18-Dec,"82,092","46,831","104,868","48,462",46.21,46.21
1903,(주)씨유메디칼시스템,115480,19-Dec,"94,436","48,102","129,281","55,569",42.98,42.98
1904,(주)씨제이이엔엠,35760,10-Dec,"801,845","263,989","1,617,850","395,846",32.92,4914087.08
1905,(주)씨젠,96530,10-Dec,"41,715","31,522",,,75.57,0
1906,(주)씨티씨바이오,60590,10-Dec,"77,994","38,494","78,227","38,803",49.36,158498.38
1907,(주)씨티씨바이오,60590,11-Dec,"89,815","44,899","93,335","44,819",48.02,48.02
1908,(주)씨티씨바이오,60590,12-Dec,"113,773","61,152","125,364","62,400",49.78,49.78
1909,(주)씨티씨바이오,60590,13-Dec,"140,373","90,920","150,476","92,227",61.29,61.29
1910,(주)씨티씨바이오,60590,14-Dec,"153,330","84,604","162,123","85,490",52.73,52.73
1911,(주)씨티씨바이오,60590,15-Dec,"186,069","97,863","193,614","99,168",51.22,51.22
1912,(주)씨티씨바이오,60590,16-Dec,"177,338","88,833","188,675","90,923",48.19,48.19
1913,(주)씨티씨바이오,60590,17-Dec,"183,583","71,038","196,899","74,078",37.62,37.62
1914,(주)씨티씨바이오,60590,18-Dec,"182,575","85,191","191,687","86,966",45.37,45.37
1915,(주)씨티씨바이오,60590,19-Dec,"168,288","75,861","186,498","74,560",39.98,39.98
1916,(주)아가방앤컴퍼니,13990,10-Dec,"197,257","138,200","201,235","139,550",70.06,287228.74
1917,(주)아가방앤컴퍼니,13990,11-Dec,"211,436","148,830","215,504","150,261",69.73,69.73
1918,(주)아가방앤컴퍼니,13990,12-Dec,"203,754","146,657","207,876","148,695",71.53,71.53
1919,(주)아가방앤컴퍼니,13990,13-Dec,"203,225","147,438","207,375","149,935",72.3,72.3
1920,(주)아가방앤컴퍼니,13990,14-Dec,"231,299","166,461","233,770","168,179",71.94,71.94
1921,(주)아가방앤컴퍼니,13990,15-Dec,"217,540","168,778","222,308","170,376",76.64,76.64
1922,(주)아가방앤컴퍼니,13990,16-Dec,"223,359","171,685","226,090","172,017",76.08,76.08
1923,(주)아가방앤컴퍼니,13990,17-Dec,"209,611","167,052","211,445","166,968",78.97,78.97
1924,(주)아가방앤컴퍼니,13990,18-Dec,"189,286","150,939","191,260","151,067",78.99,78.99
1925,(주)아가방앤컴퍼니,13990,19-Dec,"185,124","135,040","187,823","135,040",71.9,71.9
1926,(주)아나패스,123860,10-Dec,"75,590","68,784",,,91,0
1927,(주)아나패스,123860,11-Dec,"81,498","74,694","81,498","74,694",91.65,91.65
1928,(주)아나패스,123860,12-Dec,"98,546","88,833","98,546","88,833",90.14,90.14
1929,(주)아나패스,123860,13-Dec,"102,189","87,519","102,189","87,519",85.64,85.64
1930,(주)아나패스,123860,14-Dec,"124,152","98,872","124,152","98,872",79.64,79.64
1931,(주)아나패스,123860,15-Dec,"123,075","102,990","123,075","102,990",83.68,83.68
1932,(주)아나패스,123860,16-Dec,"99,182","76,537","99,182","76,537",77.17,77.17
1933,(주)아나패스,123860,17-Dec,"96,625","76,015","96,625","76,015",78.67,78.67
1934,(주)아나패스,123860,18-Dec,"93,092","69,274","93,092","69,274",74.41,74.41
1935,(주)아나패스,123860,19-Dec,"124,490","55,204","124,490","55,204",44.34,44.34
1936,(주)아난티,25980,10-Dec,"220,681","39,219",,,17.77,0
1937,(주)아리온테크놀로지,58220,10-Dec,"29,270","15,630",,,53.4,0
1938,(주)아리온테크놀로지,58220,11-Dec,"42,297","20,327","42,297","20,327",48.06,48.06
1939,(주)아리온테크놀로지,58220,12-Dec,"91,097","25,176","91,097","25,176",27.64,27.64
1940,(주)아리온테크놀로지,58220,13-Dec,"46,988","27,800","46,988","27,800",59.16,59.16
1941,(주)아리온테크놀로지,58220,14-Dec,"56,503","28,106","56,503","28,106",49.74,49.74
1942,(주)아리온테크놀로지,58220,15-Dec,"54,433","30,451","54,433","30,451",55.94,55.94
1943,(주)아리온테크놀로지,58220,16-Dec,"72,515","33,614","75,370","34,328",45.55,45.55
1944,(주)아리온테크놀로지,58220,17-Dec,"65,496","21,324","68,570","22,865",33.35,33.35
1945,(주)아리온테크놀로지,58220,18-Dec,"72,445","23,243","77,177","25,387",32.89,32.89
1946,(주)아리온테크놀로지,58220,19-Dec,"85,947","18,560","86,961","19,410",22.32,22.32
1947,(주)아모레퍼시픽,90430,10-Dec,"2,404,728","1,857,409","2,481,829","1,862,081",77.24,3213144.59
1948,(주)아모레퍼시픽그룹,2790,10-Dec,"1,612,495","1,550,206","3,828,086","3,041,026",96.14,3981902.75
1949,(주)아모텍,52710,10-Dec,"209,655","112,003","209,348","110,284",53.42,391872.14
1950,(주)아미노로직스,74430,10-Dec,"55,058","36,283","68,852","46,480",65.9,104480.15
1951,(주)아미노로직스,74430,11-Dec,"84,889","62,965","84,171","61,273",72.8,72.8
1952,(주)아미노로직스,74430,12-Dec,"53,137","28,592","52,701","31,502",59.77,59.77
1953,(주)아미노로직스,74430,13-Dec,"51,928","40,425","48,205","40,424",83.86,83.86
1954,(주)아미노로직스,74430,14-Dec,"42,358","31,849","38,630","31,847",82.44,82.44
1955,(주)아미노로직스,74430,15-Dec,"58,755","48,278","55,027","48,275",87.73,87.73
1956,(주)아미노로직스,74430,16-Dec,"52,753","44,551","49,026","44,548",90.87,90.87
1957,(주)아미노로직스,74430,17-Dec,"53,099","45,145","49,371","45,142",91.43,91.43
1958,(주)아미노로직스,74430,18-Dec,"56,858","53,191","56,859","53,188",93.54,93.54
1959,(주)아미노로직스,74430,19-Dec,"57,772","51,855","57,774","51,852",89.75,89.75
1960,(주)아바코,83930,10-Dec,"137,005","64,741","137,005","64,741",47.25,289930.18
1961,(주)아바텍,149950,10-Dec,"32,741","26,857","33,635","27,629",82.03,41003.97
1962,(주)아센디오,12170,10-Dec,"14,904","7,775",,,52.17,0
1963,(주)아센디오,12170,11-Dec,"39,570","29,712","39,570","29,712",75.09,75.09
1964,(주)아센디오,12170,12-Dec,"52,748","33,588","51,427","32,244",62.7,62.7
1965,(주)아센디오,12170,13-Dec,"69,078","40,884","116,541","46,461",39.87,39.87
1966,(주)아센디오,12170,14-Dec,"68,958","35,697","72,695","35,697",49.11,49.11
1967,(주)아센디오,12170,15-Dec,"69,095","43,773","69,095","43,773",63.35,63.35
1968,(주)아센디오,12170,16-Dec,"95,172","71,603","95,172","71,603",75.24,75.24
1969,(주)아센디오,12170,17-Dec,"111,289","52,215","123,960","51,422",41.48,41.48
1970,(주)아센디오,12170,18-Dec,"95,676","59,159","124,157","52,239",42.07,42.07
1971,(주)아센디오,12170,19-Dec,"48,830",-439,"56,810","-9,494",-16.71,-16.71
1972,(주)아스타,246720,17-Dec,"15,460","14,675","23,647","14,428",61.01,61.01
1973,(주)아스타,246720,18-Dec,"32,928","31,971","38,218","33,248",87,87
1974,(주)아스타,246720,19-Dec,"16,905","15,764","25,811","15,107",58.53,58.53
1975,(주)아스트,67390,10-Dec,,,,,#DIV/0!,#DIV/0!
1976,(주)아스플로,159010,10-Dec,,,,,#DIV/0!,#DIV/0!
1977,(주)아시아경제,127710,10-Dec,,,,,#DIV/0!,#DIV/0!
1978,(주)아이디스홀딩스,54800,10-Dec,"215,457","156,272","217,988","156,850",72.53,300546.74
1979,(주)아이마켓코리아,122900,10-Dec,"560,122","261,275",,,46.65,0
1980,(주)아이센스,99190,10-Dec,"74,150","50,814","74,149","50,812",68.53,108201.45
1981,(주)아이씨디,40910,11-Sep,"144,807","90,030","144,807","90,030",62.17,62.17
1982,(주)아이씨디,40910,12-Sep,"117,739","97,609","117,739","97,609",82.9,82.9
1983,(주)아이씨디,40910,13-Sep,"124,275","105,421","124,275","105,421",84.83,84.83
1984,(주)아이씨디,40910,14-Sep,"111,903","93,898","111,903","93,898",83.91,83.91
1985,(주)아이씨디,40910,15-Sep,"108,292","88,036","108,292","88,036",81.3,81.3
1986,(주)아이씨디,40910,16-Dec,"241,211","112,705","241,202","112,691",46.72,46.72
1987,(주)아이씨디,40910,17-Dec,"237,831","135,677","237,852","135,762",57.08,57.08
1988,(주)아이씨디,40910,18-Dec,"186,851","130,699","191,224","131,399",68.71,68.71
1989,(주)아이씨디,40910,19-Dec,"194,049","144,467","203,772","147,055",72.17,72.17
1990,(주)아이앤씨테크놀로지,52860,10-Dec,"89,670","84,209",,,93.91,0
1991,(주)아이앤씨테크놀로지,52860,11-Dec,"92,693","88,933","92,693","88,933",95.94,95.94
1992,(주)아이앤씨테크놀로지,52860,12-Dec,"84,161","79,861","85,273","80,362",94.24,94.24
1993,(주)아이앤씨테크놀로지,52860,13-Dec,"85,957","72,180","85,207","71,075",83.41,83.41
1994,(주)아이앤씨테크놀로지,52860,14-Dec,"70,410","57,656","71,961","56,047",77.89,77.89
1995,(주)아이앤씨테크놀로지,52860,15-Dec,"50,322","29,085","54,584","29,493",54.03,54.03
1996,(주)아이앤씨테크놀로지,52860,16-Dec,"56,955","32,556","59,436","31,364",52.77,52.77
1997,(주)아이앤씨테크놀로지,52860,17-Dec,"59,500","40,155","62,120","39,708",63.92,63.92
1998,(주)아이앤씨테크놀로지,52860,18-Dec,"60,806","44,025","63,155","43,262",68.5,68.5
1999,(주)아이앤씨테크놀로지,52860,19-Dec,"66,576","52,515","72,454","55,109",76.06,76.06
2000,(주)아이에스시,95340,10-Dec,"62,496","57,282","62,389","57,148",91.66,68067.86
2001,(주)아이에스이커머스,69920,10-Dec,"25,929","15,504","26,783","13,350",59.79,44792.08
2002,(주)아이에스이커머스,69920,11-Dec,"26,896","14,696","26,247","13,127",50.01,50.01
2003,(주)아이에스이커머스,69920,12-Dec,"38,235","15,431","46,792","14,451",30.88,30.88
2004,(주)아이에스이커머스,69920,13-Dec,"33,310","10,907","46,836","8,871",18.94,18.94
2005,(주)아이에스이커머스,69920,14-Dec,"34,059","11,845","45,802","16,020",34.98,34.98
2006,(주)아이에스이커머스,69920,15-Dec,"52,497","36,942","81,592","44,812",54.92,54.92
2007,(주)아이에스이커머스,69920,16-Dec,"56,706","38,757","88,775","46,429",52.3,52.3
2008,(주)아이에스이커머스,69920,17-Dec,"97,042","75,629","97,042","75,629",77.93,77.93
2009,(주)아이에스이커머스,69920,18-Dec,"81,503","62,405","81,503","62,405",76.57,76.57
2010,(주)아이에스이커머스,69920,19-Dec,"57,924","32,641","78,984","49,468",62.63,62.63
2011,(주)아이에이,38880,10-Dec,"42,694","19,546","42,530","19,382",45.78,92897.57
2012,(주)아이에이,38880,11-Dec,"67,395","24,632","66,911","24,149",36.09,36.09
2013,(주)아이에이,38880,12-Dec,"59,440","8,237","60,035","8,454",14.08,14.08
2014,(주)아이에이,38880,13-Dec,"66,649","12,730","67,217","12,909",19.2,19.2
2015,(주)아이에이,38880,14-Dec,"49,988","10,197","51,846","11,138",21.48,21.48
2016,(주)아이에이,38880,15-Dec,"50,432","26,088","56,813","28,224",49.68,49.68
2017,(주)아이에이,38880,16-Dec,"77,751","49,022","88,070","42,997",48.82,48.82
2018,(주)아이에이,38880,17-Dec,"79,708","47,607","85,019","34,760",40.88,40.88
2019,(주)아이에이,38880,18-Dec,"99,046","56,868","105,949","45,242",42.7,42.7
2020,(주)아이에이,38880,19-Dec,"124,144","82,242","109,347","59,865",54.75,54.75
2021,(주)아이에이치큐,3560,10-Dec,"38,920","22,562","43,667","26,774",57.97,75326.64
2022,(주)아이에이치큐,3560,11-Dec,"49,311","23,910","56,076","29,423",52.47,52.47
2023,(주)아이에이치큐,3560,12-Dec,"43,873","34,492","45,827","35,038",76.46,76.46
2024,(주)아이에이치큐,3560,13-Dec,"65,405","36,132","81,341","43,606",53.61,53.61
2025,(주)아이에이치큐,3560,14-Dec,"61,133","34,543","80,461","41,524",51.61,51.61
2026,(주)아이에이치큐,3560,15-Dec,"252,267","218,919","255,676","215,040",84.11,84.11
2027,(주)아이에이치큐,3560,16-Dec,"256,378","228,266","256,635","221,558",86.33,86.33
2028,(주)아이에이치큐,3560,17-Dec,"255,262","233,118","255,080","227,725",89.28,89.28
2029,(주)아이에이치큐,3560,18-Dec,"233,661","209,718","231,275","204,580",88.46,88.46
2030,(주)아이에이치큐,3560,19-Dec,"165,427","137,520","165,808","136,851",82.54,82.54
2031,(주)아이엠,101390,10-Dec,"72,133","50,936","175,788","65,951",70.61,248942.12
2032,(주)아이엠,101390,11-Dec,"81,445","57,006","208,337","74,322",35.67,35.67
2033,(주)아이엠,101390,12-Dec,"114,605","56,059","184,879","69,473",37.58,37.58
2034,(주)아이엠,101390,13-Dec,"99,875","57,276","179,047","64,184",35.85,35.85
2035,(주)아이엠,101390,14-Dec,"94,352","55,578","143,345","53,010",36.98,36.98
2036,(주)아이엠,101390,15-Dec,"124,954","57,710","159,276","55,950",35.13,35.13
2037,(주)아이엠,101390,16-Dec,"129,048","65,449","147,659","51,510",34.88,34.88
2038,(주)아이엠,101390,17-Dec,"121,616","47,275","136,173","47,450",34.85,34.85
2039,(주)아이엠,101390,18-Dec,"100,014","47,167","122,051","47,077",38.57,38.57
2040,(주)아이엠,101390,19-Dec,"100,223","32,773","117,390","32,695",27.85,27.85
2041,(주)아이엠비씨,52220,10-Dec,"50,179","41,183",,,82.07,0
2042,(주)아이오케이컴퍼니,78860,10-Dec,"9,451","1,482",,,15.68,0
2043,(주)아이오케이컴퍼니,78860,11-Dec,"8,478","4,316","8,478","4,316",50.91,50.91
2044,(주)아이오케이컴퍼니,78860,12-Dec,"16,634","6,515","16,634","6,515",39.17,39.17
2045,(주)아이오케이컴퍼니,78860,13-Dec,"12,693","6,441","12,180","5,931",48.69,48.69
2046,(주)아이오케이컴퍼니,78860,14-Dec,"12,180","7,972","12,332","7,972",64.64,64.64
2047,(주)아이오케이컴퍼니,78860,15-Dec,"68,751","48,829","68,751","48,829",71.02,71.02
2048,(주)아이오케이컴퍼니,78860,16-Dec,"86,769","79,409","86,769","79,409",91.52,91.52
2049,(주)아이오케이컴퍼니,78860,17-Dec,"85,408","70,342","84,845","69,650",82.09,82.09
2050,(주)아이오케이컴퍼니,78860,18-Dec,"128,020","90,155","136,720","92,178",67.42,67.42
2051,(주)아이오케이컴퍼니,78860,19-Dec,"136,084","101,679","156,580","110,775",70.75,70.75
2052,(주)아이윈,90150,10-Dec,"67,622","29,609","66,572","29,649",43.79,152039.31
2053,(주)아이윈,90150,11-Dec,"80,869","32,654","81,803","33,975",41.53,41.53
2054,(주)아이윈,90150,12-Dec,"101,500","36,496","101,574","38,018",37.43,37.43
2055,(주)아이윈,90150,13-Dec,"101,914","37,528","104,505","40,172",38.44,38.44
2056,(주)아이윈,90150,14-Dec,"97,935","36,906","101,189","40,804",40.32,40.32
2057,(주)아이윈,90150,15-Dec,"95,603","36,866","98,294","41,680",42.4,42.4
2058,(주)아이윈,90150,16-Dec,"93,206","37,437","97,377","43,267",44.43,44.43
2059,(주)아이윈,90150,17-Dec,"94,054","35,246","97,245","39,630",40.75,40.75
2060,(주)아이윈,90150,18-Dec,"92,746","31,651","100,355","37,045",36.91,36.91
2061,(주)아이윈,90150,19-Dec,"85,047","38,614","96,723","44,220",45.72,45.72
2062,(주)아이윈플러스,123010,10-Dec,,,,,#DIV/0!,#DIV/0!
2063,(주)아이즈비전,31310,10-Dec,"73,376","60,710","100,084","61,362",82.74,120964.64
2064,(주)아이컴포넌트,59100,10-Dec,"53,700","21,103",,,39.3,0
2065,(주)아이컴포넌트,59100,11-Dec,"54,683","25,029","54,683","25,029",45.77,45.77
2066,(주)아이컴포넌트,59100,12-Dec,"61,097","25,671","61,097","25,671",42.02,42.02
2067,(주)아이컴포넌트,59100,13-Dec,"54,632","22,887","54,632","22,887",41.89,41.89
2068,(주)아이컴포넌트,59100,14-Dec,"53,554","26,554","53,554","26,554",49.58,49.58
2069,(주)아이컴포넌트,59100,15-Dec,"60,353","32,898","60,353","32,898",54.51,54.51
2070,(주)아이컴포넌트,59100,16-Dec,"69,364","41,159","69,364","41,159",59.34,59.34
2071,(주)아이컴포넌트,59100,17-Dec,"56,512","33,166","56,512","33,166",58.69,58.69
2072,(주)아이컴포넌트,59100,18-Dec,"53,507","30,040","53,507","30,040",56.14,56.14
2073,(주)아이컴포넌트,59100,19-Dec,"49,844","28,715","49,844","28,715",57.61,57.61
2074,(주)아이톡시,52770,10-Dec,"53,148","21,883",,,41.17,0
2075,(주)아이톡시,52770,11-Dec,"42,406","13,599","42,406","13,599",32.07,32.07
2076,(주)아이톡시,52770,12-Dec,"32,166","14,966","35,297","15,307",43.37,43.37
2077,(주)아이톡시,52770,13-Dec,"31,292","15,111","33,184","15,744",47.44,47.44
2078,(주)아이톡시,52770,14-Dec,"25,120","9,508","26,475","9,864",37.26,37.26
2079,(주)아이톡시,52770,15-Dec,"31,378","10,610","31,378","10,610",33.81,33.81
2080,(주)아이톡시,52770,16-Dec,"24,142","8,873","24,142","8,873",36.75,36.75
2081,(주)아이톡시,52770,17-Dec,"15,294",242,"15,294",242,1.58,1.58
2082,(주)아이톡시,52770,18-Dec,"8,251","-2,279","15,432",730,4.73,4.73
2083,(주)아이톡시,52770,19-Dec,"8,573","5,141","8,561","5,128",59.9,59.9
2084,(주)아이티센,124500,10-Dec,,,,,#DIV/0!,#DIV/0!
2085,(주)아이티엑스에이아이,99520,10-Dec,"42,574","21,745",,,51.08,0
2086,(주)아이티엑스에이아이,99520,11-Dec,"45,986","21,287","45,986","21,287",46.29,46.29
2087,(주)아이티엑스에이아이,99520,12-Dec,"50,614","24,569","50,614","24,569",48.54,48.54
2088,(주)아이티엑스에이아이,99520,13-Dec,"56,459","36,334","56,459","36,334",64.35,64.35
2089,(주)아이티엑스에이아이,99520,14-Dec,"49,546","34,173","49,546","34,173",68.97,68.97
2090,(주)아이티엑스에이아이,99520,15-Dec,"41,601","21,140","41,601","21,140",50.82,50.82
2091,(주)아이티엑스에이아이,99520,16-Dec,"25,573","14,342","25,573","14,342",56.08,56.08
2092,(주)아이티엑스에이아이,99520,17-Dec,"27,909","17,168","27,909","17,168",61.51,61.51
2093,(주)아이티엑스에이아이,99520,18-Dec,"20,596","14,817","20,596","14,817",71.94,71.94
2094,(주)아이티엑스에이아이,99520,19-Dec,"21,640","9,799","22,007","9,831",44.67,44.67
2095,(주)아이티엠반도체,84850,10-Dec,"61,996","23,159","80,046","26,166",37.36,214280.92
2096,(주)아이패밀리에스씨,114840,10-Dec,,,,,#DIV/0!,#DIV/0!
2097,(주)아즈텍더블유비이,32080,10-Dec,"91,624","57,702",,,62.98,0
2098,(주)아진엑스텍,59120,10-Dec,"15,849","6,927",,,43.71,0
2099,(주)아프리카티비,67160,10-Dec,"88,407","56,672",,,64.1,0
2100,(주)안랩,53800,10-Dec,"157,703","132,655","157,779","131,196",84.12,187570.93
2101,(주)안트로젠,65660,16-Dec,"35,428","34,024","35,428","34,024",96.04,96.04
2102,(주)안트로젠,65660,17-Dec,"60,298","48,768","60,298","48,768",80.88,80.88
2103,(주)안트로젠,65660,18-Dec,"101,441","56,073","101,441","56,073",55.28,55.28
2104,(주)안트로젠,65660,19-Dec,"84,594","68,394","84,594","68,394",80.85,80.85
2105,(주)알루코,1780,10-Dec,"294,087","144,172","425,877","143,219",49.02,868718.54
2106,(주)알루코,1780,11-Dec,"313,942","139,056","466,389","137,118",29.4,29.4
2107,(주)알루코,1780,12-Dec,"343,724","138,959","448,022","134,754",30.08,30.08
2108,(주)알루코,1780,13-Dec,"345,784","142,097","441,482","137,176",31.07,31.07
2109,(주)알루코,1780,14-Dec,"340,956","142,353","432,549","136,743",31.61,31.61
2110,(주)알루코,1780,15-Dec,"338,779","173,938","429,140","164,228",38.27,38.27
2111,(주)알루코,1780,16-Dec,"334,452","206,561","439,409","201,252",45.8,45.8
2112,(주)알루코,1780,17-Dec,"348,183","214,571","477,572","207,496",43.45,43.45
2113,(주)알루코,1780,18-Dec,"394,816","223,769","744,332","280,741",37.72,37.72
2114,(주)알루코,1780,19-Dec,"376,568","207,703","772,552","285,857",37,37
2115,(주)알에프세미,96610,10-Dec,"47,376","34,103","46,221","33,171",71.98,64210.37
2116,(주)알에프세미,96610,11-Dec,"61,344","40,843","60,357","40,212",66.62,66.62
2117,(주)알에프세미,96610,12-Dec,"70,069","45,093","68,834","44,156",64.15,64.15
2118,(주)알에프세미,96610,13-Dec,"79,744","50,049","78,884","49,098",62.24,62.24
2119,(주)알에프세미,96610,14-Dec,"87,691","51,979","87,638","51,823",59.13,59.13
2120,(주)알에프세미,96610,15-Dec,"88,822","54,223","89,437","53,788",60.14,60.14
2121,(주)알에프세미,96610,16-Dec,"90,147","55,144","90,145","54,035",59.94,59.94
2122,(주)알에프세미,96610,17-Dec,"96,051","54,151","93,638","52,011",55.54,55.54
2123,(주)알에프세미,96610,18-Dec,"107,104","55,191","104,989","52,720",50.21,50.21
2124,(주)알에프세미,96610,19-Dec,"105,032","52,552","102,546","49,861",48.62,48.62
2125,(주)알에프텍,61040,10-Dec,"89,934","68,067","122,250","66,556",75.69,161523.67
2126,(주)알테오젠,196170,14-Dec,"37,768","35,636","37,958","35,825",94.38,94.38
2127,(주)알테오젠,196170,15-Dec,"39,142","38,308","39,385","38,551",97.88,97.88
2128,(주)알테오젠,196170,16-Dec,"46,806","45,296","47,950","45,229",94.33,94.33
2129,(주)알테오젠,196170,17-Dec,"41,274","39,548","43,013","39,845",92.63,92.63
2130,(주)알테오젠,196170,18-Dec,"67,082","66,078","71,381","66,696",93.44,93.44
2131,(주)알테오젠,196170,19-Dec,"79,537","71,129","85,979","70,204",81.65,81.65
2132,(주)알톤스포츠,123750,10-Dec,,,,,#DIV/0!,#DIV/0!
2133,(주)알톤스포츠,123750,11-Dec,"64,877","38,778","73,196","40,761",55.69,55.69
2134,(주)알톤스포츠,123750,12-Dec,"56,896","40,209","64,111","42,476",66.25,66.25
2135,(주)알톤스포츠,123750,13-Dec,"60,201","43,201","67,372","46,395",68.86,68.86
2136,(주)알톤스포츠,123750,14-Dec,"67,330","50,940","76,275","55,370",72.59,72.59
2137,(주)알톤스포츠,123750,15-Dec,"54,333","46,649","70,744","51,670",73.04,73.04
2138,(주)알톤스포츠,123750,16-Dec,"66,163","48,436","81,904","52,248",63.79,63.79
2139,(주)알톤스포츠,123750,17-Dec,"49,029","29,436","59,132","30,395",51.4,51.4
2140,(주)알톤스포츠,123750,18-Dec,"48,302","27,942","53,806","28,125",52.27,52.27
2141,(주)알톤스포츠,123750,19-Dec,"24,581","14,110","33,706","15,866",47.07,47.07
2142,(주)알티캐스트,85810,10-Dec,"57,709","21,136","58,208","21,346",36.63,158929.1
2143,(주)알파홀딩스,117670,10-Dec,"40,701","23,926",,,58.78,0
2144,(주)알파홀딩스,117670,11-Dec,"39,078","25,501","39,078","25,501",65.26,65.26
2145,(주)알파홀딩스,117670,12-Dec,"41,348","28,029","41,211","27,970",67.87,67.87
2146,(주)알파홀딩스,117670,13-Dec,"38,373","30,908","38,373","30,908",80.55,80.55
2147,(주)알파홀딩스,117670,14-Dec,"67,393","34,542","66,721","32,778",49.13,49.13
2148,(주)알파홀딩스,117670,15-Dec,"66,700","33,737","66,700","33,737",50.58,50.58
2149,(주)알파홀딩스,117670,16-Dec,"73,887","45,106","73,895","46,537",62.98,62.98
2150,(주)알파홀딩스,117670,17-Dec,"67,409","47,334","63,151","43,797",69.35,69.35
2151,(주)알파홀딩스,117670,18-Dec,"105,442","50,962","102,095","47,089",46.12,46.12
2152,(주)알파홀딩스,117670,19-Dec,"133,777","63,798","134,596","61,491",45.69,45.69
2153,(주)액션스퀘어,205500,14-Dec,"22,566,628","20,479,051","22,566,628","20,479,051",90.75,90.75
2154,(주)액션스퀘어,205500,15-Dec,"35,884","28,643","35,884","28,643",79.82,79.82
2155,(주)액션스퀘어,205500,16-Dec,"28,514","23,688","28,514","23,688",83.07,83.07
2156,(주)액션스퀘어,205500,17-Dec,"24,636","13,193","24,964","13,479",53.99,53.99
2157,(주)액션스퀘어,205500,18-Dec,"20,926","11,917","21,133","12,087",57.19,57.19
2158,(주)액션스퀘어,205500,19-Dec,"30,871","21,005","30,256","20,200",66.76,66.76
2159,(주)액토즈소프트,52790,10-Dec,"113,511","78,939","113,299","78,386",69.54,162919.25
2160,(주)앤씨앤,92600,10-Dec,"58,833","48,869",,,83.06,0
2161,(주)앤씨앤,92600,11-Dec,"74,336","65,232","74,336","65,232",87.75,87.75
2162,(주)앤씨앤,92600,12-Dec,"77,729","67,644","77,728","67,643",87.03,87.03
2163,(주)앤씨앤,92600,13-Dec,"57,559","48,502","57,555","48,498",84.26,84.26
2164,(주)앤씨앤,92600,14-Dec,"56,146","46,874","56,150","46,879",83.49,83.49
2165,(주)앤씨앤,92600,15-Dec,"65,823","55,701","67,504","55,583",82.34,82.34
2166,(주)앤씨앤,92600,16-Dec,"63,671","56,943","65,331","55,923",85.6,85.6
