,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자산(*)(IFRS)(천원)(연결),자본(*)(IFRS)(천원)(연결),자본율(연결),자본율
394,(주)뉴로스,126870,13-Dec,"65,920","36,687","66,417","35,202",53,53
395,(주)뉴로스,126870,14-Dec,"76,117","38,792","80,028","38,933",48.65,48.65
396,(주)뉴로스,126870,15-Dec,"77,282","50,534","80,273","50,194",62.53,62.53
397,(주)뉴로스,126870,16-Dec,"94,183","53,269","103,250","49,665",48.1,48.1
398,(주)뉴로스,126870,17-Dec,"114,417","56,283","123,642","52,501",42.46,42.46
399,(주)뉴로스,126870,18-Dec,"137,667","59,610","155,860","58,422",37.48,37.48
400,(주)뉴로스,126870,19-Dec,"149,424","61,897","168,006","62,434",37.16,37.16
401,(주)뉴보텍,60260,10-Dec,"31,153","16,598",,,53.28,0
402,(주)뉴보텍,60260,11-Dec,"29,088","14,284","29,088","14,284",49.11,49.11
403,(주)뉴보텍,60260,12-Dec,"25,219","14,794","25,219","14,794",58.66,58.66
404,(주)뉴보텍,60260,13-Dec,"26,547","15,171","26,547","15,171",57.15,57.15
405,(주)뉴보텍,60260,14-Dec,"26,465","15,479","26,465","15,479",58.49,58.49
406,(주)뉴보텍,60260,15-Dec,"28,222","16,374","28,222","16,374",58.02,58.02
407,(주)뉴보텍,60260,16-Dec,"31,292","17,022","31,292","17,022",54.4,54.4
408,(주)뉴보텍,60260,17-Dec,"30,897","16,489","30,897","16,489",53.37,53.37
409,(주)뉴보텍,60260,18-Dec,"30,304","18,711","30,304","18,711",61.74,61.74
410,(주)뉴보텍,60260,19-Dec,"46,233","27,627","46,233","27,627",59.76,59.76
411,(주)뉴인텍,12340,10-Dec,"54,227","25,929","62,612","28,119",47.82,130944.54
412,(주)뉴파워프라즈마,144960,10-Dec,,,,,#DIV/0!,#DIV/0!
413,(주)뉴프렉스,85670,10-Dec,"74,462","38,046","80,074","36,577",51.09,156717.4
414,(주)뉴프렉스,85670,11-Dec,"79,120","38,275","83,200","35,753",42.97,42.97
415,(주)뉴프렉스,85670,12-Dec,"94,161","39,316","94,613","37,910",40.07,40.07
416,(주)뉴프렉스,85670,13-Dec,"101,678","35,905","101,628","34,497",33.94,33.94
417,(주)뉴프렉스,85670,14-Dec,"100,901","37,844","101,289","36,675",36.21,36.21
418,(주)뉴프렉스,85670,15-Dec,"119,840","41,506","120,349","40,779",33.88,33.88
419,(주)뉴프렉스,85670,16-Dec,"106,503","40,890","107,094","39,860",37.22,37.22
420,(주)뉴프렉스,85670,17-Dec,"114,863","45,981","118,913","46,505",39.11,39.11
421,(주)뉴프렉스,85670,18-Dec,"126,881","59,474","144,998","60,845",41.96,41.96
422,(주)뉴프렉스,85670,19-Dec,"116,797","52,301","137,434","49,677",36.15,36.15
423,(주)다나와,119860,10-Dec,"24,801","21,606","24,801","21,606",87.12,28468.46
424,(주)다날,64260,10-Dec,"155,154","78,117","224,740","73,915",50.35,446372.88
425,(주)다날,64260,11-Dec,"146,372","85,884","223,475","70,620",31.6,31.6
426,(주)다날,64260,12-Dec,"163,416","87,891","261,430","67,337",25.76,25.76
427,(주)다날,64260,13-Dec,"185,060","107,391","285,663","84,319",29.52,29.52
428,(주)다날,64260,14-Dec,"181,346","96,189","268,611","89,550",33.34,33.34
429,(주)다날,64260,15-Dec,"280,832","114,839","300,514","107,979",35.93,35.93
430,(주)다날,64260,16-Dec,"377,191","150,473","387,779","143,128",36.91,36.91
431,(주)다날,64260,17-Dec,"425,812","180,663","469,487","182,358",38.84,38.84
432,(주)다날,64260,18-Dec,"420,268","170,022","456,520","160,400",35.14,35.14
433,(주)다날,64260,19-Dec,"482,001","205,124","512,018","199,772",39.02,39.02
434,(주)다산네트웍스,39560,10-Dec,"247,797","137,244","280,394","140,919",55.39,506257.41
435,(주)다산네트웍스,39560,11-Dec,"206,707","143,987","247,042","143,402",58.05,58.05
436,(주)다산네트웍스,39560,12-Dec,"169,878","132,628","213,555","133,857",62.68,62.68
437,(주)다산네트웍스,39560,13-Dec,"199,703","136,340","241,039","138,473",57.45,57.45
438,(주)다산네트웍스,39560,14-Dec,"228,283","137,013","258,997","133,672",51.61,51.61
439,(주)다산네트웍스,39560,15-Dec,"252,106","137,514","355,524","136,963",38.52,38.52
440,(주)다산네트웍스,39560,16-Dec,"255,135","128,614","371,292","147,666",39.77,39.77
441,(주)다산네트웍스,39560,17-Dec,"264,207","153,989","345,584","163,473",47.3,47.3
