,회사명,회계년도,거래소코드,매출원가율
123,골드앤에스,13-Dec,35290,0.71 
124,골드앤에스,14-Dec,35290,0.75 
125,골드앤에스,15-Dec,35290,0.68 
126,골드앤에스,16-Dec,35290,0.59 
127,골드앤에스,17-Dec,35290,0.63 
128,골드앤에스,18-Dec,35290,0.51 
129,골드앤에스,19-Dec,35290,0.82 
130,골드퍼시픽,11-Dec,38530,1.00 
131,골드퍼시픽,12-Dec,38530,1.00 
132,골드퍼시픽,13-Dec,38530,1.15 
133,골드퍼시픽,14-Dec,38530,1.09 
134,골드퍼시픽,15-Dec,38530,1.06 
135,골드퍼시픽,16-Dec,38530,1.00 
136,골드퍼시픽,17-Dec,38530,1.00 
137,골드퍼시픽,18-Dec,38530,0.25 
138,골드퍼시픽,19-Dec,38530,1.00 
139,골프존뉴딘홀딩스,11-Dec,121440,0.47 
140,골프존뉴딘홀딩스,12-Dec,121440,0.45 
141,골프존뉴딘홀딩스,13-Dec,121440,0.51 
142,골프존뉴딘홀딩스,14-Dec,121440,0.51 
143,골프존뉴딘홀딩스,15-Dec,121440,0.66 
144,골프존뉴딘홀딩스,16-Dec,121440,0.52 
145,골프존뉴딘홀딩스,17-Dec,121440,0.53 
146,골프존뉴딘홀딩스,18-Dec,121440,0.58 
147,골프존뉴딘홀딩스,19-Dec,121440,0.61 
148,광림,11-Dec,14200,1.00 
149,광림,12-Dec,14200,1.00 
150,광림,13-Dec,14200,1.00 
151,광림,14-Dec,14200,0.76 
152,광림,15-Dec,14200,1.00 
153,광림,16-Dec,14200,0.86 
154,광림,17-Dec,14200,0.97 
155,광림,18-Dec,14200,0.90 
156,광림,19-Dec,14200,0.93 
157,광명전기,11-Dec,17040,0.88 
158,광명전기,12-Dec,17040,0.88 
159,광명전기,13-Dec,17040,0.84 
160,광명전기,14-Dec,17040,0.85 
161,광명전기,15-Dec,17040,0.85 
162,광명전기,16-Dec,17040,0.90 
163,광명전기,17-Dec,17040,0.91 
164,광명전기,18-Dec,17040,0.91 
165,광명전기,19-Dec,17040,0.89 
166,광무,11-Dec,29480,0.82 
167,광무,12-Dec,29480,0.82 
168,광무,13-Dec,29480,1.10 
169,광무,14-Dec,29480,1.00 
170,광무,15-Dec,29480,1.00 
171,광무,16-Dec,29480,1.00 
172,광무,17-Dec,29480,1.00 
173,광무,18-Dec,29480,0.77 
174,광무,19-Dec,29480,0.60 
175,구영테크,11-Dec,53270,0.88 
176,구영테크,12-Dec,53270,0.86 
177,구영테크,13-Dec,53270,0.87 
178,구영테크,14-Dec,53270,0.87 
179,구영테크,15-Dec,53270,0.85 
180,구영테크,16-Dec,53270,0.85 
181,구영테크,17-Dec,53270,0.85 
182,구영테크,18-Dec,53270,0.89 
183,구영테크,19-Dec,53270,0.90 
184,국동,11-Dec,5320,0.87 
185,국동,12-Dec,5320,0.82 
186,국동,13-Dec,5320,0.84 
187,국동,14-Dec,5320,0.82 
188,국동,15-Dec,5320,0.83 
189,국동,16-Dec,5320,0.81 
190,국동,17-Dec,5320,0.85 
191,국동,18-Dec,5320,0.83 
192,국동,19-Dec,5320,0.85 
193,국보,11-Dec,1140,0.93 
194,국보,12-Dec,1140,0.92 
195,국보,13-Dec,1140,0.92 
196,국보,14-Dec,1140,0.94 
197,국보,15-Dec,1140,0.94 
198,국보,16-Dec,1140,0.91 
199,국보,17-Dec,1140,0.92 
200,국보,18-Dec,1140,0.95 
201,국보,19-Dec,1140,0.80 
202,국순당,11-Dec,43650,0.57 
203,국순당,12-Dec,43650,0.55 
204,국순당,13-Dec,43650,0.58 
205,국순당,14-Dec,43650,0.61 
206,국순당,15-Dec,43650,0.65 
207,국순당,16-Dec,43650,0.60 
208,국순당,17-Dec,43650,0.62 
209,국순당,18-Dec,43650,0.63 
210,국순당,19-Dec,43650,0.72 
211,국영지앤엠,11-Dec,6050,1.00 
212,국영지앤엠,12-Dec,6050,1.00 
213,국영지앤엠,13-Dec,6050,1.00 
214,국영지앤엠,14-Dec,6050,1.00 
215,국영지앤엠,15-Dec,6050,1.00 
216,국영지앤엠,16-Dec,6050,1.00 
217,국영지앤엠,17-Dec,6050,1.00 
218,국영지앤엠,18-Dec,6050,1.00 
219,국영지앤엠,19-Dec,6050,1.00 
220,그래디언트,11-Dec,35080,0.66 
221,그래디언트,12-Dec,35080,0.66 
222,그래디언트,13-Dec,35080,0.90 
223,그래디언트,14-Dec,35080,0.90 
224,그래디언트,15-Dec,35080,0.89 
225,그래디언트,16-Dec,35080,0.89 
226,그래디언트,17-Dec,35080,0.89 
227,그래디언트,18-Dec,35080,0.90 
228,그래디언트,19-Dec,35080,0.89 
229,금호에이치티,15-Dec,214330,0.84 
230,금호에이치티,16-Dec,214330,0.88 
231,금호에이치티,17-Dec,214330,0.90 
232,금호에이치티,18-Dec,214330,0.90 
233,금호에이치티,19-Dec,214330,0.94 
234,기가레인,13-Dec,49080,0.79 
235,기가레인,14-Dec,49080,0.81 
236,기가레인,15-Dec,49080,1.17 
237,기가레인,16-Dec,49080,0.99 
238,기가레인,17-Dec,49080,0.83 
239,기가레인,18-Dec,49080,0.85 
240,기가레인,19-Dec,49080,1.17 
241,기산텔레콤,11-Dec,35460,0.89 
242,기산텔레콤,12-Dec,35460,0.82 
243,기산텔레콤,13-Dec,35460,0.78 
244,기산텔레콤,14-Dec,35460,0.80 
245,기산텔레콤,15-Dec,35460,0.83 
246,기산텔레콤,16-Dec,35460,0.84 
247,기산텔레콤,17-Dec,35460,0.86 
248,기산텔레콤,18-Dec,35460,0.84 
249,기산텔레콤,19-Dec,35460,0.79 
250,까뮤이앤씨,11-Dec,13700,1.00 
251,까뮤이앤씨,12-Dec,13700,1.00 
252,까뮤이앤씨,13-Dec,13700,1.00 
253,까뮤이앤씨,14-Dec,13700,1.00 
254,까뮤이앤씨,15-Dec,13700,1.00 
255,까뮤이앤씨,16-Dec,13700,1.00 
256,까뮤이앤씨,17-Dec,13700,1.00 
257,까뮤이앤씨,18-Dec,13700,1.00 
258,까뮤이앤씨,19-Dec,13700,1.00 
259,나노신소재,11-Dec,121600,0.56 
260,나노신소재,12-Dec,121600,0.69 
261,나노신소재,13-Dec,121600,0.64 
262,나노신소재,14-Dec,121600,0.56 
263,나노신소재,15-Dec,121600,0.54 
264,나노신소재,16-Dec,121600,0.57 
265,나노신소재,17-Dec,121600,0.55 
266,나노신소재,18-Dec,121600,0.57 
267,나노신소재,19-Dec,121600,0.60 
268,나무가,15-Dec,190510,0.88 
269,나무가,16-Dec,190510,0.94 
270,나무가,17-Dec,190510,1.05 
271,나무가,18-Dec,190510,0.94 
272,나무가,19-Dec,190510,0.94 
273,나이벡,11-Dec,138610,1.00 
274,나이벡,12-Dec,138610,1.00 
275,나이벡,13-Dec,138610,1.00 
276,나이벡,14-Dec,138610,1.00 
277,나이벡,15-Dec,138610,1.00 
278,나이벡,16-Dec,138610,1.00 
279,나이벡,17-Dec,138610,1.00 
280,나이벡,18-Dec,138610,1.00 
281,나이벡,19-Dec,138610,1.00 
282,남성,11-Dec,4270,0.78 
283,남성,12-Dec,4270,0.76 
284,남성,13-Dec,4270,0.76 
285,남성,14-Dec,4270,0.75 
286,남성,15-Dec,4270,0.75 
287,남성,16-Dec,4270,0.74 
288,남성,17-Dec,4270,0.73 
289,남성,18-Dec,4270,0.77 
290,남성,19-Dec,4270,0.74 
291,내츄럴엔도텍,13-Dec,168330,1.00 
292,내츄럴엔도텍,14-Dec,168330,1.00 
293,내츄럴엔도텍,15-Dec,168330,0.31 
294,내츄럴엔도텍,16-Dec,168330,0.65 
295,내츄럴엔도텍,17-Dec,168330,0.64 
296,내츄럴엔도텍,18-Dec,168330,1.35 
297,내츄럴엔도텍,19-Dec,168330,1.51 
298,네오리진,11-Dec,94860,0.83 
299,네오리진,12-Dec,94860,1.00 
300,네오리진,13-Dec,94860,1.00 
301,네오리진,14-Dec,94860,1.00 
302,네오리진,15-Dec,94860,1.00 
303,네오리진,16-Dec,94860,1.00 
304,네오리진,17-Dec,94860,0.44 
305,네오리진,18-Dec,94860,1.00 
306,네오리진,19-Dec,94860,1.00 
307,네오오토,15-Dec,212560,1.00 
308,네오오토,16-Dec,212560,1.00 
309,네오오토,17-Dec,212560,1.00 
310,네오오토,18-Dec,212560,1.00 
311,네오오토,19-Dec,212560,1.00 
312,네오펙트,18-Dec,290660,0.26 
313,네오펙트,19-Dec,290660,0.74 
314,네이블커뮤니케이션즈,12-Dec,153460,1.00 
315,네이블커뮤니케이션즈,13-Dec,153460,1.00 
316,네이블커뮤니케이션즈,14-Dec,153460,0.50 
317,네이블커뮤니케이션즈,15-Dec,153460,1.00 
318,네이블커뮤니케이션즈,16-Dec,153460,1.00 
319,네이블커뮤니케이션즈,17-Dec,153460,1.00 
320,네이블커뮤니케이션즈,18-Dec,153460,1.00 
321,네이블커뮤니케이션즈,19-Dec,153460,1.00 
322,네이처셀,11-Dec,7390,1.00 
323,네이처셀,12-Dec,7390,1.00 
324,네이처셀,13-Dec,7390,1.00 
325,네이처셀,14-Dec,7390,1.00 
326,네이처셀,15-Dec,7390,1.00 
327,네이처셀,16-Dec,7390,1.00 
328,네이처셀,17-Dec,7390,1.00 
329,네이처셀,18-Dec,7390,1.00 
330,네이처셀,19-Dec,7390,1.00 
331,네패스,11-Dec,33640,0.83 
332,네패스,12-Dec,33640,0.73 
333,네패스,13-Dec,33640,0.89 
334,네패스,14-Dec,33640,0.86 
335,네패스,15-Dec,33640,0.81 
336,네패스,16-Dec,33640,0.81 
337,네패스,17-Dec,33640,0.78 
338,네패스,18-Dec,33640,0.77 
339,네패스,19-Dec,33640,0.68 
340,넥스턴바이오사이언스,11-Dec,89140,1.00 
341,넥스턴바이오사이언스,12-Dec,89140,1.00 
342,넥스턴바이오사이언스,13-Dec,89140,1.00 
343,넥스턴바이오사이언스,14-Dec,89140,1.00 
344,넥스턴바이오사이언스,15-Dec,89140,1.00 
345,넥스턴바이오사이언스,16-Dec,89140,1.00 
346,넥스턴바이오사이언스,17-Dec,89140,1.00 
347,넥스턴바이오사이언스,18-Dec,89140,1.00 
348,넥스턴바이오사이언스,19-Dec,89140,1.00 
349,넥스트아이,11-Dec,137940,1.00 
350,넥스트아이,12-Dec,137940,0.58 
351,넥스트아이,13-Dec,137940,0.63 
352,넥스트아이,14-Dec,137940,0.68 
353,넥스트아이,15-Dec,137940,0.67 
354,넥스트아이,16-Dec,137940,0.72 
355,넥스트아이,17-Dec,137940,0.68 
356,넥스트아이,18-Dec,137940,0.64 
357,넥스트아이,19-Dec,137940,0.73 
358,넥스트엔터테인먼트월드,14-Dec,160550,0.77 
359,넥스트엔터테인먼트월드,15-Dec,160550,0.89 
360,넥스트엔터테인먼트월드,16-Dec,160550,0.79 
361,넥스트엔터테인먼트월드,17-Dec,160550,0.78 
362,넥스트엔터테인먼트월드,18-Dec,160550,0.83 
363,넥스트엔터테인먼트월드,19-Dec,160550,0.81 
364,노블엠앤비,12-Dec,106520,0.82 
365,노블엠앤비,13-Dec,106520,0.81 
366,노블엠앤비,14-Dec,106520,0.87 
367,노블엠앤비,15-Dec,106520,0.94 
368,노블엠앤비,16-Dec,106520,0.98 
369,노블엠앤비,17-Dec,106520,1.02 
370,노블엠앤비,18-Dec,106520,1.02 
371,노블엠앤비,19-Dec,106520,0.85 
372,녹십자엠에스,14-Dec,142280,1.00 
373,녹십자엠에스,15-Dec,142280,0.85 
374,녹십자엠에스,16-Dec,142280,0.86 
375,녹십자엠에스,17-Dec,142280,0.84 
376,녹십자엠에스,18-Dec,142280,0.91 
377,녹십자엠에스,19-Dec,142280,0.90 
378,녹원씨엔아이,11-Dec,65560,0.67 
379,녹원씨엔아이,12-Dec,65560,0.71 
380,녹원씨엔아이,13-Dec,65560,0.86 
381,녹원씨엔아이,14-Dec,65560,0.92 
382,녹원씨엔아이,15-Dec,65560,0.53 
383,녹원씨엔아이,16-Dec,65560,0.82 
384,녹원씨엔아이,17-Dec,65560,0.37 
385,녹원씨엔아이,18-Dec,65560,0.66 
386,녹원씨엔아이,19-Dec,65560,0.69 
387,누리플랜,11-Dec,69140,0.77 
388,누리플랜,12-Dec,69140,0.81 
389,누리플랜,13-Dec,69140,0.88 
390,누리플랜,14-Dec,69140,1.00 
391,누리플랜,15-Dec,69140,1.00 
392,누리플랜,16-Dec,69140,1.00 
393,누리플랜,17-Dec,69140,0.79 
394,누리플랜,18-Dec,69140,0.82 
395,누리플랜,19-Dec,69140,0.82 
396,누리플렉스,11-Dec,40160,0.69 
397,누리플렉스,12-Dec,40160,0.66 
398,누리플렉스,13-Dec,40160,0.58 
399,누리플렉스,14-Dec,40160,0.56 
400,누리플렉스,15-Dec,40160,0.57 
401,누리플렉스,16-Dec,40160,0.53 
402,누리플렉스,17-Dec,40160,0.75 
403,누리플렉스,18-Dec,40160,0.72 
404,누리플렉스,19-Dec,40160,0.72 
405,뉴로스,12-Dec,126870,0.54 
406,뉴로스,13-Dec,126870,0.57 
407,뉴로스,14-Dec,126870,0.56 
408,뉴로스,15-Dec,126870,0.69 
409,뉴로스,16-Dec,126870,0.62 
410,뉴로스,17-Dec,126870,0.68 
411,뉴로스,18-Dec,126870,0.67 
412,뉴로스,19-Dec,126870,0.76 
413,뉴보텍,11-Dec,60260,1.00 
414,뉴보텍,12-Dec,60260,1.00 
415,뉴보텍,13-Dec,60260,1.00 
416,뉴보텍,14-Dec,60260,1.00 
417,뉴보텍,15-Dec,60260,1.00 
418,뉴보텍,16-Dec,60260,1.00 
419,뉴보텍,17-Dec,60260,1.00 
420,뉴보텍,18-Dec,60260,1.00 
421,뉴보텍,19-Dec,60260,1.00 
422,뉴인텍,11-Dec,12340,0.88 
423,뉴인텍,12-Dec,12340,1.01 
424,뉴인텍,13-Dec,12340,0.93 
425,뉴인텍,14-Dec,12340,0.97 
426,뉴인텍,15-Dec,12340,0.89 
427,뉴인텍,16-Dec,12340,1.02 
428,뉴인텍,17-Dec,12340,0.92 
429,뉴인텍,18-Dec,12340,0.93 
430,뉴인텍,19-Dec,12340,0.89 
431,뉴프렉스,11-Dec,85670,0.90 
432,뉴프렉스,12-Dec,85670,0.87 
433,뉴프렉스,13-Dec,85670,0.91 
434,뉴프렉스,14-Dec,85670,0.89 
435,뉴프렉스,15-Dec,85670,0.92 
436,뉴프렉스,16-Dec,85670,0.92 
437,뉴프렉스,17-Dec,85670,0.89 
438,뉴프렉스,18-Dec,85670,0.88 
439,뉴프렉스,19-Dec,85670,0.97 
440,다날,11-Dec,64260,1.00 
441,다날,12-Dec,64260,1.02 
442,다날,13-Dec,64260,0.78 
443,다날,14-Dec,64260,0.85 
444,다날,15-Dec,64260,0.86 
445,다날,16-Dec,64260,0.80 
446,다날,17-Dec,64260,0.69 
447,다날,18-Dec,64260,0.53 
448,다날,19-Dec,64260,0.75 
449,다산네트웍스,11-Dec,39560,0.67 
450,다산네트웍스,12-Dec,39560,0.62 
451,다산네트웍스,13-Dec,39560,0.66 
452,다산네트웍스,14-Dec,39560,0.70 
453,다산네트웍스,15-Dec,39560,0.78 
454,다산네트웍스,16-Dec,39560,0.73 
455,다산네트웍스,17-Dec,39560,0.66 
456,다산네트웍스,18-Dec,39560,0.66 
457,다산네트웍스,19-Dec,39560,0.66 
458,다이나믹디자인,15-Dec,145210,0.83 
459,다이나믹디자인,16-Dec,145210,0.84 
460,다이나믹디자인,17-Dec,145210,0.86 
461,다이나믹디자인,18-Dec,145210,0.95 
462,다이나믹디자인,19-Dec,145210,0.90 
463,대구백화점,18-Dec,6370,0.32 
464,대구백화점,19-Dec,6370,0.00 
465,대동,11-Dec,490,0.78 
466,대동,12-Dec,490,0.78 
467,대동,13-Dec,490,0.78 
468,대동,14-Dec,490,0.81 
469,대동,15-Dec,490,0.77 
470,대동,16-Dec,490,0.79 
471,대동,17-Dec,490,0.79 
472,대동,18-Dec,490,0.81 
473,대동,19-Dec,490,0.77 
474,대동스틸,11-Dec,48470,1.00 
475,대동스틸,12-Dec,48470,1.00 
476,대동스틸,13-Dec,48470,1.00 
477,대동스틸,14-Dec,48470,1.00 
478,대동스틸,15-Dec,48470,1.00 
479,대동스틸,16-Dec,48470,1.00 
480,대동스틸,17-Dec,48470,1.00 
481,대동스틸,18-Dec,48470,1.00 
482,대동스틸,19-Dec,48470,1.00 
483,대림제지,11-Dec,17650,1.00 
484,대림제지,12-Dec,17650,1.00 
485,대림제지,13-Dec,17650,1.00 
486,대림제지,14-Dec,17650,1.00 
487,대림제지,15-Dec,17650,1.00 
