,구분,2011년.mid,2012년.mid,2013년.mid,2014년.mid,2015년.mid,2016년.mid,2017년.mid,2018년.mid,2019년.mid
69,대한뉴팜,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
70,대한약품공업,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
71,대화제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
72,동국제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
73,동성제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
74,동아쏘시오홀딩스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
75,동아에스티,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
76,동화약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
77,메디포스트,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
78,명문제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
79,부광약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
80,브릿지바이오테라퓨틱스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
81,삼성바이오로직스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
82,삼성제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
83,삼아제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
84,삼일제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
85,삼진제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
86,삼천당제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
87,신신제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
88,신일제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
89,신풍제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
90,아이큐어,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
91,안국약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
92,알리코제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
93,애니젠,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
94,앱클론,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
95,에스티팜,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
96,에이비엘바이오,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
97,에이프로젠제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
98,영진약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
99,올리패스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
100,우진비앤지,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
101,이연제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
102,일동제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
103,일동홀딩스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
104,일성신약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
105,일양약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
106,제이더블유생명과학,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
107,제이더블유중외제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
108,제일약품,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
109,제일파마홀딩스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
110,조아제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
111,진양제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
112,케이피엑스라이프사이언스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
113,코아스템,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
114,코오롱생명과학,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
115,코오롱티슈진,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
116,테고사이언스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
117,팜젠사이언스,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
118,피씨엘,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
119,하나제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
120,한국유나이티드제약,41.73,41.84,43.25,44.93,48.21,52.51,52.32,54.69,57.6
