회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
(주)가비아,79940,13-Dec,70675565,38882747,
(주)가비아,79940,14-Dec,80432047,45275795,
(주)가비아,79940,15-Dec,91648622,50078893,
(주)가비아,79940,16-Dec,102178978,54998617,
(주)가비아,79940,17-Dec,116217941,60313364,
(주)가비아,79940,18-Dec,128728438,65751367,
(주)가비아,79940,19-Dec,148306878,75650385,
(주)강스템바이오텍,217730,15-Dec,,,
(주)강스템바이오텍,217730,16-Dec,,,
(주)강스템바이오텍,217730,17-Dec,9132939,5874047,
(주)강스템바이오텍,217730,18-Dec,9165454,7988195,
(주)강스템바이오텍,217730,19-Dec,6004584,6428945,
(주)강원랜드,35250,10-Dec,1313788411,490130911,
(주)강원랜드,35250,11-Dec,1265686425,538388479,
(주)강원랜드,35250,12-Dec,1296191223,647845564,
(주)강원랜드,35250,13-Dec,1361286598,726091776,
(주)강원랜드,35250,14-Dec,1496541441,722297880,
(주)강원랜드,35250,15-Dec,1633716839,759645970,
(주)강원랜드,35250,16-Dec,1696532511,785177091,
(주)강원랜드,35250,17-Dec,1604470055,787533848,
(주)강원랜드,35250,18-Dec,1438059299,729593460,
(주)강원랜드,35250,19-Dec,1520080449,736659054,
(주)강원에너지,114190,10-Nov,,,
(주)강원에너지,114190,11-Nov,,,
(주)강원에너지,114190,12-Dec,,,
(주)강원에너지,114190,13-Dec,,,
(주)강원에너지,114190,14-Dec,,,
(주)강원에너지,114190,15-Dec,46188664,38265188,
(주)강원에너지,114190,16-Dec,42287473,35270278,
(주)강원에너지,114190,17-Dec,82034829,81169717,
(주)강원에너지,114190,18-Dec,85905365,80012233,
(주)강원에너지,114190,19-Dec,42549622,48688856,
(주)갤럭시아에스엠,11420,10-Dec,56624254,47615806,
(주)갤럭시아에스엠,11420,11-Dec,47331427,38695073,
(주)갤럭시아에스엠,11420,12-Dec,55049732,47555420,
(주)갤럭시아에스엠,11420,13-Dec,46437304,41764586,
(주)갤럭시아에스엠,11420,14-Dec,43885894,40216941,
(주)갤럭시아에스엠,11420,15-Dec,62472754,56009656,
(주)갤럭시아에스엠,11420,16-Dec,52626331,51678856,
(주)갤럭시아에스엠,11420,17-Dec,37281280,37435336,
(주)갤럭시아에스엠,11420,18-Dec,22060413,27428110,
(주)갤럭시아에스엠,11420,19-Dec,28732679,26937800,
(주)경농,2100,10-Dec,143433922,93364157,
(주)경농,2100,11-Dec,121253605,79220101,
(주)경농,2100,12-Dec,136970449,87614008,
(주)경농,2100,13-Dec,196358952,129161139,
(주)경농,2100,14-Dec,188483147,122779838,
(주)경농,2100,15-Dec,196418710,127105636,
(주)경농,2100,16-Dec,203984939,135371879,
(주)경농,2100,17-Dec,206534382,138859895,
(주)경농,2100,18-Dec,212654617,139911460,
(주)경농,2100,19-Dec,227510941,153098094,
(주)경동나비엔,9450,10-Dec,307182060,222260842,
(주)경동나비엔,9450,11-Dec,341246917,251540613,
(주)경동나비엔,9450,12-Dec,379014259,282583068,
(주)경동나비엔,9450,13-Dec,414177562,296168554,
(주)경동나비엔,9450,14-Dec,428985365,313840608,
(주)경동나비엔,9450,15-Dec,512031120,352051189,
(주)경동나비엔,9450,16-Dec,583252904,382333051,
(주)경동나비엔,9450,17-Dec,684660958,446078996,
(주)경동나비엔,9450,18-Dec,726741615,487844378,
(주)경동나비엔,9450,19-Dec,774290704,509635845,
(주)경동도시가스,267290,17-Dec,871548284,793238142,
(주)경동도시가스,267290,18-Dec,1606531867,1480519376,
(주)경동도시가스,267290,19-Dec,1422707835,1310188918,
(주)경동인베스트,12320,10-Dec,1360542926,1254462850,
(주)경동인베스트,12320,11-Dec,1847666903,1739469751,
(주)경동인베스트,12320,12-Dec,2502642394,2381579037,
(주)경동인베스트,12320,13-Dec,2788264380,2659198011,
(주)경동인베스트,12320,14-Dec,2603059058,2470957525,
(주)경동인베스트,12320,15-Dec,1604168482,1520436435,
(주)경동인베스트,12320,16-Dec,1181902637,1064804018,
(주)경동인베스트,12320,17-Dec,195069859,140724518,
(주)경동인베스트,12320,18-Dec,228644016,171130400,
(주)경동인베스트,12320,19-Dec,271765025,223338232,
(주)경방,50,10-Dec,339355972,233166690,
(주)경방,50,11-Dec,348136369,258814443,
(주)경방,50,12-Dec,333620804,260837041,
(주)경방,50,13-Dec,347189559,251468225,
(주)경방,50,14-Dec,329036023,238357806,
(주)경방,50,15-Dec,357628146,255868653,
(주)경방,50,16-Dec,377445013,268352680,
(주)경방,50,17-Dec,360788750,253442168,
(주)경방,50,18-Dec,351438926,244043108,
(주)경방,50,19-Dec,343892085,244396020,
(주)경보제약,214390,15-Dec,,,
(주)경보제약,214390,16-Dec,,,
(주)경보제약,214390,17-Dec,,,
(주)경보제약,214390,18-Dec,,,
(주)경보제약,214390,19-Dec,,,
(주)경인양행,12610,10-Dec,267600679,227505749,
(주)경인양행,12610,11-Dec,233095049,198818643,
(주)경인양행,12610,12-Dec,218604655,190167857,
(주)경인양행,12610,13-Dec,260808400,217483383,
(주)경인양행,12610,14-Dec,277181095,228191361,
(주)경인양행,12610,15-Dec,263163677,220123025,
(주)경인양행,12610,16-Dec,274873817,228042128,
(주)경인양행,12610,17-Dec,299987729,252841704,
(주)경인양행,12610,18-Dec,331102011,255365574,
(주)경인양행,12610,19-Dec,358802386,274054354,
(주)고려시멘트,198440,14-Dec,,,
(주)고려시멘트,198440,15-Dec,,,
(주)고려시멘트,198440,16-Dec,,,
(주)고려시멘트,198440,17-Dec,,,
(주)고려시멘트,198440,18-Dec,,,
(주)고려시멘트,198440,19-Dec,,,
(주)고영테크놀러지,98460,10-Dec,72956931,30102283,
(주)고영테크놀러지,98460,11-Dec,86130810,36970902,
(주)고영테크놀러지,98460,12-Dec,107841666,46349851,
(주)고영테크놀러지,98460,13-Dec,111902729,49977494,
(주)고영테크놀러지,98460,14-Dec,142840131,60262407,
(주)고영테크놀러지,98460,15-Dec,145904431,56896177,
(주)고영테크놀러지,98460,16-Dec,171793841,63856136,
(주)고영테크놀러지,98460,17-Dec,203368626,71899522,
(주)고영테크놀러지,98460,18-Dec,238208865,89336707,
(주)고영테크놀러지,98460,19-Dec,222057035,80865005,
(주)골드앤에스,35290,10-Dec,50487261,35851526,
(주)골드앤에스,35290,11-Dec,47522791,32544786,
(주)골드앤에스,35290,12-Dec,43889087,31012456,
(주)골드앤에스,35290,13-Dec,39548810,28127986,
(주)골드앤에스,35290,14-Dec,31287203,23453716,
(주)골드앤에스,35290,15-Dec,22197935,15199451,
(주)골드앤에스,35290,16-Dec,15893494,9347753,
(주)골드앤에스,35290,17-Dec,12802035,8002687,
(주)골드앤에스,35290,18-Dec,8680452,4405757,
(주)골드앤에스,35290,19-Dec,7642733,6293120,
(주)골드퍼시픽,38530,10-Dec,,,
(주)골드퍼시픽,38530,11-Dec,,,
(주)골드퍼시픽,38530,12-Dec,,,
(주)골드퍼시픽,38530,13-Dec,7167832,8242393,
(주)골드퍼시픽,38530,14-Dec,16486257,17957521,
(주)골드퍼시픽,38530,15-Dec,18635305,19680341,
(주)골드퍼시픽,38530,16-Dec,,,
(주)골드퍼시픽,38530,17-Dec,,,
(주)골드퍼시픽,38530,18-Dec,5708281,1408824,
(주)골드퍼시픽,38530,19-Dec,,,
(주)골프존,215000,15-Dec,201560389,80622893,
(주)골프존,215000,16-Dec,216964342,87427908,
(주)골프존,215000,17-Dec,200105321,69036405,
(주)골프존,215000,18-Dec,198705194,77580938,
(주)골프존,215000,19-Dec,247018099,93859565,
(주)골프존뉴딘홀딩스,121440,11-Dec,215793737,100364106,
(주)골프존뉴딘홀딩스,121440,12-Dec,289629366,131624220,
(주)골프존뉴딘홀딩스,121440,13-Dec,365126358,186981066,
(주)골프존뉴딘홀딩스,121440,14-Dec,429589619,219364035,
(주)골프존뉴딘홀딩스,121440,15-Dec,164536448,109081059,
(주)골프존뉴딘홀딩스,121440,16-Dec,243275475,126201483,
(주)골프존뉴딘홀딩스,121440,17-Dec,213756902,112978779,
(주)골프존뉴딘홀딩스,121440,18-Dec,223036801,129202466,
(주)골프존뉴딘홀딩스,121440,19-Dec,228935651,140609926,
(주)광림,14200,10-Dec,,,
(주)광림,14200,11-Dec,,,
(주)광림,14200,12-Dec,,,
(주)광림,14200,13-Dec,,,
(주)광림,14200,14-Dec,231446314,175450887,
(주)광림,14200,15-Dec,,,
(주)광림,14200,16-Dec,87302967,75002299,
(주)광림,14200,17-Dec,135191558,131160374,
(주)광림,14200,18-Dec,136595300,122536264,
(주)광림,14200,19-Dec,145864184,134964602,
(주)광명전기,17040,10-Dec,103512739,89902685,
(주)광명전기,17040,11-Dec,92382628,81102005,
(주)광명전기,17040,12-Dec,117216514,102591227,
(주)광명전기,17040,13-Dec,117852824,98728241,
(주)광명전기,17040,14-Dec,134778387,114780200,
(주)광명전기,17040,15-Dec,116316957,98659704,
(주)광명전기,17040,16-Dec,96942911,87732377,
(주)광명전기,17040,17-Dec,101561159,92454439,
(주)광명전기,17040,18-Dec,114110654,103304003,
(주)광명전기,17040,19-Dec,131864294,117038701,
(주)광무,29480,10-Dec,81747132,62980133,
