,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율,산업명
44,(주)MH에탄올,23150,19-Dec,80879342,54219181,0.67,0.74,-10.44776119,  음료 제조업
45,(주)SH에너지화학,2360,11-Dec,173209351,160789710,0.93,0.91,2.150537634,  화학물질 및 화학제품 제조업; 의약품 제외
46,(주)SH에너지화학,2360,12-Dec,193950102,178829327,0.92,0.93,-1.086956522,  화학물질 및 화학제품 제조업; 의약품 제외
47,(주)SH에너지화학,2360,13-Dec,231912218,213952261,0.92,0.92,0,  화학물질 및 화학제품 제조업; 의약품 제외
48,(주)SH에너지화학,2360,14-Dec,230912587,197661842,0.86,0.92,-6.976744186,  화학물질 및 화학제품 제조업; 의약품 제외
49,(주)SH에너지화학,2360,15-Dec,216441364,179135051,0.83,0.86,-3.614457831,  화학물질 및 화학제품 제조업; 의약품 제외
50,(주)SH에너지화학,2360,16-Dec,218397677,179759098,0.82,0.83,-1.219512195,  화학물질 및 화학제품 제조업; 의약품 제외
51,(주)SH에너지화학,2360,17-Dec,188114822,161824273,0.86,0.82,4.651162791,  화학물질 및 화학제품 제조업; 의약품 제외
52,(주)SH에너지화학,2360,18-Dec,183598766,171330094,0.93,0.86,7.52688172,  화학물질 및 화학제품 제조업; 의약품 제외
53,(주)SH에너지화학,2360,19-Dec,140852575,134184400,0.95,0.93,2.105263158,  화학물질 및 화학제품 제조업; 의약품 제외
54,(주)SIMPAC,9160,11-Dec,215365697,170409718,0.79,0.79,0,  기타 기계 및 장비 제조업
55,(주)SIMPAC,9160,12-Dec,225353321,182861979,0.81,0.79,2.469135802,  기타 기계 및 장비 제조업
56,(주)SIMPAC,9160,13-Dec,205751154,164405183,0.8,0.81,-1.25,  기타 기계 및 장비 제조업
57,(주)SIMPAC,9160,14-Dec,263152264,220084616,0.84,0.8,4.761904762,  기타 기계 및 장비 제조업
58,(주)SIMPAC,9160,15-Dec,269528038,221412942,0.82,0.84,-2.43902439,  기타 기계 및 장비 제조업
59,(주)SIMPAC,9160,16-Dec,267074156,217713888,0.82,0.82,0,  기타 기계 및 장비 제조업
60,(주)SIMPAC,9160,17-Dec,230634812,193009825,0.84,0.82,2.380952381,  기타 기계 및 장비 제조업
61,(주)SIMPAC,9160,18-Dec,306150809,271995017,0.89,0.84,5.617977528,  기타 기계 및 장비 제조업
62,(주)SIMPAC,9160,19-Dec,430085162,385305111,0.9,0.89,1.111111111,  기타 기계 및 장비 제조업
63,(주)SNT에너지,100840,11-Dec,,,,,,  기타 기계 및 장비 제조업
64,(주)SNT에너지,100840,12-Dec,,,,,,  기타 기계 및 장비 제조업
65,(주)SNT에너지,100840,13-Dec,,,,,,  기타 기계 및 장비 제조업
66,(주)SNT에너지,100840,14-Dec,,,,,,  기타 기계 및 장비 제조업
67,(주)SNT에너지,100840,15-Dec,,,,,,  기타 기계 및 장비 제조업
68,(주)SNT에너지,100840,16-Dec,,,,,,  기타 기계 및 장비 제조업
69,(주)SNT에너지,100840,17-Dec,,,,,,  기타 기계 및 장비 제조업
70,(주)SNT에너지,100840,18-Dec,,,,,,  기타 기계 및 장비 제조업
71,(주)SNT에너지,100840,19-Dec,213326726,177635077,0.83,,,  기타 기계 및 장비 제조업
72,(주)SNT홀딩스,36530,11-Dec,1663846065,1449348821,0.87,0.84,3.448275862,  전문 서비스업
73,(주)SNT홀딩스,36530,12-Dec,1668749904,1465168699,0.88,0.87,1.136363636,  전문 서비스업
74,(주)SNT홀딩스,36530,13-Dec,1576368464,1379201925,0.87,0.88,-1.149425287,  전문 서비스업
75,(주)SNT홀딩스,36530,14-Dec,1552374806,1380123821,0.89,0.87,2.247191011,  전문 서비스업
76,(주)SNT홀딩스,36530,15-Dec,1612746929,1331347191,0.83,0.89,-7.228915663,  전문 서비스업
77,(주)SNT홀딩스,36530,16-Dec,1537700275,1336617769,0.87,0.83,4.597701149,  전문 서비스업
78,(주)SNT홀딩스,36530,17-Dec,1508152132,1303372403,0.86,0.87,-1.162790698,  전문 서비스업
79,(주)SNT홀딩스,36530,18-Dec,1401307482,1221120349,0.87,0.86,1.149425287,  전문 서비스업
80,(주)SNT홀딩스,36530,19-Dec,1512114565,1284171398,0.85,0.87,-2.352941176,  전문 서비스업
81,(주)STX,11810,11-Dec,5967701000,5516021000,0.92,0.93,-1.086956522,  도매 및 상품 중개업
82,(주)STX,11810,12-Dec,6159850000,6353608000,1.03,0.92,10.67961165,  도매 및 상품 중개업
83,(주)STX,11810,13-Dec,2449401000,3140865000,1.28,1.03,19.53125,  도매 및 상품 중개업
84,(주)STX,11810,14-Dec,1634606000,1513363000,0.93,1.28,-37.6344086,  도매 및 상품 중개업
85,(주)STX,11810,15-Dec,1630827000,1586081000,0.97,0.93,4.12371134,  도매 및 상품 중개업
86,(주)STX,11810,16-Dec,1720153000,1635394000,0.95,0.97,-2.105263158,  도매 및 상품 중개업
87,(주)STX,11810,17-Dec,1803878000,1718572000,0.95,0.95,0,  도매 및 상품 중개업
88,(주)STX,11810,18-Dec,1502985000,1483048000,0.99,0.95,4.04040404,  도매 및 상품 중개업
89,(주)STX,11810,19-Dec,1471164000,1424697000,0.97,0.99,-2.06185567,  도매 및 상품 중개업
90,(주)TCC스틸,2710,11-Dec,514424043,472273637,0.92,0.89,3.260869565,  1차 금속 제조업
91,(주)TCC스틸,2710,12-Dec,501337475,457927934,0.91,0.92,-1.098901099,  1차 금속 제조업
92,(주)TCC스틸,2710,13-Dec,500832754,474104834,0.95,0.91,4.210526316,  1차 금속 제조업
93,(주)TCC스틸,2710,14-Dec,518995240,483588495,0.93,0.95,-2.150537634,  1차 금속 제조업
94,(주)TCC스틸,2710,15-Dec,495795871,451936886,0.91,0.93,-2.197802198,  1차 금속 제조업
95,(주)TCC스틸,2710,16-Dec,444453635,402898839,0.91,0.91,0,  1차 금속 제조업
96,(주)TCC스틸,2710,17-Dec,391370092,356978389,0.91,0.91,0,  1차 금속 제조업
97,(주)TCC스틸,2710,18-Dec,413176279,377890304,0.91,0.91,0,  1차 금속 제조업
98,(주)TCC스틸,2710,19-Dec,437173902,405618477,0.93,0.91,2.150537634,  1차 금속 제조업
99,(주)가비아,79940,11-Dec,52838864,29173840,0.55,0.54,1.818181818,  출판업
100,(주)가비아,79940,12-Dec,69058144,40302408,0.58,0.55,5.172413793,  출판업
101,(주)가비아,79940,13-Dec,70675565,38882747,0.55,0.58,-5.454545455,  출판업
102,(주)가비아,79940,14-Dec,80432047,45275795,0.56,0.55,1.785714286,  출판업
103,(주)가비아,79940,15-Dec,91648622,50078893,0.55,0.56,-1.818181818,  출판업
104,(주)가비아,79940,16-Dec,102178978,54998617,0.54,0.55,-1.851851852,  출판업
105,(주)가비아,79940,17-Dec,116217941,60313364,0.52,0.54,-3.846153846,  출판업
106,(주)가비아,79940,18-Dec,128728438,65751367,0.51,0.52,-1.960784314,  출판업
107,(주)가비아,79940,19-Dec,148306878,75650385,0.51,0.51,0,  출판업
108,(주)강스템바이오텍,217730,15-Dec,,,,,,  연구개발업
109,(주)강스템바이오텍,217730,16-Dec,,,,,,  연구개발업
110,(주)강스템바이오텍,217730,17-Dec,9132939,5874047,0.64,,,  연구개발업
111,(주)강스템바이오텍,217730,18-Dec,9165454,7988195,0.87,0.64,26.43678161,  연구개발업
112,(주)강스템바이오텍,217730,19-Dec,6004584,6428945,1.07,0.87,18.69158879,  연구개발업
113,(주)강원랜드,35250,11-Dec,1265686425,538388479,0.43,0.37,13.95348837,  스포츠 및 오락관련 서비스업
114,(주)강원랜드,35250,12-Dec,1296191223,647845564,0.5,0.43,14,  스포츠 및 오락관련 서비스업
115,(주)강원랜드,35250,13-Dec,1361286598,726091776,0.53,0.5,5.660377358,  스포츠 및 오락관련 서비스업
116,(주)강원랜드,35250,14-Dec,1496541441,722297880,0.48,0.53,-10.41666667,  스포츠 및 오락관련 서비스업
117,(주)강원랜드,35250,15-Dec,1633716839,759645970,0.46,0.48,-4.347826087,  스포츠 및 오락관련 서비스업
118,(주)강원랜드,35250,16-Dec,1696532511,785177091,0.46,0.46,0,  스포츠 및 오락관련 서비스업
119,(주)강원랜드,35250,17-Dec,1604470055,787533848,0.49,0.46,6.12244898,  스포츠 및 오락관련 서비스업
120,(주)강원랜드,35250,18-Dec,1438059299,729593460,0.51,0.49,3.921568627,  스포츠 및 오락관련 서비스업
121,(주)강원랜드,35250,19-Dec,1520080449,736659054,0.48,0.51,-6.25,  스포츠 및 오락관련 서비스업
122,(주)강원에너지,114190,11-Nov,,,,,,  금속가공제품 제조업; 기계 및 가구 제외
123,(주)강원에너지,114190,12-Dec,,,,,,  금속가공제품 제조업; 기계 및 가구 제외
124,(주)강원에너지,114190,13-Dec,,,,,,  금속가공제품 제조업; 기계 및 가구 제외
125,(주)강원에너지,114190,14-Dec,,,,,,  금속가공제품 제조업; 기계 및 가구 제외
126,(주)강원에너지,114190,15-Dec,46188664,38265188,0.83,,,  금속가공제품 제조업; 기계 및 가구 제외
127,(주)강원에너지,114190,16-Dec,42287473,35270278,0.83,0.83,0,  금속가공제품 제조업; 기계 및 가구 제외
128,(주)강원에너지,114190,17-Dec,82034829,81169717,0.99,0.83,16.16161616,  금속가공제품 제조업; 기계 및 가구 제외
129,(주)강원에너지,114190,18-Dec,85905365,80012233,0.93,0.99,-6.451612903,  금속가공제품 제조업; 기계 및 가구 제외
130,(주)강원에너지,114190,19-Dec,42549622,48688856,1.14,0.93,18.42105263,  금속가공제품 제조업; 기계 및 가구 제외
131,(주)갤럭시아에스엠,11420,11-Dec,47331427,38695073,0.82,0.84,-2.43902439,  스포츠 및 오락관련 서비스업
132,(주)갤럭시아에스엠,11420,12-Dec,55049732,47555420,0.86,0.82,4.651162791,  스포츠 및 오락관련 서비스업
133,(주)갤럭시아에스엠,11420,13-Dec,46437304,41764586,0.9,0.86,4.444444444,  스포츠 및 오락관련 서비스업
134,(주)갤럭시아에스엠,11420,14-Dec,43885894,40216941,0.92,0.9,2.173913043,  스포츠 및 오락관련 서비스업
135,(주)갤럭시아에스엠,11420,15-Dec,62472754,56009656,0.9,0.92,-2.222222222,  스포츠 및 오락관련 서비스업
136,(주)갤럭시아에스엠,11420,16-Dec,52626331,51678856,0.98,0.9,8.163265306,  스포츠 및 오락관련 서비스업
137,(주)갤럭시아에스엠,11420,17-Dec,37281280,37435336,1,0.98,2,  스포츠 및 오락관련 서비스업
138,(주)갤럭시아에스엠,11420,18-Dec,22060413,27428110,1.24,1,19.35483871,  스포츠 및 오락관련 서비스업
139,(주)갤럭시아에스엠,11420,19-Dec,28732679,26937800,0.94,1.24,-31.91489362,  스포츠 및 오락관련 서비스업
140,(주)경농,2100,11-Dec,121253605,79220101,0.65,0.65,0,  화학물질 및 화학제품 제조업; 의약품 제외
141,(주)경농,2100,12-Dec,136970449,87614008,0.64,0.65,-1.5625,  화학물질 및 화학제품 제조업; 의약품 제외
142,(주)경농,2100,13-Dec,196358952,129161139,0.66,0.64,3.03030303,  화학물질 및 화학제품 제조업; 의약품 제외
143,(주)경농,2100,14-Dec,188483147,122779838,0.65,0.66,-1.538461538,  화학물질 및 화학제품 제조업; 의약품 제외
