,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
5244,(주)엘지유플러스,32640,18-Dec,12125051000,0,0,0,
5245,(주)엘지유플러스,32640,19-Dec,12381969000,0,0,0,
5246,(주)엘지헬로비전,37560,12-Dec,890993460,501632370,0.56,,
5247,(주)엘지헬로비전,37560,13-Dec,1160226581,716306698,0.62,0.56,9.677419355
5248,(주)엘지헬로비전,37560,14-Dec,1270375727,808944372,0.64,0.62,3.125
5249,(주)엘지헬로비전,37560,15-Dec,,,,0.64,
5250,(주)엘지헬로비전,37560,16-Dec,,,,,
5251,(주)엘지헬로비전,37560,17-Dec,,,,,
5252,(주)엘지헬로비전,37560,18-Dec,1178041258,116896773,0.1,,
5253,(주)엘지헬로비전,37560,19-Dec,1112180459,89972312,0.08,0.1,-25
5255,(주)엘지화학,51910,11-Dec,22675593000,18594862000,0.82,0.79,3.658536585
5256,(주)엘지화학,51910,12-Dec,23263019000,19955076000,0.86,0.82,4.651162791
5257,(주)엘지화학,51910,13-Dec,23143612000,19834673000,0.86,0.86,0
5258,(주)엘지화학,51910,14-Dec,22577830000,19573940000,0.87,0.86,1.149425287
5259,(주)엘지화학,51910,15-Dec,20206583000,16540541000,0.82,0.87,-6.097560976
5260,(주)엘지화학,51910,16-Dec,20659296000,16595060000,0.8,0.82,-2.5
5261,(주)엘지화학,51910,17-Dec,25698014000,20134488000,0.78,0.8,-2.564102564
5262,(주)엘지화학,51910,18-Dec,28183013000,22836816000,0.81,0.78,3.703703704
5263,(주)엘지화학,51910,19-Dec,28625042000,23779235000,0.83,0.81,2.409638554
5265,(주)엠게임,58630,11-Dec,50386559,0,0,0,
5266,(주)엠게임,58630,12-Dec,44965696,0,0,0,
5267,(주)엠게임,58630,13-Dec,31915987,0,0,0,
5268,(주)엠게임,58630,14-Dec,30725569,0,0,0,
5269,(주)엠게임,58630,15-Dec,,,,0,
5270,(주)엠게임,58630,16-Dec,,,,,
5271,(주)엠게임,58630,17-Dec,,,,,
5272,(주)엠게임,58630,18-Dec,27118175,0,0,,
5273,(주)엠게임,58630,19-Dec,37630626,0,0,0,
5275,(주)엠디에스테크,86960,11-Dec,70690493,46148820,0.65,0.65,0
5276,(주)엠디에스테크,86960,12-Dec,72716143,47085604,0.65,0.65,0
5277,(주)엠디에스테크,86960,13-Dec,83700753,57210306,0.68,0.65,4.411764706
5278,(주)엠디에스테크,86960,14-Dec,105180653,72849670,0.69,0.68,1.449275362
5279,(주)엠디에스테크,86960,15-Dec,117801533,80865248,0.69,0.69,0
5280,(주)엠디에스테크,86960,16-Dec,150281101,106165019,0.71,0.69,2.816901408
5281,(주)엠디에스테크,86960,17-Dec,148934255,101787953,0.68,0.71,-4.411764706
5282,(주)엠디에스테크,86960,18-Dec,158945065,105202314,0.66,0.68,-3.03030303
5283,(주)엠디에스테크,86960,19-Dec,154901982,104469962,0.67,0.66,1.492537313
5284,(주)엠씨넥스,97520,12-Dec,170354058,147588805,0.87,,
5285,(주)엠씨넥스,97520,13-Dec,297244088,264792434,0.89,0.87,2.247191011
5286,(주)엠씨넥스,97520,14-Dec,410392827,357024755,0.87,0.89,-2.298850575
5287,(주)엠씨넥스,97520,15-Dec,502865298,436275489,0.87,0.87,0
5288,(주)엠씨넥스,97520,16-Dec,412481617,395155009,0.96,0.87,9.375
5289,(주)엠씨넥스,97520,17-Dec,668465044,605047716,0.91,0.96,-5.494505495
5290,(주)엠씨넥스,97520,18-Dec,696954048,609782102,0.87,0.91,-4.597701149
5291,(주)엠씨넥스,97520,19-Dec,1267712135,1083588321,0.85,0.87,-2.352941176
5292,(주)엠아이텍,179290,18-Dec,29599153,15225912,0.51,,
5293,(주)엠아이텍,179290,19-Dec,32654539,17946513,0.55,0.51,7.272727273
5295,(주)엠에스씨,9780,11-Dec,112592896,91844608,0.82,0.83,-1.219512195
5296,(주)엠에스씨,9780,12-Dec,114903220,92149602,0.8,0.82,-2.5
5297,(주)엠에스씨,9780,13-Dec,127198058,101816424,0.8,0.8,0
5298,(주)엠에스씨,9780,14-Dec,129226165,102005159,0.79,0.8,-1.265822785
5299,(주)엠에스씨,9780,15-Dec,134818282,105854944,0.79,0.79,0
5300,(주)엠에스씨,9780,16-Dec,135618091,104323256,0.77,0.79,-2.597402597
5301,(주)엠에스씨,9780,17-Dec,141954747,109865344,0.77,0.77,0
5302,(주)엠에스씨,9780,18-Dec,144605455,113355763,0.78,0.77,1.282051282
5303,(주)엠에스씨,9780,19-Dec,149239104,117068926,0.78,0.78,0
5305,(주)엠에스오토텍,123040,11-Dec,316363990,259863246,0.82,0.69,15.85365854
5306,(주)엠에스오토텍,123040,12-Dec,329747992,282603317,0.86,0.82,4.651162791
5307,(주)엠에스오토텍,123040,13-Dec,676720372,589331391,0.87,0.86,1.149425287
5308,(주)엠에스오토텍,123040,14-Dec,803779918,731025674,0.91,0.87,4.395604396
5309,(주)엠에스오토텍,123040,15-Dec,864031681,765028585,0.89,0.91,-2.247191011
5310,(주)엠에스오토텍,123040,16-Dec,747893634,663270912,0.89,0.89,0
5311,(주)엠에스오토텍,123040,17-Dec,704192245,639676599,0.91,0.89,2.197802198
5312,(주)엠에스오토텍,123040,18-Dec,891949819,817552578,0.92,0.91,1.086956522
5313,(주)엠에스오토텍,123040,19-Dec,1274416674,1134083005,0.89,0.92,-3.370786517
5315,(주)엠투엔,33310,11-Dec,,,,,
5316,(주)엠투엔,33310,12-Dec,,,,,
5317,(주)엠투엔,33310,13-Dec,,,,,
5318,(주)엠투엔,33310,14-Dec,39002935,31236633,0.8,,
5319,(주)엠투엔,33310,15-Dec,51008316,41933034,0.82,0.8,2.43902439
5320,(주)엠투엔,33310,16-Dec,49727413,41163963,0.83,0.82,1.204819277
5321,(주)엠투엔,33310,17-Dec,51170397,43452759,0.85,0.83,2.352941176
5322,(주)엠투엔,33310,18-Dec,53252622,45850675,0.86,0.85,1.162790698
5323,(주)엠투엔,33310,19-Dec,46465722,40823724,0.88,0.86,2.272727273
5324,(주)엠플러스,259630,17-Dec,,,,,
5325,(주)엠플러스,259630,18-Dec,,,,,
5326,(주)엠플러스,259630,19-Dec,104343607,89345505,0.86,,
5328,(주)엠피대산,65150,11-Dec,159297346,100813366,0.63,0.67,-6.349206349
5329,(주)엠피대산,65150,12-Dec,177632560,107757376,0.61,0.63,-3.278688525
5330,(주)엠피대산,65150,13-Dec,174593729,104826704,0.6,0.61,-1.666666667
5331,(주)엠피대산,65150,14-Dec,143975989,87407830,0.61,0.6,1.639344262
5332,(주)엠피대산,65150,15-Dec,122422450,65723376,0.54,0.61,-12.96296296
5333,(주)엠피대산,65150,16-Dec,151260360,76335949,0.5,0.54,-8
5334,(주)엠피대산,65150,17-Dec,145213359,73179526,0.5,0.5,0
5335,(주)엠피대산,65150,18-Dec,119809794,68885097,0.57,0.5,12.28070175
5336,(주)엠피대산,65150,19-Dec,109949106,62946090,0.57,0.57,0
5337,(주)연우,115960,15-Dec,,,,,
5338,(주)연우,115960,16-Dec,234568387,188976970,0.81,,
5339,(주)연우,115960,17-Dec,229295328,198740477,0.87,0.81,6.896551724
5340,(주)연우,115960,18-Dec,272929163,243078120,0.89,0.87,2.247191011
5341,(주)연우,115960,19-Dec,294610114,247749844,0.84,0.89,-5.952380952
5343,(주)연이비앤티,90740,11-Dec,421092515,407595730,0.97,0.97,0
5344,(주)연이비앤티,90740,12-Dec,372847067,358772337,0.96,0.97,-1.041666667
5345,(주)연이비앤티,90740,13-Dec,439828561,421789606,0.96,0.96,0
5346,(주)연이비앤티,90740,14-Dec,447270436,431592769,0.96,0.96,0
5347,(주)연이비앤티,90740,15-Dec,456097955,440230210,0.97,0.96,1.030927835
5348,(주)연이비앤티,90740,16-Dec,398021215,379659894,0.95,0.97,-2.105263158
5349,(주)연이비앤티,90740,17-Dec,271957133,270411638,0.99,0.95,4.04040404
5350,(주)연이비앤티,90740,18-Dec,287318792,271324400,0.94,0.99,-5.319148936
5351,(주)연이비앤티,90740,19-Dec,316139182,294853639,0.93,0.94,-1.075268817
5352,(주)영우디에스피,143540,14-Dec,,,,,
5353,(주)영우디에스피,143540,15-Dec,,,,,
5354,(주)영우디에스피,143540,16-Dec,146159358,131354610,0.9,,
5355,(주)영우디에스피,143540,17-Dec,258081454,249240365,0.97,0.9,7.216494845
5356,(주)영우디에스피,143540,18-Dec,146297534,151349526,1.03,0.97,5.825242718
5357,(주)영우디에스피,143540,19-Dec,100432751,80660508,0.8,1.03,-28.75
5359,(주)영원무역,111770,11-Dec,990188523,706603035,0.71,0.75,-5.633802817
5360,(주)영원무역,111770,12-Dec,1059149340,764552885,0.72,0.71,1.388888889
5361,(주)영원무역,111770,13-Dec,1108226794,825529088,0.74,0.72,2.702702703
5362,(주)영원무역,111770,14-Dec,1246335950,908878143,0.73,0.74,-1.369863014
5363,(주)영원무역,111770,15-Dec,1584939206,1135676081,0.72,0.73,-1.388888889
5364,(주)영원무역,111770,16-Dec,2001607172,1474629421,0.74,0.72,2.702702703
5365,(주)영원무역,111770,17-Dec,2009311225,1472177020,0.73,0.74,-1.369863014
5366,(주)영원무역,111770,18-Dec,2101268459,1532124607,0.73,0.73,0
5367,(주)영원무역,111770,19-Dec,2388266483,1782387007,0.75,0.73,2.666666667
5369,(주)영원무역홀딩스,9970,11-Dec,1405976336,825079549,0.59,0.61,-3.389830508
5370,(주)영원무역홀딩스,9970,12-Dec,1449208131,893171022,0.62,0.59,4.838709677
5371,(주)영원무역홀딩스,9970,13-Dec,1530070464,940459093,0.61,0.62,-1.639344262
5372,(주)영원무역홀딩스,9970,14-Dec,1644310600,1028699921,0.63,0.61,3.174603175
5373,(주)영원무역홀딩스,9970,15-Dec,1880488284,1190776141,0.63,0.63,0
5374,(주)영원무역홀딩스,9970,16-Dec,2338014921,1571364675,0.67,0.63,5.970149254
5375,(주)영원무역홀딩스,9970,17-Dec,2384765744,1582546404,0.66,0.67,-1.515151515
5376,(주)영원무역홀딩스,9970,18-Dec,2518695930,1643814835,0.65,0.66,-1.538461538
5377,(주)영원무역홀딩스,9970,19-Dec,2737959366,1852264773,0.68,0.65,4.411764706
5379,(주)영풍,670,11-Dec,1397118394,1274184690,0.91,0.91,0
5380,(주)영풍,670,12-Dec,1608387846,1417702754,0.88,0.91,-3.409090909
5381,(주)영풍,670,13-Dec,3273760331,3011612723,0.92,0.88,4.347826087
5382,(주)영풍,670,14-Dec,2796468604,2697570157,0.96,0.92,4.166666667
5383,(주)영풍,670,15-Dec,2615383130,2503809713,0.96,0.96,0
5384,(주)영풍,670,16-Dec,2654083285,2548135588,0.96,0.96,0
5385,(주)영풍,670,17-Dec,3724854999,3440151906,0.92,0.96,-4.347826087
5386,(주)영풍,670,18-Dec,2971432405,2963560834,1,0.92,8
5387,(주)영풍,670,19-Dec,3084133444,2866483411,0.93,1,-7.52688172
5389,(주)영흥,12160,11-Dec,176454981,151143963,0.86,0.86,0
5390,(주)영흥,12160,12-Dec,197929061,175880005,0.89,0.86,3.370786517
5391,(주)영흥,12160,13-Dec,237109737,211313280,0.89,0.89,0
5392,(주)영흥,12160,14-Dec,212199828,187895068,0.89,0.89,0
5393,(주)영흥,12160,15-Dec,208441903,183319256,0.88,0.89,-1.136363636
5394,(주)영흥,12160,16-Dec,185856007,164322907,0.88,0.88,0
5395,(주)영흥,12160,17-Dec,177429264,157011533,0.88,0.88,0
5396,(주)영흥,12160,18-Dec,196485437,176847045,0.9,0.88,2.222222222
5397,(주)영흥,12160,19-Dec,197495229,176682964,0.89,0.9,-1.123595506
5399,(주)예림당,36000,11-Dec,57816896,21185226,0.37,0.35,5.405405405
5400,(주)예림당,36000,12-Dec,51356824,18180027,0.35,0.37,-5.714285714
5401,(주)예림당,36000,13-Dec,138149161,94915444,0.69,0.35,49.27536232
5402,(주)예림당,36000,14-Dec,292494471,227613570,0.78,0.69,11.53846154
5403,(주)예림당,36000,15-Dec,319261870,268282506,0.84,0.78,7.142857143
5404,(주)예림당,36000,16-Dec,452752394,377043270,0.83,0.84,-1.204819277
5405,(주)예림당,36000,17-Dec,643302706,526823352,0.82,0.83,-1.219512195
5406,(주)예림당,36000,18-Dec,761109382,640998596,0.84,0.82,2.380952381
5407,(주)예림당,36000,19-Dec,835889331,776482983,0.93,0.84,9.677419355
5408,(주)예선테크,250930,16-Dec,,,,,
5409,(주)예선테크,250930,17-Dec,,,,,
5410,(주)예선테크,250930,18-Dec,,,,,
5411,(주)예선테크,250930,19-Dec,58932975,40341623,0.68,,
5413,(주)예스코홀딩스,15360,11-Dec,1424649735,1300469052,0.91,0.89,2.197802198
5414,(주)예스코홀딩스,15360,12-Dec,1452421516,1333976096,0.92,0.91,1.086956522
5415,(주)예스코홀딩스,15360,13-Dec,1507227806,1388091327,0.92,0.92,0
5416,(주)예스코홀딩스,15360,14-Dec,1391334170,1284864390,0.92,0.92,0
5417,(주)예스코홀딩스,15360,15-Dec,1200695485,1078975767,0.9,0.92,-2.222222222
5418,(주)예스코홀딩스,15360,16-Dec,1051315418,922847570,0.88,0.9,-2.272727273
5419,(주)예스코홀딩스,15360,17-Dec,1115181077,978640110,0.88,0.88,0
5420,(주)예스코홀딩스,15360,18-Dec,1095366215,947938177,0.87,0.88,-1.149425287
5421,(주)예스코홀딩스,15360,19-Dec,1108191971,962002705,0.87,0.87,0
5422,(주)예스티,122640,15-Dec,,,,,
5423,(주)예스티,122640,16-Dec,52705412,41741934,0.79,,
5424,(주)예스티,122640,17-Dec,150431280,122413052,0.81,0.79,2.469135802
5425,(주)예스티,122640,18-Dec,92091501,78316317,0.85,0.81,4.705882353
5426,(주)예스티,122640,19-Dec,53365358,59218652,1.11,0.85,23.42342342
5428,(주)오공,45060,11-Dec,99497738,80813222,0.81,0.79,2.469135802
5429,(주)오공,45060,12-Dec,104515751,85134581,0.81,0.81,0
5430,(주)오공,45060,13-Dec,112686132,91997909,0.82,0.81,1.219512195
5431,(주)오공,45060,14-Dec,124608695,102456349,0.82,0.82,0
5432,(주)오공,45060,15-Dec,136594358,112346019,0.82,0.82,0
5433,(주)오공,45060,16-Dec,143111532,115795681,0.81,0.82,-1.234567901
5434,(주)오공,45060,17-Dec,149593867,121930222,0.82,0.81,1.219512195
5435,(주)오공,45060,18-Dec,150657894,124136648,0.82,0.82,0
5436,(주)오공,45060,19-Dec,151927490,123528296,0.81,0.82,-1.234567901
5438,(주)오디텍,80520,11-Dec,74654680,65145732,0.87,0.69,20.68965517
5439,(주)오디텍,80520,12-Dec,85229990,71561694,0.84,0.87,-3.571428571
5440,(주)오디텍,80520,13-Dec,73583568,58115437,0.79,0.84,-6.329113924
5441,(주)오디텍,80520,14-Dec,60596148,48267088,0.8,0.79,1.25
5442,(주)오디텍,80520,15-Dec,58771679,46502638,0.79,0.8,-1.265822785
5443,(주)오디텍,80520,16-Dec,55721751,42988554,0.77,0.79,-2.597402597
5444,(주)오디텍,80520,17-Dec,48983308,41688577,0.85,0.77,9.411764706
5445,(주)오디텍,80520,18-Dec,45225863,41484702,0.92,0.85,7.608695652
5446,(주)오디텍,80520,19-Dec,41649157,37921207,0.91,0.92,-1.098901099
5448,(주)오뚜기,7310,11-Dec,1601340975,1253734317,0.78,0.77,1.282051282
5449,(주)오뚜기,7310,12-Dec,1686637585,1301012797,0.77,0.78,-1.298701299
5450,(주)오뚜기,7310,13-Dec,1728175159,1337333528,0.77,0.77,0
5451,(주)오뚜기,7310,14-Dec,1781728720,1366215407,0.77,0.77,0
5452,(주)오뚜기,7310,15-Dec,1883098975,1425163061,0.76,0.77,-1.315789474
5453,(주)오뚜기,7310,16-Dec,2010658196,1523765766,0.76,0.76,0
5454,(주)오뚜기,7310,17-Dec,2126150492,1649224696,0.78,0.76,2.564102564
5455,(주)오뚜기,7310,18-Dec,2246764231,1847750040,0.82,0.78,4.87804878
5456,(주)오뚜기,7310,19-Dec,2359651225,1951178385,0.83,0.82,1.204819277
5458,(주)오르비텍,46120,11-Dec,,,,,
5459,(주)오르비텍,46120,12-Dec,38544757,32814838,0.85,,
5460,(주)오르비텍,46120,13-Dec,23864548,24641135,1.03,0.85,17.47572816
5461,(주)오르비텍,46120,14-Dec,,,,1.03,
5462,(주)오르비텍,46120,15-Dec,,,,,
5463,(주)오르비텍,46120,16-Dec,,,,,
5464,(주)오르비텍,46120,17-Dec,47516202,40324481,0.85,,
5465,(주)오르비텍,46120,18-Dec,69213196,60969961,0.88,0.85,3.409090909
5466,(주)오르비텍,46120,19-Dec,74944341,66458489,0.89,0.88,1.123595506
5468,(주)오리엔탈정공,14940,11-Dec,407039310,469133571,1.15,0.89,22.60869565
5469,(주)오리엔탈정공,14940,12-Dec,254795775,284364807,1.12,1.15,-2.678571429
5470,(주)오리엔탈정공,14940,13-Dec,175658587,158464373,0.9,1.12,-24.44444444
5471,(주)오리엔탈정공,14940,14-Dec,163659053,176386737,1.08,0.9,16.66666667
5472,(주)오리엔탈정공,14940,15-Dec,178690825,169063039,0.95,1.08,-13.68421053
5473,(주)오리엔탈정공,14940,16-Dec,182955369,165619171,0.91,0.95,-4.395604396
5474,(주)오리엔탈정공,14940,17-Dec,100983082,87971665,0.87,0.91,-4.597701149
5475,(주)오리엔탈정공,14940,18-Dec,77475080,68786923,0.89,0.87,2.247191011
5476,(주)오리엔탈정공,14940,19-Dec,130107247,115928924,0.89,0.89,0
5477,(주)오리엔트바이오,2630,10-Mar,44736561,32987353,0.74,,
5478,(주)오리엔트바이오,2630,11-Mar,47564586,35763557,0.75,0.74,1.333333333
5479,(주)오리엔트바이오,2630,12-Mar,52052582,37430885,0.72,0.75,-4.166666667
5480,(주)오리엔트바이오,2630,13-Mar,76980372,59229682,0.77,0.72,6.493506494
5481,(주)오리엔트바이오,2630,14-Mar,83722281,70482194,0.84,0.77,8.333333333
5482,(주)오리엔트바이오,2630,15-Mar,93709381,77161906,0.82,0.84,-2.43902439
5483,(주)오리엔트바이오,2630,16-Mar,105049546,88964054,0.85,0.82,3.529411765
5484,(주)오리엔트바이오,2630,17-Mar,109019002,100648064,0.92,0.85,7.608695652
5485,(주)오리엔트바이오,2630,18-Mar,121207763,106283139,0.88,0.92,-4.545454545
5486,(주)오리엔트바이오,2630,19-Mar,30373354,27362556,0.9,0.88,2.222222222
5488,(주)오리엔트정공,65500,11-Dec,,,,,
5489,(주)오리엔트정공,65500,12-Dec,,,,,
5490,(주)오리엔트정공,65500,13-Dec,,,,,
5491,(주)오리엔트정공,65500,14-Dec,,,,,
5492,(주)오리엔트정공,65500,15-Dec,53726370,48865969,0.91,,
5493,(주)오리엔트정공,65500,16-Dec,71001875,66557974,0.94,0.91,3.191489362
5494,(주)오리엔트정공,65500,17-Dec,97067185,84091164,0.87,0.94,-8.045977011
5495,(주)오리엔트정공,65500,18-Dec,98179112,91080664,0.93,0.87,6.451612903
5496,(주)오리엔트정공,65500,19-Dec,97332735,87764918,0.9,0.93,-3.333333333
5497,(주)오리온,271560,17-Dec,1117220559,593476572,0.53,,
5498,(주)오리온,271560,18-Dec,1926947889,1049975126,0.54,0.53,1.851851852
5499,(주)오리온,271560,19-Dec,2023296057,1110079910,0.55,0.54,1.818181818
5501,(주)오리온홀딩스,1800,11-Dec,1914267055,1077177023,0.56,0.55,1.785714286
5502,(주)오리온홀딩스,1800,12-Dec,2368032597,1348410619,0.57,0.56,1.754385965
5503,(주)오리온홀딩스,1800,13-Dec,2485195930,1407923899,0.57,0.57,0
5504,(주)오리온홀딩스,1800,14-Dec,2463037805,1360632333,0.55,0.57,-3.636363636
5505,(주)오리온홀딩스,1800,15-Dec,2382377301,1267654384,0.53,0.55,-3.773584906
5506,(주)오리온홀딩스,1800,16-Dec,2386269282,1235596513,0.52,0.53,-1.923076923
5507,(주)오리온홀딩스,1800,17-Dec,112748278,85244092,0.76,0.52,31.57894737
5508,(주)오리온홀딩스,1800,18-Dec,1997682828,1100287564,0.55,0.76,-38.18181818
5509,(주)오리온홀딩스,1800,19-Dec,2103591289,1175362310,0.56,0.55,1.785714286
5511,(주)오리콤,10470,11-Dec,104216744,56316764,0.54,0.53,1.851851852
5512,(주)오리콤,10470,12-Dec,112494057,64819518,0.58,0.54,6.896551724
5513,(주)오리콤,10470,13-Dec,100030921,58569763,0.59,0.58,1.694915254
5514,(주)오리콤,10470,14-Dec,94512857,54854136,0.58,0.59,-1.724137931
5515,(주)오리콤,10470,15-Dec,126262025,79541695,0.63,0.58,7.936507937
5516,(주)오리콤,10470,16-Dec,161929811,107693576,0.67,0.63,5.970149254
5517,(주)오리콤,10470,17-Dec,167439882,113467782,0.68,0.67,1.470588235
5518,(주)오리콤,10470,18-Dec,182757797,124744739,0.68,0.68,0
5519,(주)오리콤,10470,19-Dec,198545882,142271616,0.72,0.68,5.555555556
5521,(주)오스코텍,39200,11-Dec,25966280,16314584,0.63,0.6,4.761904762
5522,(주)오스코텍,39200,12-Dec,24755850,16625258,0.67,0.63,5.970149254
5523,(주)오스코텍,39200,13-Dec,21858819,12481641,0.57,0.67,-17.54385965
5524,(주)오스코텍,39200,14-Dec,17110321,9519931,0.56,0.57,-1.785714286
5525,(주)오스코텍,39200,15-Dec,18335818,9852533,0.54,0.56,-3.703703704
5526,(주)오스코텍,39200,16-Dec,3553891,1495578,0.42,0.54,-28.57142857
5527,(주)오스코텍,39200,17-Dec,3908491,1679957,0.43,0.42,2.325581395
5528,(주)오스코텍,39200,18-Dec,18702672,2437565,0.13,0.43,-230.7692308
5529,(주)오스코텍,39200,19-Dec,4368520,2094622,0.48,0.13,72.91666667
5530,(주)오스테오닉,226400,18-Dec,,,,,
5531,(주)오스테오닉,226400,19-Dec,,,,,
5533,(주)오스템,31510,11-Dec,216802492,176855128,0.82,0.83,-1.219512195
5534,(주)오스템,31510,12-Dec,240296767,202350205,0.84,0.82,2.380952381
5535,(주)오스템,31510,13-Dec,254979890,216630368,0.85,0.84,1.176470588
5536,(주)오스템,31510,14-Dec,218064766,190856064,0.88,0.85,3.409090909
5537,(주)오스템,31510,15-Dec,209187050,174803675,0.84,0.88,-4.761904762
5538,(주)오스템,31510,16-Dec,199278597,164436595,0.83,0.84,-1.204819277
5539,(주)오스템,31510,17-Dec,179488801,150316294,0.84,0.83,1.19047619
5540,(주)오스템,31510,18-Dec,152338949,127905381,0.84,0.84,0
5541,(주)오스템,31510,19-Dec,147018157,120243347,0.82,0.84,-2.43902439
5542,(주)오이솔루션,138080,14-Dec,71969430,43217843,0.6,,
5543,(주)오이솔루션,138080,15-Dec,59415535,39685934,0.67,0.6,10.44776119
5544,(주)오이솔루션,138080,16-Dec,79719996,53089192,0.67,0.67,0
5545,(주)오이솔루션,138080,17-Dec,76593767,53973467,0.7,0.67,4.285714286
5546,(주)오이솔루션,138080,18-Dec,81504310,54106030,0.66,0.7,-6.060606061
5547,(주)오이솔루션,138080,19-Dec,210283059,122834724,0.58,0.66,-13.79310345
5548,(주)오킨스전자,80580,14-Dec,47008167,32156267,0.68,,
5549,(주)오킨스전자,80580,15-Dec,38312775,31165773,0.81,0.68,16.04938272
5550,(주)오킨스전자,80580,16-Dec,25087832,25729509,1.03,0.81,21.3592233
5551,(주)오킨스전자,80580,17-Dec,39319105,32956177,0.84,1.03,-22.61904762
5552,(주)오킨스전자,80580,18-Dec,34065696,26835601,0.79,0.84,-6.329113924
5553,(주)오킨스전자,80580,19-Dec,38478884,29544336,0.77,0.79,-2.597402597
5555,(주)오텍,67170,11-Dec,355808679,308317024,0.87,0.86,1.149425287
5556,(주)오텍,67170,12-Dec,437597549,385968420,0.88,0.87,1.136363636
5557,(주)오텍,67170,13-Dec,449123861,385528383,0.86,0.88,-2.325581395
5558,(주)오텍,67170,14-Dec,493892213,422480760,0.86,0.86,0
5559,(주)오텍,67170,15-Dec,564434327,492395487,0.87,0.86,1.149425287
5560,(주)오텍,67170,16-Dec,709690713,603457354,0.85,0.87,-2.352941176
5561,(주)오텍,67170,17-Dec,824117388,693424681,0.84,0.85,-1.19047619
5562,(주)오텍,67170,18-Dec,918665962,772319810,0.84,0.84,0
5563,(주)오텍,67170,19-Dec,952257433,780952281,0.82,0.84,-2.43902439
5564,(주)오파스넷,173130,18-Dec,,,,,
5565,(주)오파스넷,173130,19-Dec,,,,,
5567,(주)오픈베이스,49480,11-Dec,106729345,82363607,0.77,0.72,6.493506494
5568,(주)오픈베이스,49480,12-Dec,112550354,84203568,0.75,0.77,-2.666666667
5569,(주)오픈베이스,49480,13-Dec,114214257,87025720,0.76,0.75,1.315789474
5570,(주)오픈베이스,49480,14-Dec,114130145,79816673,0.7,0.76,-8.571428571
5571,(주)오픈베이스,49480,15-Dec,118626820,84210111,0.71,0.7,1.408450704
5572,(주)오픈베이스,49480,16-Dec,156599517,121149288,0.77,0.71,7.792207792
5573,(주)오픈베이스,49480,17-Dec,136597377,105573239,0.77,0.77,0
5574,(주)오픈베이스,49480,18-Dec,146734696,119030448,0.81,0.77,4.938271605
5575,(주)오픈베이스,49480,19-Dec,157437309,125860083,0.8,0.81,-1.25
5576,(주)오하임아이엔티,309930,18-Dec,,,,,
5577,(주)오하임아이엔티,309930,19-Dec,,,,,
5579,(주)옵투스제약,131030,11-Dec,,,,,
5580,(주)옵투스제약,131030,12-Dec,,,,,
5581,(주)옵투스제약,131030,13-Dec,,,,,
5582,(주)옵투스제약,131030,14-Dec,,,,,
5583,(주)옵투스제약,131030,15-Dec,,,,,
5584,(주)옵투스제약,131030,16-Dec,,,,,
5585,(주)옵투스제약,131030,17-Dec,,,,,
5586,(주)옵투스제약,131030,18-Dec,,,,,
5587,(주)옵투스제약,131030,19-Dec,,,,,
5589,(주)옵트론텍,82210,11-Dec,111812801,87426780,0.78,0.78,0
5590,(주)옵트론텍,82210,12-Dec,171335252,134705695,0.79,0.78,1.265822785
5591,(주)옵트론텍,82210,13-Dec,202747539,150548109,0.74,0.79,-6.756756757
5592,(주)옵트론텍,82210,14-Dec,82963525,85545211,1.03,0.74,28.15533981
5593,(주)옵트론텍,82210,15-Dec,135475041,109301760,0.81,1.03,-27.16049383
5594,(주)옵트론텍,82210,16-Dec,138077754,94459813,0.68,0.81,-19.11764706
5595,(주)옵트론텍,82210,17-Dec,154613398,104518903,0.68,0.68,0
5596,(주)옵트론텍,82210,18-Dec,143579294,102462161,0.71,0.68,4.225352113
5597,(주)옵트론텍,82210,19-Dec,238899888,186071223,0.78,0.71,8.974358974
5598,(주)옵티팜,153710,18-Dec,,,,,
5599,(주)옵티팜,153710,19-Dec,,,,,
5601,(주)와이비엠넷,57030,11-Dec,103140710,55356534,0.54,0.52,3.703703704
5602,(주)와이비엠넷,57030,12-Dec,96068853,54060638,0.56,0.54,3.571428571
5603,(주)와이비엠넷,57030,13-Dec,84559310,48158238,0.57,0.56,1.754385965
5604,(주)와이비엠넷,57030,14-Dec,73918903,42255694,0.57,0.57,0
5605,(주)와이비엠넷,57030,15-Dec,66825043,38790930,0.58,0.57,1.724137931
5606,(주)와이비엠넷,57030,16-Dec,68386271,39079837,0.57,0.58,-1.754385965
5607,(주)와이비엠넷,57030,17-Dec,60928090,36615163,0.6,0.57,5
5608,(주)와이비엠넷,57030,18-Dec,62611447,35439741,0.57,0.6,-5.263157895
5609,(주)와이비엠넷,57030,19-Dec,60080366,33649735,0.56,0.57,-1.785714286
5611,(주)와이솔,122990,11-Dec,106673305,79822794,0.75,0.64,14.66666667
5612,(주)와이솔,122990,12-Dec,122573594,92789031,0.76,0.75,1.315789474
5613,(주)와이솔,122990,13-Dec,174086344,133978685,0.77,0.76,1.298701299
5614,(주)와이솔,122990,14-Dec,229375102,195230352,0.85,0.77,9.411764706
5615,(주)와이솔,122990,15-Dec,354942300,290100655,0.82,0.85,-3.658536585
