,회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율,매출원가율_,매출원가감소율
71,(주)SNT에너지,100840,11-Dec,,,,,
72,(주)SNT에너지,100840,12-Dec,,,,,
73,(주)SNT에너지,100840,13-Dec,,,,,
74,(주)SNT에너지,100840,14-Dec,,,,,
75,(주)SNT에너지,100840,15-Dec,,,,,
76,(주)SNT에너지,100840,16-Dec,,,,,
77,(주)SNT에너지,100840,17-Dec,,,,,
78,(주)SNT에너지,100840,18-Dec,,,,,
79,(주)SNT에너지,100840,19-Dec,213326726,177635077,0.83,,
81,(주)SNT홀딩스,36530,11-Dec,1663846065,1449348821,0.87,0.84,3.448275862
82,(주)SNT홀딩스,36530,12-Dec,1668749904,1465168699,0.88,0.87,1.136363636
83,(주)SNT홀딩스,36530,13-Dec,1576368464,1379201925,0.87,0.88,-1.149425287
84,(주)SNT홀딩스,36530,14-Dec,1552374806,1380123821,0.89,0.87,2.247191011
85,(주)SNT홀딩스,36530,15-Dec,1612746929,1331347191,0.83,0.89,-7.228915663
86,(주)SNT홀딩스,36530,16-Dec,1537700275,1336617769,0.87,0.83,4.597701149
87,(주)SNT홀딩스,36530,17-Dec,1508152132,1303372403,0.86,0.87,-1.162790698
88,(주)SNT홀딩스,36530,18-Dec,1401307482,1221120349,0.87,0.86,1.149425287
89,(주)SNT홀딩스,36530,19-Dec,1512114565,1284171398,0.85,0.87,-2.352941176
91,(주)STX,11810,11-Dec,5967701000,5516021000,0.92,0.93,-1.086956522
92,(주)STX,11810,12-Dec,6159850000,6353608000,1.03,0.92,10.67961165
93,(주)STX,11810,13-Dec,2449401000,3140865000,1.28,1.03,19.53125
94,(주)STX,11810,14-Dec,1634606000,1513363000,0.93,1.28,-37.6344086
95,(주)STX,11810,15-Dec,1630827000,1586081000,0.97,0.93,4.12371134
96,(주)STX,11810,16-Dec,1720153000,1635394000,0.95,0.97,-2.105263158
97,(주)STX,11810,17-Dec,1803878000,1718572000,0.95,0.95,0
98,(주)STX,11810,18-Dec,1502985000,1483048000,0.99,0.95,4.04040404
99,(주)STX,11810,19-Dec,1471164000,1424697000,0.97,0.99,-2.06185567
101,(주)TCC스틸,2710,11-Dec,514424043,472273637,0.92,0.89,3.260869565
102,(주)TCC스틸,2710,12-Dec,501337475,457927934,0.91,0.92,-1.098901099
103,(주)TCC스틸,2710,13-Dec,500832754,474104834,0.95,0.91,4.210526316
104,(주)TCC스틸,2710,14-Dec,518995240,483588495,0.93,0.95,-2.150537634
105,(주)TCC스틸,2710,15-Dec,495795871,451936886,0.91,0.93,-2.197802198
106,(주)TCC스틸,2710,16-Dec,444453635,402898839,0.91,0.91,0
107,(주)TCC스틸,2710,17-Dec,391370092,356978389,0.91,0.91,0
108,(주)TCC스틸,2710,18-Dec,413176279,377890304,0.91,0.91,0
109,(주)TCC스틸,2710,19-Dec,437173902,405618477,0.93,0.91,2.150537634
111,(주)가비아,79940,11-Dec,52838864,29173840,0.55,0.54,1.818181818
112,(주)가비아,79940,12-Dec,69058144,40302408,0.58,0.55,5.172413793
113,(주)가비아,79940,13-Dec,70675565,38882747,0.55,0.58,-5.454545455
114,(주)가비아,79940,14-Dec,80432047,45275795,0.56,0.55,1.785714286
115,(주)가비아,79940,15-Dec,91648622,50078893,0.55,0.56,-1.818181818
116,(주)가비아,79940,16-Dec,102178978,54998617,0.54,0.55,-1.851851852
117,(주)가비아,79940,17-Dec,116217941,60313364,0.52,0.54,-3.846153846
118,(주)가비아,79940,18-Dec,128728438,65751367,0.51,0.52,-1.960784314
119,(주)가비아,79940,19-Dec,148306878,75650385,0.51,0.51,0
120,(주)강스템바이오텍,217730,15-Dec,,,,,
121,(주)강스템바이오텍,217730,16-Dec,,,,,
122,(주)강스템바이오텍,217730,17-Dec,9132939,5874047,0.64,,
123,(주)강스템바이오텍,217730,18-Dec,9165454,7988195,0.87,0.64,26.43678161
124,(주)강스템바이오텍,217730,19-Dec,6004584,6428945,1.07,0.87,18.69158879
126,(주)강원랜드,35250,11-Dec,1265686425,538388479,0.43,0.37,13.95348837
127,(주)강원랜드,35250,12-Dec,1296191223,647845564,0.5,0.43,14
128,(주)강원랜드,35250,13-Dec,1361286598,726091776,0.53,0.5,5.660377358
129,(주)강원랜드,35250,14-Dec,1496541441,722297880,0.48,0.53,-10.41666667
130,(주)강원랜드,35250,15-Dec,1633716839,759645970,0.46,0.48,-4.347826087
131,(주)강원랜드,35250,16-Dec,1696532511,785177091,0.46,0.46,0
132,(주)강원랜드,35250,17-Dec,1604470055,787533848,0.49,0.46,6.12244898
133,(주)강원랜드,35250,18-Dec,1438059299,729593460,0.51,0.49,3.921568627
134,(주)강원랜드,35250,19-Dec,1520080449,736659054,0.48,0.51,-6.25
135,(주)강원에너지,114190,10-Nov,,,,,
136,(주)강원에너지,114190,11-Nov,,,,,
137,(주)강원에너지,114190,12-Dec,,,,,
138,(주)강원에너지,114190,13-Dec,,,,,
139,(주)강원에너지,114190,14-Dec,,,,,
140,(주)강원에너지,114190,15-Dec,46188664,38265188,0.83,,
141,(주)강원에너지,114190,16-Dec,42287473,35270278,0.83,0.83,0
142,(주)강원에너지,114190,17-Dec,82034829,81169717,0.99,0.83,16.16161616
143,(주)강원에너지,114190,18-Dec,85905365,80012233,0.93,0.99,-6.451612903
