,회사명,회계년도,거래소코드_x,매출원가율,매출원가감소율,산업중간값,산업중간값여부,감소율여부,매출원가감소율여부
76,MH에탄올,19-Dec,23150,0.67,-10.45,68.22,0,0,0
77,OCI,11-Dec,10060,0.65,3.076923077,77.91,0,0,0
78,OCI,12-Dec,10060,0.84,22.61904762,80.41,0,0,0
79,OCI,13-Dec,10060,0.92,8.695652174,80.36,0,0,0
80,OCI,14-Dec,10060,0.84,-9.523809524,79.71,0,0,0
81,OCI,15-Dec,10060,0.96,12.5,77.5,0,0,0
82,OCI,16-Dec,10060,0.88,-9.090909091,77.25,0,0,0
83,OCI,17-Dec,10060,0.86,-2.325581395,78.45,0,0,0
84,OCI,18-Dec,10060,0.88,2.272727273,81.48,0,0,0
85,OCI,19-Dec,10060,0.98,10.20408163,79.49,0,0,0
86,SH에너지화학,11-Dec,2360,0.93,2.15,77.91,0,0,0
87,SH에너지화학,12-Dec,2360,0.92,-1.09,80.41,0,0,0
88,SH에너지화학,13-Dec,2360,0.92,0,80.36,0,0,0
89,SH에너지화학,14-Dec,2360,0.86,-6.98,79.71,0,0,0
90,SH에너지화학,15-Dec,2360,0.83,-3.61,77.5,0,0,0
91,SH에너지화학,16-Dec,2360,0.82,-1.22,77.25,0,0,0
92,SH에너지화학,17-Dec,2360,0.86,4.65,78.45,0,0,0
93,SH에너지화학,18-Dec,2360,0.93,7.53,81.48,0,0,0
94,SH에너지화학,19-Dec,2360,0.95,2.11,79.49,0,0,0
95,SK이노베이션,11-Dec,96770,0.93,0,0.0,1,0,1
96,SK이노베이션,12-Dec,96770,0.95,2.105263158,0.0,1,0,1
97,SK이노베이션,13-Dec,96770,0.95,0,0.0,1,0,1
98,SK이노베이션,14-Dec,96770,0.98,3.06122449,0.0,1,0,1
99,SK이노베이션,15-Dec,96770,0.91,-7.692307692,0.0,1,0,1
100,SK이노베이션,16-Dec,96770,0.87,-4.597701149,0.0,1,0,1
101,SK이노베이션,17-Dec,96770,0.88,1.136363636,0.0,1,0,1
102,SK이노베이션,18-Dec,96770,0.93,5.376344086,0.0,1,0,1
103,SK이노베이션,19-Dec,96770,0.94,1.063829787,0.0,1,0,1
104,SNT에너지,11-Dec,100840,1,0,73.85,0,0,0
105,SNT에너지,12-Dec,100840,1,0,75.13,0,0,0
106,SNT에너지,13-Dec,100840,1,0,74.77,0,0,0
107,SNT에너지,14-Dec,100840,1,0,76.93,0,0,0
108,SNT에너지,15-Dec,100840,1,0,77.48,0,0,0
109,SNT에너지,16-Dec,100840,1,0,78.73,0,0,0
110,SNT에너지,17-Dec,100840,1,0,80.02,0,0,0
111,SNT에너지,18-Dec,100840,1,0,81.15,0,0,0
112,SNT에너지,19-Dec,100840,0.83,0,80.98,0,0,0
113,SNT중공업,11-Dec,3570,0.85,1.176470588,86.155,0,0,0
114,SNT중공업,12-Dec,3570,0.87,2.298850575,87.3,0,0,0
115,SNT중공업,13-Dec,3570,0.92,5.434782609,87.315,0,0,0
