회사명,거래소코드,회계년도,매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)CMG제약,58820,Dec-11,41.83,41.83,-7.12,-8.5,-6.89,-8.28,2.63,2.37,4.03,3.61,-4.66,-5.58
(주)CMG제약,58820,Dec-12,28.34,28.34,-42.4,-40.97,-27.63,-26.84,-9.57,-9.96,-24.88,-25.87,-16.31,-15.78
(주)CMG제약,58820,Dec-13,38.46,38.7,1.65,1.45,0.83,0.74,1.46,1.4,4.05,3.88,0.59,0.52
(주)CMG제약,58820,Dec-14,37.07,37.07,0.75,0.69,0.35,0.32,0.78,0.78,1.96,1.94,0.3,0.28
(주)CMG제약,58820,Dec-15,36.26,36.26,-13.49,-13.5,-7.61,-7.62,-4.48,-4.49,-9.51,-9.51,-6.36,-6.37
(주)CMG제약,58820,Dec-16,40.36,40.36,5.14,5.24,2.29,2.34,2.07,2.07,5.25,5.25,2.02,2.06
(주)CMG제약,58820,Dec-17,43.43,43.43,6.83,6.83,2.85,2.85,1.41,1.41,3.75,3.75,2.57,2.57
(주)CMG제약,58820,Dec-18,45.6,45.6,12.16,12.16,6.01,6.01,2.29,2.29,5.15,5.15,5.42,5.42
(주)CMG제약,58820,Dec-19,49.34,49.34,5.2,5.2,2.15,2.15,1.7,1.7,4.44,4.44,1.99,1.99
(주)DB하이텍,990,Dec-11,17.06,16.62,-17.42,-17.74,-27.84,-27.74,-3.14,-3.34,-7.48,-7.81,-7.31,-7.59
(주)DB하이텍,990,Dec-12,16.6,16.38,-5.5,-5.31,-11.35,-10.47,-1.24,-1.33,-2.47,-2.64,-2.75,-2.66
(주)DB하이텍,990,Dec-13,18.08,18.08,-14.83,-16.82,-31.05,-33.51,-0.85,-0.87,-1.9,-1.95,-6.66,-7.49
(주)DB하이텍,990,Dec-14,24.11,24.11,-10.27,-13.56,-34.99,-47.32,4.42,4.46,7.98,8.03,-5.69,-7.54
(주)DB하이텍,990,Dec-15,34.46,34.46,19.12,19.01,61.61,67.63,12.39,12.69,18.66,18.75,12.7,12.87
(주)DB하이텍,990,Dec-16,37.51,37.51,11.38,11.43,27.41,29.65,17.08,17.49,22.22,22.3,8.75,8.96
(주)DB하이텍,990,Dec-17,37.3,37.3,10.95,16.21,18.46,27.62,14.35,14.46,20.94,21.07,7.5,11.12
(주)DB하이텍,990,Dec-18,32.17,32.17,14.21,12.97,19.32,17.12,11.13,10.97,16.87,16.88,9.38,8.43
(주)DB하이텍,990,Dec-19,36.43,36.43,15.01,12.96,20.4,17.4,16.93,16.82,22.44,22.45,11.32,9.71
(주)ES큐브,50120,Dec-11,30.21,27.92,-7.03,-8.99,-7.22,-12.61,-4.47,-6.58,-4.99,-6.84,-6.3,-8.65
(주)ES큐브,50120,Dec-12,28.36,28.02,1.17,-0.64,1.31,0.29,1.44,0.19,1.46,0.16,1.15,-0.78
(주)ES큐브,50120,Dec-13,25.75,24.76,-32.19,-28.08,-35.29,-40.47,0.47,-2.49,0.47,-1.99,-32,-35.23
(주)ES큐브,50120,Dec-14,17.79,21.42,-6.49,-1.38,-5.68,1.15,0.71,0.33,0.88,0.38,-5.22,-1.19
(주)ES큐브,50120,Dec-15,16.68,27.8,9.79,-5.47,8.39,1.56,5.15,-7.24,6.43,-9.63,7.85,-4.11
(주)ES큐브,50120,Dec-16,18.24,28.68,50.17,62.82,30.46,38.07,3.11,2.69,6.78,6.3,23.05,26.79
(주)ES큐브,50120,Dec-17,17.81,27.1,3.29,4.86,1.73,2.41,2.07,2.13,5.85,6.29,1.16,1.65
(주)ES큐브,50120,Dec-18,17.93,22.89,-12.25,-18.13,-5.56,-5.54,0.65,-1.11,2.21,-3.59,-3.6,-5.61
(주)ES큐브,50120,Dec-19,20.4,18.75,-44.65,-31.5,-21.14,-21.76,0.48,-0.91,2.06,-5.99,-10.42,-4.78
(주)HJ중공업,97230,Dec-11,6.87,7.85,-5.02,-3.35,-6,-5.07,0.98,1.48,2.57,3.73,-1.91,-1.33
(주)HJ중공업,97230,Dec-12,7.44,7.49,0.66,-2.09,0.7,-2.95,0.48,0.78,1.44,2.08,0.22,-0.78
(주)HJ중공업,97230,Dec-13,1.37,2.57,-11.04,-7.52,-11.6,-11.28,-1.85,-1.05,-5.66,-2.75,-3.61,-2.87
(주)HJ중공업,97230,Dec-14,0.04,-0.67,-12.55,-11.9,-12.66,-18.64,-1.88,-2.2,-5.91,-5.75,-3.99,-4.56
(주)HJ중공업,97230,Dec-15,3.38,3.56,-12.74,-8.38,-16.57,-17.73,-1.94,-1.28,-4.79,-2.55,-5.15,-4.21
(주)HJ중공업,97230,Dec-16,7.89,2.12,-17.34,-11.89,-29.31,-29.53,1.15,-1.42,2.56,-2.82,-7.81,-5.99
(주)HJ중공업,97230,Dec-17,11.07,0.87,-17.21,-11.34,-40.75,-37.73,2.4,-2.47,4.99,-4.76,-8.27,-5.87
(주)HJ중공업,97230,Dec-18,11.41,8.29,-55.03,-75.6,0,0,-2.32,1.78,-3.77,3.63,-33.8,-36.99
(주)HJ중공업,97230,Dec-19,10.59,10.9,-4.58,18.8,0,0,3.17,3.22,4.79,5.15,-3.03,11.77
(주)MH에탄올,23150,Dec-11,24.28,16.81,7.76,-9.73,6.14,-9.74,5.24,0.45,15.99,1.35,2.54,-3.24
(주)MH에탄올,23150,Dec-12,22.01,17.97,5.65,0.48,4.48,1.01,4.74,4.06,14.33,9.12,1.87,0.21
(주)MH에탄올,23150,Dec-13,28.19,12.67,-25.11,11.3,-21.97,16.85,7.37,2.28,20.84,4.84,-8.89,5.32
(주)MH에탄올,23150,Dec-14,24.24,24.24,9.43,-0.41,9.27,-0.38,8.42,8.13,17.86,17.85,4.45,-0.19
(주)MH에탄올,23150,Dec-15,27.71,27.71,15.37,15.44,14.07,14.06,13.53,13.48,22.02,22.01,9.45,9.46
(주)MH에탄올,23150,Dec-16,30.54,30.54,16.64,16.66,13.47,13.41,15.76,15.69,24.29,24.28,10.79,10.76
(주)MH에탄올,23150,Dec-17,28.37,28.38,12.23,8.29,9.23,10.42,11.65,2.84,21.65,15.62,6.58,1.5
(주)MH에탄올,23150,Dec-18,26.87,26.47,13.96,-16.53,9.84,-0.93,8.32,0.26,19.23,1.69,6.04,-2.56
(주)MH에탄올,23150,Dec-19,24.64,32.96,-10.65,-9.34,-7.82,-0.88,7.43,1.76,16.66,9.68,-4.75,-1.69
(주)SH에너지화학,2360,Dec-11,7.05,7.17,1.83,1.04,5.02,3.31,5.07,4.16,2.89,2.41,3.21,1.8
(주)SH에너지화학,2360,Dec-12,6.98,7.8,0.56,0.11,1.67,0.61,2.81,2.1,1.5,1.13,1.05,0.2
(주)SH에너지화학,2360,Dec-13,7.13,7.74,2.11,1.99,7.19,7.35,6.78,6,3.13,2.77,4.56,4.3
(주)SH에너지화학,2360,Dec-14,13.28,14.4,6.86,7.25,20.33,21.7,18.51,19.23,8.93,9.21,14.21,15.13
(주)SH에너지화학,2360,Dec-15,16.27,17.24,5.91,5.82,14.52,14.62,20.52,20.29,10.71,10.6,11.33,11.13
(주)SH에너지화학,2360,Dec-16,16.16,17.69,8.2,8.26,18.13,18.66,19.92,20.08,11.01,11.04,14.83,15.02
(주)SH에너지화학,2360,Dec-17,12.43,13.98,4.82,5.25,8.53,9.21,10.71,11.35,7.14,7.54,7.23,7.91
(주)SH에너지화학,2360,Dec-18,6.47,6.68,1.53,1.11,2.64,2.21,2.3,1.7,1.56,1.14,2.27,1.64
(주)SH에너지화학,2360,Dec-19,4.56,4.73,-2.28,-2.19,-3.13,-2.84,-1.95,-2.55,-1.71,-2.22,-2.6,-2.51
(주)SIMPAC,9160,Dec-11,20.65,20.87,9.91,11.6,14.52,15.9,9.83,9.42,12.8,12.7,7.61,8.61
(주)SIMPAC,9160,Dec-12,18.65,18.86,10.06,8.56,13.5,10.81,8.38,8,11.31,11.18,7.45,6.13
(주)SIMPAC,9160,Dec-13,19.88,20.1,9.39,9.74,10.22,10.11,7.22,6.93,11.61,11.47,5.84,5.89
(주)SIMPAC,9160,Dec-14,17.21,16.37,4.49,5.44,5.09,6.7,5.52,4.66,8.24,6.59,3.01,3.85
(주)SIMPAC,9160,Dec-15,19.62,17.85,9.12,6.1,9.17,7.29,6.76,5.28,11.09,7.88,5.57,4.09
(주)SIMPAC,9160,Dec-16,18.47,18.48,7.62,6.06,7.32,6.85,5.82,5.61,9.92,8.82,4.47,3.85
(주)SIMPAC,9160,Dec-17,17.06,16.31,3.51,5.59,3.15,5.36,3.94,2.93,6.88,5.07,2.01,3.23
(주)SIMPAC,9160,Dec-18,9.41,11.16,23.2,22.6,19.65,20.48,1.49,1.92,2.68,3.33,12.84,13.02
(주)SIMPAC,9160,Dec-19,8.89,10.41,2.94,2.21,2.77,2.17,1.36,1.64,2.15,2.59,1.86,1.39
(주)SNT에너지,100840,Dec-11,7.22,,-2.13,,-2.53,,-2.49,,-3.38,,-1.57,
(주)SNT에너지,100840,Dec-12,16.85,,3.94,,5.29,,5.32,,6.56,,3.19,
(주)SNT에너지,100840,Dec-13,19.4,,8.06,,8.49,,5.56,,8.37,,5.36,
(주)SNT에너지,100840,Dec-14,16.12,,4.64,,5.55,,4.47,,5.68,,3.66,
(주)SNT에너지,100840,Dec-15,22.22,,10.39,,12.31,,10.93,,13.04,,8.71,
(주)SNT에너지,100840,Dec-16,19.33,,0.65,,0.72,,0.36,,0.47,,0.5,
(주)SNT에너지,100840,Dec-17,20.66,,2.49,,1.98,,5.92,,10.43,,1.41,
(주)SNT에너지,100840,Dec-18,14.88,,1.31,,0.78,,-0.65,,-1.36,,0.63,
(주)SNT에너지,100840,Dec-19,16.04,16.73,7.19,7.24,6.12,6.31,4.79,5.23,7.24,8.19,4.76,4.63
(주)SNT홀딩스,36530,Dec-11,100,12.89,255.39,5.24,1.47,6.88,-1.08,5.79,-187.79,7.24,1.47,4.19
(주)SNT홀딩스,36530,Dec-12,0,12.2,103.36,3.79,2.32,5.6,1.72,4.08,76.8,5.14,2.32,3.01
(주)SNT홀딩스,36530,Dec-13,0,12.51,90.84,3.41,2.04,4.41,1.76,4.01,78.44,5.38,2.04,2.55
(주)SNT홀딩스,36530,Dec-14,0,11.1,89.48,4.32,1.73,5.51,1.5,3.13,77.46,4.22,1.73,3.2
(주)SNT홀딩스,36530,Dec-15,0,17.45,327.62,7.22,6.77,5.75,1.62,7.68,79.29,10.02,6.69,5.53
(주)SNT홀딩스,36530,Dec-16,0,13.08,70.51,0.66,1.63,0.47,1.87,3.3,81.48,4.7,1.61,0.46
(주)SNT홀딩스,36530,Dec-17,0,13.58,56.25,1.71,0.98,1.14,1.27,2.78,72.82,4.02,0.98,1.19
(주)SNT홀딩스,36530,Dec-18,0,12.86,85.27,5.26,1.47,4.36,1.27,3.41,73.94,5.18,1.47,3.46
(주)SNT홀딩스,36530,Dec-19,0,15.07,83.92,8.23,2.2,8.78,2.14,5.81,81.62,8.35,2.2,5.72
(주)STX,11810,Dec-11,4.42,7.57,2.03,3.73,8.07,14.56,2.02,4.14,1.48,3.93,2.76,3.93
(주)STX,11810,Dec-12,2.89,-3.15,-0.58,-7.97,-2.09,-35.59,0.54,-7.98,0.43,-6.67,-0.73,-9.53
(주)STX,11810,Dec-13,4.27,-28.23,-86.86,-65.14,0,-521.17,-3.12,-30.01,-3.55,-39.27,-76.32,-49.79
(주)STX,11810,Dec-14,4.49,7.42,25.9,23.28,0,0,2.17,2.75,1.81,2.18,31.01,29.3
(주)STX,11810,Dec-15,0.73,2.74,-3.92,-3,-84.03,-59.01,-1.54,-2.71,-1.2,-2.1,-5.02,-3.88
(주)STX,11810,Dec-16,-1.95,4.93,-31.12,-26.59,0,0,-12.55,-3.46,-7.22,-1.99,-54.14,-46.33
(주)STX,11810,Dec-17,3.36,4.73,21.07,18.54,0,0,5.26,6.6,1.89,2.44,58.56,50.09
(주)STX,11810,Dec-18,0.76,1.33,0.38,0.61,9.4,17.12,-1.43,-2.5,-0.52,-0.98,1.04,1.54
(주)STX,11810,Dec-19,1,3.16,-3,-2.26,-65.84,-54.53,-3.01,0.31,-1.11,0.12,-8.17,-5.96
(주)TCC스틸,2710,Dec-11,8.29,8.19,1.49,0.89,3.34,2.02,3.25,2.63,2.75,2.22,1.76,1.05
(주)TCC스틸,2710,Dec-12,9.36,8.66,0.95,0.02,2.03,0.07,2.76,1.19,2.65,1.18,0.99,0.02
(주)TCC스틸,2710,Dec-13,8.14,5.34,0.09,-3.98,0.19,-8.85,1.89,-1.42,1.99,-1.55,0.09,-3.66
(주)TCC스틸,2710,Dec-14,9.05,6.82,0.25,-3.05,0.49,-7.71,2.4,0.06,2.71,0.07,0.23,-2.89
(주)TCC스틸,2710,Dec-15,10.96,8.85,-40.02,-22.23,-97.74,-80.07,3.68,3.42,4.16,3.2,-35.38,-23.77
(주)TCC스틸,2710,Dec-16,11.25,9.35,4.88,3.81,18.29,17.99,4.57,4.66,4.19,3.45,5.32,5.14
(주)TCC스틸,2710,Dec-17,8.78,8.79,-0.7,0.38,-2.56,1.5,2.71,2.89,2.03,2.07,-0.93,0.54
(주)TCC스틸,2710,Dec-18,8.68,8.54,2.15,2.36,8.05,9.19,6.31,5.85,4.64,4.13,2.93,3.34
(주)TCC스틸,2710,Dec-19,7.96,7.22,0.59,1.15,2.04,4.42,4.7,4.15,3.73,2.94,0.74,1.63
(주)가비아,79940,Dec-11,38.56,44.79,9.65,13.28,14.24,18.06,10.97,13.88,11.64,15.48,9.1,11.9
(주)가비아,79940,Dec-12,38.95,41.64,14.91,13.64,20.69,21.3,6.62,10.15,7.66,11.03,12.88,12.54
(주)가비아,79940,Dec-13,39.37,44.98,9.35,13.45,11.48,15.65,5.84,7.97,7.49,9.95,7.29,10.77
(주)가비아,79940,Dec-14,38.79,43.71,7.01,8.4,8.43,8.18,6.38,8.83,7.86,10.42,5.69,7.12
(주)가비아,79940,Dec-15,40.54,45.36,8.85,9.31,10.64,11.99,7.98,11.15,9.35,12.38,7.55,8.38
(주)가비아,79940,Dec-16,41.73,46.17,7.17,9.96,8.07,10.68,6.7,10.87,8.06,12.28,5.97,8.82
(주)가비아,79940,Dec-17,41.64,48.1,4.76,8.32,5.36,8.88,5.04,9.81,6.07,10.94,3.95,7.46
(주)가비아,79940,Dec-18,42.65,48.92,5.01,11.92,5.67,12.58,6.11,12.77,7.44,14.13,4.11,10.77
(주)가비아,79940,Dec-19,40.72,48.99,7.99,14.23,8.96,15.73,6.42,13.51,8.39,16.01,6.11,12.01
(주)강스템바이오텍,217730,Dec-15,82.97,,-387.59,,-27.09,,-20.52,,-345.23,,-23.03,
(주)강스템바이오텍,217730,Dec-16,93.16,,-984.85,,-37.55,,-25.18,,-1081.81,,-22.92,
(주)강스템바이오텍,217730,Dec-17,55.46,35.68,-201.25,-126.27,-45.57,-46.19,-24.21,-24.87,-206.37,-128.52,-23.61,-24.43
(주)강스템바이오텍,217730,Dec-18,72.37,12.84,-1348.69,-155.96,-37.19,-37.79,-19.02,-19.43,-1051.44,-127.59,-24.39,-23.75
(주)강스템바이오텍,217730,Dec-19,49.86,-7.07,-8863.64,-439.57,-42.09,-41.61,-23.56,-24.78,-6881.7,-385.6,-30.34,-28.25
(주)강원랜드,35250,Dec-11,58.06,57.46,31.13,30.12,17.94,17.5,18.74,18.36,39.65,38.6,14.72,14.33
(주)강원랜드,35250,Dec-12,50.57,50.02,22.93,23.63,12.72,13.23,14.76,14.41,32.24,31.24,10.5,10.9
(주)강원랜드,35250,Dec-13,47.06,46.66,21.6,21.86,11.95,12.17,13.24,12.92,29.37,28.51,9.74,9.91
(주)강원랜드,35250,Dec-14,52.2,51.74,24.38,24.01,13.89,13.76,16.23,15.85,35.27,34.29,11.22,11.1
(주)강원랜드,35250,Dec-15,53.72,53.5,26.39,27.03,15.07,15.49,17.09,16.85,37.03,36.44,12.18,12.5
(주)강원랜드,35250,Dec-16,53.85,53.72,26.85,26.79,14.56,14.55,16.31,16.13,36.88,36.46,11.87,11.85
(주)강원랜드,35250,Dec-17,51.02,50.92,27.27,27.27,12.94,12.96,13.14,13,33.43,33.09,10.72,10.72
(주)강원랜드,35250,Dec-18,49.36,49.27,20.7,20.67,8.39,8.39,10.34,10.23,30.28,29.95,7.07,7.06
(주)강원랜드,35250,Dec-19,51.61,51.54,22.11,22.02,9.19,9.16,11.6,11.56,33.13,32.97,7.75,7.72
(주)강원에너지,114190,Nov-11,25.07,,11.46,,26.29,,16,,13.12,,13.97,
(주)강원에너지,114190,Dec-12,19.75,,8.43,,24.85,,13.01,,10.91,,10.05,
(주)강원에너지,114190,Dec-13,23.18,,7.74,,9.57,,4,,6.38,,4.85,
(주)강원에너지,114190,Dec-14,21.2,,2.18,,2.33,,2.33,,3.16,,1.61,
(주)강원에너지,114190,Dec-15,17.05,17.15,1.81,0.22,1.68,0.18,1.19,0.52,1.8,0.97,1.2,0.12
(주)강원에너지,114190,Dec-16,16.29,16.59,-1.71,-2.66,-1.4,-1.99,-1.19,-1.61,-2.03,-3.1,-1,-1.38
(주)강원에너지,114190,Dec-17,1.04,1.05,-7.57,-7.86,-12.47,-12.58,-6.83,-6.56,-6.52,-6.81,-7.93,-7.57
(주)강원에너지,114190,Dec-18,6.86,6.86,2.3,1.99,4.1,4.19,0.6,0.37,0.62,0.4,2.23,1.83
(주)강원에너지,114190,Dec-19,-14.43,-14.43,-78.64,-83.78,-92.7,-94.77,-23.7,-22.83,-40.31,-40.37,-46.24,-47.39
(주)갤럭시아에스엠,11420,Dec-11,17.55,18.25,9.4,6.15,12.73,12.95,13.47,11.45,16.13,10.91,7.84,6.45
(주)갤럭시아에스엠,11420,Dec-12,9.77,13.61,0.6,0.71,0.9,1.49,3.95,4.72,4.28,3.77,0.55,0.88
(주)갤럭시아에스엠,11420,Dec-13,8.74,10.06,-4.6,-3.74,-5.96,-7.07,1.76,1.83,2.11,1.61,-3.82,-4.26
(주)갤럭시아에스엠,11420,Dec-14,5.28,8.36,-2.82,-0.58,-4.06,-1.14,-1.37,-1.02,-1.55,-0.96,-2.49,-0.62
(주)갤럭시아에스엠,11420,Dec-15,9.91,10.35,4.79,2.98,6.96,5.11,4.79,3.69,4.8,3.36,4.78,3.27
(주)갤럭시아에스엠,11420,Dec-16,0.85,1.8,-3.42,-2.97,-3.27,-3.3,-5.24,-5.84,-7.06,-7.06,-2.54,-2.46
(주)갤럭시아에스엠,11420,Dec-17,-0.41,-0.41,-15.98,-15.82,-13.83,-13.83,-6.36,-6.55,-9.02,-9.51,-11.26,-10.9
(주)갤럭시아에스엠,11420,Dec-18,-9.45,-24.33,-71.17,-72.54,-46.6,-47.79,-16.25,-24.89,-30.36,-46.86,-38.1,-38.52
(주)갤럭시아에스엠,11420,Dec-19,6.25,6.25,-4.79,-4.79,-5.66,-5.7,-2.52,-1.48,-2.7,-1.59,-4.47,-4.47
(주)경농,2100,Dec-11,34.5,34.67,2.61,0.42,2.14,0.36,4.37,4.42,6.8,6.33,1.68,0.29
(주)경농,2100,Dec-12,36.59,36.03,5.03,7.53,4.43,7.43,7.36,4.73,10.68,9.29,3.47,3.83
(주)경농,2100,Dec-13,38.56,34.22,9.88,7.1,8.75,8.89,7.84,7.15,11.78,9.57,6.57,5.31
(주)경농,2100,Dec-14,39.81,34.86,6.88,3.77,5.59,4.73,6.3,5.42,10.41,7.77,4.16,2.63
(주)경농,2100,Dec-15,38.67,35.29,4.72,3.55,3.79,4.13,3.68,4.03,6.63,6.17,2.62,2.32
(주)경농,2100,Dec-16,36.89,33.64,4.03,3.12,3.3,3.86,2.72,2.88,5.05,4.49,2.17,2
(주)경농,2100,Dec-17,36.46,32.77,8.06,4.88,6.42,5.83,3.39,2.57,6.34,4.09,4.31,3.07
(주)경농,2100,Dec-18,37.48,34.21,6.57,2.29,5.2,3.08,5.48,4.26,10.38,6.95,3.47,1.41
(주)경농,2100,Dec-19,37.47,32.71,4.67,1.76,3.74,2.47,4.04,2.39,7.76,3.82,2.43,1.1
(주)경동나비엔,9450,Dec-11,22.51,26.29,2.97,2.77,6.75,5.8,5.9,4.95,3.95,3.64,4.43,3.77
(주)경동나비엔,9450,Dec-12,21.44,25.44,2.7,2.42,6.24,5.41,4.84,4.95,3.4,3.67,3.85,3.26
(주)경동나비엔,9450,Dec-13,23.53,28.49,2.49,2.69,5.9,6.19,5.32,6.05,3.98,4.78,3.33,3.4
(주)경동나비엔,9450,Dec-14,23.26,26.84,2.38,2.19,5.51,4.92,5.08,3.56,4.21,3.14,2.87,2.48
(주)경동나비엔,9450,Dec-15,25.31,31.24,4.31,3.27,10.94,8.48,6.34,6.03,4.64,4.73,5.89,4.17
(주)경동나비엔,9450,Dec-16,27.08,34.45,5.66,6.42,14.48,16.79,10.88,11.02,7.23,7.86,8.52,9.01
(주)경동나비엔,9450,Dec-17,25.73,34.85,2.86,3.95,7.54,10.73,8.67,10.23,5.62,6.98,4.41,5.79
(주)경동나비엔,9450,Dec-18,24.54,32.87,3.69,3.41,9.87,9.23,7.05,7.51,4.75,5.61,5.49,4.55
(주)경동나비엔,9450,Dec-19,26.89,34.18,3.12,3.6,8.27,9.59,8.69,7.51,5.98,5.79,4.54,4.67
(주)경동도시가스,267290,Dec-17,,,,,,,,,,,,
(주)경동도시가스,267290,Dec-18,7.8,7.84,2.12,2.13,10.66,11.11,5.54,5.73,2.68,2.66,4.38,4.59
(주)경동도시가스,267290,Dec-19,7.81,7.91,1.71,1.73,7.42,7.45,3.63,3.67,1.95,1.97,3.2,3.22
(주)경동인베스트,12320,Dec-11,6.02,5.86,2.77,1.64,12.86,7.76,6.59,3.94,3.1,1.94,5.9,3.33
(주)경동인베스트,12320,Dec-12,4.62,4.84,2.37,1.71,12.91,10.11,4.88,4.51,2.14,1.99,5.4,3.88
(주)경동인베스트,12320,Dec-13,4.17,4.63,1.74,1.79,9.38,10.58,4.01,4.19,1.75,1.81,3.97,4.13
(주)경동인베스트,12320,Dec-14,4.4,5.07,1.87,2.92,8.32,13.88,3.34,3.8,1.58,1.84,3.96,6.01
(주)경동인베스트,12320,Dec-15,6.56,5.22,-0.45,-1.32,-1.1,-2.85,1.81,-1.07,1.36,-0.83,-0.6,-1.71
(주)경동인베스트,12320,Dec-16,9.46,9.91,1.6,1.62,2.96,3.34,2.57,2.5,2.31,2.43,1.79,1.67
(주)경동인베스트,12320,Dec-17,0,27.86,1183.54,26.62,1.67,10.99,-0.37,4.22,-368.5,18.65,1.19,6.02
(주)경동인베스트,12320,Dec-18,51.27,25.15,21.11,13.05,0.51,7.35,-0.05,6.58,-2.17,17.15,0.49,5.01
(주)경동인베스트,12320,Dec-19,54.53,17.82,-10.62,3.26,-0.3,2.29,-0.03,3.67,-1.11,8.08,-0.29,1.48
(주)경방,50,Dec-11,10.64,25.66,-0.66,-0.32,-0.27,-0.18,1.62,1.66,7.76,6.37,-0.14,-0.08
(주)경방,50,Dec-12,5.58,21.82,-2.67,-2.37,-1.05,-1.26,0.63,0.54,3.1,2.17,-0.54,-0.59
(주)경방,50,Dec-13,15.62,27.57,5.7,4.2,2.23,2.32,2.8,2.74,13.56,10.38,1.18,1.11
(주)경방,50,Dec-14,18.64,27.56,5.54,3.49,2.13,1.79,2.53,2.36,12.49,9.31,1.12,0.88
(주)경방,50,Dec-15,31.93,28.45,7.02,4.67,3.27,2.55,3.05,2.97,12.55,10.89,1.7,1.27
(주)경방,50,Dec-16,33.06,28.9,9.87,7.81,4.55,4.39,3.41,3.32,13.56,11.51,2.48,2.25
(주)경방,50,Dec-17,34.62,29.75,8.91,7.02,3.67,3.67,3.24,3.28,13.68,11.73,2.11,1.97
(주)경방,50,Dec-18,36.29,30.56,10.46,5.74,4.05,2.87,3.21,3.18,13.96,11.66,2.41,1.57
(주)경방,50,Dec-19,40.22,28.93,8.77,12.68,3.02,6.01,3.09,2.4,15.37,9.31,1.76,3.26
(주)경보제약,214390,Dec-15,27.27,,14.67,,27.32,,14.1,,14.4,,14.36,
(주)경보제약,214390,Dec-16,23.62,,6.8,,10.08,,7.81,,8.35,,6.37,
(주)경보제약,214390,Dec-17,28.5,,9.37,,13.26,,12.03,,12.83,,8.79,
(주)경보제약,214390,Dec-18,24.47,,6.51,,9.03,,8.1,,8.58,,6.15,
(주)경보제약,214390,Dec-19,21.24,,2.76,,3.55,,2.7,,3.23,,2.3,
(주)경인양행,12610,Dec-11,14.67,14.7,2.17,1.24,1.76,1.65,0.76,1.98,1.46,2.73,1.12,0.9
(주)경인양행,12610,Dec-12,14.64,13.01,3.17,0.96,2.79,1.49,1.24,1.2,2.13,1.67,1.84,0.69
(주)경인양행,12610,Dec-13,19.24,16.61,6.73,3.92,7.25,6.41,4.68,3.69,6.6,4.27,4.78,3.38
(주)경인양행,12610,Dec-14,19.3,17.67,4.77,3.66,4.99,5.48,4.05,4.47,5.76,5.08,3.35,3.22
(주)경인양행,12610,Dec-15,15.21,16.36,0.06,1.39,0.06,1.01,0.03,2.1,0.04,2.55,0.04,1.15
(주)경인양행,12610,Dec-16,15.89,17.04,2.08,2.49,1.98,2.7,0.78,3.15,1.23,3.85,1.32,2.04
(주)경인양행,12610,Dec-17,15.02,15.72,0.27,1.59,0.28,1.85,0.05,2.1,0.08,2.46,0.18,1.36
(주)경인양행,12610,Dec-18,23.74,22.87,3.33,4.17,3.81,6.59,3.73,5.11,5.38,5.95,2.31,3.58
(주)경인양행,12610,Dec-19,23.23,23.62,1.96,4.56,2.4,6.57,3.91,5.32,5.78,6.56,1.32,3.7
(주)고려시멘트,198440,Dec-14,,,,,,,,,,,,
(주)고려시멘트,198440,Dec-15,,,,,,,,,,,,
(주)고려시멘트,198440,Dec-16,,,,,,,,,,,,
(주)고려시멘트,198440,Dec-17,13.33,,1.15,,1.3,,2.6,,3.44,,0.87,
(주)고려시멘트,198440,Dec-18,14.77,,5.42,,5.67,,3.15,,4.47,,3.82,
(주)고려시멘트,198440,Dec-19,7.5,,4.79,,3.88,,-0.36,,-0.65,,2.67,
(주)고영테크놀러지,98460,Dec-11,57.18,57.08,20.67,18.15,26.45,25.06,25.05,23.87,24.44,21.85,21.19,19.83
(주)고영테크놀러지,98460,Dec-12,54.11,57.02,14.72,14.12,19.21,19.91,21.43,22.53,20.2,19.88,15.61,15.99
(주)고영테크놀러지,98460,Dec-13,53.1,55.34,14.26,12.45,16.09,15.35,15.85,14.96,17.11,14.99,13.21,12.42
(주)고영테크놀러지,98460,Dec-14,54.71,57.81,16.8,15.48,20.86,20.68,21.07,21.44,20.46,19.71,17.31,16.84
(주)고영테크놀러지,98460,Dec-15,58.89,61,16.8,16.13,18.48,18.99,17.33,15.6,18.89,16.07,15.41,15.66
(주)고영테크놀러지,98460,Dec-16,60.08,62.83,18.31,17.3,19.28,20.61,17.51,18.75,20.25,19.32,15.83,16.79
(주)고영테크놀러지,98460,Dec-17,61.02,64.65,15.3,13.15,17.93,16.76,22.75,21.86,24.09,21.51,14.45,13.36
(주)고영테크놀러지,98460,Dec-18,59.92,62.5,19.3,17.76,21.53,21.86,19.02,18.99,21.02,19.3,17.47,17.47
(주)고영테크놀러지,98460,Dec-19,61.05,63.58,16.57,13.31,14.42,12.59,13.63,11.4,19.12,15.01,11.8,10.11
(주)골드앤에스,35290,Dec-11,30.52,31.52,2.32,2.11,4.97,4.57,3.07,2.82,2.93,2.73,2.43,2.19
(주)골드앤에스,35290,Dec-12,28.28,29.34,-13.75,-14.74,-24.69,-26.93,-4.85,-4.73,-5.38,-5.31,-12.39,-13.11
