회사명,거래소코드,회계년도,장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),유동성장기차입금(IFRS)(천원),자산(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),유동성장기차입금(IFRS연결)(천원),자산(*)(IFRS연결)(천원)
(주)SIMPAC,009160,2016/12,0,10000000,30000000,366245273,220000,24590628,30000000,417865468
(주)SIMPAC,009160,2017/12,0,15000000,35000000,343005145,178750,20000000,35041250,381158251
(주)SIMPAC,009160,2018/12,0,95000000,8250000,628334175,123750,105000000,8305000,681750819
(주)SIMPAC,009160,2019/12,0,102000000,0,608693104,68750,126700000,55000,679145850
(주)SNT에너지,100840,2010/12,0,10000000,0,253914889,,,,
(주)SNT에너지,100840,2011/12,0,20000000,0,276511841,,,,
(주)SNT에너지,100840,2012/12,0,0,0,292802033,,,,
(주)SNT에너지,100840,2013/12,0,0,0,311675279,,,,
(주)SNT에너지,100840,2014/12,0,0,0,304511816,,,,
(주)SNT에너지,100840,2015/12,0,0,0,316196096,,,,
(주)SNT에너지,100840,2016/12,0,0,0,348042346,,,,
(주)SNT에너지,100840,2017/12,0,0,0,300266693,,,,
(주)SNT에너지,100840,2018/12,0,0,0,280991534,,,,
(주)SNT에너지,100840,2019/12,0,0,0,331391237,0,0,0,333897235
(주)SNT홀딩스,036530,2010/12,0,0,0,397213393,419200,114059332,654400,2038921397
(주)SNT홀딩스,036530,2011/12,0,0,0,388123974,627000,83747208,422200,2124828265
(주)SNT홀딩스,036530,2012/12,0,0,0,388964716,1230693,61474637,578979,2074903906
(주)SNT홀딩스,036530,2013/12,0,0,0,397336142,741141,74400885,225952,2149176237
(주)SNT홀딩스,036530,2014/12,0,0,0,399244416,496019,27084000,240361,2039388864
(주)SNT홀딩스,036530,2015/12,0,0,0,430584006,241477,6947267,251293,2169311305
(주)SNT홀딩스,036530,2016/12,0,0,0,427001710,0,6890307,239718,2210178425
(주)SNT홀딩스,036530,2017/12,0,0,0,425435423,0,6520000,0,2146174938
(주)SNT홀딩스,036530,2018/12,0,0,0,422804813,0,6460000,0,2113834573
(주)SNT홀딩스,036530,2019/12,0,0,0,417172874,0,0,0,2236679025
(주)STX,011810,2010/12,58292000,460768000,65405000,2822864000,769257000,797362000,148409000,6092977000
(주)STX,011810,2011/12,115350000,657305000,11733000,3302248000,453951000,867790000,53475000,5234175000
(주)STX,011810,2012/12,97993000,749942000,14742000,3226878000,523076000,974176000,66668000,5067029000
(주)STX,011810,2013/12,391256000,474021000,18346000,1086567000,391286000,542454000,18352000,1342520000
(주)STX,011810,2014/12,214533000,488720000,0,1070433000,214556000,512227000,40319000,1255002000
(주)STX,011810,2015/12,165217000,500659000,36560000,1057543000,165235000,578844000,36566000,1267224000
(주)STX,011810,2016/12,30940000,510241000,107410000,627686000,30940000,574539000,107410000,707709000
(주)STX,011810,2017/12,19343000,204108000,8695000,520393000,19343000,253322000,8695000,627542000
(주)STX,011810,2018/12,22595000,259918000,2805000,446758000,22595000,305981000,2804000,554061000
(주)STX,011810,2019/12,34213000,248602000,3220000,462734000,38017000,264271000,5556000,560107000
(주)TCC스틸,002710,2010/12,8146000,74594261,2550000,366375812,8839282,89239597,2550000,414696288
(주)TCC스틸,002710,2011/12,25483900,93982325,7514200,407743559,26981943,108093746,7954200,454329510
(주)TCC스틸,002710,2012/12,57343600,51793337,23040300,438642951,69300233,95311816,39293667,547013976
(주)TCC스틸,002710,2013/12,81381440,30522560,32962160,444204925,119777726,68381264,33982147,543708595
(주)TCC스틸,002710,2014/12,28114780,82191918,70666660,461297588,30545120,121546985,106920460,551000563
(주)TCC스틸,002710,2015/12,112083700,29010848,0,330651742,113039900,40104555,250000,376394571
(주)TCC스틸,002710,2016/12,59537000,30606252,0,250878191,60103220,40670209,482480,282914735
(주)TCC스틸,002710,2017/12,0,35703547,69207408,248896237,178740,41668435,69684258,278692540
(주)TCC스틸,002710,2018/12,74888608,40134438,2434800,268135677,78588608,41720321,2613540,304781579
(주)TCC스틸,002710,2019/12,4363000,48254679,74888608,270265082,8063000,49412479,74888608,314210087
(주)가비아,079940,2010/12,3779940,0,660060,34383172,3779940,0,660060,52912228
(주)가비아,079940,2011/12,953300,0,2826640,37295822,953300,0,2826640,64954440
(주)가비아,079940,2012/12,9666660,1000000,786640,51795749,9666660,2774106,786640,85244515
(주)가비아,079940,2013/12,5500000,0,4166660,52151784,5500000,1000000,4166660,91231294
(주)가비아,079940,2014/12,4675000,3000000,825000,55984243,4675000,3500000,825000,98544072
(주)가비아,079940,2015/12,5500000,0,0,57657418,5500000,510000,0,105081568
(주)가비아,079940,2016/12,5500000,0,0,61160981,7200000,2200000,0,125796754
(주)가비아,079940,2017/12,0,0,5500000,64986436,1700000,2400000,5500000,133382584
(주)가비아,079940,2018/12,1000000,5500000,0,69315988,3315000,8214600,330000,151440505
(주)가비아,079940,2019/12,4910996,3000000,0,82964911,11463170,6645286,0,199916131
(주)강스템바이오텍,217730,2015/12,780000,287750,0,24982626,,,,
(주)강스템바이오텍,217730,2016/12,520000,260000,0,47441769,,,,
(주)강스템바이오텍,217730,2017/12,4260000,0,260000,44508729,4260000,1350000,560000,47198979
(주)강스템바이오텍,217730,2018/12,4000000,0,260000,66184838,4438889,1405000,343333,73194018
(주)강스템바이오텍,217730,2019/12,4000000,0,0,98625925,7655556,240000,83333,113643697
(주)강원랜드,035250,2010/12,0,0,0,2615956414,0,0,0,2609098339
(주)강원랜드,035250,2011/12,0,0,0,2730283806,0,0,0,2711401782
(주)강원랜드,035250,2012/12,0,0,0,2915385756,0,0,0,2906655321
(주)강원랜드,035250,2013/12,0,0,0,3105430200,0,0,0,3102036846
(주)강원랜드,035250,2014/12,0,0,0,3380461682,0,0,0,3375127289
(주)강원랜드,035250,2015/12,0,0,0,3688060027,0,0,0,3690791830
(주)강원랜드,035250,2016/12,0,0,0,3975979890,940000,0,0,3978987574
(주)강원랜드,035250,2017/12,0,0,0,4182527382,1400000,0,0,4185657487
(주)강원랜드,035250,2018/12,0,0,0,4229630541,0,0,0,4231241354
(주)강원랜드,035250,2019/12,0,0,0,4436461953,0,0,0,4438119306
(주)강원에너지,114190,2010/11,0,0,70000,28677832,,,,
(주)강원에너지,114190,2011/11,0,0,0,53719067,,,,
(주)강원에너지,114190,2012/12,0,0,0,89258208,,,,
(주)강원에너지,114190,2013/12,0,0,0,72441333,,,,
(주)강원에너지,114190,2014/12,0,0,0,67037639,,,,
(주)강원에너지,114190,2015/12,0,0,0,80939019,10000000,0,0,85457457
(주)강원에너지,114190,2016/12,0,0,0,70850137,10004000,0,0,77186606
(주)강원에너지,114190,2017/12,0,0,0,87781416,7200000,0,961000,93179394
(주)강원에너지,114190,2018/12,0,0,0,89619750,0,7200000,0,93845576
(주)강원에너지,114190,2019/12,3320000,0,0,55106032,3320000,7200000,0,56602063
(주)갤럭시아에스엠,011420,2010/12,0,912703,0,35800250,0,912703,0,38135510
(주)갤럭시아에스엠,011420,2011/12,0,1900000,0,40711969,0,1900000,0,45110356
(주)갤럭시아에스엠,011420,2012/12,0,1400000,0,40169876,2050000,1400000,0,43979072
(주)갤럭시아에스엠,011420,2013/12,0,1400000,527650,34158874,444977,3450000,527650,37636664
(주)갤럭시아에스엠,011420,2014/12,0,1400000,1231104,40528250,1778928,1400000,1231104,45274078
(주)갤럭시아에스엠,011420,2015/12,0,0,0,67196553,478600,900000,0,68686992
(주)갤럭시아에스엠,011420,2016/12,0,0,0,55825556,0,0,420000,58444606
(주)갤럭시아에스엠,011420,2017/12,0,0,0,48958128,0,0,0,49831109
(주)갤럭시아에스엠,011420,2018/12,0,0,0,33337692,0,0,0,33253331
(주)갤럭시아에스엠,011420,2019/12,0,0,0,28241598,0,0,0,28241598
