회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원)
골프존뉴딘홀딩스,11-Dec,121440,215793737
골프존뉴딘홀딩스,12-Dec,121440,289629366
골프존뉴딘홀딩스,13-Dec,121440,365126358
골프존뉴딘홀딩스,14-Dec,121440,429589619
골프존뉴딘홀딩스,15-Dec,121440,164536448
골프존뉴딘홀딩스,16-Dec,121440,243275475
골프존뉴딘홀딩스,17-Dec,121440,213756902
골프존뉴딘홀딩스,18-Dec,121440,223036801
골프존뉴딘홀딩스,19-Dec,121440,228935651
광림,11-Dec,14200,106495363
광림,12-Dec,14200,85322569
광림,13-Dec,14200,103442134
광림,14-Dec,14200,231446314
광림,15-Dec,14200,237222890
광림,16-Dec,14200,87302967
광림,17-Dec,14200,135191558
광림,18-Dec,14200,136595300
광림,19-Dec,14200,145864184
광명전기,11-Dec,17040,92382628
광명전기,12-Dec,17040,117216514
광명전기,13-Dec,17040,117852824
광명전기,14-Dec,17040,134778387
광명전기,15-Dec,17040,116316957
광명전기,16-Dec,17040,96942911
광명전기,17-Dec,17040,101561159
광명전기,18-Dec,17040,114110654
광명전기,19-Dec,17040,131864294
광무,11-Dec,29480,51755052
광무,12-Dec,29480,41178683
광무,13-Dec,29480,20534276
광무,14-Dec,29480,38409667
광무,15-Dec,29480,17648493
광무,16-Dec,29480,26429957
광무,17-Dec,29480,21540953
광무,18-Dec,29480,23074941
광무,19-Dec,29480,36483979
구영테크,11-Dec,53270,147832315
구영테크,12-Dec,53270,155788988
구영테크,13-Dec,53270,172747316
구영테크,14-Dec,53270,170528694
구영테크,15-Dec,53270,172083049
구영테크,16-Dec,53270,148301597
구영테크,17-Dec,53270,149833357
구영테크,18-Dec,53270,195238339
구영테크,19-Dec,53270,230853336
국동,11-Dec,5320,154293577
국동,12-Dec,5320,138172746
국동,13-Dec,5320,147860227
국동,14-Dec,5320,186086561
국동,15-Dec,5320,170296068
국동,16-Dec,5320,197368723
국동,17-Dec,5320,191602989
국동,18-Dec,5320,219550054
국동,19-Dec,5320,223077183
국보,11-Dec,1140,130636214
국보,12-Dec,1140,122343037
국보,13-Dec,1140,117073443
국보,14-Dec,1140,97520169
국보,15-Dec,1140,91618545
국보,16-Dec,1140,87333326
국보,17-Dec,1140,78255522
국보,18-Dec,1140,71549828
국보,19-Dec,1140,89087334
국순당,11-Dec,43650,127686247
국순당,12-Dec,43650,118697826
국순당,13-Dec,43650,99173525
국순당,14-Dec,43650,91863604
국순당,15-Dec,43650,77443124
국순당,16-Dec,43650,69701266
국순당,17-Dec,43650,62761236
국순당,18-Dec,43650,61496072
국순당,19-Dec,43650,102095769
국영지앤엠,11-Dec,6050,42569848
국영지앤엠,12-Dec,6050,43781593
국영지앤엠,13-Dec,6050,55789778
국영지앤엠,14-Dec,6050,51491847
국영지앤엠,15-Dec,6050,40107647
국영지앤엠,16-Dec,6050,51456556
국영지앤엠,17-Dec,6050,62861661
국영지앤엠,18-Dec,6050,56301480
국영지앤엠,19-Dec,6050,73013468
그래디언트,11-Dec,35080,428571939
그래디언트,12-Dec,35080,454225001
그래디언트,13-Dec,35080,2930521926
그래디언트,14-Dec,35080,3135027346
그래디언트,15-Dec,35080,3536848758
그래디언트,16-Dec,35080,3845761388
그래디언트,17-Dec,35080,3541486629
그래디언트,18-Dec,35080,3440906300
그래디언트,19-Dec,35080,3412333826
금호에이치티,15-Dec,214330,203071984
금호에이치티,16-Dec,214330,208574892
금호에이치티,17-Dec,214330,179707629
금호에이치티,18-Dec,214330,209260006
금호에이치티,19-Dec,214330,251095062
기가레인,13-Dec,49080,94791934
기가레인,14-Dec,49080,95718992
기가레인,15-Dec,49080,61576391
기가레인,16-Dec,49080,75445071
기가레인,17-Dec,49080,100131227
기가레인,18-Dec,49080,124772205
기가레인,19-Dec,49080,72769411
기산텔레콤,11-Dec,35460,65679195
기산텔레콤,12-Dec,35460,74315907
기산텔레콤,13-Dec,35460,79463728
기산텔레콤,14-Dec,35460,74512326
기산텔레콤,15-Dec,35460,79710503
기산텔레콤,16-Dec,35460,59172319
기산텔레콤,17-Dec,35460,63467585
기산텔레콤,18-Dec,35460,56445716
기산텔레콤,19-Dec,35460,67054955
까뮤이앤씨,11-Dec,13700,90048208
까뮤이앤씨,12-Dec,13700,90976586
까뮤이앤씨,13-Dec,13700,83568532
까뮤이앤씨,14-Dec,13700,123567918
까뮤이앤씨,15-Dec,13700,132370311
까뮤이앤씨,16-Dec,13700,139708060
까뮤이앤씨,17-Dec,13700,172176860
까뮤이앤씨,18-Dec,13700,116296828
까뮤이앤씨,19-Dec,13700,283420655
나노신소재,11-Dec,121600,33480756
나노신소재,12-Dec,121600,23644347
나노신소재,13-Dec,121600,27009014
나노신소재,14-Dec,121600,27926752
나노신소재,15-Dec,121600,43140425
나노신소재,16-Dec,121600,41111800
나노신소재,17-Dec,121600,45568866
나노신소재,18-Dec,121600,52249960
나노신소재,19-Dec,121600,48892961
나무가,15-Dec,190510,403847036
나무가,16-Dec,190510,292613003
나무가,17-Dec,190510,257564977
나무가,18-Dec,190510,312824892
나무가,19-Dec,190510,362063863
나이벡,11-Dec,138610,2702416
나이벡,12-Dec,138610,3875799
나이벡,13-Dec,138610,2271977
나이벡,14-Dec,138610,4786118
나이벡,15-Dec,138610,4173528
나이벡,16-Dec,138610,4804232
나이벡,17-Dec,138610,6302575
나이벡,18-Dec,138610,5207877
나이벡,19-Dec,138610,9287488
남성,11-Dec,4270,66156225
남성,12-Dec,4270,68020409
남성,13-Dec,4270,73072002
남성,14-Dec,4270,69059783
남성,15-Dec,4270,75864783
남성,16-Dec,4270,83724292
남성,17-Dec,4270,91991880
남성,18-Dec,4270,83251810
남성,19-Dec,4270,72953026
내츄럴엔도텍,13-Dec,168330,84281121
내츄럴엔도텍,14-Dec,168330,124067457
내츄럴엔도텍,15-Dec,168330,44506401
내츄럴엔도텍,16-Dec,168330,6556020
내츄럴엔도텍,17-Dec,168330,9238808
내츄럴엔도텍,18-Dec,168330,8928362
내츄럴엔도텍,19-Dec,168330,6580460
네오리진,11-Dec,94860,42947694
네오리진,12-Dec,94860,24667502
네오리진,13-Dec,94860,41569623
네오리진,14-Dec,94860,34582751
네오리진,15-Dec,94860,12413198
네오리진,16-Dec,94860,10654596
네오리진,17-Dec,94860,9263380
네오리진,18-Dec,94860,9064462
네오리진,19-Dec,94860,11270250
네오오토,15-Dec,212560,115393747
네오오토,16-Dec,212560,140544448
네오오토,17-Dec,212560,128249343
네오오토,18-Dec,212560,115243742
네오오토,19-Dec,212560,118441501
네오펙트,18-Dec,290660,5653093
네오펙트,19-Dec,290660,12311251
네이블커뮤니케이션즈,12-Dec,153460,28494249
네이블커뮤니케이션즈,13-Dec,153460,21933881
네이블커뮤니케이션즈,14-Dec,153460,23696900
네이블커뮤니케이션즈,15-Dec,153460,22857730
네이블커뮤니케이션즈,16-Dec,153460,21590435
네이블커뮤니케이션즈,17-Dec,153460,13473262
네이블커뮤니케이션즈,18-Dec,153460,15833273
네이블커뮤니케이션즈,19-Dec,153460,12360704
네이처셀,11-Dec,7390,22793853
네이처셀,12-Dec,7390,27205250
네이처셀,13-Dec,7390,29208214
네이처셀,14-Dec,7390,25355151
네이처셀,15-Dec,7390,30553552
네이처셀,16-Dec,7390,26787767
네이처셀,17-Dec,7390,27215252
네이처셀,18-Dec,7390,26715298
네이처셀,19-Dec,7390,23072026
네패스,11-Dec,33640,276089822
네패스,12-Dec,33640,290541326
네패스,13-Dec,33640,364128942
네패스,14-Dec,33640,328792875
네패스,15-Dec,33640,279220555
네패스,16-Dec,33640,254535006
네패스,17-Dec,33640,285034101
네패스,18-Dec,33640,273317888
네패스,19-Dec,33640,356317076
넥스턴바이오사이언스,11-Dec,89140,27402406
넥스턴바이오사이언스,12-Dec,89140,21342061
넥스턴바이오사이언스,13-Dec,89140,22017749
넥스턴바이오사이언스,14-Dec,89140,20512028
넥스턴바이오사이언스,15-Dec,89140,16181653
넥스턴바이오사이언스,16-Dec,89140,74373034
넥스턴바이오사이언스,17-Dec,89140,43707618
넥스턴바이오사이언스,18-Dec,89140,26649697
넥스턴바이오사이언스,19-Dec,89140,32446754
