회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
(주)강스템바이오텍,217730,17-Dec,123.43,  기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,18-Dec,687.27,  기초 의약물질 및 생물학적 제제 제조업
(주)강스템바이오텍,217730,19-Dec,4440.03,  기초 의약물질 및 생물학적 제제 제조업
(주)강원에너지,114190,11-Nov,2.76,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,12-Dec,1.86,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,13-Dec,3.64,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,14-Dec,3.71,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,15-Dec,3.58,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,16-Dec,4.56,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,17-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,18-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)강원에너지,114190,19-Dec,0,"  구조용 금속제품, 탱크 및 증기발생기 제조업"
(주)갤럭시아에스엠,11420,11-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,12-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,13-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,14-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,15-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,16-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,17-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,18-Dec,0,  스포츠 서비스업
(주)갤럭시아에스엠,11420,19-Dec,0,  스포츠 서비스업
(주)경동인베스트,12320,11-Dec,0,  기타 금융업
(주)경동인베스트,12320,12-Dec,0,  기타 금융업
(주)경동인베스트,12320,13-Dec,0,  기타 금융업
(주)경동인베스트,12320,14-Dec,0,  기타 금융업
(주)경동인베스트,12320,15-Dec,0,  기타 금융업
(주)경동인베스트,12320,16-Dec,0,  기타 금융업
(주)경동인베스트,12320,17-Dec,0,  기타 금융업
(주)경동인베스트,12320,18-Dec,0,  기타 금융업
(주)경동인베스트,12320,19-Dec,0,  기타 금융업
(주)경방,50,11-Dec,0,  종합 소매업
(주)경방,50,12-Dec,0,  종합 소매업
(주)경방,50,13-Dec,0,  종합 소매업
(주)경방,50,14-Dec,0,  종합 소매업
(주)경방,50,15-Dec,0,  종합 소매업
(주)경방,50,16-Dec,0,  종합 소매업
(주)경방,50,17-Dec,0,  종합 소매업
(주)경방,50,18-Dec,0.01,  종합 소매업
(주)경방,50,19-Dec,0.01,  종합 소매업
(주)고려시멘트,198440,14-Dec,,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,15-Dec,,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,16-Dec,,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,17-Dec,0,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,18-Dec,0,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)고려시멘트,198440,19-Dec,0,"  시멘트, 석회, 플라스터 및 그 제품 제조업"
(주)골드앤에스,35290,11-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,12-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,13-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,14-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,15-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,16-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,17-Dec,0,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,18-Dec,6.58,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드앤에스,35290,19-Dec,3.93,"  서적, 잡지 및 기타 인쇄물 출판업"
(주)골드퍼시픽,38530,11-Dec,0.99,  생활용품 도매업
(주)골드퍼시픽,38530,12-Dec,1.04,  생활용품 도매업
(주)골드퍼시픽,38530,13-Dec,1.55,  생활용품 도매업
(주)골드퍼시픽,38530,14-Dec,0.64,  생활용품 도매업
(주)골드퍼시픽,38530,15-Dec,0,  생활용품 도매업
(주)골드퍼시픽,38530,16-Dec,0,  생활용품 도매업
(주)골드퍼시픽,38530,17-Dec,0,  생활용품 도매업
(주)골드퍼시픽,38530,18-Dec,0,  생활용품 도매업
(주)골드퍼시픽,38530,19-Dec,0,  생활용품 도매업
(주)골프존뉴딘홀딩스,121440,11-Dec,0,  상품 중개업
(주)골프존뉴딘홀딩스,121440,12-Dec,0,  상품 중개업
