,회사명,거래소코드,기업수명
140,(주)경농,2100,성숙기
141,(주)경농,2100,성장기
142,(주)경농,2100,성숙기
143,(주)경농,2100,성장기
144,(주)경농,2100,도입기
145,(주)경농,2100,성숙기
146,(주)경농,2100,성장기
147,(주)경농,2100,성장기
148,(주)경농,2100,쇠퇴기
149,(주)경동나비엔,9450,성장기
150,(주)경동나비엔,9450,성장기
151,(주)경동나비엔,9450,성장기
152,(주)경동나비엔,9450,도입기
153,(주)경동나비엔,9450,성숙기
154,(주)경동나비엔,9450,성숙기
155,(주)경동나비엔,9450,성장기
156,(주)경동나비엔,9450,도입기
157,(주)경동나비엔,9450,성숙기
158,(주)경동도시가스,267290,성숙기
159,(주)경동도시가스,267290,성숙기
160,(주)경동도시가스,267290,성숙기
161,(주)경동인베스트,12320,성숙기
162,(주)경동인베스트,12320,성숙기
163,(주)경동인베스트,12320,성숙기
164,(주)경동인베스트,12320,성장기
165,(주)경동인베스트,12320,도입기
166,(주)경동인베스트,12320,성숙기
167,(주)경동인베스트,12320,성숙기
168,(주)경동인베스트,12320,쇄신기
169,(주)경동인베스트,12320,성숙기
170,(주)경방,50,도입기
171,(주)경방,50,성장기
172,(주)경방,50,성숙기
173,(주)경방,50,성장기
174,(주)경방,50,성숙기
175,(주)경방,50,성숙기
176,(주)경방,50,성숙기
177,(주)경방,50,성장기
178,(주)경방,50,성숙기
179,(주)경보제약,214390,성장기
180,(주)경보제약,214390,성숙기
181,(주)경보제약,214390,성숙기
182,(주)경보제약,214390,도입기
183,(주)경보제약,214390,성장기
184,(주)경인양행,12610,성숙기
185,(주)경인양행,12610,성숙기
186,(주)경인양행,12610,성장기
187,(주)경인양행,12610,성숙기
188,(주)경인양행,12610,성장기
189,(주)경인양행,12610,성숙기
190,(주)경인양행,12610,성장기
191,(주)경인양행,12610,성장기
192,(주)경인양행,12610,성장기
193,(주)고려시멘트,198440,8
194,(주)고려시멘트,198440,8
195,(주)고려시멘트,198440,8
196,(주)고려시멘트,198440,성장기
197,(주)고려시멘트,198440,성장기
198,(주)고려시멘트,198440,쇄신기
199,(주)고영테크놀러지,98460,성숙기
200,(주)고영테크놀러지,98460,성숙기
201,(주)고영테크놀러지,98460,성장기
202,(주)고영테크놀러지,98460,성숙기
203,(주)고영테크놀러지,98460,성숙기
204,(주)고영테크놀러지,98460,성숙기
205,(주)고영테크놀러지,98460,쇄신기
206,(주)고영테크놀러지,98460,성장기
207,(주)고영테크놀러지,98460,성숙기
208,(주)골드앤에스,35290,성숙기
209,(주)골드앤에스,35290,성장기
210,(주)골드앤에스,35290,쇄신기
211,(주)골드앤에스,35290,도입기
212,(주)골드앤에스,35290,성장기
213,(주)골드앤에스,35290,쇄신기
214,(주)골드앤에스,35290,성장기
215,(주)골드앤에스,35290,도입기
216,(주)골드앤에스,35290,쇄신기
217,(주)골드퍼시픽,38530,성장기
218,(주)골드퍼시픽,38530,쇠퇴기
219,(주)골드퍼시픽,38530,도입기
220,(주)골드퍼시픽,38530,도입기
221,(주)골드퍼시픽,38530,쇠퇴기
222,(주)골드퍼시픽,38530,도입기
223,(주)골드퍼시픽,38530,도입기
224,(주)골드퍼시픽,38530,도입기
225,(주)골드퍼시픽,38530,도입기
226,(주)골프존,215000,성숙기
227,(주)골프존,215000,성숙기
228,(주)골프존,215000,쇄신기
229,(주)골프존,215000,성숙기
230,(주)골프존,215000,성숙기
231,(주)골프존뉴딘홀딩스,121440,성장기
232,(주)골프존뉴딘홀딩스,121440,성장기
233,(주)골프존뉴딘홀딩스,121440,성장기
234,(주)골프존뉴딘홀딩스,121440,성장기
235,(주)골프존뉴딘홀딩스,121440,쇠퇴기
236,(주)골프존뉴딘홀딩스,121440,성숙기
237,(주)골프존뉴딘홀딩스,121440,도입기
238,(주)골프존뉴딘홀딩스,121440,도입기
239,(주)골프존뉴딘홀딩스,121440,쇄신기
240,(주)광림,14200,쇄신기
241,(주)광림,14200,성장기
242,(주)광림,14200,성장기
243,(주)광림,14200,도입기
244,(주)광림,14200,도입기
245,(주)광림,14200,성장기
246,(주)광림,14200,도입기
247,(주)광림,14200,도입기
248,(주)광림,14200,도입기
249,(주)광명전기,17040,성장기
250,(주)광명전기,17040,성장기
251,(주)광명전기,17040,쇄신기
252,(주)광명전기,17040,성숙기
253,(주)광명전기,17040,쇄신기
254,(주)광명전기,17040,성장기
255,(주)광명전기,17040,성장기
256,(주)광명전기,17040,도입기
257,(주)광명전기,17040,성장기
258,(주)광무,29480,성장기
259,(주)광무,29480,쇠퇴기
260,(주)광무,29480,도입기
261,(주)광무,29480,쇄신기
262,(주)광무,29480,쇠퇴기
263,(주)광무,29480,성장기
264,(주)광무,29480,성장기
265,(주)광무,29480,도입기
266,(주)광무,29480,도입기
267,(주)광주신세계,37710,성숙기
268,(주)광주신세계,37710,성숙기
269,(주)광주신세계,37710,성장기
270,(주)광주신세계,37710,성숙기
271,(주)광주신세계,37710,성숙기
272,(주)광주신세계,37710,성숙기
273,(주)광주신세계,37710,성숙기
274,(주)광주신세계,37710,성숙기
275,(주)광주신세계,37710,성숙기
276,(주)구영테크,53270,성장기
277,(주)구영테크,53270,성장기
278,(주)구영테크,53270,쇄신기
279,(주)구영테크,53270,성장기
280,(주)구영테크,53270,성숙기
281,(주)구영테크,53270,성숙기
282,(주)구영테크,53270,성장기
283,(주)구영테크,53270,성장기
284,(주)구영테크,53270,성장기
285,(주)국동,5320,도입기
286,(주)국동,5320,성숙기
287,(주)국동,5320,도입기
288,(주)국동,5320,도입기
289,(주)국동,5320,성장기
290,(주)국동,5320,성장기
291,(주)국동,5320,도입기
292,(주)국동,5320,쇠퇴기
293,(주)국동,5320,성장기
294,(주)국보,1140,쇄신기
295,(주)국보,1140,도입기
296,(주)국보,1140,성장기
297,(주)국보,1140,쇠퇴기
298,(주)국보,1140,쇠퇴기
299,(주)국보,1140,쇄신기
300,(주)국보,1140,도입기
301,(주)국보,1140,쇠퇴기
302,(주)국보,1140,도입기
303,(주)국보디자인,66620,성숙기
304,(주)국보디자인,66620,성장기
305,(주)국보디자인,66620,성장기
306,(주)국보디자인,66620,성숙기
307,(주)국보디자인,66620,성장기
308,(주)국보디자인,66620,성숙기
309,(주)국보디자인,66620,성숙기
310,(주)국보디자인,66620,성숙기
311,(주)국보디자인,66620,성숙기
312,(주)국순당,43650,성숙기
313,(주)국순당,43650,성장기
314,(주)국순당,43650,성장기
315,(주)국순당,43650,쇄신기
316,(주)국순당,43650,쇠퇴기
317,(주)국순당,43650,성숙기
318,(주)국순당,43650,쇠퇴기
319,(주)국순당,43650,쇄신기
320,(주)국순당,43650,쇠퇴기
321,(주)국영지앤엠,6050,성장기
322,(주)국영지앤엠,6050,쇠퇴기
323,(주)국영지앤엠,6050,성숙기
324,(주)국영지앤엠,6050,쇄신기
325,(주)국영지앤엠,6050,성장기
326,(주)국영지앤엠,6050,도입기
327,(주)국영지앤엠,6050,성장기
328,(주)국영지앤엠,6050,성숙기
329,(주)국영지앤엠,6050,도입기
330,(주)국전약품,307750,8
331,(주)국전약품,307750,8
332,(주)그래디언트,35080,성장기
333,(주)그래디언트,35080,쇠퇴기
334,(주)그래디언트,35080,성숙기
335,(주)그래디언트,35080,성장기
336,(주)그래디언트,35080,쇄신기
337,(주)그래디언트,35080,성숙기
338,(주)그래디언트,35080,성숙기
339,(주)그래디언트,35080,성숙기
340,(주)그래디언트,35080,성숙기
341,(주)그리티,204020,성장기
342,(주)그리티,204020,쇠퇴기
343,(주)그린플러스,186230,도입기
344,(주)글로벌스탠다드테크놀로지,83450,성장기
345,(주)글로벌스탠다드테크놀로지,83450,쇄신기
346,(주)글로벌스탠다드테크놀로지,83450,성장기
347,(주)글로벌스탠다드테크놀로지,83450,성장기
348,(주)글로벌스탠다드테크놀로지,83450,성숙기
349,(주)글로벌스탠다드테크놀로지,83450,성장기
350,(주)글로벌스탠다드테크놀로지,83450,성장기
351,(주)글로벌스탠다드테크놀로지,83450,성숙기
352,(주)글로벌스탠다드테크놀로지,83450,성숙기
353,(주)금비,8870,성장기
354,(주)금비,8870,성숙기
355,(주)금비,8870,성숙기
356,(주)금비,8870,성장기
357,(주)금비,8870,성숙기
358,(주)금비,8870,성장기
359,(주)금비,8870,성숙기
360,(주)금비,8870,성숙기
361,(주)금비,8870,성숙기
362,(주)금양,1570,도입기
363,(주)금양,1570,성장기
364,(주)금양,1570,도입기
365,(주)금양,1570,성숙기
366,(주)금양,1570,성장기
367,(주)금양,1570,성장기
368,(주)금양,1570,쇠퇴기
369,(주)금양,1570,성장기
370,(주)금양,1570,도입기
371,(주)금호에이치티,214330,성장기
372,(주)금호에이치티,214330,성장기
373,(주)금호에이치티,214330,성숙기
374,(주)금호에이치티,214330,성장기
375,(주)금호에이치티,214330,성장기
376,(주)금화피에스시,36190,성숙기
377,(주)금화피에스시,36190,성숙기
378,(주)금화피에스시,36190,성숙기
379,(주)금화피에스시,36190,쇄신기
380,(주)금화피에스시,36190,성숙기
381,(주)금화피에스시,36190,성숙기
382,(주)금화피에스시,36190,성숙기
383,(주)금화피에스시,36190,성숙기
384,(주)금화피에스시,36190,성숙기
385,(주)기가레인,49080,성장기
386,(주)기가레인,49080,성장기
387,(주)기가레인,49080,도입기
388,(주)기가레인,49080,도입기
389,(주)기가레인,49080,도입기
390,(주)기가레인,49080,쇠퇴기
391,(주)기가레인,49080,성숙기
392,(주)기산텔레콤,35460,도입기
393,(주)기산텔레콤,35460,쇄신기
394,(주)기산텔레콤,35460,쇠퇴기
395,(주)기산텔레콤,35460,쇠퇴기
396,(주)기산텔레콤,35460,성숙기
397,(주)기산텔레콤,35460,도입기
398,(주)기산텔레콤,35460,성숙기
399,(주)기산텔레콤,35460,쇄신기
400,(주)기산텔레콤,35460,쇄신기
401,(주)까뮤이앤씨,13700,도입기
402,(주)까뮤이앤씨,13700,쇄신기
403,(주)까뮤이앤씨,13700,쇠퇴기
404,(주)까뮤이앤씨,13700,쇄신기
405,(주)까뮤이앤씨,13700,쇄신기
406,(주)까뮤이앤씨,13700,도입기
407,(주)까뮤이앤씨,13700,쇄신기
408,(주)까뮤이앤씨,13700,도입기
409,(주)까뮤이앤씨,13700,쇄신기
410,(주)까스텔바작,308100,성장기
411,(주)나노,187790,8
412,(주)나노,187790,쇠퇴기
413,(주)나노,187790,성장기
414,(주)나노,187790,도입기
415,(주)나노,187790,성장기
416,(주)나노,187790,성장기
417,(주)나노브릭,286750,도입기
418,(주)나노신소재,121600,도입기
419,(주)나노신소재,121600,성숙기
420,(주)나노신소재,121600,쇄신기
421,(주)나노신소재,121600,성장기
422,(주)나노신소재,121600,성장기
423,(주)나노신소재,121600,성숙기
424,(주)나노신소재,121600,성숙기
425,(주)나노신소재,121600,성숙기
426,(주)나노신소재,121600,성숙기
427,(주)나노엔텍,39860,도입기
428,(주)나노엔텍,39860,쇠퇴기
429,(주)나노엔텍,39860,쇄신기
430,(주)나노엔텍,39860,쇄신기
431,(주)나노엔텍,39860,도입기
432,(주)나노엔텍,39860,도입기
433,(주)나노엔텍,39860,9
434,(주)나노엔텍,39860,성숙기
435,(주)나노엔텍,39860,성숙기
436,(주)나무가,190510,성장기
437,(주)나무가,190510,성장기
438,(주)나무가,190510,쇠퇴기
439,(주)나무가,190510,성숙기
440,(주)나무가,190510,성장기
441,(주)나스미디어,89600,도입기
442,(주)나스미디어,89600,쇄신기
443,(주)나스미디어,89600,성숙기
444,(주)나스미디어,89600,쇄신기
445,(주)나스미디어,89600,성숙기
446,(주)나스미디어,89600,성숙기
447,(주)나스미디어,89600,쇄신기
448,(주)나이벡,138610,도입기
449,(주)나이벡,138610,도입기
450,(주)나이벡,138610,도입기
451,(주)나이벡,138610,도입기
452,(주)나이벡,138610,도입기
453,(주)나이벡,138610,도입기
454,(주)나이벡,138610,성장기
455,(주)나이벡,138610,도입기
456,(주)나이벡,138610,도입기
457,(주)나이스디앤비,130580,성장기
458,(주)나이스디앤비,130580,성숙기
459,(주)나이스디앤비,130580,성숙기
460,(주)나이스디앤비,130580,성숙기
461,(주)나이스디앤비,130580,성숙기
462,(주)나이스디앤비,130580,성숙기
463,(주)나이스디앤비,130580,성숙기
464,(주)나이스디앤비,130580,성숙기
465,(주)나이스디앤비,130580,성숙기
466,(주)나이스홀딩스,34310,성숙기
467,(주)나이스홀딩스,34310,성숙기
468,(주)나이스홀딩스,34310,성숙기
469,(주)나이스홀딩스,34310,성장기
470,(주)나이스홀딩스,34310,성장기
471,(주)나이스홀딩스,34310,성숙기
472,(주)나이스홀딩스,34310,성장기
473,(주)나이스홀딩스,34310,성장기
474,(주)나이스홀딩스,34310,성장기
475,(주)나인테크,267320,8
476,(주)나인테크,267320,8
477,(주)나인테크,267320,8
478,(주)남선알미늄,8350,도입기
479,(주)남선알미늄,8350,도입기
480,(주)남선알미늄,8350,성숙기
481,(주)남선알미늄,8350,성숙기
482,(주)남선알미늄,8350,도입기
483,(주)남선알미늄,8350,성숙기
484,(주)남선알미늄,8350,성숙기
485,(주)남선알미늄,8350,성숙기
486,(주)남선알미늄,8350,성숙기
487,(주)남성,4270,쇄신기
488,(주)남성,4270,쇠퇴기
489,(주)남성,4270,쇄신기
490,(주)남성,4270,도입기
