회사명,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
(주)그린플러스,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,80.64385457
(주)글로벌스탠다드테크놀로지,60.14580849,62.41501572,61.69740396,67.57984212,67.83691984,63.89716192,63.28584576,65.56842795,66.50324527,60.56374292
(주)금비,#DIV/0!,77.38238387,79.22417336,80.52781253,80.93769365,76.83565317,77.00953279,76.81183889,77.68755929,78.20856437
(주)금양,84.47591197,84.05217597,83.37580898,86.8961573,87.32932468,85.58718157,81.53192759,80.33721361,80.31970726,79.26226164
(주)금호에이치티,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,84.25352116,88.49266095,89.71871973,89.88199064,94.19657803
(주)금화피에스시,#DIV/0!,#DIV/0!,#DIV/0!,78.75919324,82.130614,83.19439416,82.85019891,79.24699731,78.04402507,79.16210062
(주)기가레인,#DIV/0!,#DIV/0!,#DIV/0!,78.6817505,81.42839406,117.365451,98.74450778,82.60736483,84.98909272,117.4334295
(주)기산텔레콤,79.54075877,89.12778544,82.12542572,78.33658647,79.5256264,83.05773582,83.51606433,85.6671055,83.8005297,78.54570926
(주)까뮤이앤씨,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)까스텔바작,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,38.39641719
(주)나노,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99.93837497,103.8648519,85.8150904,86.65516335,90.21614302
(주)나노브릭,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,75.55671677
(주)나노신소재,#DIV/0!,56.16859129,69.48639774,64.01224421,55.711391,54.08482647,56.59169873,54.57731821,56.8480684,60.48993842
(주)나노엔텍,81.71038482,94.35517082,91.45775206,72.87298769,72.00460011,75.5131341,78.42828222,56.38500415,56.5871508,51.6045766
(주)나무가,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,87.81384073,94.25735158,104.7741215,94.07133209,94.38495026
(주)나스미디어,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0
(주)나이벡,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)나이스디앤비,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0,0,0,0,0
(주)나이스홀딩스,0,0,0,0,0,0,0,0,13.77079479,0
(주)나인테크,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)남선알미늄,89.97483335,91.31083293,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,89.97408572,89.25855805
(주)남성,78.42282257,77.8903633,75.62561848,75.85477404,74.7031742,74.60150515,73.53848988,72.92056755,77.10214589,74.09867275
(주)내츄럴엔도텍,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,31.24463153,64.81923484,63.96933457,134.7659067,151.2869921
(주)네오리진,81.13548268,83.01805913,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44.41306521,#DIV/0!,#DIV/0!
(주)네오셈,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,51.26619855
(주)네오오토,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
(주)네오위즈,60.61954475,60.62691313,63.24950468,55.79042242,48.35799373,46.82554545,47.31656959,52.82400883,48.40908472,44.90951488
(주)네오위즈홀딩스,60.71532325,61.21903064,64.97036461,56.57094466,51.6580065,47.56092094,47.98429405,53.25950093,49.12942937,44.98131725
(주)네오크레마,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,76.97426394
(주)네오티스,81.90840086,#DIV/0!,#DIV/0!,76.50254047,75.68611787,80.39133316,78.83907893,78.85961032,77.74749073,78.99867164
