,회사명,거래소코드,회계년도,R & D 투자효율,통계청 한국표준산업분류 10차(소분류)
1585,(주)서연,7860,11-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1586,(주)서연,7860,12-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1587,(주)서연,7860,13-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1588,(주)서연,7860,14-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1589,(주)서연,7860,15-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1590,(주)서연,7860,16-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1591,(주)서연,7860,17-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1592,(주)서연,7860,18-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1593,(주)서연,7860,19-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1594,(주)서연이화,200880,14-Dec,,  자동차 신품 부품 제조업
1595,(주)서연이화,200880,15-Dec,0,  자동차 신품 부품 제조업
1596,(주)서연이화,200880,16-Dec,0,  자동차 신품 부품 제조업
1597,(주)서연이화,200880,17-Dec,0,  자동차 신품 부품 제조업
1598,(주)서연이화,200880,18-Dec,0,  자동차 신품 부품 제조업
1599,(주)서연이화,200880,19-Dec,0.39,  자동차 신품 부품 제조업
1600,(주)서연탑메탈,19770,11-Dec,0,  특수 목적용 기계 제조업
1601,(주)서연탑메탈,19770,12-Dec,0,  특수 목적용 기계 제조업
1602,(주)서연탑메탈,19770,13-Dec,0,  특수 목적용 기계 제조업
1603,(주)서연탑메탈,19770,14-Dec,0,  특수 목적용 기계 제조업
1604,(주)서연탑메탈,19770,15-Dec,0.03,  특수 목적용 기계 제조업
1605,(주)서연탑메탈,19770,16-Dec,0,  특수 목적용 기계 제조업
1606,(주)서연탑메탈,19770,17-Dec,0,  특수 목적용 기계 제조업
1607,(주)서연탑메탈,19770,18-Dec,0,  특수 목적용 기계 제조업
1608,(주)서연탑메탈,19770,19-Dec,0,  특수 목적용 기계 제조업
1609,(주)서울리거,43710,11-Dec,0.15,  기타 전문 도매업
1610,(주)서울리거,43710,12-Dec,0,  기타 전문 도매업
1611,(주)서울리거,43710,13-Dec,0,  기타 전문 도매업
1612,(주)서울리거,43710,14-Dec,0,  기타 전문 도매업
1613,(주)서울리거,43710,15-Dec,13.02,  기타 전문 도매업
1614,(주)서울리거,43710,16-Dec,0,  기타 전문 도매업
1615,(주)서울리거,43710,17-Dec,0,  기타 전문 도매업
1616,(주)서울리거,43710,18-Dec,0,  기타 전문 도매업
1617,(주)서울리거,43710,19-Dec,0,  기타 전문 도매업
1618,(주)서울옥션,63170,11-Dec,0,  상품 중개업
1619,(주)서울옥션,63170,12-Dec,0,  상품 중개업
1620,(주)서울옥션,63170,13-Dec,0,  상품 중개업
1621,(주)서울옥션,63170,14-Dec,0,  상품 중개업
1622,(주)서울옥션,63170,15-Dec,0,  상품 중개업
1623,(주)서울옥션,63170,16-Dec,0,  상품 중개업
1624,(주)서울옥션,63170,17-Dec,0,  상품 중개업
1625,(주)서울옥션,63170,18-Dec,0,  상품 중개업
1626,(주)서울옥션,63170,19-Dec,0,  상품 중개업
1627,(주)서울제약,18680,11-Dec,0.51,  의약품 제조업
1628,(주)서울제약,18680,12-Dec,0,  의약품 제조업
1629,(주)서울제약,18680,13-Dec,0,  의약품 제조업
1630,(주)서울제약,18680,14-Dec,0,  의약품 제조업
1631,(주)서울제약,18680,15-Dec,0,  의약품 제조업
1632,(주)서울제약,18680,16-Dec,0,  의약품 제조업
1633,(주)서울제약,18680,17-Dec,0,  의약품 제조업
1634,(주)서울제약,18680,18-Dec,0,  의약품 제조업
1635,(주)서울제약,18680,19-Dec,0,  의약품 제조업
1636,(주)서원,21050,11-Dec,0.06,  금속 주조업
1637,(주)서원,21050,12-Dec,0.1,  금속 주조업
1638,(주)서원,21050,13-Dec,0.1,  금속 주조업
1639,(주)서원,21050,14-Dec,0.07,  금속 주조업
1640,(주)서원,21050,15-Dec,0.12,  금속 주조업
1641,(주)서원,21050,16-Dec,0.09,  금속 주조업
1642,(주)서원,21050,17-Dec,0.02,  금속 주조업
1643,(주)서원,21050,18-Dec,0.01,  금속 주조업
1644,(주)서원,21050,19-Dec,0.01,  금속 주조업
1645,(주)서전기전,189860,14-Dec,4.01,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1646,(주)서전기전,189860,15-Dec,7.45,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1647,(주)서전기전,189860,16-Dec,7.66,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1648,(주)서전기전,189860,17-Dec,7.5,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1649,(주)서전기전,189860,18-Dec,4.04,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1650,(주)서전기전,189860,19-Dec,5.61,"  전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업"
1651,(주)서한,11370,11-Dec,0.86,  건물 건설업
1652,(주)서한,11370,12-Dec,0.71,  건물 건설업
1653,(주)서한,11370,13-Dec,0.21,  건물 건설업
1654,(주)서한,11370,14-Dec,0.1,  건물 건설업
1655,(주)서한,11370,15-Dec,0.41,  건물 건설업
1656,(주)서한,11370,16-Dec,0.1,  건물 건설업
1657,(주)서한,11370,17-Dec,0.03,  건물 건설업
1658,(주)서한,11370,18-Dec,0.01,  건물 건설업
1659,(주)서한,11370,19-Dec,0.02,  건물 건설업
1660,(주)서희건설,35890,11-Dec,0.82,  건물 건설업
1661,(주)서희건설,35890,12-Dec,0.55,  건물 건설업
1662,(주)서희건설,35890,13-Dec,0.46,  건물 건설업
1663,(주)서희건설,35890,14-Dec,0.52,  건물 건설업
1664,(주)서희건설,35890,15-Dec,0.31,  건물 건설업
1665,(주)서희건설,35890,16-Dec,0.25,  건물 건설업
1666,(주)서희건설,35890,17-Dec,0.05,  건물 건설업
1667,(주)서희건설,35890,18-Dec,0.06,  건물 건설업
1668,(주)서희건설,35890,19-Dec,0,  건물 건설업
1669,(주)선앤엘,2820,11-Dec,0,  나무제품 제조업
1670,(주)선앤엘,2820,12-Dec,0,  나무제품 제조업
1671,(주)선앤엘,2820,13-Dec,0,  나무제품 제조업
1672,(주)선앤엘,2820,14-Dec,0,  나무제품 제조업
1673,(주)선앤엘,2820,15-Dec,0.01,  나무제품 제조업
1674,(주)선앤엘,2820,16-Dec,0.09,  나무제품 제조업
1675,(주)선앤엘,2820,17-Dec,0.11,  나무제품 제조업
1676,(주)선앤엘,2820,18-Dec,0.07,  나무제품 제조업
1677,(주)선앤엘,2820,19-Dec,0.12,  나무제품 제조업
1678,(주)성광벤드,14620,11-Dec,0,  1차 철강 제조업
1679,(주)성광벤드,14620,12-Dec,0,  1차 철강 제조업
1680,(주)성광벤드,14620,13-Dec,0,  1차 철강 제조업
1681,(주)성광벤드,14620,14-Dec,0.24,  1차 철강 제조업
1682,(주)성광벤드,14620,15-Dec,0.34,  1차 철강 제조업
1683,(주)성광벤드,14620,16-Dec,0.44,  1차 철강 제조업
1684,(주)성광벤드,14620,17-Dec,0.6,  1차 철강 제조업
1685,(주)성광벤드,14620,18-Dec,0.53,  1차 철강 제조업
1686,(주)성광벤드,14620,19-Dec,0.43,  1차 철강 제조업
1687,(주)성안,11300,11-Dec,0.34,  직물직조 및 직물제품 제조업
1688,(주)성안,11300,12-Dec,0.43,  직물직조 및 직물제품 제조업
1689,(주)성안,11300,13-Dec,0.45,  직물직조 및 직물제품 제조업
1690,(주)성안,11300,14-Dec,0.43,  직물직조 및 직물제품 제조업
1691,(주)성안,11300,15-Dec,0.4,  직물직조 및 직물제품 제조업
1692,(주)성안,11300,16-Dec,0.67,  직물직조 및 직물제품 제조업
1693,(주)성안,11300,17-Dec,0.75,  직물직조 및 직물제품 제조업
1694,(주)성안,11300,18-Dec,0.55,  직물직조 및 직물제품 제조업
1695,(주)성안,11300,19-Dec,1.39,  직물직조 및 직물제품 제조업
1696,(주)성창오토텍,80470,11-Dec,0.89,  자동차 신품 부품 제조업
1697,(주)성창오토텍,80470,12-Dec,0.97,  자동차 신품 부품 제조업
1698,(주)성창오토텍,80470,13-Dec,2.6,  자동차 신품 부품 제조업
1699,(주)성창오토텍,80470,14-Dec,1.66,  자동차 신품 부품 제조업
1700,(주)성창오토텍,80470,15-Dec,2.1,  자동차 신품 부품 제조업
1701,(주)성창오토텍,80470,16-Dec,2.09,  자동차 신품 부품 제조업
1702,(주)성창오토텍,80470,17-Dec,2.53,  자동차 신품 부품 제조업
1703,(주)성창오토텍,80470,18-Dec,2.31,  자동차 신품 부품 제조업
1704,(주)성창오토텍,80470,19-Dec,2.03,  자동차 신품 부품 제조업
1705,(주)세동,53060,11-Dec,0,  자동차 신품 부품 제조업
1706,(주)세동,53060,12-Dec,0,  자동차 신품 부품 제조업
1707,(주)세동,53060,13-Dec,0,  자동차 신품 부품 제조업
1708,(주)세동,53060,14-Dec,0,  자동차 신품 부품 제조업
1709,(주)세동,53060,15-Dec,0,  자동차 신품 부품 제조업
1710,(주)세동,53060,16-Dec,0,  자동차 신품 부품 제조업
1711,(주)세동,53060,17-Dec,0,  자동차 신품 부품 제조업
1712,(주)세동,53060,18-Dec,0,  자동차 신품 부품 제조업
1713,(주)세동,53060,19-Dec,0,  자동차 신품 부품 제조업
1714,(주)세보엠이씨,11560,11-Dec,0,  건물설비 설치 공사업
1715,(주)세보엠이씨,11560,12-Dec,0,  건물설비 설치 공사업
1716,(주)세보엠이씨,11560,13-Dec,0,  건물설비 설치 공사업
1717,(주)세보엠이씨,11560,14-Dec,0,  건물설비 설치 공사업
1718,(주)세보엠이씨,11560,15-Dec,0.12,  건물설비 설치 공사업
1719,(주)세보엠이씨,11560,16-Dec,0.01,  건물설비 설치 공사업
1720,(주)세보엠이씨,11560,17-Dec,0,  건물설비 설치 공사업
1721,(주)세보엠이씨,11560,18-Dec,0,  건물설비 설치 공사업
1722,(주)세보엠이씨,11560,19-Dec,0,  건물설비 설치 공사업
1723,(주)세원물산,24830,11-Dec,0,  자동차 신품 부품 제조업
1724,(주)세원물산,24830,12-Dec,0,  자동차 신품 부품 제조업
1725,(주)세원물산,24830,13-Dec,0,  자동차 신품 부품 제조업
1726,(주)세원물산,24830,14-Dec,0,  자동차 신품 부품 제조업
1727,(주)세원물산,24830,15-Dec,0,  자동차 신품 부품 제조업
1728,(주)세원물산,24830,16-Dec,0,  자동차 신품 부품 제조업
1729,(주)세원물산,24830,17-Dec,0,  자동차 신품 부품 제조업
1730,(주)세원물산,24830,18-Dec,0,  자동차 신품 부품 제조업
1731,(주)세원물산,24830,19-Dec,0,  자동차 신품 부품 제조업
1732,(주)세진티에스,67770,11-Dec,0.51,  전자부품 제조업
1733,(주)세진티에스,67770,12-Dec,0.69,  전자부품 제조업
1734,(주)세진티에스,67770,13-Dec,0.78,  전자부품 제조업
1735,(주)세진티에스,67770,14-Dec,0.56,  전자부품 제조업
1736,(주)세진티에스,67770,15-Dec,0,  전자부품 제조업
1737,(주)세진티에스,67770,16-Dec,0,  전자부품 제조업
1738,(주)세진티에스,67770,17-Dec,0,  전자부품 제조업
1739,(주)세진티에스,67770,18-Dec,0,  전자부품 제조업
1740,(주)세진티에스,67770,19-Dec,0,  전자부품 제조업
1741,(주)세코닉스,53450,11-Dec,9.97,  사진장비 및 광학기기 제조업
1742,(주)세코닉스,53450,12-Dec,6.93,  사진장비 및 광학기기 제조업
1743,(주)세코닉스,53450,13-Dec,4.52,  사진장비 및 광학기기 제조업
1744,(주)세코닉스,53450,14-Dec,6.68,  사진장비 및 광학기기 제조업
1745,(주)세코닉스,53450,15-Dec,8.19,  사진장비 및 광학기기 제조업
1746,(주)세코닉스,53450,16-Dec,6.82,  사진장비 및 광학기기 제조업
1747,(주)세코닉스,53450,17-Dec,5.73,  사진장비 및 광학기기 제조업
1748,(주)세코닉스,53450,18-Dec,3.87,  사진장비 및 광학기기 제조업
1749,(주)세코닉스,53450,19-Dec,4.04,  사진장비 및 광학기기 제조업
1750,(주)센트럴인사이트,12600,11-Dec,6.9,  일반 목적용 기계 제조업
1751,(주)센트럴인사이트,12600,12-Dec,8.1,  일반 목적용 기계 제조업
1752,(주)센트럴인사이트,12600,13-Dec,10.89,  일반 목적용 기계 제조업
1753,(주)센트럴인사이트,12600,14-Dec,8.54,  일반 목적용 기계 제조업
1754,(주)센트럴인사이트,12600,15-Dec,9.53,  일반 목적용 기계 제조업
1755,(주)센트럴인사이트,12600,16-Dec,8.12,  일반 목적용 기계 제조업
1756,(주)센트럴인사이트,12600,17-Dec,8.95,  일반 목적용 기계 제조업
1757,(주)센트럴인사이트,12600,18-Dec,8.19,  일반 목적용 기계 제조업
1758,(주)센트럴인사이트,12600,19-Dec,6.17,  일반 목적용 기계 제조업
1759,(주)셀루메드,49180,11-Dec,0.48,  기초 의약물질 및 생물학적 제제 제조업
1760,(주)셀루메드,49180,12-Dec,0.09,  기초 의약물질 및 생물학적 제제 제조업
1761,(주)셀루메드,49180,13-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
1762,(주)셀루메드,49180,14-Dec,0,  기초 의약물질 및 생물학적 제제 제조업
1763,(주)셀루메드,49180,15-Dec,0.94,  기초 의약물질 및 생물학적 제제 제조업
1764,(주)셀루메드,49180,16-Dec,0.78,  기초 의약물질 및 생물학적 제제 제조업
1765,(주)셀루메드,49180,17-Dec,3.54,  기초 의약물질 및 생물학적 제제 제조업
1766,(주)셀루메드,49180,18-Dec,2.07,  기초 의약물질 및 생물학적 제제 제조업
1767,(주)셀루메드,49180,19-Dec,5,  기초 의약물질 및 생물학적 제제 제조업
1768,(주)셀리드,299660,17-Dec,,  자연과학 및 공학 연구개발업
1769,(주)셀리드,299660,19-Dec,0,  자연과학 및 공학 연구개발업
1770,(주)셀리버리,268600,18-Dec,9.09,  자연과학 및 공학 연구개발업
1771,(주)셀리버리,268600,19-Dec,191.67,  자연과학 및 공학 연구개발업
1772,(주)셀바스에이아이,108860,11-Dec,0,  소프트웨어 개발 및 공급업
1773,(주)셀바스에이아이,108860,12-Dec,16.89,  소프트웨어 개발 및 공급업
1774,(주)셀바스에이아이,108860,13-Dec,16.34,  소프트웨어 개발 및 공급업
1775,(주)셀바스에이아이,108860,14-Dec,18.61,  소프트웨어 개발 및 공급업
1776,(주)셀바스에이아이,108860,15-Dec,24.81,  소프트웨어 개발 및 공급업
1777,(주)셀바스에이아이,108860,16-Dec,20.17,  소프트웨어 개발 및 공급업
1778,(주)셀바스에이아이,108860,17-Dec,13.73,  소프트웨어 개발 및 공급업
1779,(주)셀바스에이아이,108860,18-Dec,11.77,  소프트웨어 개발 및 공급업
1780,(주)셀바스에이아이,108860,19-Dec,5.18,  소프트웨어 개발 및 공급업
1781,(주)셀트리온제약,68760,11-Dec,5.63,  의약품 제조업
1782,(주)셀트리온제약,68760,12-Dec,4.77,  의약품 제조업
1783,(주)셀트리온제약,68760,13-Dec,2.88,  의약품 제조업
1784,(주)셀트리온제약,68760,14-Dec,1.22,  의약품 제조업
1785,(주)셀트리온제약,68760,15-Dec,1.34,  의약품 제조업
1786,(주)셀트리온제약,68760,16-Dec,12.36,  의약품 제조업
1787,(주)셀트리온제약,68760,17-Dec,0.44,  의약품 제조업
1788,(주)셀트리온제약,68760,18-Dec,0.97,  의약품 제조업
1789,(주)셀트리온제약,68760,19-Dec,1.02,  의약품 제조업
1790,(주)셀트리온헬스케어,91990,17-Dec,1.3,  기타 전문 도매업
1791,(주)셀트리온헬스케어,91990,18-Dec,1.13,  기타 전문 도매업
1792,(주)셀트리온헬스케어,91990,19-Dec,0.94,  기타 전문 도매업
1793,(주)셀피글로벌,68940,11-Dec,0.52,  전자부품 제조업
1794,(주)셀피글로벌,68940,12-Dec,0.31,  전자부품 제조업
1795,(주)셀피글로벌,68940,13-Dec,0.41,  전자부품 제조업
1796,(주)셀피글로벌,68940,14-Dec,0.46,  전자부품 제조업
1797,(주)셀피글로벌,68940,15-Dec,0.81,  전자부품 제조업
1798,(주)셀피글로벌,68940,16-Dec,0.83,  전자부품 제조업
1799,(주)셀피글로벌,68940,17-Dec,5.35,  전자부품 제조업
1800,(주)셀피글로벌,68940,18-Dec,1.98,  전자부품 제조업
1801,(주)셀피글로벌,68940,19-Dec,0.64,  전자부품 제조업
1802,(주)소프트센,32680,13-Dec,0,  기계장비 및 관련 물품 도매업
1803,(주)소프트센,32680,14-Dec,0.7,  기계장비 및 관련 물품 도매업
1804,(주)소프트센,32680,15-Dec,1.37,  기계장비 및 관련 물품 도매업
1805,(주)소프트센,32680,16-Dec,0.55,  기계장비 및 관련 물품 도매업
1806,(주)소프트센,32680,17-Dec,0.36,  기계장비 및 관련 물품 도매업
1807,(주)소프트센,32680,18-Dec,0.7,  기계장비 및 관련 물품 도매업
1808,(주)소프트센,32680,19-Dec,0.67,  기계장비 및 관련 물품 도매업
1809,(주)손오공,66910,11-Dec,0,  기타 전문 도매업
1810,(주)손오공,66910,12-Dec,0,  기타 전문 도매업
1811,(주)손오공,66910,13-Dec,0,  기타 전문 도매업
1812,(주)손오공,66910,14-Dec,0,  기타 전문 도매업
1813,(주)손오공,66910,15-Dec,0,  기타 전문 도매업
1814,(주)손오공,66910,16-Dec,0,  기타 전문 도매업
1815,(주)손오공,66910,17-Dec,0,  기타 전문 도매업
1816,(주)손오공,66910,18-Dec,0,  기타 전문 도매업
1817,(주)손오공,66910,19-Dec,0,  기타 전문 도매업
1818,(주)솔고바이오메디칼,43100,11-Dec,1.93,  의료용 기기 제조업
1819,(주)솔고바이오메디칼,43100,12-Dec,2.47,  의료용 기기 제조업
1820,(주)솔고바이오메디칼,43100,13-Dec,2.07,  의료용 기기 제조업
1821,(주)솔고바이오메디칼,43100,14-Dec,2.83,  의료용 기기 제조업
1822,(주)솔고바이오메디칼,43100,15-Dec,4.11,  의료용 기기 제조업
1823,(주)솔고바이오메디칼,43100,16-Dec,9.6,  의료용 기기 제조업
1824,(주)솔고바이오메디칼,43100,17-Dec,8.58,  의료용 기기 제조업
1825,(주)솔고바이오메디칼,43100,18-Dec,5.7,  의료용 기기 제조업
1826,(주)솔고바이오메디칼,43100,19-Dec,5.09,  의료용 기기 제조업
1827,(주)솔루에타,154040,13-Dec,3.02,  전자부품 제조업
1828,(주)솔루에타,154040,14-Dec,3.57,  전자부품 제조업
1829,(주)솔루에타,154040,15-Dec,3.16,  전자부품 제조업
1830,(주)솔루에타,154040,16-Dec,3.41,  전자부품 제조업
1831,(주)솔루에타,154040,17-Dec,2.65,  전자부품 제조업
1832,(주)솔루에타,154040,18-Dec,2.64,  전자부품 제조업
1833,(주)솔루에타,154040,19-Dec,3.12,  전자부품 제조업
1834,(주)솔본,35610,11-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1835,(주)솔본,35610,12-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1836,(주)솔본,35610,13-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1837,(주)솔본,35610,14-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1838,(주)솔본,35610,15-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1839,(주)솔본,35610,16-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1840,(주)솔본,35610,17-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1841,(주)솔본,35610,18-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1842,(주)솔본,35610,19-Dec,0,  회사 본부 및 경영 컨설팅 서비스업
1843,(주)쇼박스,86980,11-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1844,(주)쇼박스,86980,12-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1845,(주)쇼박스,86980,13-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1846,(주)쇼박스,86980,14-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1847,(주)쇼박스,86980,15-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1848,(주)쇼박스,86980,16-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1849,(주)쇼박스,86980,17-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1850,(주)쇼박스,86980,18-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1851,(주)쇼박스,86980,19-Dec,0,"  영화, 비디오물, 방송프로그램 제작 및 배급업"
1852,(주)스마트솔루션즈,136510,11-Dec,1.86,  특수 목적용 기계 제조업
1853,(주)스마트솔루션즈,136510,12-Dec,11.28,  특수 목적용 기계 제조업
1854,(주)스마트솔루션즈,136510,13-Dec,3.52,  특수 목적용 기계 제조업
1855,(주)스마트솔루션즈,136510,14-Dec,6.5,  특수 목적용 기계 제조업
1856,(주)스마트솔루션즈,136510,15-Dec,4.67,  특수 목적용 기계 제조업
1857,(주)스마트솔루션즈,136510,16-Dec,2.72,  특수 목적용 기계 제조업
1858,(주)스마트솔루션즈,136510,17-Dec,5.89,  특수 목적용 기계 제조업
1859,(주)스마트솔루션즈,136510,18-Dec,11.09,  특수 목적용 기계 제조업
1860,(주)스마트솔루션즈,136510,19-Dec,18.28,  특수 목적용 기계 제조업
1861,(주)스맥,99440,11-Dec,1.83,  특수 목적용 기계 제조업
1862,(주)스맥,99440,12-Dec,2.92,  특수 목적용 기계 제조업
1863,(주)스맥,99440,13-Dec,3.72,  특수 목적용 기계 제조업
1864,(주)스맥,99440,14-Dec,3.24,  특수 목적용 기계 제조업
1865,(주)스맥,99440,15-Dec,3.64,  특수 목적용 기계 제조업
1866,(주)스맥,99440,16-Dec,3.92,  특수 목적용 기계 제조업
1867,(주)스맥,99440,17-Dec,2.67,  특수 목적용 기계 제조업
1868,(주)스맥,99440,18-Dec,3.1,  특수 목적용 기계 제조업
1869,(주)스맥,99440,19-Dec,3.7,  특수 목적용 기계 제조업
1870,(주)스카이문스테크놀로지,33790,11-Dec,3.88,  통신 및 방송 장비 제조업
1871,(주)스카이문스테크놀로지,33790,12-Dec,9.46,  통신 및 방송 장비 제조업
1872,(주)스카이문스테크놀로지,33790,13-Dec,8.84,  통신 및 방송 장비 제조업
1873,(주)스카이문스테크놀로지,33790,14-Dec,3.44,  통신 및 방송 장비 제조업
1874,(주)스카이문스테크놀로지,33790,15-Dec,2.47,  통신 및 방송 장비 제조업
1875,(주)스카이문스테크놀로지,33790,16-Dec,8.64,  통신 및 방송 장비 제조업
1876,(주)스카이문스테크놀로지,33790,17-Dec,13.12,  통신 및 방송 장비 제조업
1877,(주)스카이문스테크놀로지,33790,18-Dec,25.14,  통신 및 방송 장비 제조업
1878,(주)스카이문스테크놀로지,33790,19-Dec,86.32,  통신 및 방송 장비 제조업
1879,(주)스킨앤스킨,159910,12-Dec,9.03,  기타 화학제품 제조업
1880,(주)스킨앤스킨,159910,13-Dec,21.05,  기타 화학제품 제조업
1881,(주)스킨앤스킨,159910,14-Dec,33.63,  기타 화학제품 제조업
1882,(주)스킨앤스킨,159910,15-Dec,25.94,  기타 화학제품 제조업
1883,(주)스킨앤스킨,159910,16-Dec,15.12,  기타 화학제품 제조업
1884,(주)스킨앤스킨,159910,17-Dec,11.5,  기타 화학제품 제조업
1885,(주)스킨앤스킨,159910,18-Dec,6.71,  기타 화학제품 제조업
1886,(주)스킨앤스킨,159910,19-Dec,1.47,  기타 화학제품 제조업
1887,(주)스타플렉스,115570,11-Dec,0.23,  플라스틱제품 제조업
1888,(주)스타플렉스,115570,12-Dec,0.25,  플라스틱제품 제조업
1889,(주)스타플렉스,115570,13-Dec,0.29,  플라스틱제품 제조업
1890,(주)스타플렉스,115570,14-Dec,0.45,  플라스틱제품 제조업
1891,(주)스타플렉스,115570,15-Dec,0.4,  플라스틱제품 제조업
1892,(주)스타플렉스,115570,16-Dec,0.44,  플라스틱제품 제조업
1893,(주)스타플렉스,115570,17-Dec,0.42,  플라스틱제품 제조업
1894,(주)스타플렉스,115570,18-Dec,0.49,  플라스틱제품 제조업
1895,(주)스타플렉스,115570,19-Dec,0.42,  플라스틱제품 제조업
1896,(주)스페코,13810,11-Dec,0.33,  특수 목적용 기계 제조업
1897,(주)스페코,13810,12-Dec,0.35,  특수 목적용 기계 제조업
1898,(주)스페코,13810,13-Dec,0.58,  특수 목적용 기계 제조업
1899,(주)스페코,13810,14-Dec,0.46,  특수 목적용 기계 제조업
1900,(주)스페코,13810,15-Dec,0.6,  특수 목적용 기계 제조업
1901,(주)스페코,13810,16-Dec,0.89,  특수 목적용 기계 제조업
1902,(주)스페코,13810,17-Dec,1.29,  특수 목적용 기계 제조업
1903,(주)스페코,13810,18-Dec,0.96,  특수 목적용 기계 제조업
1904,(주)스페코,13810,19-Dec,0.71,  특수 목적용 기계 제조업
1905,(주)승일,49830,11-Dec,0,  기타 금속 가공제품 제조업
1906,(주)승일,49830,12-Dec,0,  기타 금속 가공제품 제조업
1907,(주)승일,49830,13-Dec,0,  기타 금속 가공제품 제조업
1908,(주)승일,49830,14-Dec,0,  기타 금속 가공제품 제조업
1909,(주)승일,49830,15-Dec,0,  기타 금속 가공제품 제조업
1910,(주)승일,49830,16-Dec,0,  기타 금속 가공제품 제조업
1911,(주)승일,49830,17-Dec,0,  기타 금속 가공제품 제조업
1912,(주)승일,49830,18-Dec,0,  기타 금속 가공제품 제조업
1913,(주)승일,49830,19-Dec,0,  기타 금속 가공제품 제조업
1914,(주)시공테크,20710,11-Dec,0,  전문 디자인업
1915,(주)시공테크,20710,12-Dec,0,  전문 디자인업
1916,(주)시공테크,20710,13-Dec,0,  전문 디자인업
1917,(주)시공테크,20710,14-Dec,0,  전문 디자인업
1918,(주)시공테크,20710,15-Dec,0,  전문 디자인업
1919,(주)시공테크,20710,16-Dec,0,  전문 디자인업
1920,(주)시공테크,20710,17-Dec,0,  전문 디자인업
1921,(주)시공테크,20710,18-Dec,0,  전문 디자인업
1922,(주)시공테크,20710,19-Dec,0,  전문 디자인업
1923,(주)시너지이노베이션,48870,11-Dec,7.18,  의료용 기기 제조업
1924,(주)시너지이노베이션,48870,12-Dec,4.92,  의료용 기기 제조업
1925,(주)시너지이노베이션,48870,13-Dec,8.89,  의료용 기기 제조업
1926,(주)시너지이노베이션,48870,14-Dec,5.96,  의료용 기기 제조업
1927,(주)시너지이노베이션,48870,15-Dec,21.19,  의료용 기기 제조업
1928,(주)시너지이노베이션,48870,16-Dec,0,  의료용 기기 제조업
1929,(주)시너지이노베이션,48870,17-Dec,2.76,  의료용 기기 제조업
1930,(주)시너지이노베이션,48870,18-Dec,2.02,  의료용 기기 제조업
1931,(주)시너지이노베이션,48870,19-Dec,0.45,  의료용 기기 제조업
1932,(주)시노펙스,25320,11-Dec,1.09,  전자부품 제조업
1933,(주)시노펙스,25320,12-Dec,0.3,  전자부품 제조업
1934,(주)시노펙스,25320,13-Dec,0.34,  전자부품 제조업
1935,(주)시노펙스,25320,14-Dec,0.34,  전자부품 제조업
1936,(주)시노펙스,25320,15-Dec,0.73,  전자부품 제조업
1937,(주)시노펙스,25320,16-Dec,1.72,  전자부품 제조업
1938,(주)시노펙스,25320,17-Dec,2.83,  전자부품 제조업
1939,(주)시노펙스,25320,18-Dec,4.24,  전자부품 제조업
1940,(주)시노펙스,25320,19-Dec,4.44,  전자부품 제조업
1941,(주)시큐브,131090,11-Dec,8.03,  소프트웨어 개발 및 공급업
1942,(주)시큐브,131090,12-Dec,7.74,  소프트웨어 개발 및 공급업
1943,(주)시큐브,131090,13-Dec,14.27,  소프트웨어 개발 및 공급업
1944,(주)시큐브,131090,14-Dec,20.46,  소프트웨어 개발 및 공급업
