회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 현금흐름 감소율(개별),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동 현금흐름 감소율(연결)
(주)TCC스틸,2710,Dec-11,-34958575,,-33632208,
(주)TCC스틸,2710,Dec-12,-32640959,,-43256998,
(주)TCC스틸,2710,Dec-13,-35681571,,12243850,
(주)TCC스틸,2710,Dec-14,-28226203,,4309765,
(주)TCC스틸,2710,Dec-15,-15629867,,21985692,
(주)TCC스틸,2710,Dec-16,87807785,,87996322,
(주)TCC스틸,2710,Dec-17,671217,,272218,
(주)TCC스틸,2710,Dec-18,-2184262,,-637436,
(주)TCC스틸,2710,Dec-19,-11360066,,-11936714,
(주)가비아,79940,Dec-11,-5828440,,-10140435,
(주)가비아,79940,Dec-12,-16004942,,-20717005,
(주)가비아,79940,Dec-13,-1682086,,-9998158,
(주)가비아,79940,Dec-14,-7744206,,-10913796,
(주)가비아,79940,Dec-15,-1800461,,-8773166,
(주)가비아,79940,Dec-16,-10755258,,-18247920,
(주)가비아,79940,Dec-17,-6515005,,-8859280,
(주)가비아,79940,Dec-18,-8098967,,-22923889,
(주)가비아,79940,Dec-19,-13094318,,-29988807,
(주)가온칩스,399720,Dec-18,,,,
(주)가온칩스,399720,Dec-19,,,,
(주)강스템바이오텍,217730,Dec-13,,,,
(주)강스템바이오텍,217730,Dec-14,,,,
(주)강스템바이오텍,217730,Dec-15,-12058913,,,
(주)강스템바이오텍,217730,Dec-16,-26722204,,,
(주)강스템바이오텍,217730,Dec-17,5871865,,6469317,
(주)강스템바이오텍,217730,Dec-18,-25397225,,-25834675,
(주)강스템바이오텍,217730,Dec-19,-33356662,,-38130531,
(주)강원랜드,35250,Dec-11,-198767256,,-187763915,
(주)강원랜드,35250,Dec-12,-232183363,,-216998936,
(주)강원랜드,35250,Dec-13,-229555921,,-193315698,
(주)강원랜드,35250,Dec-14,-404621440,,-427372634,
(주)강원랜드,35250,Dec-15,-399445183,,-398949073,
(주)강원랜드,35250,Dec-16,-414060181,,-411462350,
(주)강원랜드,35250,Dec-17,-253342340,,-250223124,
(주)강원랜드,35250,Dec-18,-205028726,,-202048061,
(주)강원랜드,35250,Dec-19,-212758098,,-211308893,
(주)강원에너지,114190,Nov-11,-4700331,,,
(주)강원에너지,114190,Dec-12,-21039487,,,
(주)강원에너지,114190,Dec-13,10839414,,,
(주)강원에너지,114190,Dec-14,-2463292,,,
(주)강원에너지,114190,Dec-15,-3757172,,-4069038,
(주)강원에너지,114190,Dec-16,2857618,,-272939,
(주)강원에너지,114190,Dec-17,484043,,-746589,
(주)강원에너지,114190,Dec-18,-2019808,,-801059,
(주)강원에너지,114190,Dec-19,-14691822,,-14687728,
(주)갤럭시아에스엠,11420,Dec-11,-1378082,,381972,
(주)갤럭시아에스엠,11420,Dec-12,-596085,,-5044476,
(주)갤럭시아에스엠,11420,Dec-13,-2653809,,-9658129,
(주)갤럭시아에스엠,11420,Dec-14,1643309,,-458207,
(주)갤럭시아에스엠,11420,Dec-15,-5256354,,-3398195,
(주)갤럭시아에스엠,11420,Dec-16,-840372,,-559339,
(주)갤럭시아에스엠,11420,Dec-17,-924879,,-1969493,
(주)갤럭시아에스엠,11420,Dec-18,1036438,,1068801,
(주)갤럭시아에스엠,11420,Dec-19,1061814,,995670,
(주)경농,2100,Dec-11,-12823304,,-9444978,
(주)경농,2100,Dec-12,-25162774,,-6775458,
(주)경농,2100,Dec-13,-11015907,,-1125346,
(주)경농,2100,Dec-14,-18882330,,-16252739,
(주)경농,2100,Dec-15,-19075073,,-14264573,
(주)경농,2100,Dec-16,-2415338,,-14091883,
(주)경농,2100,Dec-17,-3577143,,-12828629,
(주)경농,2100,Dec-18,-4316014,,-12754265,
(주)경농,2100,Dec-19,-2614186,,6297614,
(주)경동나비엔,9450,Dec-11,-14561296,,-19734957,
(주)경동나비엔,9450,Dec-12,-21037803,,-29096492,
(주)경동나비엔,9450,Dec-13,-62575806,,-67412813,
(주)경동나비엔,9450,Dec-14,-19195852,,-38148799,
(주)경동나비엔,9450,Dec-15,1854034,,-7238540,
(주)경동나비엔,9450,Dec-16,-13002830,,-22069978,
(주)경동나비엔,9450,Dec-17,-25344330,,-40198288,
(주)경동나비엔,9450,Dec-18,-31457522,,-44715979,
(주)경동나비엔,9450,Dec-19,-22368814,,-51466326,
(주)경동도시가스,267290,Dec-17,-54094509,,-54218575,
(주)경동도시가스,267290,Dec-18,-58283279,,-58533558,
(주)경동도시가스,267290,Dec-19,-46233496,,-46540342,
(주)경동인베스트,12320,Dec-11,-80527912,,-63153791,
(주)경동인베스트,12320,Dec-12,-67159239,,-60092789,
(주)경동인베스트,12320,Dec-13,-19477359,,-38215830,
(주)경동인베스트,12320,Dec-14,-30415596,,-36929956,
(주)경동인베스트,12320,Dec-15,-101000740,,-128436091,
(주)경동인베스트,12320,Dec-16,-20799465,,-25524035,
(주)경동인베스트,12320,Dec-17,-11098576,,-20172592,
(주)경동인베스트,12320,Dec-18,2952258,,35768379,
(주)경동인베스트,12320,Dec-19,-4938785,,-8561739,
(주)경방,50,Dec-11,-26435986,,-26322473,
(주)경방,50,Dec-12,-19372995,,-27697875,
(주)경방,50,Dec-13,669867,,-3280250,
(주)경방,50,Dec-14,-30920122,,-33885316,
(주)경방,50,Dec-15,-5543521,,-36713625,
(주)경방,50,Dec-16,-3211754,,-13675594,
(주)경방,50,Dec-17,6831805,,-19767162,
(주)경방,50,Dec-18,-32823008,,-25719906,
(주)경방,50,Dec-19,-79930463,,-45096923,
(주)경보제약,214390,Dec-11,,,,
(주)경보제약,214390,Dec-12,,,,
(주)경보제약,214390,Dec-13,-8785279,,,
(주)경보제약,214390,Dec-14,-18458614,,,
(주)경보제약,214390,Dec-15,-27781942,,,
(주)경보제약,214390,Dec-16,-20158761,,,
(주)경보제약,214390,Dec-17,-6395974,,,
(주)경보제약,214390,Dec-18,-8194652,,,
(주)경보제약,214390,Dec-19,-28127563,,,
(주)경인양행,12610,Dec-11,-4871100,,-9877016,
(주)경인양행,12610,Dec-12,-2384505,,-5059446,
(주)경인양행,12610,Dec-13,-515260,,-3527107,
(주)경인양행,12610,Dec-14,-9760461,,-12201523,
(주)경인양행,12610,Dec-15,-3554826,,-10080952,
(주)경인양행,12610,Dec-16,-1366831,,-7033423,
(주)경인양행,12610,Dec-17,-16850427,,-25434854,
(주)경인양행,12610,Dec-18,-23651736,,-31671509,
(주)경인양행,12610,Dec-19,-30689433,,-46297964,
(주)고려시멘트,198440,Dec-14,,,,
(주)고려시멘트,198440,Dec-15,,,,
(주)고려시멘트,198440,Dec-16,,,,
(주)고려시멘트,198440,Dec-17,-14608429,,,
(주)고려시멘트,198440,Dec-18,-9952075,,,
(주)고려시멘트,198440,Dec-19,3351444,,,
(주)고바이오랩,348150,Dec-19,-29678685,,-27431680,
(주)고영테크놀러지,98460,Dec-11,-14532348,,-15045937,
(주)고영테크놀러지,98460,Dec-12,-7979723,,-8116145,
(주)고영테크놀러지,98460,Dec-13,-6515012,,-6568022,
(주)고영테크놀러지,98460,Dec-14,-14388870,,-14447901,
(주)고영테크놀러지,98460,Dec-15,-1567764,,-1979022,
(주)고영테크놀러지,98460,Dec-16,-6754347,,-7025366,
(주)고영테크놀러지,98460,Dec-17,5318936,,5201174,
(주)고영테크놀러지,98460,Dec-18,-72061061,,-72484067,
(주)고영테크놀러지,98460,Dec-19,-6674843,,-7879555,
(주)골드앤에스,35290,Dec-11,-9221199,,-8498088,
(주)골드앤에스,35290,Dec-12,-9218663,,-9284293,
(주)골드앤에스,35290,Dec-13,-1001142,,-1383374,
(주)골드앤에스,35290,Dec-14,-915815,,-1764445,
(주)골드앤에스,35290,Dec-15,-5520151,,-5567330,
(주)골드앤에스,35290,Dec-16,112543,,94530,
(주)골드앤에스,35290,Dec-17,-5268662,,-6335735,
(주)골드앤에스,35290,Dec-18,-12992586,,-12675663,
(주)골드앤에스,35290,Dec-19,-4973680,,-4713771,
(주)골드퍼시픽,38530,Dec-11,-7888757,,,
(주)골드퍼시픽,38530,Dec-12,1614727,,,
(주)골드퍼시픽,38530,Dec-13,-1723987,,-6853546,
(주)골드퍼시픽,38530,Dec-14,-3778013,,-3323988,
(주)골드퍼시픽,38530,Dec-15,235416,,1337628,
(주)골드퍼시픽,38530,Dec-16,-354491,,,
(주)골드퍼시픽,38530,Dec-17,-10288331,,,
(주)골드퍼시픽,38530,Dec-18,-8720801,,-5614342,
(주)골드퍼시픽,38530,Dec-19,-54745086,,,
(주)골프존,215000,Dec-15,-5207190,,-4207242,
(주)골프존,215000,Dec-16,-33314421,,-33604113,
(주)골프존,215000,Dec-17,10630625,,11830916,
(주)골프존,215000,Dec-18,-53326757,,-56231601,
(주)골프존,215000,Dec-19,-48182499,,-46930786,
(주)골프존뉴딘홀딩스,121440,Dec-11,-195848455,,-173047588,
(주)골프존뉴딘홀딩스,121440,Dec-12,-103439750,,-91334075,
(주)골프존뉴딘홀딩스,121440,Dec-13,-74006949,,-90093517,
(주)골프존뉴딘홀딩스,121440,Dec-14,-27801730,,-75886421,
(주)골프존뉴딘홀딩스,121440,Dec-15,11509974,,10947085,
(주)골프존뉴딘홀딩스,121440,Dec-16,-7704028,,-11134900,
(주)골프존뉴딘홀딩스,121440,Dec-17,21294649,,-754187,
(주)골프존뉴딘홀딩스,121440,Dec-18,-22304789,,-36752525,
(주)골프존뉴딘홀딩스,121440,Dec-19,3095111,,15355506,
(주)공구우먼,366030,Dec-17,,,,
(주)공구우먼,366030,Dec-18,,,,
(주)공구우먼,366030,Dec-19,,,,
(주)광림,14200,Dec-11,11284092,,,
(주)광림,14200,Dec-12,-281965,,,
(주)광림,14200,Dec-13,-11827159,,,
(주)광림,14200,Dec-14,-19433678,,-13004183,
(주)광림,14200,Dec-15,-86902095,,,
(주)광림,14200,Dec-16,-23751125,,-11978430,
(주)광림,14200,Dec-17,-12037167,,-7625214,
(주)광림,14200,Dec-18,-1944893,,-8169183,
(주)광림,14200,Dec-19,-37280398,,-47636791,
(주)광명전기,17040,Dec-11,-1449039,,-1505720,
(주)광명전기,17040,Dec-12,-1250745,,-1024973,
(주)광명전기,17040,Dec-13,1304261,,373757,
(주)광명전기,17040,Dec-14,-5355171,,-7261188,
(주)광명전기,17040,Dec-15,2980677,,2326377,
(주)광명전기,17040,Dec-16,-7057653,,-35162672,
(주)광명전기,17040,Dec-17,-4084096,,-8947369,
(주)광명전기,17040,Dec-18,-1391132,,-2977933,
(주)광명전기,17040,Dec-19,-22239879,,-24504535,
(주)광무,29480,Dec-11,-26650423,,-26234397,
(주)광무,29480,Dec-12,5189931,,4070985,
(주)광무,29480,Dec-13,-6156953,,-4579970,
