,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
4179,4179,(주)에스엠라이프디자인그룹,63440,14-Dec,173536,5540051,-5734436,-4765367,10115904,-5657167,+,+,-,-,+,-,쇄신기,쇠퇴기
4180,4180,(주)에스엠라이프디자인그룹,63440,15-Dec,1080332,-5600708,4674302,-3745541,-341953,4275675,+,-,+,-,-,+,성장기,도입기
4181,4181,(주)에스엠라이프디자인그룹,63440,16-Dec,-7683508,-18463355,25799544,-7683508,-19191444,25799544,-,-,+,-,-,+,도입기,도입기
4182,4182,(주)에스엠라이프디자인그룹,63440,17-Dec,3881138,-2795870,30000,4050806,-661236,-553509,+,-,+,+,-,-,성장기,성숙기
4183,4183,(주)에스엠라이프디자인그룹,63440,18-Dec,3797203,-13827296,9927591,2703220,-14337955,9927591,+,-,+,+,-,+,성장기,성장기
4184,4184,(주)에스엠라이프디자인그룹,63440,19-Dec,4817249,-1971987,1450682,3945927,-325433,895558,+,-,+,+,-,+,성장기,성장기
4185,4185,(주)에스엠벡셀,10580,11-Dec,-2713538,-2956716,1270000,,,,-,-,+,8,8,8,도입기,도입기
4186,4186,(주)에스엠벡셀,10580,12-Dec,-3494472,5041259,642500,,,,-,+,+,8,8,8,쇠퇴기,쇠퇴기
4187,4187,(주)에스엠벡셀,10580,13-Dec,-1109124,-6579787,7978000,,,,-,-,+,8,8,8,도입기,도입기
4188,4188,(주)에스엠벡셀,10580,14-Dec,1420863,-5694212,2127728,,,,+,-,+,8,8,8,성장기,성장기
4189,4189,(주)에스엠벡셀,10580,15-Dec,639550,754591,-1736211,,,,+,+,-,8,8,8,쇄신기,쇄신기
4190,4190,(주)에스엠벡셀,10580,16-Dec,2851762,-274480,-1328168,,,,+,-,-,8,8,8,성숙기,성숙기
4191,4191,(주)에스엠벡셀,10580,17-Dec,-3719137,-1206356,4339464,,,,-,-,+,8,8,8,도입기,도입기
4192,4192,(주)에스엠벡셀,10580,18-Dec,6138000,-11495071,5204518,,,,+,-,+,8,8,8,성장기,성장기
4193,4193,(주)에스엠벡셀,10580,19-Dec,6342563,-12530378,5104136,,,,+,-,+,8,8,8,성장기,성장기
4194,4194,(주)에스엠엔터테인먼트,41510,11-Dec,22836942,-20485608,592557,32259693,-16991655,1948794,+,-,+,+,-,+,성장기,성장기
4195,4195,(주)에스엠엔터테인먼트,41510,12-Dec,31672348,-73440955,65140724,47488062,-49931985,74507811,+,-,+,+,-,+,성장기,성장기
4196,4196,(주)에스엠엔터테인먼트,41510,13-Dec,8145555,-9330288,538495,30325311,-22265265,7192911,+,-,+,+,-,+,성장기,성장기
4197,4197,(주)에스엠엔터테인먼트,41510,14-Dec,-7442950,4730418,0,-9102483,-7594989,7202209,-,+,0,-,-,+,9,도입기
4198,4198,(주)에스엠엔터테인먼트,41510,15-Dec,41526296,-67221385,36719210,66056385,-68153392,41953770,+,-,+,+,-,+,성장기,성장기
4199,4199,(주)에스엠엔터테인먼트,41510,16-Dec,43229328,-23147841,37997820,21151120,-38403590,50525512,+,-,+,+,-,+,성장기,성장기
4200,4200,(주)에스엠엔터테인먼트,41510,17-Dec,39344845,-77286731,-494874,77473172,-110556517,63904362,+,-,-,+,-,+,성숙기,성장기
4201,4201,(주)에스엠엔터테인먼트,41510,18-Dec,70465880,-106899484,42535557,120003667,-127020718,46013477,+,-,+,+,-,+,성장기,성장기
4202,4202,(주)에스엠엔터테인먼트,41510,19-Dec,16370491,-15044443,2755118,91946539,-52933785,5851964,+,-,+,+,-,+,성장기,성장기
4203,4203,(주)에스엠컬처앤콘텐츠,48550,11-Dec,3270111,2314068,-4188479,3946153,710970,-3311696,+,+,-,+,+,-,쇄신기,쇄신기
4204,4204,(주)에스엠컬처앤콘텐츠,48550,12-Dec,-5970456,-14754872,29024098,-6896835,-14382485,30581101,-,-,+,-,-,+,도입기,도입기
4205,4205,(주)에스엠컬처앤콘텐츠,48550,13-Dec,-1453482,-4267575,9356015,-2997499,-3339790,9348535,-,-,+,-,-,+,도입기,도입기
4206,4206,(주)에스엠컬처앤콘텐츠,48550,14-Dec,229880,-9300136,7026687,-719464,-8804807,7024807,+,-,+,-,-,+,성장기,도입기
4207,4207,(주)에스엠컬처앤콘텐츠,48550,15-Dec,6394646,-1120054,-157552,6226564,-819269,-157552,+,-,-,+,-,-,성숙기,성숙기
4208,4208,(주)에스엠컬처앤콘텐츠,48550,16-Dec,-1296135,6158080,-2994877,-203695,5381252,-3007132,-,+,-,-,+,-,쇠퇴기,쇠퇴기
4209,4209,(주)에스엠컬처앤콘텐츠,48550,17-Dec,-4847042,-25216650,76732032,42043687,-72281227,76732032,-,-,+,+,-,+,도입기,성장기
4210,4210,(주)에스엠컬처앤콘텐츠,48550,18-Dec,53307866,-29655512,61450,53152336,-29854641,61450,+,-,+,+,-,+,성장기,성장기
4211,4211,(주)에스엠컬처앤콘텐츠,48550,19-Dec,26677194,-9146072,-1966535,27332369,-9141072,-1972648,+,-,-,+,-,-,성숙기,성숙기
4212,4212,(주)에스엠코어,7820,11-Dec,4603304,-8333844,10826129,4528210,-8373355,10826129,+,-,+,+,-,+,성장기,성장기
4213,4213,(주)에스엠코어,7820,12-Dec,5099265,-3348410,-1801236,5157946,-3357610,-1801236,+,-,-,+,-,-,성숙기,성숙기
4214,4214,(주)에스엠코어,7820,13-Dec,1187882,-3935259,-815635,1368893,-3919465,-815635,+,-,-,+,-,-,성숙기,성숙기
4215,4215,(주)에스엠코어,7820,14-Dec,651748,-869279,-819420,624472,-866943,-819420,+,-,-,+,-,-,성숙기,성숙기
4216,4216,(주)에스엠코어,7820,15-Dec,23791326,-1365733,-169432,24421926,-1035191,-169432,+,-,-,+,-,-,성숙기,성숙기
4217,4217,(주)에스엠코어,7820,16-Dec,-16889071,-157711,-3939965,-18252556,-2766,-3939965,-,-,-,-,-,-,쇄신기,쇄신기
4218,4218,(주)에스엠코어,7820,17-Dec,-8051483,-11227902,36984001,-7715169,-10926201,36984001,-,-,+,-,-,+,도입기,도입기
4219,4219,(주)에스엠코어,7820,18-Dec,-4685247,2913854,-1010039,-4425233,2298311,-1010039,-,+,-,-,+,-,쇠퇴기,쇠퇴기
4220,4220,(주)에스엠코어,7820,19-Dec,-4645002,-4410084,1505875,-4962076,-4410084,1505875,-,-,+,-,-,+,도입기,도입기
4221,4221,(주)에스원,12750,11-Dec,190049650,-165390814,-39507937,207816657,-172255513,-39999385,+,-,-,+,-,-,성숙기,성숙기
4222,4222,(주)에스원,12750,12-Dec,114017179,-95583508,-41068799,127209615,-112388313,-41813080,+,-,-,+,-,-,성숙기,성숙기
4223,4223,(주)에스원,12750,13-Dec,150768470,-97154501,-42135907,164908731,-106667051,-43871158,+,-,-,+,-,-,성숙기,성숙기
4224,4224,(주)에스원,12750,14-Dec,264687014,-436912403,153082737,281702972,-454554214,152257806,+,-,+,+,-,+,성장기,성장기
4225,4225,(주)에스원,12750,15-Dec,309280564,-23649451,-228881775,317901524,-32410144,-229706706,+,-,-,+,-,-,성숙기,성숙기
4226,4226,(주)에스원,12750,16-Dec,267467889,-212019248,-40572287,273180865,-213542767,-41048415,+,-,-,+,-,-,성숙기,성숙기
4227,4227,(주)에스원,12750,17-Dec,290452310,-225720474,-42262799,294205564,-224714172,-42262799,+,-,-,+,-,-,성숙기,성숙기
4228,4228,(주)에스원,12750,18-Dec,233622971,-174570152,-84525598,236971524,-176158462,-84515398,+,-,-,+,-,-,성숙기,성숙기
4229,4229,(주)에스원,12750,19-Dec,275716923,-127061903,-102575840,279831501,-123591645,-103151370,+,-,-,+,-,-,성숙기,성숙기
4230,4230,(주)에스제이그룹,306040,19-Dec,15117214,-17098998,30041818,15165115,-16359284,29169380,+,-,+,+,-,+,성장기,성장기
4231,4231,(주)에스제이엠,123700,11-Dec,12922124,-997827,-11145658,13323214,-2646191,-14721246,+,-,-,+,-,-,성숙기,성숙기
4232,4232,(주)에스제이엠,123700,12-Dec,8997293,-2156446,-5100374,19254405,-8457718,-5267157,+,-,-,+,-,-,성숙기,성숙기
4233,4233,(주)에스제이엠,123700,13-Dec,18159831,-11170345,-6221490,26835582,-17314255,-6672721,+,-,-,+,-,-,성숙기,성숙기
4234,4234,(주)에스제이엠,123700,14-Dec,2546230,1007929,-3120980,10814926,-1613911,-3398432,+,+,-,+,-,-,쇄신기,성숙기
4235,4235,(주)에스제이엠,123700,15-Dec,7681927,3300711,-6418580,25652825,-7965536,-3530589,+,+,-,+,-,-,쇄신기,성숙기
4236,4236,(주)에스제이엠,123700,16-Dec,9211374,-11412336,-3120980,15671243,-15547193,-4089264,+,-,-,+,-,-,성숙기,성숙기
4237,4237,(주)에스제이엠,123700,17-Dec,9431011,211710,-3120980,8387563,226258,-3640837,+,+,-,+,+,-,쇄신기,쇄신기
4238,4238,(주)에스제이엠,123700,18-Dec,3229783,-2885705,-1278637,9716315,-10075705,-1726888,+,-,-,+,-,-,성숙기,성숙기
4239,4239,(주)에스제이엠,123700,19-Dec,7741122,-11736047,-2443039,20114208,-16893734,-3906507,+,-,-,+,-,-,성숙기,성숙기
4240,4240,(주)에스제이엠홀딩스,25530,11-Dec,7139356,-11429887,-1354413,14999881,-4715660,-15859538,+,-,-,+,-,-,성숙기,성숙기
4241,4241,(주)에스제이엠홀딩스,25530,12-Dec,2082251,-1269863,-2031532,20963550,-3758197,-7766174,+,-,-,+,-,-,성숙기,성숙기
4242,4242,(주)에스제이엠홀딩스,25530,13-Dec,657561,-500610,-1355199,29492390,-26237329,-6894292,+,-,-,+,-,-,성숙기,성숙기
4243,4243,(주)에스제이엠홀딩스,25530,14-Dec,1872087,-6454463,-2032799,11736441,-6970037,-5663974,+,-,-,+,-,-,성숙기,성숙기
4244,4244,(주)에스제이엠홀딩스,25530,15-Dec,3194953,-12330612,9289602,27165813,-18561363,3322833,+,-,+,+,-,+,성장기,성장기
4245,4245,(주)에스제이엠홀딩스,25530,16-Dec,2397604,225656,-2593071,17539090,-19382412,-4812123,+,+,-,+,-,-,쇄신기,성숙기
4246,4246,(주)에스제이엠홀딩스,25530,17-Dec,-785773,2601720,-2358416,7760689,2329253,-4881996,-,+,-,+,+,-,쇠퇴기,쇄신기
4247,4247,(주)에스제이엠홀딩스,25530,18-Dec,2379691,-296377,-2593071,11740362,-11006155,-3496242,+,-,-,+,-,-,성숙기,성숙기
4248,4248,(주)에스제이엠홀딩스,25530,19-Dec,1774371,2447991,-2665592,21571734,-13804917,-6068056,+,+,-,+,-,-,쇄신기,성숙기
4249,4249,(주)에스지글로벌,1380,11-Dec,-3352319,-763372,3500942,-2647930,-3179131,4391387,-,-,+,-,-,+,도입기,도입기
4250,4250,(주)에스지글로벌,1380,12-Dec,-1011747,-1073528,-276841,-1513728,-396243,-828130,-,-,-,-,-,-,쇄신기,쇄신기
4251,4251,(주)에스지글로벌,1380,13-Dec,-2013995,1266805,4461460,-2021333,-999295,6989342,-,+,+,-,-,+,쇠퇴기,도입기
4252,4252,(주)에스지글로벌,1380,14-Dec,-12238476,-1633237,10105168,-11915232,-2075177,10072632,-,-,+,-,-,+,도입기,도입기
4253,4253,(주)에스지글로벌,1380,15-Dec,4351780,-1264388,-205656,1899742,-4477383,5353718,+,-,-,+,-,+,성숙기,성장기
4254,4254,(주)에스지글로벌,1380,16-Dec,-2152064,662805,866153,-4946648,501647,4499749,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4255,4255,(주)에스지글로벌,1380,17-Dec,14285673,5984576,-17907002,10614844,8772851,-17605410,+,+,-,+,+,-,쇄신기,쇄신기
4256,4256,(주)에스지글로벌,1380,18-Dec,6939317,-2386527,-1580676,3511768,-386872,586688,+,-,-,+,-,+,성숙기,성장기
4257,4257,(주)에스지글로벌,1380,19-Dec,11916860,-3558612,-5691258,15908797,-6142354,-8221210,+,-,-,+,-,-,성숙기,성숙기
4258,4258,(주)에스지세계물산,4060,11-Dec,-3103177,8397306,-2858123,-2315983,4795498,-1358833,-,+,-,-,+,-,쇠퇴기,쇠퇴기
4259,4259,(주)에스지세계물산,4060,12-Dec,10136685,-7233062,-9168938,10612830,-5136679,-11418248,+,-,-,+,-,-,성숙기,성숙기
4260,4260,(주)에스지세계물산,4060,13-Dec,-2746950,1792500,-1820255,-6440408,4682815,-1820255,-,+,-,-,+,-,쇠퇴기,쇠퇴기
4261,4261,(주)에스지세계물산,4060,14-Dec,-5003857,-4408484,9522753,-3906150,-6117564,10072353,-,-,+,-,-,+,도입기,도입기
4262,4262,(주)에스지세계물산,4060,15-Dec,11563664,-11875428,789419,13682600,-12869183,1316819,+,-,+,+,-,+,성장기,성장기
4263,4263,(주)에스지세계물산,4060,16-Dec,-4194655,-5439080,10708451,-5166667,-5881332,10527176,-,-,+,-,-,+,도입기,도입기
4264,4264,(주)에스지세계물산,4060,17-Dec,9708444,-38682544,25611920,8106075,-17792251,6751309,+,-,+,+,-,+,성장기,성장기
4265,4265,(주)에스지세계물산,4060,18-Dec,-15646869,1467996,10889023,-14284604,1000464,10032724,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4266,4266,(주)에스지세계물산,4060,19-Dec,36610200,28926572,-49366276,31165048,36161565,-51271985,+,+,-,+,+,-,쇄신기,쇄신기
4267,4267,(주)에스지엔지,40610,11-Dec,2600546,-1610831,-44000,-16611367,-32624125,46089146,+,-,-,-,-,+,성숙기,도입기
4268,4268,(주)에스지엔지,40610,12-Dec,2683278,-476863,-1689000,3664940,-39235522,27497334,+,-,-,+,-,+,성숙기,성장기
4269,4269,(주)에스지엔지,40610,13-Dec,4159810,-5954988,4000000,29569706,-31851038,13288169,+,-,+,+,-,+,성장기,성장기
4270,4270,(주)에스지엔지,40610,14-Dec,358211,-11145684,11800000,29481764,-16349041,-22914494,+,-,+,+,-,-,성장기,성숙기
4271,4271,(주)에스지엔지,40610,15-Dec,2595302,-5258536,1180000,41929342,-55753018,20465543,+,-,+,+,-,+,성장기,성장기
4272,4272,(주)에스지엔지,40610,16-Dec,2462004,-1737640,-500000,47622397,-28219035,-5595035,+,-,-,+,-,-,성숙기,성숙기
4273,4273,(주)에스지엔지,40610,17-Dec,742656,-3425270,850000,107083121,-68544413,-40724263,+,-,+,+,-,-,성장기,성숙기
4274,4274,(주)에스지엔지,40610,18-Dec,2473065,-7052779,9400000,-24160864,-489329,34515637,+,-,+,-,-,+,성장기,도입기
4275,4275,(주)에스지엔지,40610,19-Dec,2043836,-10630127,5365389,44255297,-11143710,4048653,+,-,+,+,-,+,성장기,성장기
4276,4276,(주)에스코넥,96630,11-Dec,-450631,-2443045,2999164,-306990,-6063369,3832559,-,-,+,-,-,+,도입기,도입기
4277,4277,(주)에스코넥,96630,12-Dec,-1501396,2584477,-482698,2832871,-1854347,2019890,-,+,-,+,-,+,쇠퇴기,성장기
4278,4278,(주)에스코넥,96630,13-Dec,23405985,-14800917,25420486,26046207,-18369643,28653778,+,-,+,+,-,+,성장기,성장기
4279,4279,(주)에스코넥,96630,14-Dec,11952119,-6047320,-6198215,14286320,-8188938,-3377953,+,-,-,+,-,-,성숙기,성숙기
4280,4280,(주)에스코넥,96630,15-Dec,12277062,-16951857,-9309946,19903110,-22193589,-9472364,+,-,-,+,-,-,성숙기,성숙기
4281,4281,(주)에스코넥,96630,16-Dec,20065863,-3244329,-8985889,31639382,-3845799,-11122003,+,-,-,+,-,-,성숙기,성숙기
4282,4282,(주)에스코넥,96630,17-Dec,-4167469,-17437856,1558616,7691779,-29703647,1304051,-,-,+,+,-,+,도입기,성장기
4283,4283,(주)에스코넥,96630,18-Dec,26191549,-22396126,-1079210,19399610,-15823087,-417298,+,-,-,+,-,-,성숙기,성숙기
4284,4284,(주)에스코넥,96630,19-Dec,2689180,-6846075,-2786429,12742356,-14312459,-4219776,+,-,-,+,-,-,성숙기,성숙기
4285,4285,(주)에스텍파마,41910,11-Dec,10031298,-6625571,-1333420,,,,+,-,-,8,8,8,성숙기,성숙기
4286,4286,(주)에스텍파마,41910,12-Dec,5419002,-22978260,16868658,,,,+,-,+,8,8,8,성장기,성장기
4287,4287,(주)에스텍파마,41910,13-Dec,10262626,-3346300,-587375,10192701,-2913290,-587375,+,-,-,+,-,-,성숙기,성숙기
4288,4288,(주)에스텍파마,41910,14-Dec,5179702,-8500714,-3902938,4994031,-8669771,-3902938,+,-,-,+,-,-,성숙기,성숙기
4289,4289,(주)에스텍파마,41910,15-Dec,10422764,10012531,-14039811,10462018,10009525,-14039811,+,+,-,+,+,-,쇄신기,쇄신기
4290,4290,(주)에스텍파마,41910,16-Dec,8215489,69680,1233557,8186986,67535,1233557,+,+,+,+,+,+,쇄신기,쇄신기
4291,4291,(주)에스텍파마,41910,17-Dec,7126862,1386761,-6088062,7132258,1385658,-6088062,+,+,-,+,+,-,쇄신기,쇄신기
4292,4292,(주)에스텍파마,41910,18-Dec,7242723,932690,-5572013,7249600,932690,-5572013,+,+,-,+,+,-,쇄신기,쇄신기
4293,4293,(주)에스텍파마,41910,19-Dec,3923769,11689554,-735580,4289946,11689554,-826276,+,+,-,+,+,-,쇄신기,쇄신기
4294,4294,(주)에스티아이,39440,11-Dec,2505874,-1691511,-1711728,3659536,-2848695,-1401728,+,-,-,+,-,-,성숙기,성숙기
4295,4295,(주)에스티아이,39440,12-Dec,2475187,-6106079,2700000,2924893,-5936209,2330000,+,-,+,+,-,+,성장기,성장기
4296,4296,(주)에스티아이,39440,13-Dec,6523670,-5928447,500000,6487620,-6219262,946250,+,-,+,+,-,+,성장기,성장기
4297,4297,(주)에스티아이,39440,14-Dec,14716964,-10737030,-2998174,15875615,-10537834,-3073687,+,-,-,+,-,-,성숙기,성숙기
4298,4298,(주)에스티아이,39440,15-Dec,12254113,12415544,3470213,13612118,11866208,4072970,+,+,+,+,+,+,쇄신기,쇄신기
4299,4299,(주)에스티아이,39440,16-Dec,2309052,-6709757,-3932873,7645644,-7913882,-2954399,+,-,-,+,-,-,성숙기,성숙기
4300,4300,(주)에스티아이,39440,17-Dec,705423,-4079989,-4457379,1906669,-3669196,-5434077,+,-,-,+,-,-,성숙기,성숙기
4301,4301,(주)에스티아이,39440,18-Dec,-34967991,-17506356,86615773,-32566980,-17402726,88421683,-,-,+,-,-,+,도입기,도입기
4302,4302,(주)에스티아이,39440,19-Dec,79959638,-76969114,-39113569,76035782,-77428980,-39818006,+,-,-,+,-,-,성숙기,성숙기
4303,4303,(주)에스티오,98660,11-Dec,3348952,-10233330,7797621,3632598,-10425336,7785479,+,-,+,+,-,+,성장기,성장기
4304,4304,(주)에스티오,98660,12-Dec,2562895,-4052616,388355,1389695,-707379,588660,+,-,+,+,-,+,성장기,성장기
4305,4305,(주)에스티오,98660,13-Dec,5421195,-2518312,-2660778,3052256,-145484,-3718784,+,-,-,+,-,-,성숙기,성숙기
4306,4306,(주)에스티오,98660,14-Dec,2308805,-6326987,3737831,1210770,-4566628,2439293,+,-,+,+,-,+,성장기,성장기
4307,4307,(주)에스티오,98660,15-Dec,982208,512475,-1395616,-45932,1675048,-1395616,+,+,-,-,+,-,쇄신기,쇠퇴기
4308,4308,(주)에스티오,98660,16-Dec,4874611,-878976,-4092402,4679160,-382809,-4092402,+,-,-,+,-,-,성숙기,성숙기
4309,4309,(주)에스티오,98660,17-Dec,5002135,-1874495,-1807045,4152898,-795233,-1807045,+,-,-,+,-,-,성숙기,성숙기
4310,4310,(주)에스티오,98660,18-Dec,10815397,-1195398,-2753497,9384803,-324475,-2753497,+,-,-,+,-,-,성숙기,성숙기
4311,4311,(주)에스티오,98660,19-Dec,-2945793,-1064212,-4157785,-3167689,-1049374,-4500685,-,-,-,-,-,-,쇄신기,쇄신기
4312,4312,(주)에스티큐브,52020,11-Dec,-1216453,-1576434,3914733,-2334837,-1191834,4659733,-,-,+,-,-,+,도입기,도입기
4313,4313,(주)에스티큐브,52020,12-Dec,353758,-214172,-29210,2137263,-705605,-29210,+,-,-,+,-,-,성숙기,성숙기
4314,4314,(주)에스티큐브,52020,13-Dec,-5952845,-16133472,24270160,-6860265,-15318328,24270160,-,-,+,-,-,+,도입기,도입기
4315,4315,(주)에스티큐브,52020,14-Dec,-1779917,2437396,10082154,-2687839,3302540,10082154,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4316,4316,(주)에스티큐브,52020,15-Dec,-3483222,-5553686,-1661532,-4274151,-1702642,-1661532,-,-,-,-,-,-,쇄신기,쇄신기
4317,4317,(주)에스티큐브,52020,16-Dec,8117178,-7345836,14888969,6066176,-6725386,14888969,+,-,+,+,-,+,성장기,성장기
4318,4318,(주)에스티큐브,52020,17-Dec,-7277233,-6512408,-11194,-11381656,-1308144,-11194,-,-,-,-,-,-,쇄신기,쇄신기
4319,4319,(주)에스티큐브,52020,18-Dec,-703844,-25451696,41569496,-5960228,-20383412,41569496,-,-,+,-,-,+,도입기,도입기
4320,4320,(주)에스티큐브,52020,19-Dec,3895610,-8226302,-169969,-192991,-4242178,-481302,+,-,-,-,-,-,성숙기,쇄신기
4321,4321,(주)에스폴리텍,50760,11-Dec,2847946,-4183498,2139412,2540991,-5665077,2139412,+,-,+,+,-,+,성장기,성장기
4322,4322,(주)에스폴리텍,50760,12-Dec,11323324,-11585554,-5267463,4154297,-11867268,3308228,+,-,-,+,-,+,성숙기,성장기
4323,4323,(주)에스폴리텍,50760,13-Dec,5994065,-3327456,85285,2159785,3483838,-4349547,+,-,+,+,+,-,성장기,쇄신기
4324,4324,(주)에스폴리텍,50760,14-Dec,2034341,-2926918,4364453,2777443,-2893187,4515678,+,-,+,+,-,+,성장기,성장기
4325,4325,(주)에스폴리텍,50760,15-Dec,742347,-7530142,3700000,3376434,-5014509,-799871,+,-,+,+,-,-,성장기,성숙기
4326,4326,(주)에스폴리텍,50760,16-Dec,9644166,-2179739,-3800000,8982830,-1410808,-3928983,+,-,-,+,-,-,성숙기,성숙기
4327,4327,(주)에스폴리텍,50760,17-Dec,1266971,-2884260,5134453,645587,-2228998,4863436,+,-,+,+,-,+,성장기,성장기
4328,4328,(주)에스폴리텍,50760,18-Dec,-1555234,-2522837,480453,-2015350,-1910416,205453,-,-,+,-,-,+,도입기,도입기
4329,4329,(주)에스폴리텍,50760,19-Dec,23757421,-2250779,-5232686,23357100,-2636906,-5524140,+,-,-,+,-,-,성숙기,성숙기
4330,4330,(주)에스피시스템스,317830,19-Dec,-2603304,-7440187,12435069,-2748228,-7528405,12525129,-,-,+,-,-,+,도입기,도입기
4331,4331,(주)에스피씨삼립,5610,11-Dec,49718125,-67407350,20260628,49723737,-67404912,20260628,+,-,+,+,-,+,성장기,성장기
4332,4332,(주)에스피씨삼립,5610,12-Dec,15001117,-33116966,17960628,15083292,-29711838,17960628,+,-,+,+,-,+,성장기,성장기
4333,4333,(주)에스피씨삼립,5610,13-Dec,32085876,-42850387,11860628,70148360,-52350175,-15319491,+,-,+,+,-,-,성장기,성숙기
4334,4334,(주)에스피씨삼립,5610,14-Dec,18339955,-12996120,-3740380,42434916,-20550984,-19868235,+,-,-,+,-,-,성숙기,성숙기
4335,4335,(주)에스피씨삼립,5610,15-Dec,31394898,-17989361,-15298926,44289366,-45672656,441074,+,-,-,+,-,+,성숙기,성장기
4336,4336,(주)에스피씨삼립,5610,16-Dec,27275537,-43299230,14000693,79625471,-55002615,-30159307,+,-,+,+,-,-,성장기,성숙기
4337,4337,(주)에스피씨삼립,5610,17-Dec,45834799,-49014978,3717219,63082017,-50938581,907219,+,-,+,+,-,+,성장기,성장기
4338,4338,(주)에스피씨삼립,5610,18-Dec,64853690,-35854262,-28195728,68342779,-43743343,-36437260,+,-,-,+,-,-,성숙기,성숙기
4339,4339,(주)에스피씨삼립,5610,19-Dec,73669453,-67004641,-4040930,94659148,-69910841,-16207307,+,-,-,+,-,-,성숙기,성숙기
4340,4340,(주)에스피지,58610,11-Dec,17284470,-7880944,-4153070,15865684,-7926780,-2907609,+,-,-,+,-,-,성숙기,성숙기
4341,4341,(주)에스피지,58610,12-Dec,-6187557,-4546987,7055936,-3522486,-7557016,7142312,-,-,+,-,-,+,도입기,도입기
4342,4342,(주)에스피지,58610,13-Dec,5832663,-4269859,-3053527,7593489,-5648371,-3173741,+,-,-,+,-,-,성숙기,성숙기
4343,4343,(주)에스피지,58610,14-Dec,-7684277,-8545186,14245196,-9930405,-7368635,16344593,-,-,+,-,-,+,도입기,도입기
4344,4344,(주)에스피지,58610,15-Dec,5703298,1456767,926684,6061762,702237,1195617,+,+,+,+,+,+,쇄신기,쇄신기
4345,4345,(주)에스피지,58610,16-Dec,16913218,-6523798,627003,18748914,-6486568,809955,+,-,+,+,-,+,성장기,성장기
4346,4346,(주)에스피지,58610,17-Dec,-12591777,-9625364,9321444,-15885890,-11041557,12867591,-,-,+,-,-,+,도입기,도입기
4347,4347,(주)에스피지,58610,18-Dec,7494576,-6034319,-2766620,9184026,-5656843,-3753763,+,-,-,+,-,-,성숙기,성숙기
4348,4348,(주)에스피지,58610,19-Dec,9184199,-2327097,-7108912,8248699,-4629152,-3651186,+,-,-,+,-,-,성숙기,성숙기
4349,4349,(주)에쎈테크,43340,11-Dec,-1964429,-1546507,3079148,,,,-,-,+,8,8,8,도입기,도입기
4350,4350,(주)에쎈테크,43340,12-Dec,1871991,1572415,-3487866,,,,+,+,-,8,8,8,쇄신기,쇄신기
4351,4351,(주)에쎈테크,43340,13-Dec,4185678,-1639052,-2556717,,,,+,-,-,8,8,8,성숙기,성숙기
4352,4352,(주)에쎈테크,43340,14-Dec,1677941,-3285389,1327230,,,,+,-,+,8,8,8,성장기,성장기
4353,4353,(주)에쎈테크,43340,15-Dec,2065490,-3672753,1512757,,,,+,-,+,8,8,8,성장기,성장기
4354,4354,(주)에쎈테크,43340,16-Dec,2139726,-1706516,-182283,,,,+,-,-,8,8,8,성숙기,성숙기
4355,4355,(주)에쎈테크,43340,17-Dec,8916098,7118679,-16163513,,,,+,+,-,8,8,8,쇄신기,쇄신기
4356,4356,(주)에쎈테크,43340,18-Dec,2730293,-263208,-2470172,,,,+,-,-,8,8,8,성숙기,성숙기
4357,4357,(주)에쎈테크,43340,19-Dec,3121944,-252866,-1921900,,,,+,-,-,8,8,8,성숙기,성숙기
4358,4358,(주)에이디칩스,54630,11-Dec,83053,-2907787,2230000,985825,-3467120,2365288,+,-,+,+,-,+,성장기,성장기
4359,4359,(주)에이디칩스,54630,12-Dec,-1455095,338248,620000,-1529413,338302,705292,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4360,4360,(주)에이디칩스,54630,13-Dec,-1123577,601052,695000,-1407600,1696092,777401,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4361,4361,(주)에이디칩스,54630,14-Dec,-2532120,644911,1536148,-2703650,988104,555586,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4362,4362,(주)에이디칩스,54630,15-Dec,-2365967,1270114,1588127,-2327279,1270114,1588127,-,+,+,-,+,+,쇠퇴기,쇠퇴기
4363,4363,(주)에이디칩스,54630,16-Dec,-1127318,-3938194,6113001,-1056345,-4040931,6140067,-,-,+,-,-,+,도입기,도입기
4364,4364,(주)에이디칩스,54630,17-Dec,-38346,-3755081,19114316,,,,-,-,+,8,8,8,도입기,도입기
4365,4365,(주)에이디칩스,54630,18-Dec,-4596129,-15358935,8877567,,,,-,-,+,8,8,8,도입기,도입기
