,Unnamed: 0,회사명,거래소코드,회계년도,영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),재무활동으로 인한 현금흐름(*)(IFRS연결)(천원),영업활동,투자활동,재무활동,영업활동(연결),투자활동(연결),재무활동(연결),기업수명,기업수명(연결)
36,36,(주)MH에탄올,23150,11-Dec,4202371,-8074198,4670174,178820,12547367,-9637630,+,-,+,+,+,-,성장기,쇄신기
37,37,(주)MH에탄올,23150,12-Dec,2788992,-4116270,444550,-4906202,1115316,376829,+,-,+,-,+,+,성장기,쇠퇴기
38,38,(주)MH에탄올,23150,13-Dec,5638467,-4646566,-946920,6114050,-4783523,-1818277,+,-,-,+,-,-,성숙기,성숙기
39,39,(주)MH에탄올,23150,14-Dec,5125822,35174665,-40343385,5159224,-4570335,-40343385,+,+,-,+,-,-,쇄신기,성숙기
40,40,(주)MH에탄올,23150,15-Dec,13354086,2921164,-13157831,13384066,2896164,-13157831,+,+,-,+,+,-,쇄신기,쇄신기
41,41,(주)MH에탄올,23150,16-Dec,12230065,1476767,-15501541,12245831,1461767,-15501541,+,+,-,+,+,-,쇄신기,쇄신기
42,42,(주)MH에탄올,23150,17-Dec,10755779,-38163673,26811882,3336890,-25459599,35571882,+,-,+,+,-,+,성장기,성장기
43,43,(주)MH에탄올,23150,18-Dec,6668746,-2930214,-4494777,-11269669,40276387,-36917995,+,-,-,-,+,-,성숙기,쇠퇴기
44,44,(주)MH에탄올,23150,19-Dec,6417691,-2940840,-3479898,11368931,-3854102,-5342979,+,-,-,+,-,-,성숙기,성숙기
45,45,(주)SH에너지화학,2360,11-Dec,6995359,-3161428,-2854349,5825197,-5936614,-2854349,+,-,-,+,-,-,성숙기,성숙기
46,46,(주)SH에너지화학,2360,12-Dec,363577,-2397506,-1095974,-855725,-1232512,-1095974,+,-,-,-,-,-,성숙기,쇄신기
47,47,(주)SH에너지화학,2360,13-Dec,7500585,-2465754,-689969,5949724,-1945785,-689969,+,-,-,+,-,-,성숙기,성숙기
48,48,(주)SH에너지화학,2360,14-Dec,24219262,-2027268,-20288485,24749424,-2050449,-20288485,+,-,-,+,-,-,성숙기,성숙기
49,49,(주)SH에너지화학,2360,15-Dec,24557427,-4907393,-7855244,24630676,-4985240,-7798670,+,-,-,+,-,-,성숙기,성숙기
50,50,(주)SH에너지화학,2360,16-Dec,11581159,2952558,-8423234,11685757,3930942,-8723234,+,+,-,+,+,-,쇄신기,쇄신기
51,51,(주)SH에너지화학,2360,17-Dec,16292838,-4392721,-6093691,14208400,-1347063,-6093691,+,-,-,+,-,-,성숙기,성숙기
52,52,(주)SH에너지화학,2360,18-Dec,4284684,-3473611,-4862180,5202762,-4046569,-4917195,+,-,-,+,-,-,성숙기,성숙기
53,53,(주)SH에너지화학,2360,19-Dec,14508726,-5156722,1774177,16081690,-6337450,1774177,+,-,+,+,-,+,성장기,성장기
54,54,(주)SIMPAC,9160,11-Dec,18174973,-9139505,10854451,18427061,-8704426,10854451,+,-,+,+,-,+,성장기,성장기
55,55,(주)SIMPAC,9160,12-Dec,12986618,-50742985,-2363232,13157000,-50742985,-2363232,+,-,-,+,-,-,성숙기,성숙기
56,56,(주)SIMPAC,9160,13-Dec,11709355,-49065961,23306146,12060558,-49795709,23306146,+,-,+,+,-,+,성장기,성장기
57,57,(주)SIMPAC,9160,14-Dec,29061253,18185471,-37652680,34443800,10539189,-28130371,+,+,-,+,+,-,쇄신기,쇄신기
