회사명,거래소코드,회계년도,투자활동으로 인한 현금흐름(*)(IFRS)(천원),투자활동 변화율,투자활동으로 인한 현금흐름(*)(IFRS연결)(천원),투자활동변화율(연결)
(주)가비아,79940,17-Dec,-6515005,,-8859280,
(주)가비아,79940,18-Dec,-8098967,,-22923889,
(주)가비아,79940,19-Dec,-13094318,,-29988807,
(주)가온칩스,399720,18-Dec,,,,
(주)가온칩스,399720,19-Dec,,,,
(주)강스템바이오텍,217730,13-Dec,,,,
(주)강스템바이오텍,217730,14-Dec,,,,
(주)강스템바이오텍,217730,15-Dec,-12058913,,,
(주)강스템바이오텍,217730,16-Dec,-26722204,,,
(주)강스템바이오텍,217730,17-Dec,5871865,,6469317,
(주)강스템바이오텍,217730,18-Dec,-25397225,,-25834675,
(주)강스템바이오텍,217730,19-Dec,-33356662,,-38130531,
(주)강원랜드,35250,11-Dec,-198767256,,-187763915,
(주)강원랜드,35250,12-Dec,-232183363,,-216998936,
(주)강원랜드,35250,13-Dec,-229555921,,-193315698,
(주)강원랜드,35250,14-Dec,-404621440,,-427372634,
(주)강원랜드,35250,15-Dec,-399445183,,-398949073,
(주)강원랜드,35250,16-Dec,-414060181,,-411462350,
(주)강원랜드,35250,17-Dec,-253342340,,-250223124,
(주)강원랜드,35250,18-Dec,-205028726,,-202048061,
(주)강원랜드,35250,19-Dec,-212758098,,-211308893,
(주)강원에너지,114190,11-Nov,-4700331,,,
(주)강원에너지,114190,12-Dec,-21039487,,,
(주)강원에너지,114190,13-Dec,10839414,,,
(주)강원에너지,114190,14-Dec,-2463292,,,
(주)강원에너지,114190,15-Dec,-3757172,,-4069038,
(주)강원에너지,114190,16-Dec,2857618,,-272939,
(주)강원에너지,114190,17-Dec,484043,,-746589,
(주)강원에너지,114190,18-Dec,-2019808,,-801059,
(주)강원에너지,114190,19-Dec,-14691822,,-14687728,
(주)갤럭시아에스엠,11420,11-Dec,-1378082,,381972,
(주)갤럭시아에스엠,11420,12-Dec,-596085,,-5044476,
(주)갤럭시아에스엠,11420,13-Dec,-2653809,,-9658129,
(주)갤럭시아에스엠,11420,14-Dec,1643309,,-458207,
(주)갤럭시아에스엠,11420,15-Dec,-5256354,,-3398195,
(주)갤럭시아에스엠,11420,16-Dec,-840372,,-559339,
(주)갤럭시아에스엠,11420,17-Dec,-924879,,-1969493,
(주)갤럭시아에스엠,11420,18-Dec,1036438,,1068801,
(주)갤럭시아에스엠,11420,19-Dec,1061814,,995670,
(주)경농,2100,11-Dec,-12823304,,-9444978,
