회사명,회계년도,거래소코드,매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),매출원가율
대양금속,17-Dec,9190,172877205,172877205,1
대양금속,18-Dec,9190,165044206,165044206,1
대양금속,19-Dec,9190,151597696,151597696,1
대우건설,11-Dec,47040,7019591544,6336765332,0.902725649
대우건설,12-Dec,47040,8223432761,7403856915,0.90033653
대우건설,13-Dec,47040,8782195639,8442194161,0.96128514
대우건설,14-Dec,47040,9995022699,9231385383,0.923598241
대우건설,15-Dec,47040,9935734306,9207716666,0.926727344
대우건설,16-Dec,47040,11105930098,11010874329,0.99144099
대우건설,17-Dec,47040,11766840488,10935113794,0.929316056
대우건설,18-Dec,47040,10605493845,9575386039,0.902870359
대우건설,19-Dec,47040,8651852221,7796798427,0.901171013
대유에이텍,11-Dec,2880,469492403,431626012,0.919346105
대유에이텍,12-Dec,2880,505514624,463025916,0.915949597
대유에이텍,13-Dec,2880,555167096,514747810,0.927194378
대유에이텍,14-Dec,2880,737452073,670851935,0.909688859
대유에이텍,15-Dec,2880,1010565226,853366922,0.844445168
대유에이텍,16-Dec,2880,1020081834,849799027,0.833069464
대유에이텍,17-Dec,2880,1067821414,888672677,0.832229683
대유에이텍,18-Dec,2880,1110212702,942816963,0.849221921
대유에이텍,19-Dec,2880,1284997078,1082793461,0.842642742
대유플러스,11-Dec,300,334908921,315316290,0.941498629
대유플러스,12-Dec,300,379402054,375953576,0.990910756
대유플러스,13-Dec,300,423640919,388575350,0.917228088
대유플러스,14-Dec,300,501739482,463684802,0.924154504
대유플러스,15-Dec,300,495781661,452762754,0.913230137
대유플러스,16-Dec,300,434112971,388266397,0.894390223
대유플러스,17-Dec,300,457742056,415974211,0.908752442
대유플러스,18-Dec,300,503410184,429582179,0.853344236
대유플러스,19-Dec,300,457263303,412868753,0.902912502
대창,11-Dec,12800,868579999,826154874,0.951155766
대창,12-Dec,12800,781254333,746433189,0.955429183
대창,13-Dec,12800,754870184,723515078,0.958462916
대창,14-Dec,12800,1323691567,1273526533,0.962102173
대창,15-Dec,12800,1016663483,1013697078,0.997082215
대창,16-Dec,12800,817684058,757867105,0.926845886
대창,17-Dec,12800,983291022,911276454,0.926761695
대창,18-Dec,12800,951257321,900771571,0.946927347
대창,19-Dec,12800,898987909,851910335,0.947632695
대창솔루션,11-Dec,96350,78897094,78897094,1
대창솔루션,12-Dec,96350,68934325,62916824,0.912706754
대창솔루션,13-Dec,96350,95233300,88423684,0.928495432
대창솔루션,14-Dec,96350,82650798,80101195,0.969152107
대창솔루션,15-Dec,96350,59676898,52767608,0.884221697
대창솔루션,16-Dec,96350,49327918,48633368,0.985919738
대창솔루션,17-Dec,96350,42774854,43729577,1.022319726
대창솔루션,18-Dec,96350,51667981,52321376,1.012646033
대창솔루션,19-Dec,96350,65192868,57445200,0.881157736
대창스틸,14-Dec,140520,266081393,250202274,0.940322325
대창스틸,15-Dec,140520,260110989,247391689,0.95110049
대창스틸,16-Dec,140520,302662749,287482046,0.949842843
대창스틸,17-Dec,140520,318055221,302768895,0.951938138
대창스틸,18-Dec,140520,228396166,216349615,0.947255897
대창스틸,19-Dec,140520,197636280,185143002,0.936786515
대한과학,11-Dec,131220,34442607,34442607,1
대한과학,12-Dec,131220,39173115,29362046,0.749545856
대한과학,13-Dec,131220,39656586,29102711,0.733868291
대한과학,14-Dec,131220,39051055,28778044,0.736933842
대한과학,15-Dec,131220,41604516,31046182,0.746221444
대한과학,16-Dec,131220,46070953,34454415,0.747855487
대한과학,17-Dec,131220,41364830,29555630,0.714511096
대한과학,18-Dec,131220,47055603,34462767,0.73238392
대한과학,19-Dec,131220,55165316,41172486,0.746347324
대한항공,11-Dec,3490,12269083442,10539660247,0.859042185
대한항공,12-Dec,3490,12719636524,11243370304,0.883938018
대한항공,13-Dec,3490,11848707841,10753625694,0.907577926
대한항공,14-Dec,3490,11909748648,10389544233,0.872356297
대한항공,15-Dec,3490,11544831301,9517396914,0.824385967
대한항공,16-Dec,3490,11731852589,9435221360,0.804239679
대한항공,17-Dec,3490,12092211498,9991152334,0.826246906
대한항공,18-Dec,3490,13011645224,11011276169,0.846263173
대한항공,19-Dec,3490,12683407265,11139346066,0.878261325
대호에이엘,11-Dec,69460,179347681,162099506,0.90382828
대호에이엘,12-Dec,69460,151031967,139018374,0.920456621
대호에이엘,13-Dec,69460,139063658,129463770,0.930967672
대호에이엘,14-Dec,69460,131723452,131723452,1
대호에이엘,15-Dec,69460,121584665,121584665,1
대호에이엘,16-Dec,69460,117646225,117646225,1
대호에이엘,17-Dec,69460,126319691,126319691,1
대호에이엘,18-Dec,69460,132411332,132411332,1
대호에이엘,19-Dec,69460,117536747,117536747,1
대호특수강,11-Dec,21040,213832202,213832202,1
대호특수강,12-Dec,21040,220378054,220378054,1
대호특수강,13-Dec,21040,314033771,314033771,1
대호특수강,14-Dec,21040,222066124,222066124,1
대호특수강,15-Dec,21040,200872222,200872222,1
대호특수강,16-Dec,21040,185678388,185678388,1
대호특수강,17-Dec,21040,205306467,205306467,1
대호특수강,18-Dec,21040,209863691,209863691,1
대호특수강,19-Dec,21040,204179606,204179606,1
더 미동,13-Dec,161570,41879645,34820468,0.831441336
더 미동,14-Dec,161570,36758112,30847450,0.839201154
더 미동,15-Dec,161570,40713758,36336801,0.8924944
더 미동,16-Dec,161570,28872693,27836526,0.964112561
더 미동,17-Dec,161570,28157406,25594527,0.908980287
더 미동,18-Dec,161570,19602894,18497557,0.943613581
더 미동,19-Dec,161570,24883150,23612761,0.948945813
더블유아이,11-Dec,73570,52297039,48498540,0.927366844
더블유아이,12-Dec,73570,21961327,26603373,1.211373657
더블유아이,13-Dec,73570,95416105,91372969,0.957626273
더블유아이,14-Dec,73570,118448729,118448729,1
더블유아이,15-Dec,73570,15165610,15165610,1
더블유아이,16-Dec,73570,4764944,5462645,1.146423757
