구분,코드,산업명,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년
(주)쎌마테라퓨틱스,15540,  사업지원 서비스업,100.67,102.88,108.86,124.48,98.89,99.02,97.98,98.51,99.94
(주)쎌바이오텍,49960,  의료용 물질 및 의약품 제조업,37.89,35.11,30.38,27.33,23.28,22.72,21.46,22.81,25.07
(주)쏠리드,50890,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",77.72,73.58,70.94,73.98,73.77,72.2,71.07,75.64,75.13
(주)씨씨에스충북방송,66790,  방송업,66.81,66.8,72.63,81.18,74.63,81.32,80.45,88.35,74.12
(주)씨아이테크,4920,  도매 및 상품 중개업,96.2,91.09,86.74,94.15,64.65,76.41,77.5,76.02,75.66
(주)씨에스,65770,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",72.32,78.73,88.61,83.21,97.52,84.17,82.37,86,85.14
(주)씨에스에이코스믹,83660,  고무 및 플라스틱제품 제조업,82.48,82.48,83.92,82.69,77.19,61.03,70.61,54.42,54.05
(주)씨엔플러스,115530,  전기장비 제조업,78.94,82.07,89.33,99.26,91.82,91,76.63,86.84,82.8
(주)씨유메디칼시스템,115480,"  의료, 정밀, 광학기기 및 시계 제조업",42.21,52.22,56.76,61,58.98,82.05,82.74,84.83,85.05
(주)씨제이이엔엠,35760,  방송업,0,0,0,0,0,11.37,0,46.78,58
(주)씨젠,96530,  화학물질 및 화학제품 제조업; 의약품 제외,31.7,32.12,25.79,22.65,24.46,28.01,34.78,36.07,36.74
(주)씨티씨바이오,60590,  도매 및 상품 중개업,67.88,64.41,68.07,64.89,66.23,70.55,73.8,68.64,74.14
(주)씨티케이,260930,  화학물질 및 화학제품 제조업; 의약품 제외,0,0,0,0,0,0,68.73,77.58,75.06
(주)아가방앤컴퍼니,13990,  도매 및 상품 중개업,58.74,60.05,59.66,58.92,56.3,55.83,54.42,53.48,45.88
(주)아나패스,123860,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",64.58,57.93,58.28,56.67,58.17,64,63.13,66.65,75.85
(주)아난티,25980,  스포츠 및 오락관련 서비스업,66.23,72.14,62.29,53.52,53.01,72.66,76.06,47.22,53.85
(주)아리온테크놀로지,58220,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.07,78.7,78.2,86.21,84.57,87.53,88.52,84.51,64.03
(주)아모그린텍,125210,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,0,0,0,78.93
(주)아모레퍼시픽,90430,  화학물질 및 화학제품 제조업; 의약품 제외,31.95,32.08,31.8,29.81,27.68,26.75,30.39,31.46,29.78
(주)아모레퍼시픽그룹,2790,  전문 서비스업,7.72,5.36,3.62,2.04,2.67,1.96,1.56,0,0
(주)아모텍,52710,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",74.61,76,76.02,78.9,80.99,77.75,73.49,78.83,81.67
(주)아미노로직스,74430,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",67.7,82.54,95.09,96.85,58.42,73.07,76.9,61.61,82.65
(주)아바코,83930,  기타 기계 및 장비 제조업,91.11,93.87,88.48,85.24,82.47,85.76,87.27,84.61,78
(주)아바텍,149950,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,69.58,75.79,69.73,79.98,77.82,77.24,84.93,83.41
(주)아세아텍,50860,  기타 기계 및 장비 제조업,79.23,81.09,79.75,78.5,80.04,79.2,78.55,80.35,81.42
(주)아센디오,12170,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",81.02,83.05,115.58,99.14,98.5,97.51,89.45,140.89,106.66
(주)아스타,246720,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,71.81,39.18,48.83
(주)아스트,67390,  기타 운송장비 제조업,0,0,0,97.38,89.04,80.03,86.96,89.93,85.12
(주)아시아경제,127710,  정보서비스업,0,0,0,0,44.92,42.89,44.41,45.07,47.88
(주)아우딘퓨쳐스,227610,  화학물질 및 화학제품 제조업; 의약품 제외,0,0,0,0,0,0,67.2,66.73,56.84
(주)아이디스,143160,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",62.39,63.24,61.14,64.07,65.05,65.48,69.52,69.66,69.94
(주)아이디스홀딩스,54800,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",67.73,32.92,21.2,19.1,20.45,19.52,19.73,25.26,26.17
(주)아이마켓코리아,122900,  도매 및 상품 중개업,95.03,95.08,95.2,95.18,95.38,95.86,96.35,96.21,95.91
(주)아이비김영,339950,  기타금융업,0,0,0,0,0,0,0,0,0
(주)아이센스,99190,"  의료, 정밀, 광학기기 및 시계 제조업",0,0,57.56,57.63,55.61,56.81,59.33,59.51,59.38
(주)아이스크림에듀,289010,  출판업,0,0,0,0,0,0,0,0,55.69
(주)아이씨디,40910,  기타 기계 및 장비 제조업,66.97,75.75,75.94,87.86,82.53,86.76,82.12,75.6,73.71
(주)아이앤씨테크놀로지,52860,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",54.52,76.11,91.36,107.9,73,79.31,67.36,58.11,63.17
(주)아이에스시,95340,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",41.62,44.21,43.19,44.97,56.13,62.42,60.77,70.03,74.21
(주)아이에스이커머스,69920,  소매업; 자동차 제외,37.12,39.47,0,27.59,35.56,46.54,51.47,56,49.6
(주)아이에이,38880,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",87.19,96.21,79.82,75.35,72.54,81.58,83.8,90.75,81.08
(주)아이에이치큐,3560,  영상ㆍ오디오 기록물 제작 및 배급업,90.51,84.99,92.55,91.29,0,0,0,0,0
(주)아이엘사이언스,307180,  기타금융업,0,0,0,0,0,0,0,0,74.36
(주)아이엠,101390,  도매 및 상품 중개업,80.81,89.87,88.87,87.77,88.03,90.32,92.08,93.65,90.75
(주)아이엠비씨,52220,  정보서비스업,0,0,0,0,0,0,0,0,0
(주)아이오케이컴퍼니,78860,  출판업,60.23,69.55,65.84,90.96,57.12,82.99,78.37,99.69,87.87
(주)아이윈,90150,  자동차 및 트레일러 제조업,84.89,85.06,86.13,86.5,88.22,87.86,86.21,87.2,87.3
(주)아이윈플러스,123010,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,92.48,107.76,121.93,158.78
(주)아이즈비전,31310,  소매업; 자동차 제외,95.14,95.52,87.75,78.94,73.79,65.5,55.13,45.11,47.46
(주)아이컴포넌트,59100,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",85.83,92.68,89.96,89.57,79.34,80.74,92.59,96.11,91.66
(주)아이톡시,52770,  출판업,64.57,62.66,42.05,46.64,36.91,41.2,64.86,62.02,47.59
(주)아이티센,124500,"  컴퓨터 프로그래밍, 시스템 통합 및 관리업",0,0,0,0,87.94,88.63,86.48,87.32,85.67
(주)아이티엑스에이아이,99520,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",75.36,71.19,78.78,81.37,94.37,76.88,73.25,83.08,85.52
(주)아이티엠반도체,84850,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,0,0,0,79.64
(주)아즈텍더블유비이,32080,  섬유제품 제조업; 의복제외,73.38,83.34,90.85,80.69,80.43,81.11,93.81,81.02,81.53
(주)아진엑스텍,59120,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,50.15,52.03,51.85,47.38,45.65,45.01
(주)아톤,158430,  출판업,0,0,0,0,0,0,0,0,52.36
(주)아프리카티비,67160,  출판업,0,0,0,0,0,0,0,0,0
(주)안랩,53800,  출판업,29.81,33.31,35.42,28.42,26.83,26.11,22.89,19.07,0
(주)안트로젠,65660,  의료용 물질 및 의약품 제조업,0,0,0,0,0,28.46,39.31,53.23,59.96
(주)알로이스,297570,  기타금융업,0,0,0,0,0,0,0,0,73.4
(주)알루코,1780,  1차 금속 제조업,90.15,91.11,86.88,89.52,87.07,87.17,89.05,94.22,93.5
(주)알에프세미,96610,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",66.83,77.48,79.4,87.5,85.99,84.06,88.61,86.61,83.56
(주)알에프텍,61040,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",83.13,83.27,85.68,88.83,85.65,87.8,90.37,89.4,85.42
(주)알엔투테크놀로지,148250,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",0,0,0,0,0,55.36,62.83,54.47,47.1
(주)알테오젠,196170,  연구개발업,0,0,0,45.95,27.37,87.19,88.14,19.05,22.8
(주)알톤스포츠,123750,  기타 운송장비 제조업,68.57,71.76,72.41,68.94,75.42,72.36,85.91,82.43,86.15
(주)알티캐스트,85810,  출판업,0,0,0,0,0,0,0,0,0
(주)알파홀딩스,117670,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",78.87,80.91,77.92,74.43,81.97,93.2,92.3,90.46,83.31
(주)애니플러스,310200,  기타금융업,0,0,0,0,0,0,0,0,0
(주)애드바이오텍,179530,  의료용 물질 및 의약품 제조업,0,0,0,0,0,0,0,0,0
(주)액션스퀘어,205500,  기타금융업,0,0,0,0,0,0,0,0,0
(주)액토즈소프트,52790,  출판업,65.94,64.72,59.24,67.24,55.75,50,51.05,28.69,15.82
(주)액트로,290740,  기타 기계 및 장비 제조업,0,0,0,0,0,0,0,58.98,74.71
(주)앤디포스,238090,  고무 및 플라스틱제품 제조업,0,0,0,0,0,63.53,68.65,67.17,68.26
(주)앤씨앤,92600,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",45.1,57.86,85.67,61.55,61.39,64.44,61.83,67.56,77.26
(주)야스,255440,  기타 기계 및 장비 제조업,0,0,0,0,0,0,68.3,69.17,73
(주)양지사,30960,  인쇄 및 기록매체 복제업,72.63,81.77,81.03,85.26,88.87,80.77,79.5,79.86,80.16
(주)어스앤에어로스페이스,263540,  기타 운송장비 제조업,0,0,0,0,0,0,78.18,102.33,155.4
(주)얼라인드제네틱스,238120,"  의료, 정밀, 광학기기 및 시계 제조업",0,0,0,0,0,50.67,41.04,44.94,46.79
(주)에너토크,19990,  기타 기계 및 장비 제조업,64.55,68.36,69.29,71.7,69.97,70.56,73.48,69.82,71.59
(주)에넥스,11090,  가구 제조업,80.96,85.03,82.12,80.48,79.55,82.67,84.06,90.87,91.52
(주)에스디생명공학,217480,  화학물질 및 화학제품 제조업; 의약품 제외,0,0,0,0,0,0,46.38,56.35,74.02
(주)에스디시스템,121890,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",92.8,91.78,96.66,85.24,83.07,91.75,89.34,90.77,92.38
