회사명,거래소코드,회계년도,산업코드,산업명
(주)STX,011810,2014/12,074608,  도매 및 상품 중개업
(주)STX,011810,2015/12,074608,  도매 및 상품 중개업
(주)STX,011810,2016/12,074608,  도매 및 상품 중개업
(주)STX,011810,2017/12,074608,  도매 및 상품 중개업
(주)STX,011810,2018/12,074608,  도매 및 상품 중개업
(주)STX,011810,2019/12,074608,  도매 및 상품 중개업
(주)TCC스틸,002710,2011/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2012/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2013/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2014/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2015/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2016/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2017/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2018/12,032401,  1차 금속 제조업
(주)TCC스틸,002710,2019/12,032401,  1차 금속 제조업
(주)가비아,079940,2011/12,105802,  출판업
(주)가비아,079940,2012/12,105802,  출판업
(주)가비아,079940,2013/12,105802,  출판업
(주)가비아,079940,2014/12,105802,  출판업
(주)가비아,079940,2015/12,105802,  출판업
(주)가비아,079940,2016/12,105802,  출판업
(주)가비아,079940,2017/12,105802,  출판업
(주)가비아,079940,2018/12,105802,  출판업
(주)가비아,079940,2019/12,105802,  출판업
(주)강스템바이오텍,217730,2015/12,137001,  연구개발업
(주)강스템바이오텍,217730,2016/12,137001,  연구개발업
(주)강스템바이오텍,217730,2017/12,032101,  의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2018/12,032101,  의료용 물질 및 의약품 제조업
(주)강스템바이오텍,217730,2019/12,032101,  의료용 물질 및 의약품 제조업
(주)강원랜드,035250,2011/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2012/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2013/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2014/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2015/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2016/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2017/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2018/12,189102,  스포츠 및 오락관련 서비스업
(주)강원랜드,035250,2019/12,189102,  스포츠 및 오락관련 서비스업
(주)강원에너지,114190,2011/11,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2012/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2013/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2014/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2015/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2016/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2017/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2018/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)강원에너지,114190,2019/12,032501,  금속가공제품 제조업; 기계 및 가구 제외
(주)갤럭시아에스엠,011420,2011/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2012/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2013/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2014/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2015/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2016/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2017/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2018/12,189101,  스포츠 및 오락관련 서비스업
(주)갤럭시아에스엠,011420,2019/12,189101,  스포츠 및 오락관련 서비스업
(주)경농,002100,2011/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2012/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2013/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2014/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2015/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2016/12,032004,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2017/12,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2018/12,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경농,002100,2019/12,032003,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경동나비엔,009450,2011/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2012/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2013/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2014/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2015/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2016/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2017/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2018/12,032805,  전기장비 제조업
(주)경동나비엔,009450,2019/12,032805,  전기장비 제조업
(주)경동도시가스,267290,2017/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2018/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동도시가스,267290,2019/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2011/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2012/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2013/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2014/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2015/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2016/12,043502,"  전기, 가스, 증기 및 공기조절 공급업"
(주)경동인베스트,012320,2017/12,137105,  전문 서비스업
(주)경동인베스트,012320,2018/12,137105,  전문 서비스업
(주)경동인베스트,012320,2019/12,020501,"  석탄, 원유 및 천연가스 광업"
(주)경방,000050,2011/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2012/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2013/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2014/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2015/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2016/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2017/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2018/12,031301,  섬유제품 제조업; 의복제외
(주)경방,000050,2019/12,074701,  소매업; 자동차 제외
(주)경보제약,214390,2015/12,032101,  의료용 물질 및 의약품 제조업
(주)경보제약,214390,2016/12,032101,  의료용 물질 및 의약품 제조업
(주)경보제약,214390,2017/12,032101,  의료용 물질 및 의약품 제조업
(주)경보제약,214390,2018/12,032101,  의료용 물질 및 의약품 제조업
(주)경보제약,214390,2019/12,032101,  의료용 물질 및 의약품 제조업
(주)경인양행,012610,2011/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2012/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2013/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2014/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2015/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2016/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2017/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2018/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)경인양행,012610,2019/12,032001,  화학물질 및 화학제품 제조업; 의약품 제외
(주)고려시멘트,198440,2014/12,117201,  기타금융업
(주)고려시멘트,198440,2015/12,117201,  기타금융업
(주)고려시멘트,198440,2016/12,117201,  기타금융업
(주)고려시멘트,198440,2017/12,032303,  비금속 광물제품 제조업
(주)고려시멘트,198440,2018/12,032303,  비금속 광물제품 제조업
(주)고려시멘트,198440,2019/12,032303,  비금속 광물제품 제조업
(주)고영테크놀러지,098460,2011/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2012/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2013/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2014/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2015/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2016/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2017/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2018/12,032902,  기타 기계 및 장비 제조업
(주)고영테크놀러지,098460,2019/12,032902,  기타 기계 및 장비 제조업
(주)골드앤에스,035290,2011/12,168505,  교육 서비스업
(주)골드앤에스,035290,2012/12,105801,  출판업
(주)골드앤에스,035290,2013/12,105801,  출판업
(주)골드앤에스,035290,2014/12,105801,  출판업
(주)골드앤에스,035290,2015/12,105801,  출판업
(주)골드앤에스,035290,2016/12,105801,  출판업
(주)골드앤에스,035290,2017/12,105801,  출판업
(주)골드앤에스,035290,2018/12,105801,  출판업
(주)골드앤에스,035290,2019/12,105801,  출판업
(주)골드퍼시픽,038530,2011/12,032605,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2012/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2013/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2014/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2015/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2016/12,032604,"  전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업"
(주)골드퍼시픽,038530,2017/12,074604,  도매 및 상품 중개업
(주)골드퍼시픽,038530,2018/12,074604,  도매 및 상품 중개업
(주)골드퍼시픽,038530,2019/12,074604,  도매 및 상품 중개업
