회사명,거래소코드,회계년도,,,
(주)국보,1140,17-Dec,,,
(주)국보,1140,18-Dec,,,
(주)국보,1140,19-Dec,,,
(주)국순당,43650,11-Dec,,,
(주)국순당,43650,12-Dec,,,
(주)국순당,43650,13-Dec,,,
(주)국순당,43650,14-Dec,,,"140,924"
(주)국순당,43650,15-Dec,,,170387.5105
(주)국순당,43650,16-Dec,,,
(주)국순당,43650,17-Dec,,,
(주)국순당,43650,18-Dec,,,
(주)국순당,43650,19-Dec,,,
(주)국영지앤엠,6050,11-Dec,,,
(주)국영지앤엠,6050,12-Dec,,,
(주)국영지앤엠,6050,13-Dec,,,
(주)국영지앤엠,6050,14-Dec,,,
(주)국영지앤엠,6050,15-Dec,,,
(주)국영지앤엠,6050,16-Dec,,,
(주)국영지앤엠,6050,17-Dec,,,
(주)국영지앤엠,6050,18-Dec,,,
(주)국영지앤엠,6050,19-Dec,,,
(주)기가레인,49080,13-Dec,,,
(주)기가레인,49080,14-Dec,,,
(주)기가레인,49080,15-Dec,,,
(주)기가레인,49080,16-Dec,,,
(주)기가레인,49080,17-Dec,,,
(주)기가레인,49080,18-Dec,,,
(주)기가레인,49080,19-Dec,,,
(주)기산텔레콤,35460,11-Dec,,,
(주)기산텔레콤,35460,12-Dec,,,
(주)기산텔레콤,35460,13-Dec,,,
(주)기산텔레콤,35460,14-Dec,,,
(주)기산텔레콤,35460,15-Dec,,,
(주)기산텔레콤,35460,16-Dec,,,
(주)기산텔레콤,35460,17-Dec,,,
(주)기산텔레콤,35460,18-Dec,,,
(주)기산텔레콤,35460,19-Dec,,,
(주)까뮤이앤씨,13700,11-Dec,,,
(주)까뮤이앤씨,13700,12-Dec,,,
(주)까뮤이앤씨,13700,13-Dec,,,
(주)까뮤이앤씨,13700,14-Dec,,,
(주)까뮤이앤씨,13700,15-Dec,,,
(주)까뮤이앤씨,13700,16-Dec,,,
(주)까뮤이앤씨,13700,17-Dec,,,
(주)까뮤이앤씨,13700,18-Dec,,,
(주)까뮤이앤씨,13700,19-Dec,,,
(주)나노,187790,14-Dec,,,
(주)나노,187790,15-Dec,,,
(주)나노,187790,16-Dec,,,
(주)나노,187790,17-Dec,,,
(주)나노,187790,18-Dec,,,
(주)나노,187790,19-Dec,,,
(주)나노엔텍,39860,11-Dec,,,
(주)나노엔텍,39860,12-Dec,,,
(주)나노엔텍,39860,13-Dec,,,
(주)나노엔텍,39860,14-Dec,,,
(주)나노엔텍,39860,15-Dec,,,
(주)나노엔텍,39860,16-Dec,,,
(주)나노엔텍,39860,17-Dec,,,
(주)나노엔텍,39860,18-Dec,,,
(주)나노엔텍,39860,19-Dec,,,
(주)나무가,190510,15-Dec,,,
(주)나무가,190510,16-Dec,,,
(주)나무가,190510,17-Dec,,,
(주)나무가,190510,18-Dec,,,
(주)나무가,190510,19-Dec,,,
(주)나이벡,138610,11-Dec,,,
(주)나이벡,138610,12-Dec,,,
(주)나이벡,138610,13-Dec,,,
(주)나이벡,138610,14-Dec,,,
(주)나이벡,138610,15-Dec,,,
(주)나이벡,138610,16-Dec,,,
(주)나이벡,138610,17-Dec,,,
(주)나이벡,138610,18-Dec,,,
(주)나이벡,138610,19-Dec,,,
(주)남선알미늄,8350,11-Dec,,,
(주)남선알미늄,8350,12-Dec,,,
(주)남선알미늄,8350,13-Dec,,,
(주)남선알미늄,8350,14-Dec,,,
(주)남선알미늄,8350,15-Dec,,,
(주)남선알미늄,8350,16-Dec,,,
(주)남선알미늄,8350,17-Dec,,,
(주)남선알미늄,8350,18-Dec,,,
(주)남선알미늄,8350,19-Dec,,,
(주)남성,4270,11-Dec,,,
(주)남성,4270,12-Dec,,,
(주)남성,4270,13-Dec,,,
(주)남성,4270,14-Dec,,,
(주)남성,4270,15-Dec,,,
(주)남성,4270,16-Dec,,,
(주)남성,4270,17-Dec,,,
(주)남성,4270,18-Dec,,,
(주)남성,4270,19-Dec,,,
(주)내츄럴엔도텍,168330,13-Dec,,,
(주)내츄럴엔도텍,168330,14-Dec,,,
(주)내츄럴엔도텍,168330,15-Dec,,,
(주)내츄럴엔도텍,168330,16-Dec,,,
(주)내츄럴엔도텍,168330,17-Dec,,,
(주)내츄럴엔도텍,168330,18-Dec,,,
(주)내츄럴엔도텍,168330,19-Dec,,,
(주)네오리진,94860,11-Dec,,,
(주)네오리진,94860,12-Dec,,,
(주)네오리진,94860,13-Dec,,,
(주)네오리진,94860,14-Dec,,,
(주)네오리진,94860,15-Dec,,,
(주)네오리진,94860,16-Dec,,,
(주)네오리진,94860,17-Dec,,,
(주)네오리진,94860,18-Dec,,,
(주)네오리진,94860,19-Dec,,,
(주)네오펙트,290660,18-Dec,,,
(주)네오펙트,290660,19-Dec,,,
(주)네이처셀,7390,11-Dec,,,
(주)네이처셀,7390,12-Dec,,,
(주)네이처셀,7390,13-Dec,,,
(주)네이처셀,7390,14-Dec,,,
(주)네이처셀,7390,15-Dec,,,
(주)네이처셀,7390,16-Dec,,,
(주)네이처셀,7390,17-Dec,,,
(주)네이처셀,7390,18-Dec,,,
(주)네이처셀,7390,19-Dec,,,
(주)네패스,33640,11-Dec,,,
(주)네패스,33640,12-Dec,,,
(주)네패스,33640,13-Dec,,,
(주)네패스,33640,14-Dec,,,
(주)네패스,33640,15-Dec,,,
(주)네패스,33640,16-Dec,,,
(주)네패스,33640,17-Dec,,,
(주)네패스,33640,18-Dec,,,
(주)네패스,33640,19-Dec,,,
(주)넥스트엔터테인먼트월드,160550,14-Dec,,,
(주)넥스트엔터테인먼트월드,160550,15-Dec,,,
(주)넥스트엔터테인먼트월드,160550,16-Dec,,,
(주)넥스트엔터테인먼트월드,160550,17-Dec,,,
(주)넥스트엔터테인먼트월드,160550,18-Dec,,,
(주)넥스트엔터테인먼트월드,160550,19-Dec,,,
(주)넥슨게임즈,225570,15-Dec,,,
(주)넥슨게임즈,225570,16-Dec,,,
(주)넥슨게임즈,225570,17-Dec,,,
(주)넥슨게임즈,225570,18-Dec,,,
(주)넥슨게임즈,225570,19-Dec,,,
(주)넵튠,217270,15-Dec,,,
(주)넵튠,217270,16-Dec,,,
(주)넵튠,217270,17-Dec,,,
(주)넵튠,217270,18-Dec,,,
(주)넵튠,217270,19-Dec,,,
(주)노블엠앤비,106520,12-Dec,,,
(주)노블엠앤비,106520,13-Dec,,,
(주)노블엠앤비,106520,14-Dec,,,
(주)노블엠앤비,106520,15-Dec,,,
(주)노블엠앤비,106520,16-Dec,,,
(주)노블엠앤비,106520,17-Dec,,,
(주)노블엠앤비,106520,18-Dec,,,
(주)노블엠앤비,106520,19-Dec,,,
(주)녹십자엠에스,142280,14-Dec,,,
(주)녹십자엠에스,142280,15-Dec,,,
(주)녹십자엠에스,142280,16-Dec,,,
(주)녹십자엠에스,142280,17-Dec,,,
(주)녹십자엠에스,142280,18-Dec,,,
(주)녹십자엠에스,142280,19-Dec,,,
(주)녹원씨엔아이,65560,11-Dec,,,
(주)녹원씨엔아이,65560,12-Dec,,,
(주)녹원씨엔아이,65560,13-Dec,,,
(주)녹원씨엔아이,65560,14-Dec,,,
(주)녹원씨엔아이,65560,15-Dec,,,
(주)녹원씨엔아이,65560,16-Dec,,,
(주)녹원씨엔아이,65560,17-Dec,,,
(주)녹원씨엔아이,65560,18-Dec,,,
(주)녹원씨엔아이,65560,19-Dec,,,
(주)누리플랜,69140,11-Dec,,,
(주)누리플랜,69140,12-Dec,,,
(주)누리플랜,69140,13-Dec,,,
(주)누리플랜,69140,14-Dec,,,
(주)누리플랜,69140,15-Dec,,,
(주)누리플랜,69140,16-Dec,,,
(주)누리플랜,69140,17-Dec,,,
(주)누리플랜,69140,18-Dec,,,
(주)누리플랜,69140,19-Dec,,,
(주)누리플렉스,40160,11-Dec,,,
(주)누리플렉스,40160,12-Dec,,,
(주)누리플렉스,40160,13-Dec,,,
(주)누리플렉스,40160,14-Dec,,,
(주)누리플렉스,40160,15-Dec,,,
(주)누리플렉스,40160,16-Dec,,,
(주)누리플렉스,40160,17-Dec,,,
(주)누리플렉스,40160,18-Dec,,,
(주)누리플렉스,40160,19-Dec,,,
(주)뉴로스,126870,12-Dec,,,
(주)뉴로스,126870,13-Dec,,,
(주)뉴로스,126870,14-Dec,,,
(주)뉴로스,126870,15-Dec,,,
(주)뉴로스,126870,16-Dec,,,
(주)뉴로스,126870,17-Dec,,,
(주)뉴로스,126870,18-Dec,,,
(주)뉴로스,126870,19-Dec,,,
(주)뉴보텍,60260,11-Dec,,,
(주)뉴보텍,60260,12-Dec,,,
(주)뉴보텍,60260,13-Dec,,,
(주)뉴보텍,60260,14-Dec,,,
(주)뉴보텍,60260,15-Dec,,,
(주)뉴보텍,60260,16-Dec,,,
(주)뉴보텍,60260,17-Dec,,,
(주)뉴보텍,60260,18-Dec,,,
(주)뉴보텍,60260,19-Dec,,,
(주)뉴프렉스,85670,11-Dec,,,
(주)뉴프렉스,85670,12-Dec,,,
(주)뉴프렉스,85670,13-Dec,,,
(주)뉴프렉스,85670,14-Dec,,,
(주)뉴프렉스,85670,15-Dec,,,
(주)뉴프렉스,85670,16-Dec,,,
(주)뉴프렉스,85670,17-Dec,,,
(주)뉴프렉스,85670,18-Dec,,,
(주)뉴프렉스,85670,19-Dec,,,
(주)다날,64260,11-Dec,,,
(주)다날,64260,12-Dec,,,
(주)다날,64260,13-Dec,,,
(주)다날,64260,14-Dec,,,
(주)다날,64260,15-Dec,,,
(주)다날,64260,16-Dec,,,
(주)다날,64260,17-Dec,,,
(주)다날,64260,18-Dec,,,
(주)다날,64260,19-Dec,,,
(주)다산네트웍스,39560,11-Dec,,,
(주)다산네트웍스,39560,12-Dec,,,
(주)다산네트웍스,39560,13-Dec,,,
(주)다산네트웍스,39560,14-Dec,,,
(주)다산네트웍스,39560,15-Dec,,,
(주)다산네트웍스,39560,16-Dec,,,
(주)다산네트웍스,39560,17-Dec,,,
(주)다산네트웍스,39560,18-Dec,,,
(주)다산네트웍스,39560,19-Dec,,,
(주)다이나믹디자인,145210,15-Dec,,,
(주)다이나믹디자인,145210,16-Dec,,,
(주)다이나믹디자인,145210,17-Dec,,,
(주)다이나믹디자인,145210,18-Dec,,,
(주)다이나믹디자인,145210,19-Dec,,,
(주)대구백화점,6370,11-Mar,,,
(주)대구백화점,6370,12-Mar,,,
(주)대구백화점,6370,13-Mar,,,
(주)대구백화점,6370,14-Mar,,,
(주)대구백화점,6370,15-Mar,,,
(주)대구백화점,6370,16-Mar,,,
(주)대구백화점,6370,17-Mar,,,
(주)대구백화점,6370,18-Dec,,,
(주)대구백화점,6370,19-Dec,,,
(주)대동,490,11-Dec,,,
(주)대동,490,12-Dec,,,
(주)대동,490,13-Dec,,,
(주)대동,490,14-Dec,,,
(주)대동,490,15-Dec,,,
(주)대동,490,16-Dec,,,
(주)대동,490,17-Dec,,,
(주)대동,490,18-Dec,,,
(주)대동,490,19-Dec,,,
(주)대동스틸,48470,11-Dec,,,
(주)대동스틸,48470,12-Dec,,,
(주)대동스틸,48470,13-Dec,,,
(주)대동스틸,48470,14-Dec,,,
(주)대동스틸,48470,15-Dec,,,
(주)대동스틸,48470,16-Dec,,,
(주)대동스틸,48470,17-Dec,,,
(주)대동스틸,48470,18-Dec,,,
(주)대동스틸,48470,19-Dec,,,
(주)대명소노시즌,7720,11-Dec,,,
(주)대명소노시즌,7720,12-Dec,,,
(주)대명소노시즌,7720,13-Dec,,,
(주)대명소노시즌,7720,14-Dec,,,
(주)대명소노시즌,7720,15-Dec,,,
(주)대명소노시즌,7720,16-Dec,,,
(주)대명소노시즌,7720,17-Dec,,,
(주)대명소노시즌,7720,18-Dec,,,
(주)대명소노시즌,7720,19-Dec,,,
(주)대성엘텍,25440,11-Dec,,,
(주)대성엘텍,25440,12-Dec,,,
(주)대성엘텍,25440,13-Dec,,,
(주)대성엘텍,25440,14-Dec,,,
(주)대성엘텍,25440,15-Dec,,,
(주)대성엘텍,25440,16-Dec,,,
(주)대성엘텍,25440,17-Dec,,,
(주)대성엘텍,25440,18-Dec,,,
(주)대성엘텍,25440,19-Dec,,,
(주)대성파인텍,104040,11-Dec,,,
(주)대성파인텍,104040,12-Dec,,,
(주)대성파인텍,104040,13-Dec,,,
(주)대성파인텍,104040,14-Dec,,,
(주)대성파인텍,104040,15-Dec,,,
(주)대성파인텍,104040,16-Dec,,,
(주)대성파인텍,104040,17-Dec,,,
(주)대성파인텍,104040,18-Dec,,,
(주)대성파인텍,104040,19-Dec,,,
(주)대유에이텍,2880,11-Dec,,,
(주)대유에이텍,2880,12-Dec,,,
(주)대유에이텍,2880,13-Dec,,,
(주)대유에이텍,2880,14-Dec,,,
(주)대유에이텍,2880,15-Dec,,,
(주)대유에이텍,2880,16-Dec,,,
(주)대유에이텍,2880,17-Dec,,,
(주)대유에이텍,2880,18-Dec,,,
(주)대유에이텍,2880,19-Dec,,,
(주)대유플러스,300,11-Dec,,,
(주)대유플러스,300,12-Dec,,,
(주)대유플러스,300,13-Dec,,,
(주)대유플러스,300,14-Dec,,,
(주)대유플러스,300,15-Dec,,,
(주)대유플러스,300,16-Dec,,,
(주)대유플러스,300,17-Dec,,,
(주)대유플러스,300,18-Dec,,,
(주)대유플러스,300,19-Dec,,,
(주)대창,12800,11-Dec,,,
(주)대창,12800,12-Dec,,,
(주)대창,12800,13-Dec,,,
(주)대창,12800,14-Dec,,,
(주)대창,12800,15-Dec,,,
(주)대창,12800,16-Dec,,,
(주)대창,12800,17-Dec,,,
(주)대창,12800,18-Dec,,,
(주)대창,12800,19-Dec,,,
(주)대창솔루션,96350,11-Dec,,,
(주)대창솔루션,96350,12-Dec,,,
(주)대창솔루션,96350,13-Dec,,,
(주)대창솔루션,96350,14-Dec,,,
(주)대창솔루션,96350,15-Dec,,,
(주)대창솔루션,96350,16-Dec,,,
(주)대창솔루션,96350,17-Dec,,,
(주)대창솔루션,96350,18-Dec,,,
(주)대창솔루션,96350,19-Dec,,,
(주)대창스틸,140520,14-Dec,,,
(주)대창스틸,140520,15-Dec,,,
(주)대창스틸,140520,16-Dec,,,
(주)대창스틸,140520,17-Dec,,,
(주)대창스틸,140520,18-Dec,,,
(주)대창스틸,140520,19-Dec,,,
(주)대한항공,3490,11-Dec,,,
(주)대한항공,3490,12-Dec,,,
(주)대한항공,3490,13-Dec,,,
(주)대한항공,3490,14-Dec,,,
(주)대한항공,3490,15-Dec,,,
(주)대한항공,3490,16-Dec,,,
(주)대한항공,3490,17-Dec,,,
(주)대한항공,3490,18-Dec,,,
(주)대한항공,3490,19-Dec,,,
(주)대호에이엘,69460,11-Dec,,,
(주)대호에이엘,69460,12-Dec,,,
(주)대호에이엘,69460,13-Dec,,,
(주)대호에이엘,69460,14-Dec,,,
(주)대호에이엘,69460,15-Dec,,,
(주)대호에이엘,69460,16-Dec,,,
(주)대호에이엘,69460,17-Dec,,,
(주)대호에이엘,69460,18-Dec,,,
(주)대호에이엘,69460,19-Dec,,,
(주)대호특수강,21040,11-Dec,,,
(주)대호특수강,21040,12-Dec,,,
(주)대호특수강,21040,13-Dec,,,
(주)대호특수강,21040,14-Dec,,,
(주)대호특수강,21040,15-Dec,,,
(주)대호특수강,21040,16-Dec,,,
(주)대호특수강,21040,17-Dec,,,
(주)대호특수강,21040,18-Dec,,,
(주)대호특수강,21040,19-Dec,,,
(주)더 미동,161570,13-Dec,,,
(주)더 미동,161570,14-Dec,,,
(주)더 미동,161570,15-Dec,,,
(주)더 미동,161570,16-Dec,,,
(주)더 미동,161570,17-Dec,,,
(주)더 미동,161570,18-Dec,,,
(주)더 미동,161570,19-Dec,,,
(주)더블유아이,73570,11-Dec,,,
(주)더블유아이,73570,12-Dec,,,
(주)더블유아이,73570,13-Dec,,,
(주)더블유아이,73570,14-Dec,,,
(주)더블유아이,73570,15-Dec,,,
(주)더블유아이,73570,16-Dec,,,
(주)더블유아이,73570,17-Dec,,,
(주)더블유아이,73570,18-Dec,,,
(주)더블유아이,73570,19-Dec,,,
(주)더블유에스아이,299170,18-Dec,,,
(주)더블유에스아이,299170,19-Dec,,,
(주)덕성,4830,11-Dec,,,
(주)덕성,4830,12-Dec,,,
(주)덕성,4830,13-Dec,,,
(주)덕성,4830,14-Dec,,,
(주)덕성,4830,15-Dec,,,
(주)덕성,4830,16-Dec,,,
(주)덕성,4830,17-Dec,,,
(주)덕성,4830,18-Dec,,,
(주)덕성,4830,19-Dec,,,
(주)덴티스,261200,17-Dec,,,
(주)덴티스,261200,18-Dec,,,
(주)덴티스,261200,19-Dec,,,
(주)동방,4140,11-Dec,,,
(주)동방,4140,12-Dec,,,
(주)동방,4140,13-Dec,,,
(주)동방,4140,14-Dec,,,
(주)동방,4140,15-Dec,,,
(주)동방,4140,16-Dec,,,
(주)동방,4140,17-Dec,,,
(주)동방,4140,18-Dec,,,
(주)동방,4140,19-Dec,,,
(주)동방선기,99410,11-Dec,,,
(주)동방선기,99410,12-Dec,,,
(주)동방선기,99410,13-Dec,,,
(주)동방선기,99410,14-Dec,,,
(주)동방선기,99410,15-Dec,,,
(주)동방선기,99410,16-Dec,,,
(주)동방선기,99410,17-Dec,,,
(주)동방선기,99410,18-Dec,,,
(주)동방선기,99410,19-Dec,,,
(주)동성화인텍,33500,11-Dec,,,
(주)동성화인텍,33500,12-Dec,,,
(주)동성화인텍,33500,13-Dec,,,
(주)동성화인텍,33500,14-Dec,,,
(주)동성화인텍,33500,15-Dec,,,
(주)동성화인텍,33500,16-Dec,,,
(주)동성화인텍,33500,17-Dec,,,
(주)동성화인텍,33500,18-Dec,,,
(주)동성화인텍,33500,19-Dec,,,
(주)동양,1520,11-Dec,,,
(주)동양,1520,12-Dec,,,
(주)동양,1520,13-Dec,,,
(주)동양,1520,14-Dec,,,
(주)동양,1520,15-Dec,,,
(주)동양,1520,16-Dec,,,
(주)동양,1520,17-Dec,,,
(주)동양,1520,18-Dec,,,
(주)동양,1520,19-Dec,,,
(주)동운아나텍,94170,15-Dec,,,
(주)동운아나텍,94170,16-Dec,,,
(주)동운아나텍,94170,17-Dec,,,
(주)동운아나텍,94170,18-Dec,,,
(주)동운아나텍,94170,19-Dec,,,
(주)두산테스나,131970,13-Dec,,,
(주)두산테스나,131970,14-Dec,,,
(주)두산테스나,131970,15-Dec,,,
(주)두산테스나,131970,16-Dec,,,
(주)두산테스나,131970,17-Dec,,,
(주)두산테스나,131970,18-Dec,,,
(주)두산테스나,131970,19-Dec,,,
(주)듀오백,73190,11-Dec,,,
(주)듀오백,73190,12-Dec,,,
(주)듀오백,73190,13-Dec,,,
(주)듀오백,73190,14-Dec,,,
(주)듀오백,73190,15-Dec,,,
