회사명,거래소코드,회계년도,차입금비율(IFRS),차입금비율(IFRS연결),당좌자산구성비율(IFRS),당좌자산구성비율(IFRS연결),유동자산구성비율(IFRS),유동자산구성비율(IFRS연결),매출채권 대 매입채무비율(IFRS),매출채권 대 매입채무비율(IFRS연결),단기차입금 대 총차입금비율(IFRS),단기차입금 대 총차입금비율(IFRS연결),유동부채비율(IFRS),유동부채비율(IFRS연결),타인자본구성비율(IFRS),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결),재고자산 대 유동자산비율(IFRS),재고자산 대 유동자산비율(IFRS연결),재고자산 대 순운전자본비율(IFRS),재고자산 대 순운전자본비율(IFRS연결),순운전자본비율(IFRS),순운전자본비율(IFRS연결)
엘컴텍(주),37950,Dec-17,0,3.53,12.52,20.39,17.11,24.7,319.9,300.38,0,31.2,6.06,14.3,6.34,14.86,93.66,85.14,26.79,17.47,40.08,34.44,11.43,12.53
엘컴텍(주),37950,Dec-18,0,3.48,9.33,14.18,12.19,17.04,821.65,561.33,0,42.02,4.8,6.74,4.77,8.23,95.23,91.77,23.44,16.81,37.51,26.39,7.61,10.85
엘컴텍(주),37950,Dec-19,2.7,7.74,14.8,15.35,18.68,19.12,407.04,375.06,0,51.5,8.06,9.7,7.74,12.12,92.26,87.88,20.79,19.74,34.55,35.6,11.24,10.6
엘티씨(주),170920,Dec-13,0.69,,64.65,,68.4,,125.22,,0,,10.48,,10.63,,89.37,,5.49,,6.37,,59.04,
엘티씨(주),170920,Dec-14,2.87,3.54,49.99,59.29,53.75,63.13,117.28,120.93,0,0,9.72,10.96,9.61,10.61,90.39,89.39,7,6.08,8.36,7.2,44.97,53.33
엘티씨(주),170920,Dec-15,15.24,33.41,29.48,32.84,32.42,36.61,65.09,86.45,61.71,71.79,17.25,33.9,19.43,31.47,80.57,68.53,9.08,10.3,15.89,28.2,18.53,13.38
엘티씨(주),170920,Dec-16,34.19,51,26.44,29.53,30.47,34.2,138.67,159.39,27.13,42.44,14.91,29.84,29.12,38.25,70.88,61.75,13.21,13.68,20.23,29.66,19.9,15.78
엘티씨(주),170920,Dec-17,38.35,55.73,25.66,26.75,30.61,33.1,138.72,129.45,31.79,49.47,18.37,36.69,31.36,40.36,68.64,59.64,16.19,19.2,27.53,56.65,18,11.22
엘티씨(주),170920,Dec-18,37.46,61.04,23.34,32.35,30.33,39.3,107.6,56.71,59.45,58.88,28.38,54.11,31.04,45.29,68.96,54.71,23.05,17.66,64.98,71.59,10.76,9.7
엘티씨(주),170920,Dec-19,41.57,66.61,25.67,35.85,29.36,40.27,166.09,198.89,73.19,67.21,34.49,56.55,33.69,46.76,66.31,53.24,12.56,10.98,56.85,43.51,6.49,10.16
엠에프엠코리아(주),323230,Dec-19,,,,,,,,,,,,,,,,,,,,,,
엠케이전자(주),33160,Dec-11,115.15,145.39,47.44,52.36,74.06,78.43,224.08,232.52,0,0,163.59,201.68,62.52,67.2,37.48,32.8,35.94,33.24,208.9,212.2,12.74,12.28
엠케이전자(주),33160,Dec-12,74.18,101.13,50.16,56.93,72.48,78.62,298.56,352.68,0,0,105.98,148.75,52.13,60.25,47.87,39.75,30.79,27.59,102.61,111.24,21.75,19.5
엠케이전자(주),33160,Dec-13,74.78,127.15,38.8,34.58,57.78,47.3,338.25,380.72,0,0,96.51,147.99,49.78,65.43,50.22,34.57,32.86,26.89,203.8,0,9.32,-3.86
엠케이전자(주),33160,Dec-14,62.27,205.3,37.48,32.02,57.64,43.79,266.86,359.3,0,0,87.24,241.5,47.31,79.01,52.69,20.99,34.98,26.89,172.8,0,11.67,-6.89
엠케이전자(주),33160,Dec-15,93.64,60.1,29.38,72.13,48.27,76.98,461.67,644.21,0,84.51,106.91,76.64,51.96,47.74,48.04,52.26,39.14,6.29,0,13.12,-3.09,36.92
엠케이전자(주),33160,Dec-16,103.05,87.25,28.67,72.49,45.71,76.57,248.64,372.57,0,71.16,132.26,86.06,57.52,54.38,42.48,45.62,37.27,5.32,0,10.92,-10.48,37.31
엠케이전자(주),33160,Dec-17,89.95,35.86,26.58,8.26,42.9,11.53,385.73,568.32,0,0,106.08,39.23,52.03,52.99,47.97,47.01,38.05,28.35,0,0,-7.98,-6.91
엠케이전자(주),33160,Dec-18,139.18,34.61,26.79,8.64,42.27,11.76,457.4,645.39,0,99.49,164.46,38.75,62.66,52.39,37.34,47.61,36.61,26.53,0,0,-19.14,-6.7
엠케이전자(주),33160,Dec-19,151.42,34.59,24.86,7.65,41.39,10.79,259.41,451.11,99.56,99.78,179.4,38.63,64.93,52.3,35.07,47.7,39.94,29.1,0,0,-21.53,-7.64
영보화학(주),14440,Dec-11,41.32,43.31,25.26,28.51,32.25,36.99,307.74,358.3,74.23,68.53,47.11,46.91,36.61,37.82,63.39,62.18,21.68,22.91,291.95,108.38,2.4,7.82
영보화학(주),14440,Dec-12,38.8,43.25,26.86,31.74,32.72,38.97,266.03,240.44,97.93,93.04,56.61,64.56,36.51,40.45,63.49,59.55,17.9,18.54,0,1372.69,-3.22,0.53
