회사명,거래소코드,회계년도,유동비율(IFRS),유동비율(IFRS연결),당좌비율(IFRS),당좌비율(IFRS연결),현금비율(IFRS),현금비율(IFRS연결),부채비율(IFRS),부채비율(IFRS연결),차입금의존도(IFRS),차입금의존도(IFRS연결),CASH FLOW 대 부채비율(IFRS),CASH FLOW 대 부채비율(IFRS연결),CASH FLOW 대 매출액비율(IFRS),CASH FLOW 대 매출액비율(IFRS연결),CASH FLOW 대 차입금비율(IFRS),CASH FLOW 대 차입금비율(IFRS연결),자기자본구성비율(IFRS),자기자본구성비율(IFRS연결)
(주)ES큐브,50120,12-Dec,484.22,472.77,471.49,371.91,68.9,84.78,12.02,16.11,0,0.33,65.12,81.36,7.07,9.33,0,3402.53,89.27,86.12
(주)ES큐브,50120,13-Dec,1208.64,1056.51,1192.79,883.95,339.36,278.73,8.69,11.25,0,0.32,120.2,82.01,9.96,6.67,0,2558.09,92.01,89.89
(주)ES큐브,50120,14-Dec,703.02,769.89,694.35,668.53,174.69,425.42,8.95,14.07,0,4.74,100.91,39.24,10.01,6.16,0,102.05,91.79,87.66
(주)ES큐브,50120,15-Dec,1260.55,765.67,1238.36,639.55,814.29,492.89,5.02,12.01,0,3.47,137.71,0.93,8.4,0.13,0,2.88,95.22,89.27
(주)ES큐브,50120,16-Dec,949.52,1493.9,940.31,1275.25,626.84,918.41,49.59,46.68,28.53,28.34,10.11,-2.3,10.05,-2.24,11.75,-2.58,66.85,68.18
(주)ES큐브,50120,17-Dec,1095.59,1378.49,1085.6,1153.05,529.21,654.97,46.85,45.42,27.28,27.01,11.55,5.37,10.41,4.97,13.51,6.21,68.1,68.77
(주)ES큐브,50120,18-Dec,77.08,119.8,75.59,95.25,49.78,71.07,63.08,58.92,32.7,31.99,4.89,1.16,6.56,1.43,5.79,1.34,61.32,62.93
(주)ES큐브,50120,19-Dec,44.35,156.01,43.49,152.69,24.83,48.38,152.04,526.65,46.95,14.85,1.22,9.52,3.51,84.97,1.57,53.92,39.68,15.96
(주)HJ중공업,97230,11-Dec,121.27,96.33,111.06,81.81,35.94,34.4,212.4,276.93,43.17,48.42,-0.74,-0.99,-1.27,-1.77,-1.16,-1.51,32.01,26.53
(주)HJ중공업,97230,12-Dec,113.85,92.89,106.16,83.75,29.3,29.88,218.65,283.85,51.33,56.24,-6.45,-4.99,-13.26,-9.54,-8.62,-6.56,31.38,26.05
(주)HJ중공업,97230,13-Dec,78.29,84.9,58.64,66.58,17.91,17.98,223.6,307.77,50.28,56.46,-5.12,-4.02,-10.73,-8.02,-7.04,-5.38,30.9,24.52
(주)HJ중공업,97230,14-Dec,84.34,93.12,63.48,70.06,9.77,12.33,210.45,311.31,43.96,52.96,-3.87,-5.71,-7.99,-11.1,-5.97,-8.17,32.21,24.31
(주)HJ중공업,97230,15-Dec,63.44,70.83,35.23,45.35,3.12,4.75,236.72,332.17,46.95,51.58,0.13,0.21,0.21,0.31,0.19,0.31,29.7,23.14
(주)HJ중공업,97230,16-Dec,106.91,89.96,74.48,64.36,6.19,5.26,333.73,487.19,53.67,59.62,3.12,2.53,4.88,3.92,4.47,3.52,23.06,17.03
(주)HJ중공업,97230,17-Dec,54.92,56.89,29.04,35.58,4.24,4.37,487.9,628.81,54.47,58.98,8.14,4.8,12.88,7.11,12.4,7.03,17.01,13.72
(주)HJ중공업,97230,18-Dec,92.79,80.41,57.94,56.15,15.34,10.7,0,0,69.99,61.15,9.88,11.7,15.73,23.73,16.48,24.1,0,-25.91
(주)HJ중공업,97230,19-Dec,70.61,70.48,50.85,50.77,6.65,6.64,897.14,908.28,45.78,45.25,7.27,12.95,10.03,17.69,14.3,25.77,10.03,9.92
(주)MH에탄올,23150,11-Dec,39.49,58.36,32.66,45.92,1.33,5.22,142.03,214.54,53.2,8.89,6.37,2.62,11.75,5.35,7.02,20.09,41.32,31.79
(주)MH에탄올,23150,12-Dec,34.27,61.27,26.4,36.07,0,0.73,137.09,238.69,52.14,56.9,4.34,-2.5,7.68,-3.95,4.82,-3.09,42.18,29.53
(주)MH에탄올,23150,13-Dec,38.13,57.37,29.15,40.78,0.07,0.14,160.02,182.66,58.43,57.67,5.59,0.72,9.1,0.97,5.89,0.81,38.46,35.38
(주)MH에탄올,23150,14-Dec,88.61,90.87,66.52,68.77,0.01,0.02,62.36,62.03,34.49,34.38,16.44,17.21,10.99,11.51,18.3,19.17,61.59,61.72
(주)MH에탄올,23150,15-Dec,105.94,109.55,88.4,92.01,15.34,15.38,36.69,36.47,23.66,23.57,43.75,43.92,18.34,18.4,49.62,49.79,73.16,73.27
(주)MH에탄올,23150,16-Dec,248.1,257.95,175.61,185.46,17.76,17.87,13.86,13.77,7.61,7.58,145.9,146.33,26.16,26.21,233.26,233.68,87.83,87.89
(주)MH에탄올,23150,17-Dec,117.34,44.64,81.93,41.69,4.9,7.8,66.06,368.17,34.02,50.68,26.89,1.98,23.81,14.99,31.44,3.07,60.22,21.36
(주)MH에탄올,23150,18-Dec,133.8,20.96,87,16.33,0.03,4.89,60.15,380.62,32.43,49.8,21.15,-1.14,18.56,-5.45,24.5,-1.81,62.44,20.81
(주)MH에탄올,23150,19-Dec,127.22,11.62,70.51,8.73,0.01,3.21,69.91,468.69,35.32,53.23,15.74,0.01,13.92,0.06,18.33,0.02,58.85,17.58
(주)SH에너지화학,2360,11-Dec,145.06,147.77,111.22,115.16,10.93,15.37,58.74,60.5,28.43,27.79,10.03,8.32,2.2,1.9,13.06,11.28,63,62.31
(주)SH에너지화학,2360,12-Dec,169.76,171.22,120.29,123.05,1.6,7.42,57.95,59.82,27.87,27.55,9.78,6.4,1.92,1.28,12.88,8.7,63.31,62.57
(주)SH에너지화학,2360,13-Dec,165.4,168.09,131.2,134.09,13.76,15.75,57.61,58.75,25.44,25.33,9.78,6.23,1.71,1.1,14.05,9.1,63.45,62.99
(주)SH에너지화학,2360,14-Dec,271.71,291.69,203.65,224.49,32.85,37.69,30.81,31.46,8.77,8.64,61.73,57.91,6.99,6.65,165.75,160.41,76.45,76.07
(주)SH에너지화학,2360,15-Dec,379.52,399.36,311.55,329.69,110.18,115.03,25.69,26.05,5.98,5.96,104.63,103.42,11.4,11.41,357.43,358.77,79.56,79.33
