회사명,거래소코드,회계년도,매입채무(IFRS)(천원),매입채무(IFRS연결)(천원),매출채권(IFRS)(천원),장기매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),장기매출채권(IFRS연결)(천원)
(주)STX,011810,2013/12,117155000,199238000,264240000,13514000,318920000,13514000
(주)STX,011810,2014/12,78622000,128067000,240745000,3936000,231173000,4040000
(주)STX,011810,2015/12,92719000,168094000,192082000,64532000,196846000,53720000
(주)STX,011810,2016/12,161565000,93777000,225461000,18039000,151385000,18072000
(주)STX,011810,2017/12,113876000,116542000,148268000,17283000,150002000,17283000
(주)STX,011810,2018/12,57955000,76685000,124416000,17549000,168448000,17549000
(주)STX,011810,2019/12,85456000,102262000,149459000,20389000,184444000,20389000
(주)TCC스틸,002710,2011/12,30601132,36286014,67618018,279424,80665225,279424
(주)TCC스틸,002710,2012/12,31578824,41180366,65092634,0,71112902,0
(주)TCC스틸,002710,2013/12,26136889,38783690,56753518,0,68316114,0
(주)TCC스틸,002710,2014/12,25941466,37920178,60593854,0,86970515,0
(주)TCC스틸,002710,2015/12,19400602,38223007,42872200,0,67719623,0
(주)TCC스틸,002710,2016/12,22801657,25582561,48126701,0,57654611,0
(주)TCC스틸,002710,2017/12,19063388,20150484,43217757,0,48408783,0
(주)TCC스틸,002710,2018/12,28341813,33048342,41140973,0,42246665,0
(주)TCC스틸,002710,2019/12,21237292,29636313,33268239,0,45242999,0
(주)가비아,079940,2011/12,393317,434923,1964346,0,4866865,0
(주)가비아,079940,2012/12,2569817,2521761,2041083,0,6524566,0
(주)가비아,079940,2013/12,1268027,1861578,1986939,0,6448247,0
(주)가비아,079940,2014/12,2370341,2865111,2648057,0,0,0
(주)가비아,079940,2015/12,1496985,2028679,2327391,0,8120801,0
(주)가비아,079940,2016/12,1575303,5050880,2458491,0,14103577,0
(주)가비아,079940,2017/12,2413820,7351096,2897556,0,19164658,0
(주)가비아,079940,2018/12,1771040,3929911,2873894,0,20324111,0
(주)가비아,079940,2019/12,2058371,4480341,3227148,0,25159207,0
(주)강스템바이오텍,217730,2015/12,125108,,298840,0,,
(주)강스템바이오텍,217730,2016/12,276004,,170110,0,,
(주)강스템바이오텍,217730,2017/12,1239629,1239629,173608,0,440984,0
(주)강스템바이오텍,217730,2018/12,230000,1787264,1024620,0,2038576,0
(주)강스템바이오텍,217730,2019/12,270948,616805,1024806,0,1209654,0
(주)강원랜드,035250,2011/12,1884989,1884989,6107094,0,6134126,0
(주)강원랜드,035250,2012/12,2232677,2232677,6916800,0,7667585,0
(주)강원랜드,035250,2013/12,2218517,2218517,7277032,0,7394704,0
(주)강원랜드,035250,2014/12,3263417,3263417,6379925,0,6582920,0
(주)강원랜드,035250,2015/12,3607101,3607101,5366515,0,5436891,0
(주)강원랜드,035250,2016/12,3084179,3084179,5028255,0,5089200,0
(주)강원랜드,035250,2017/12,3361320,3361320,5425603,0,5442780,0
(주)강원랜드,035250,2018/12,3561607,3561607,10519131,0,10584690,0
(주)강원랜드,035250,2019/12,3857898,3857898,8599415,0,8657399,0
(주)강원에너지,114190,2011/11,13966076,,12650936,0,,
(주)강원에너지,114190,2012/12,17580576,,42550425,0,,
(주)강원에너지,114190,2013/12,6911587,,16589758,0,,
(주)강원에너지,114190,2014/12,8949784,,26216322,0,,
(주)강원에너지,114190,2015/12,8958699,8958699,16786020,0,16786020,0
(주)강원에너지,114190,2016/12,5273337,5273337,28125754,0,28125754,0
(주)강원에너지,114190,2017/12,15372002,15372002,47160876,0,47160876,0
(주)강원에너지,114190,2018/12,11107883,11107883,43399528,0,43399528,0
(주)강원에너지,114190,2019/12,7904034,7904034,20063616,0,20063616,0
(주)갤럭시아에스엠,011420,2011/12,1078148,1441017,6130238,0,7628919,0
(주)갤럭시아에스엠,011420,2012/12,1557553,1958766,5251377,0,4791513,0
(주)갤럭시아에스엠,011420,2013/12,1162739,1576120,4769683,0,4956683,0
(주)갤럭시아에스엠,011420,2014/12,1548854,2389683,6620157,0,6615820,0
(주)갤럭시아에스엠,011420,2015/12,2140769,2901363,6445375,0,4611248,0
(주)갤럭시아에스엠,011420,2016/12,3486270,4302476,6515454,0,6431047,0
(주)갤럭시아에스엠,011420,2017/12,2970352,2973757,7481985,0,7542791,0
(주)갤럭시아에스엠,011420,2018/12,1695454,1700468,5719122,0,5719635,0
(주)갤럭시아에스엠,011420,2019/12,1350936,1350936,5897430,0,5897430,0
(주)경농,002100,2011/12,16127481,16144137,9714905,0,9818596,0
(주)경농,002100,2012/12,19491642,19656950,11173839,0,18805441,0
(주)경농,002100,2013/12,17851709,17503694,13260133,0,22766814,0
(주)경농,002100,2014/12,20530569,22336952,15336315,0,26488328,0
(주)경농,002100,2015/12,21943145,23122407,19475979,0,29950451,0
(주)경농,002100,2016/12,25261354,28340442,20474340,0,33292892,0
(주)경농,002100,2017/12,25446317,29526311,21342674,0,34293741,0
(주)경농,002100,2018/12,20300908,24114639,24098405,0,34470614,0
(주)경농,002100,2019/12,23604107,27979140,22948270,0,34654361,0
(주)경동나비엔,009450,2011/12,42204733,41324370,45321567,105597,36210869,105597
(주)경동나비엔,009450,2012/12,54234882,56130651,52865768,105597,37720771,105597
(주)경동나비엔,009450,2013/12,51433487,50650491,56666418,105597,38993744,105597
(주)경동나비엔,009450,2014/12,46764099,54242303,77167697,0,41167793,0
(주)경동나비엔,009450,2015/12,54566199,65252087,80824192,0,40720959,0
(주)경동나비엔,009450,2016/12,76535655,83657318,85914718,0,51051560,0
(주)경동나비엔,009450,2017/12,86703690,92109771,99173501,0,78968890,0
(주)경동나비엔,009450,2018/12,69560024,77239026,120493677,0,94866914,0
(주)경동나비엔,009450,2019/12,80630620,92666117,143343920,0,96284740,2158264
(주)경동도시가스,267290,2017/12,295055522,295055522,263643633,0,263647773,0
(주)경동도시가스,267290,2018/12,328641465,328641465,249117109,0,249114243,0
(주)경동도시가스,267290,2019/12,273615670,273615670,201833997,0,201864420,0
(주)경동인베스트,012320,2011/12,411238914,422528843,337190982,0,352420975,0
(주)경동인베스트,012320,2012/12,574143486,590272557,413063519,0,429513466,0
(주)경동인베스트,012320,2013/12,520836292,534969558,370673340,0,377298441,0
(주)경동인베스트,012320,2014/12,410419461,420962238,306852953,0,346363738,0
(주)경동인베스트,012320,2015/12,245967803,252287992,210450343,0,258223845,0
(주)경동인베스트,012320,2016/12,227515846,229971708,205523295,0,259424655,0
(주)경동인베스트,012320,2017/12,0,2330818,65907,0,66718773,0
(주)경동인베스트,012320,2018/12,0,6953228,842694,0,56884735,0
(주)경동인베스트,012320,2019/12,0,6446931,844080,0,63713573,0
(주)경방,000050,2011/12,1642636,19598113,32135932,0,31118341,0
(주)경방,000050,2012/12,3879239,20758100,31453366,0,31458436,0
(주)경방,000050,2013/12,3610545,20361220,31058761,0,34166562,0
(주)경방,000050,2014/12,18354028,18551019,32233594,0,35219398,0
(주)경방,000050,2015/12,16820107,17651694,31721636,0,37901704,0
(주)경방,000050,2016/12,16642486,19400284,31731834,0,38823607,0
(주)경방,000050,2017/12,15212310,18728926,27595270,0,34640336,0
(주)경방,000050,2018/12,16114137,18980495,29371128,0,42175729,0
(주)경방,000050,2019/12,16840264,18966096,24474870,0,37797870,0
(주)경보제약,214390,2015/12,16602104,,46116955,0,,
(주)경보제약,214390,2016/12,15716878,,50452400,0,,
(주)경보제약,214390,2017/12,15450647,,55984549,0,,
(주)경보제약,214390,2018/12,15020329,,67195051,0,,
(주)경보제약,214390,2019/12,15296391,,52833419,0,,
(주)경인양행,012610,2011/12,9018541,22641016,47702972,0,58900677,0
(주)경인양행,012610,2012/12,7778437,14019539,0,0,56308561,0
(주)경인양행,012610,2013/12,14114039,18002898,0,6776932,69253772,0
(주)경인양행,012610,2014/12,5356136,11497378,40378430,9641799,64789479,0
(주)경인양행,012610,2015/12,7495266,14596934,40536511,11249729,60317420,0
(주)경인양행,012610,2016/12,17120817,25656675,44658202,11730448,64396864,0
(주)경인양행,012610,2017/12,7614574,15841108,45961158,12002015,68522442,0
(주)경인양행,012610,2018/12,16868009,19996296,61097103,12816609,82567584,0
(주)경인양행,012610,2019/12,14147013,16457652,55723288,17279898,80961683,0
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,5866237,,30481250,0,,
(주)고려시멘트,198440,2018/12,4413490,,32476313,0,,
(주)고려시멘트,198440,2019/12,3352457,,25700956,0,,
(주)고영테크놀러지,098460,2011/12,6712506,8131221,25227493,0,23215229,0
(주)고영테크놀러지,098460,2012/12,6921841,7066055,31988780,0,29150759,0
(주)고영테크놀러지,098460,2013/12,9720309,10669475,38176088,0,32324265,0
(주)고영테크놀러지,098460,2014/12,8064380,8710906,47690802,0,38484841,0
(주)고영테크놀러지,098460,2015/12,8691822,10193418,64256973,0,47462104,0
(주)고영테크놀러지,098460,2016/12,11628501,13904087,84100616,0,57993580,0
(주)고영테크놀러지,098460,2017/12,14022036,16233234,103464560,5416121,72204125,0
(주)고영테크놀러지,098460,2018/12,14095316,15677316,107503723,0,87348349,0
(주)고영테크놀러지,098460,2019/12,11824330,13515704,111177420,7360023,85250616,0
(주)골드앤에스,035290,2011/12,1050496,1050496,8521199,0,8521200,0
(주)골드앤에스,035290,2012/12,608923,608923,7648184,0,7648183,0
(주)골드앤에스,035290,2013/12,1164614,1180068,7535782,0,7534315,0
(주)골드앤에스,035290,2014/12,828614,872982,7503242,0,7494549,0
(주)골드앤에스,035290,2015/12,706904,706904,7300896,0,7300896,0
(주)골드앤에스,035290,2016/12,247758,247758,6613954,0,6613954,0
(주)골드앤에스,035290,2017/12,218963,218963,6452974,0,6452974,0
(주)골드앤에스,035290,2018/12,89720,89720,4799709,0,4799709,0
(주)골드앤에스,035290,2019/12,111463,111463,4418864,0,4418864,0
(주)골드퍼시픽,038530,2011/12,0,,1502923,0,,
(주)골드퍼시픽,038530,2012/12,360536,,4387103,0,,
(주)골드퍼시픽,038530,2013/12,0,0,5689818,0,6082377,0
(주)골드퍼시픽,038530,2014/12,0,0,7249571,0,8912889,0
(주)골드퍼시픽,038530,2015/12,235874,0,8175535,0,8175535,0
(주)골드퍼시픽,038530,2016/12,0,,8468843,0,,
(주)골드퍼시픽,038530,2017/12,631826,,10040030,0,,
(주)골드퍼시픽,038530,2018/12,105811,135512,9097306,0,9015191,0
(주)골드퍼시픽,038530,2019/12,1568859,,11971868,0,,
(주)골프존,215000,2015/12,2629604,4808035,16912747,0,16619616,0
(주)골프존,215000,2016/12,2581843,4557221,12711470,2233875,13774715,2233874
(주)골프존,215000,2017/12,3390826,4469536,16542689,1050408,18258663,1050407
(주)골프존,215000,2018/12,4098802,4279575,19652517,84522,20008011,84522
(주)골프존,215000,2019/12,2799499,3056162,19050011,88334,17763826,100922
(주)골프존뉴딘홀딩스,121440,2011/12,4597262,5148042,9693683,0,9241114,0
(주)골프존뉴딘홀딩스,121440,2012/12,6329293,6832838,11012643,0,12363953,0
(주)골프존뉴딘홀딩스,121440,2013/12,9273972,10012375,13661065,0,17739672,0
(주)골프존뉴딘홀딩스,121440,2014/12,6628808,8638556,13195483,0,16824334,0
(주)골프존뉴딘홀딩스,121440,2015/12,0,4560011,1298568,0,6118520,0
(주)골프존뉴딘홀딩스,121440,2016/12,0,7232656,2030134,0,4397394,0
(주)골프존뉴딘홀딩스,121440,2017/12,0,7509517,1611931,0,6687798,0
(주)골프존뉴딘홀딩스,121440,2018/12,0,13914428,2372526,21911,12689009,21913
(주)골프존뉴딘홀딩스,121440,2019/12,0,11564312,2408025,0,11370127,0
(주)광림,014200,2011/12,8267561,,18729997,0,,
(주)광림,014200,2012/12,6836814,,14514359,0,,
(주)광림,014200,2013/12,12095362,,16091136,0,,
(주)광림,014200,2014/12,7357956,15195572,14926608,0,37525936,59736
(주)광림,014200,2015/12,10272131,,15556705,0,,
(주)광림,014200,2016/12,10810709,33842846,9931190,0,35770538,0
(주)광림,014200,2017/12,8030605,18870922,7569100,0,22490849,0
(주)광림,014200,2018/12,11697261,21849846,9521763,0,34113986,0
(주)광림,014200,2019/12,7735917,16949822,10365519,0,26246160,0
(주)광명전기,017040,2011/12,11133124,15273072,15642201,0,26276590,140545
(주)광명전기,017040,2012/12,9639820,14541759,18984031,0,26121680,124098
(주)광명전기,017040,2013/12,5478932,6384899,25766651,0,30019188,107651
(주)광명전기,017040,2014/12,14394312,16863004,31554886,20008,36337764,20008
(주)광명전기,017040,2015/12,11546018,13411331,11967345,0,16825692,0
(주)광명전기,017040,2016/12,8674010,11672758,19314773,0,20812852,0
(주)광명전기,017040,2017/12,12111820,13326881,19292906,9310,16276254,9310
(주)광명전기,017040,2018/12,9140681,11215318,16383101,0,16707389,0
(주)광명전기,017040,2019/12,10714507,11445805,17078687,0,18747808,0
(주)광무,029480,2011/12,2878872,2896522,15007132,0,15437387,0
(주)광무,029480,2012/12,2234116,3451446,7975589,0,18148992,0
(주)광무,029480,2013/12,217205,6942208,5018421,0,19869205,0
(주)광무,029480,2014/12,2596908,,4374987,0,,
(주)광무,029480,2015/12,1618468,,3100483,0,,
(주)광무,029480,2016/12,3511856,,4933425,0,,
