회사명,거래소코드,회계년도,자본(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),유동부채(*)(IFRS)(천원),,재고자산(*)(IFRS)(천원),유형자산(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS연결)(천원),유형자산(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS)(천원),회사채(IFRS)(천원),,장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS연결)(천원),,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)ES큐브,50120,Dec-15,44872641,22590313,1792096,,397788,596347,49654460,41180599,5378364,6783417,0,14592925,26509578,2251042,5965820,0,0,0,,0,0,0,,47123684,55620280,36887119,42152967
(주)ES큐브,50120,Dec-16,69832373,43388800,4569554,,420745,4673186,71696122,50885945,3406254,7447857,0,28643855,31283393,34627619,33468504,28600000,0,0,,28600000,0,0,,104459992,105164626,34818205,34289385
(주)ES큐브,50120,Dec-17,71398467,44761949,4085637,,408271,7506218,72816880,51038158,3702478,8346570,0,21621666,24250014,33451725,33075251,27400000,0,0,,27400000,0,0,,104850192,105892131,37104908,35745794
(주)ES큐브,50120,Dec-18,66518631,29054833,37696219,,560371,10880733,70748607,45061626,37613190,9236879,0,18764713,26730206,41963133,41682289,2100000,0,0,,2100000,0,0,,108481764,112430896,31308873,33763508
(주)ES큐브,50120,Dec-19,53986331,24298462,54789915,,468610,10576512,74038512,359030693,230135454,7648032,0,13606557,111347468,82079157,389920168,24900000,0,0,,24900000,2726000,0,,136065488,463958680,28527284,43708239
(주)HJ중공업,97230,Dec-11,1874877000,2183437000,1800533000,,183693000,1427510000,1866848000,2391530000,2482598000,360584000,4347000,647026000,854074000,3982242000,5169832000,178967000,364466000,0,,677057000,410598000,0,,5857119000,7036680000,2316017000,2891499000
(주)HJ중공업,97230,Dec-12,1863529000,2419666000,2125376000,,163272000,1343556000,1715516000,2274211000,2448324000,223809000,0,622643000,731662000,4074579000,4869577000,315044000,311804000,0,,777978000,354648000,0,,5938108000,6585093000,1980761000,2549319000
(주)HJ중공업,97230,Dec-13,1804609000,1949615000,2490138000,,489464000,1329680000,1638998000,2788908000,3284862000,601781000,0,446094000,590556000,4035024000,5044381000,588662000,291859000,0,,793546000,534025000,0,,5839633000,6683379000,1927307000,2529341000
(주)HJ중공업,97230,Dec-14,1761886000,1858441000,2203465000,,459613000,1263266000,1573076000,2647534000,2843001000,655829000,0,215201000,350490000,3707924000,4897208000,904138000,318982000,0,,1458914000,489339000,0,,5469810000,6470284000,1799016000,2520325000
(주)HJ중공업,97230,Dec-15,1377529000,1622994000,2558441000,,721779000,1223488000,1368589000,2429499000,3430218000,873978000,80000,79869000,163004000,3260852000,4546048000,224253000,529090000,0,,628609000,660354000,0,,4638381000,5914637000,2041347000,3115473000
