,통계청 한국표준산업분류 10차(중분류),회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,R&D투자효율,고용증가율,경상개발비율,연구개발비율
40,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
41,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
42,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
43,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
44,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
45,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
46,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
47,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
48,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
49,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
50,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
51,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
52,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
53,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
54,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
55,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
56,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
57,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
58,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
59,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
60,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
61,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
62,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
63,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
64,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
65,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
66,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
67,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
68,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
69,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
70,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
71,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
72,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,11-Dec,3.94,3.53,3.53,1.41,1.41,1.8,1.8
73,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,12-Dec,-7.45,-7.75,-7.75,0.57,0.57,1.44,1.44
74,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,13-Dec,0.73,0.7,0.7,-0.59,-0.59,1.01,1.01
75,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,14-Dec,3.63,3.6,3.6,0.02,0.02,1.31,1.31
76,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,15-Dec,-32.2,-32.22,-32.22,2.17,2.17,2.11,2.11
77,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,16-Dec,77777777.77,77777777.77,11111111.11,2.53,2.53,2.36,2.36
78,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,17-Dec,77777777.77,77777777.77,11111111.11,1.55,1.55,1.41,1.41
79,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,18-Dec,77777777.77,77777777.77,11111111.11,3.3,3.3,3.46,3.46
80,의료용 물질 및 의약품 제조업,(주)CMG제약,58820,19-Dec,303,303,303,2.27,2.27,2.34,2.34
81,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,11111111.11,77777777.77,77777777.77,77777777.77
82,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-4.06,-4.06,-3.85,-3.85
83,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,-5.47,-5.47,-4.37,-4.37
84,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,0.96,0.96,1.5,1.5
85,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,1.22,1.22,0.7,0.7
86,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,-0.54,-0.54,1.2,1.2
87,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,11111111.11,77777777.77,77777777.77,77777777.77
88,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,-4.06,-4.06,-3.85,-3.85
89,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,-5.47,-5.47,-4.37,-4.37
90,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.96,0.96,1.5,1.5
91,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,1.22,1.22,0.7,0.7
92,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,-0.54,-0.54,1.2,1.2
93,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,11111111.11,77777777.77,77777777.77,77777777.77
94,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,-4.06,-4.06,-3.85,-3.85
95,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,-5.47,-5.47,-4.37,-4.37
96,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,0.96,0.96,1.5,1.5
97,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,1.22,1.22,0.7,0.7
98,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,-0.54,-0.54,1.2,1.2
99,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,11111111.11,77777777.77,77777777.77,77777777.77
100,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-4.06,-4.06,-3.85,-3.85
101,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,-5.47,-5.47,-4.37,-4.37
102,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,0.96,0.96,1.5,1.5
103,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,1.22,1.22,0.7,0.7
104,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,-0.54,-0.54,1.2,1.2
105,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,11111111.11,77777777.77,77777777.77,77777777.77
106,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,-4.06,-4.06,-3.85,-3.85
107,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,-5.47,-5.47,-4.37,-4.37
108,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.96,0.96,1.5,1.5
109,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,1.22,1.22,0.7,0.7
110,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,-0.54,-0.54,1.2,1.2
111,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,11111111.11,77777777.77,77777777.77,77777777.77
112,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,-4.06,-4.06,-3.85,-3.85
113,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,-5.47,-5.47,-4.37,-4.37
114,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,0.96,0.96,1.5,1.5
115,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,1.22,1.22,0.7,0.7
116,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,-0.54,-0.54,1.2,1.2
117,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.85,0.85,0.85,0.85
118,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-0.73,77777777.77,-0.73,-0.73
119,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,3.16,77777777.77,3.16,3.16
120,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,4.69,77777777.77,4.69,4.69
121,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,7.95,77777777.77,7.95,7.95
122,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,12.45,77777777.77,12.45,12.45
123,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,8.89,77777777.77,8.89,8.89
124,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,5.19,5.19,5.28,5.28
125,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,7.9,7.9,8.58,8.58
126,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.85,0.85,0.85,0.85
127,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-0.73,77777777.77,-0.73,-0.73
128,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,3.16,77777777.77,3.16,3.16
129,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,4.69,77777777.77,4.69,4.69
130,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,7.95,77777777.77,7.95,7.95
131,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,12.45,77777777.77,12.45,12.45
132,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,8.89,77777777.77,8.89,8.89
133,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,5.19,5.19,5.28,5.28
134,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,7.9,7.9,8.58,8.58
135,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.85,0.85,0.85,0.85
136,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-0.73,77777777.77,-0.73,-0.73
137,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,3.16,77777777.77,3.16,3.16
138,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,4.69,77777777.77,4.69,4.69
139,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,7.95,77777777.77,7.95,7.95
140,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,12.45,77777777.77,12.45,12.45
141,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,8.89,77777777.77,8.89,8.89
142,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,5.19,5.19,5.28,5.28
143,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,7.9,7.9,8.58,8.58
144,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.85,0.85,0.85,0.85
145,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-0.73,77777777.77,-0.73,-0.73
146,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,3.16,77777777.77,3.16,3.16
147,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,4.69,77777777.77,4.69,4.69
148,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,7.95,77777777.77,7.95,7.95
149,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,12.45,77777777.77,12.45,12.45
150,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,8.89,77777777.77,8.89,8.89
151,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,5.19,5.19,5.28,5.28
152,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,7.9,7.9,8.58,8.58
153,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,11-Dec,-0.69,-0.75,-0.75,0.85,0.85,0.85,0.85
154,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,12-Dec,-0.29,-0.31,-0.31,-0.73,77777777.77,-0.73,-0.73
155,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,13-Dec,-0.16,-0.16,-0.16,3.16,77777777.77,3.16,3.16
156,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,14-Dec,0.67,0.67,0.67,4.69,77777777.77,4.69,4.69
157,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,15-Dec,2.49,2.5,2.5,7.95,77777777.77,7.95,7.95
158,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,16-Dec,4.39,4.41,4.41,12.45,77777777.77,12.45,12.45
159,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,17-Dec,6.01,6.05,6.05,8.89,77777777.77,8.89,8.89
160,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,18-Dec,6.76,6.77,6.77,5.19,5.19,5.28,5.28
161,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",(주)DB하이텍,990,19-Dec,13.43,13.44,13.44,7.9,7.9,8.58,8.58
189,1차 금속 제조업,(주)TCC스틸,2710,11-Dec,1.8,1.41,1.41,0.85,0.85,0.85,0.85
190,1차 금속 제조업,(주)TCC스틸,2710,12-Dec,1.44,0.57,0.57,-0.73,77777777.77,-0.73,-0.73
191,1차 금속 제조업,(주)TCC스틸,2710,13-Dec,1.01,-0.59,-0.59,3.16,77777777.77,3.16,3.16
